,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,37.26,37.36,37.11,37.19,152807,0.04,0.11%,37.19,5.68m,497
2,08/03/17,37.16,37.1899,37.10,37.15,219087,-0.01,-0.03%,37.15,8.14m,470
3,08/02/17,37.17,37.26,37.02,37.16,114331,0.05,0.13%,37.16,4.24m,421
4,08/01/17,37.17,37.17,37.03,37.11,98043,0.04,0.11%,37.11,3.64m,509
5,07/31/17,37.14,37.16,37.0588,37.07,143615,0.03,0.08%,37.07,5.33m,437
6,07/28/17,37.12,37.16,36.88,37.04,85695,-0.13,-0.35%,37.04,3.17m,426
7,07/27/17,37.24,37.24,36.9668,37.17,124450,-0.07,-0.19%,37.17,4.62m,520
8,07/26/17,37.40,37.40,37.21,37.24,97182,-0.06,-0.16%,37.24,3.62m,456
9,07/25/17,37.31,37.49,37.2555,37.30,140664,0.06,0.16%,37.30,5.25m,526
10,07/24/17,37.37,37.39,37.185,37.24,119303,-0.079999,-0.21%,37.24,4.44m,504
11,07/21/17,37.44,37.44,37.282,37.37,102343,-0.02996,-0.08%,37.32,3.82m,337
12,07/20/17,37.49,37.50,37.27,37.40,107910,0.02996,0.08%,37.35,4.03m,412
13,07/19/17,37.24,37.38,37.24,37.37,78200,0.169773,0.46%,37.32,2.92m,495
14,07/18/17,37.19,37.20,37.0476,37.20,184837,-0.019974,-0.05%,37.1502,6.86m,411
15,07/17/17,37.24,37.35,37.20,37.22,114986,-0.039946,-0.11%,37.1702,4.28m,527
16,07/14/17,37.09,37.30,37.0866,37.26,130122,0.219706,0.59%,37.2101,4.84m,555
17,07/13/17,37.04,37.07,36.95,37.04,413323,0.059919,0.16%,36.9904,15.31m,784
18,07/12/17,36.94,37.05,36.9001,36.98,93925,0.219706,0.60%,36.9305,3.47m,458
19,07/11/17,36.76,36.81,36.59,36.76,111468,-0.039947,-0.11%,36.7108,4.1m,587
20,07/10/17,36.80,36.865,36.75,36.80,288731,-0.019973,-0.05%,36.7508,10.63m,585
21,07/07/17,36.64,36.8466,36.64,36.82,80719,0.239679,0.66%,36.7707,2.97m,363
22,07/06/17,36.77,36.77,36.54,36.58,97779,-0.304592,-0.83%,36.5311,3.58m,423
23,07/05/17,36.87,36.9056,36.76,36.885,216818,0.0749,0.20%,36.8356,7.99m,681
24,06/30/17,36.75,36.89,36.6969,36.78,85400,0.179759,0.49%,36.7308,3.14m,426
25,06/29/17,37.00,37.07,36.41,36.60,109051,-0.369505,-1.00%,36.551,3.99m,586
26,06/28/17,36.86,37.05,36.83,36.97,95768,0.224699,0.61%,36.9205,3.54m,528
27,06/27/17,37.00,37.03,36.74,36.745,87813,-0.284619,-0.77%,36.6958,3.24m,483
28,06/26/17,37.14,37.21,37.02,37.03,1119770,0.014976,0.04%,36.9805,41.5m,527
29,06/23/17,37.04,37.135,36.9689,37.10,1060343,0.039855,0.11%,36.9655,39.31m,289
30,06/22/17,37.06,37.16,37.0007,37.06,112594,0.049819,0.14%,36.9256,4.18m,398
31,06/21/17,37.05,37.08,36.9668,37.01,90672,-0.029891,-0.08%,36.8758,3.36m,399
32,06/20/17,37.30,37.30,37.03,37.04,898659,-0.239131,-0.64%,36.9057,33.33m,342
33,06/19/17,37.17,37.28,37.05,37.28,1883006,0.31884,0.87%,37.1448,70.12m,1152
34,06/16/17,37.00,37.00,36.7758,36.96,110653,-0.049818,-0.14%,36.826,4.08m,404
35,06/15/17,36.84,37.019,36.7703,37.01,1372767,-0.009964,-0.03%,36.8758,50.75m,487
36,06/14/17,37.03,37.16,36.89,37.02,91007,0.059782,0.16%,36.8858,3.37m,390
37,06/13/17,36.85,36.975,36.79,36.96,177316,0.179348,0.49%,36.826,6.54m,396
38,06/12/17,36.77,36.80,36.66,36.78,102732,-0.019927,-0.05%,36.6466,3.77m,385
39,06/09/17,36.86,36.97,36.63,36.80,84872,-0.039856,-0.11%,36.6666,3.13m,368
40,06/08/17,36.84,36.93,36.75,36.84,82288,-0.009964,-0.03%,36.7064,3.03m,345
41,06/07/17,36.81,36.88,36.7549,36.85,2148374,0.099638,0.27%,36.7164,79.09m,512
42,06/06/17,36.79,36.93,36.75,36.75,128449,-0.169383,-0.46%,36.6167,4.73m,460
43,06/05/17,36.99,37.01,36.90,36.92,87532,-0.069747,-0.19%,36.7861,3.23m,496
44,06/02/17,36.83,37.02,36.8241,36.99,103833,0.189312,0.52%,36.8559,3.84m,907
45,06/01/17,36.68,36.80,36.57,36.80,77027,0.26902,0.74%,36.6666,2.82m,385
46,05/31/17,36.53,36.55,36.4234,36.53,97568,0.069747,0.19%,36.3975,3.56m,340
47,05/30/17,36.42,36.47,36.35,36.46,122999,0.019927,0.05%,36.3278,4.48m,437
48,05/26/17,36.42,36.49,36.38,36.44,147236,0.009964,0.03%,36.3079,5.36m,459
49,05/25/17,36.30,36.4653,36.23,36.43,108395,0.288949,0.80%,36.2979,3.94m,428
50,05/24/17,36.06,36.18,36.05,36.14,108811,0.069745,0.19%,36.009,3.93m,420
51,05/23/17,36.13,36.13,36.0537,36.07,157960,0.009964,0.03%,35.9392,5.7m,475
52,05/22/17,35.95,36.07,35.95,36.06,96378,0.239114,0.67%,35.9292,3.47m,392
53,05/19/17,35.74,35.9666,35.74,35.86,109164,0.1891,0.53%,35.6901,3.92m,321
54,05/18/17,35.58,35.806,35.50,35.67,112308,0.03981,0.11%,35.501,4.01m,384
55,05/17/17,35.88,35.96,35.63,35.63,196317,-0.557347,-1.55%,35.4612,7.03m,646
56,05/16/17,36.28,36.28,36.12,36.19,361735,-0.019905,-0.06%,36.0186,13.08m,512
57,05/15/17,36.08,36.2166,36.065,36.21,112186,0.238863,0.67%,36.0385,4.06m,428
58,05/12/17,35.98,36.10,35.96,35.97,120811,-0.059716,-0.17%,35.7996,4.35m,397
59,05/11/17,36.03,36.13,35.845,36.03,125529,-0.059716,-0.17%,35.8593,4.51m,378
60,05/10/17,36.10,36.11,36.0113,36.09,103072,-0.03981,-0.11%,35.919,3.72m,336
61,05/09/17,36.16,36.18,36.07,36.13,126157,0.009953,0.03%,35.9589,4.56m,448
62,05/08/17,36.20,36.20,36.0701,36.12,94145,-0.029859,-0.08%,35.9489,3.4m,1118
63,05/05/17,36.08,36.16,35.973,36.15,178451,0.10948,0.31%,35.9788,6.44m,395
64,05/04/17,36.04,36.06,35.89,36.04,113159,0.109479,0.31%,35.8693,4.07m,354
65,05/03/17,35.94,35.95,35.84,35.93,147887,-0.049764,-0.14%,35.7598,5.31m,535
66,05/02/17,35.96,35.99,35.92,35.98,106864,0.019906,0.06%,35.8096,3.84m,433
67,05/01/17,36.08,36.08,35.9061,35.96,131952,0.009952,0.03%,35.7897,4.75m,400
68,04/28/17,36.10,36.10,35.907,35.95,71164,-0.14929,-0.42%,35.7797,2.56m,321
69,04/27/17,36.07,36.15,36.02,36.10,121461,0.139338,0.39%,35.929,4.38m,456
70,04/26/17,36.04,36.09,35.94,35.96,110004,-0.019906,-0.06%,35.7897,3.96m,470
71,04/25/17,35.89,36.03,35.89,35.98,80456,0.218958,0.62%,35.8096,2.89m,465
72,04/24/17,35.75,35.81,35.695,35.76,81978,0.353334,1.00%,35.5906,2.93m,293
73,04/21/17,35.46,35.48,35.37,35.44,125805,-0.009943,-0.03%,35.2373,4.46m,402
74,04/20/17,35.34,35.50,35.24,35.45,136185,0.308226,0.88%,35.2472,4.82m,526
75,04/19/17,35.27,35.32,35.10,35.14,212010,-0.019885,-0.06%,34.939,7.47m,437
76,04/18/17,35.16,35.25,35.0725,35.16,100362,-0.129257,-0.37%,34.9589,3.53m,452
77,04/17/17,35.11,35.29,35.08,35.29,88832,0.238627,0.68%,35.0881,3.13m,411
78,04/13/17,35.20,35.2866,35.05,35.05,133681,-0.17897,-0.51%,34.8495,4.7m,425
79,04/12/17,35.36,35.36,35.19,35.23,107749,-0.159085,-0.45%,35.0285,3.8m,392
80,04/11/17,35.37,35.39,35.15,35.39,151016,0.039772,0.11%,35.1876,5.33m,598
81,04/10/17,35.40,35.5068,35.29,35.35,503724,-0.049715,-0.14%,35.1478,17.79m,402
82,04/07/17,35.37,35.48,35.33,35.40,87203,0.029829,0.08%,35.1975,3.09m,337
83,04/06/17,35.31,35.46,35.29,35.37,102317,0.089486,0.26%,35.1677,3.62m,499
84,04/05/17,35.50,35.66,35.27,35.28,174497,-0.119315,-0.34%,35.0782,6.2m,669
85,04/04/17,35.34,35.41,35.315,35.40,106572,0.009943,0.03%,35.1975,3.77m,329
86,04/03/17,35.52,35.53,35.25,35.39,142272,-0.089485,-0.25%,35.1876,5.03m,433
87,03/31/17,35.48,35.57,35.4535,35.48,568030,-0.049713,-0.14%,35.277,20.16m,494
88,03/30/17,35.50,35.585,35.45,35.53,267625,0.03977,0.11%,35.3268,9.5m,646
89,03/29/17,35.48,35.5114,35.41,35.49,122200,-0.029828,-0.08%,35.287,4.33m,443
90,03/28/17,35.29,35.58,35.24,35.52,185382,0.198856,0.57%,35.3168,6.57m,414
91,03/27/17,35.16,35.36,35.06,35.32,168968,-0.014926,-0.04%,35.118,5.96m,683
92,03/24/17,35.50,35.6229,35.33,35.43,185830,-0.039665,-0.11%,35.1329,6.6m,616
93,03/23/17,35.48,35.66,35.44,35.47,143236,-0.039665,-0.11%,35.1726,5.09m,528
94,03/22/17,35.45,35.59,35.35,35.51,106494,0.059497,0.17%,35.2122,3.78m,447
95,03/21/17,35.92,36.01,35.4301,35.45,212849,-0.376814,-1.06%,35.1527,7.58m,721
96,03/20/17,35.87,35.91,35.76,35.83,141757,-0.029747,-0.08%,35.5295,5.08m,478
97,03/17/17,35.95,35.95,35.81,35.86,93933,-0.039665,-0.11%,35.5593,3.37m,528
