,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,1.16,1.1727,1.15,1.15,31105,0.00,0.00%,1.15,35.9k,65
2,08/03/17,1.201,1.201,1.15,1.15,44838,-0.05,-4.17%,1.15,53.13k,44
3,08/02/17,1.25,1.25,1.20,1.20,15903,0.01,0.84%,1.20,19.46k,27
4,08/01/17,1.1882,1.20,1.18,1.19,6071,0.03,2.59%,1.19,7.22k,14
5,07/31/17,1.1728,1.19,1.16,1.16,13519,-0.02,-1.69%,1.16,15.84k,28
6,07/28/17,1.17,1.1802,1.16,1.18,2884,0.02,1.72%,1.18,3.38k,12
7,07/27/17,1.1922,1.199,1.15,1.16,15534,-0.02,-1.69%,1.16,18.25k,24
8,07/26/17,1.20,1.20,1.18,1.18,14436,-0.02,-1.67%,1.18,17.23k,14
9,07/25/17,1.23,1.24,1.20,1.20,9328,-0.01,-0.83%,1.20,11.32k,27
10,07/24/17,1.24,1.24,1.21,1.21,1723,-0.02,-1.63%,1.21,2.13k,15
11,07/21/17,1.211,1.23,1.20,1.23,5444,0.02,1.65%,1.23,6.59k,10
12,07/20/17,1.22,1.22,1.21,1.21,7102,0.00,0.00%,1.21,8.65k,13
13,07/19/17,1.23,1.2302,1.21,1.21,10720,-0.01,-0.82%,1.21,13.18k,10
14,07/18/17,1.2182,1.22,1.20,1.22,10963,0.00,0.00%,1.22,13.28k,16
15,07/17/17,1.24,1.24,1.21,1.22,4714,0.01,0.83%,1.22,5.76k,14
16,07/14/17,1.24,1.25,1.20,1.21,13978,0.008,0.67%,1.21,17.17k,23
17,07/13/17,1.24,1.25,1.20,1.202,4871,-0.008,-0.66%,1.202,6.01k,22
18,07/12/17,1.2797,1.28,1.21,1.21,16134,-0.05,-3.97%,1.21,20.34k,17
19,07/11/17,1.28,1.30,1.25,1.26,25563,0.0692,5.81%,1.26,33.05k,53
20,07/10/17,1.25,1.30,1.1908,1.1908,18963,-0.0292,-2.39%,1.1908,24.11k,59
21,07/07/17,1.24,1.24,1.20,1.22,3502,-0.01,-0.81%,1.22,4.32k,14
22,07/06/17,,,,1.23,60,0.00,0.00%,1.23,,8
23,07/05/17,1.23,1.23,1.2201,1.23,1630,-0.02,-1.60%,1.23,1.99k,8
24,06/30/17,1.28,1.28,1.18,1.23,18571,-0.06,-4.65%,1.23,22.58k,128
25,06/29/17,1.29,1.29,1.29,1.29,2226,0.01,0.78%,1.29,2.87k,9
26,06/28/17,1.2181,1.29,1.21,1.28,7351,0.08,6.67%,1.28,9.03k,30
27,06/27/17,1.18,1.20,1.18,1.20,9786,0.00,0.00%,1.20,11.68k,17
28,06/26/17,1.18,1.21,1.18,1.20,16772,0.02,1.69%,1.20,20.18k,31
29,06/23/17,1.21,1.2188,1.15,1.18,11004,-0.02,-1.67%,1.18,13.26k,17
30,06/22/17,1.18,1.21,1.18,1.20,6177,0.04,3.45%,1.20,7.42k,21
31,06/21/17,1.20,1.21,1.15,1.16,22913,-0.04,-3.33%,1.16,27.26k,37
32,06/20/17,1.1902,1.20,1.19,1.20,3117,-0.01,-0.83%,1.20,3.72k,10
33,06/19/17,1.27,1.27,1.09,1.21,125557,-0.02,-1.63%,1.21,143.7k,192
34,06/16/17,1.2601,1.27,1.23,1.23,4598,-0.03,-2.38%,1.23,5.75k,20
35,06/15/17,1.26,1.26,1.26,1.26,2161,0.00,0.00%,1.26,2.72k,49
36,06/14/17,1.28,1.286,1.25,1.26,26288,-0.021,-1.64%,1.26,33.45k,62
37,06/13/17,1.30,1.4188,1.281,1.281,20060,-0.019,-1.46%,1.281,26.12k,37
38,06/12/17,1.2416,1.43,1.2416,1.30,186354,0.07,5.69%,1.30,247.67k,207
39,06/09/17,1.27,1.27,1.228,1.23,18009,-0.051,-3.98%,1.23,22.55k,49
40,06/08/17,1.2513,1.281,1.2513,1.281,794,0.031,2.48%,1.281,1.01k,7
41,06/07/17,1.30,1.30,1.25,1.25,3525,-0.05,-3.85%,1.25,4.52k,22
42,06/06/17,1.29,1.32,1.29,1.30,20442,0.05,4.00%,1.30,26.59k,74
43,06/05/17,1.30,1.31,1.2487,1.25,30628,-0.06,-4.58%,1.25,39.4k,65
44,06/02/17,1.29,1.31,1.21,1.31,22820,0.02,1.55%,1.31,28.13k,38
45,06/01/17,1.2663,1.30,1.2663,1.29,3440,0.0153,1.20%,1.29,4.43k,29
46,05/31/17,1.28,1.28,1.271,1.2747,1079,-0.0053,-0.41%,1.2747,1.37k,11
47,05/30/17,1.2664,1.28,1.2601,1.28,13818,0.01,0.79%,1.28,17.49k,21
48,05/26/17,1.26,1.27,1.2502,1.27,3770,0.02,1.60%,1.27,4.73k,13
49,05/25/17,1.18,1.27,1.18,1.25,77056,0.02,1.63%,1.25,94.89k,72
50,05/24/17,1.24,1.24,1.22,1.23,9528,-0.01,-0.81%,1.23,11.7k,31
51,05/23/17,1.27,1.27,1.24,1.24,4570,-0.0299,-2.35%,1.24,5.71k,15
52,05/22/17,1.28,1.28,1.2699,1.2699,20676,0.0199,1.59%,1.2699,26.42k,29
53,05/19/17,1.17,1.26,1.17,1.25,26685,0.06,5.04%,1.25,32.84k,99
54,05/18/17,1.25,1.255,1.18,1.19,24282,-0.07,-5.56%,1.19,29.46k,68
55,05/17/17,1.26,1.2853,1.2599,1.26,7994,0.00,0.00%,1.26,10.1k,20
56,05/16/17,1.25,1.27,1.2299,1.26,32708,0.00,0.00%,1.26,41k,58
57,05/15/17,1.29,1.30,1.25,1.26,36343,-0.04,-3.08%,1.26,46.4k,100
58,05/12/17,1.30,1.31,1.282,1.30,22024,0.00,0.00%,1.30,28.6k,58
59,05/11/17,1.289,1.30,1.289,1.30,20595,0.00,0.00%,1.30,26.74k,19
60,05/10/17,1.30,1.30,1.2819,1.30,7080,-0.032,-2.40%,1.30,9.16k,11
61,05/09/17,1.38,1.38,1.32,1.332,22826,-0.048,-3.48%,1.332,30.84k,106
62,05/08/17,1.40,1.40,1.38,1.38,10235,0.00,0.00%,1.38,14.21k,32
63,05/05/17,1.38,1.3956,1.38,1.38,1626,0.00,0.00%,1.38,2.25k,13
64,05/04/17,1.3704,1.40,1.37,1.38,4361,-0.02,-1.43%,1.38,6k,28
65,05/03/17,1.422,1.429,1.35,1.40,27843,-0.02,-1.41%,1.40,38.9k,40
66,05/02/17,1.42,1.47,1.42,1.42,24764,0.00,0.00%,1.42,35.52k,52
67,05/01/17,1.4099,1.47,1.32,1.42,44015,0.04,2.90%,1.42,62.13k,105
68,04/28/17,1.3107,1.40,1.3107,1.38,4596,0.05,3.76%,1.38,6.24k,15
69,04/27/17,1.39,1.39,1.30,1.33,19606,-0.02,-1.48%,1.33,26.76k,45
70,04/26/17,1.33,1.3661,1.3153,1.35,14399,-0.03,-2.17%,1.35,19.47k,39
71,04/25/17,1.3355,1.3901,1.33,1.38,13023,0.0201,1.48%,1.38,17.77k,48
72,04/24/17,1.31,1.3599,1.31,1.3599,6250,0.0299,2.25%,1.3599,8.42k,22
73,04/21/17,1.399,1.44,1.30,1.33,55624,-0.0699,-4.99%,1.33,75.84k,91
74,04/20/17,1.30,1.3999,1.30,1.3999,3763,0.0999,7.68%,1.3999,5.01k,25
75,04/19/17,1.31,1.37,1.28,1.30,31615,0.00,0.00%,1.30,41.09k,86
76,04/18/17,1.3989,1.4236,1.30,1.30,41587,-0.09,-6.47%,1.30,55.33k,80
77,04/17/17,1.40,1.40,1.37,1.39,25739,0.02,1.46%,1.39,35.62k,68
78,04/13/17,1.38,1.41,1.37,1.37,29319,-0.005,-0.36%,1.37,40.92k,42
79,04/12/17,1.37,1.48,1.37,1.375,71936,0.005,0.36%,1.375,103.77k,125
80,04/11/17,1.3899,1.44,1.37,1.37,64564,-0.01,-0.72%,1.37,90.22k,120
81,04/10/17,1.3217,1.3896,1.3217,1.38,19170,0.07,5.34%,1.38,25.93k,68
82,04/07/17,1.30,1.447,1.28,1.31,80982,0.03,2.34%,1.31,105.01k,159
83,04/06/17,1.27,1.3173,1.27,1.28,12851,0.01,0.79%,1.28,16.49k,35
84,04/05/17,1.28,1.30,1.26,1.27,19815,0.00,0.00%,1.27,25.27k,81
85,04/04/17,1.2702,1.45,1.27,1.27,179714,0.01,0.79%,1.27,244.37k,274
86,04/03/17,1.27,1.31,1.23,1.26,69350,0.00,0.00%,1.26,87.15k,99
87,03/31/17,1.27,1.27,1.26,1.26,3249,0.01,0.80%,1.26,4.12k,14
88,03/30/17,1.25,1.2503,1.24,1.25,18101,-0.01,-0.79%,1.25,22.6k,19
89,03/29/17,1.27,1.27,1.25,1.26,13273,0.00,0.00%,1.26,16.65k,25
90,03/28/17,1.25,1.30,1.25,1.26,18687,0.0199,1.60%,1.26,23.76k,38
91,03/27/17,1.27,1.27,1.23,1.2401,4313,0.0101,0.82%,1.2401,5.4k,16
92,03/24/17,1.2534,1.26,1.222,1.23,21627,-0.01,-0.81%,1.23,26.96k,35
93,03/23/17,1.2322,1.26,1.22,1.24,31493,0.01,0.81%,1.24,39.18k,46
94,03/22/17,1.30,1.30,1.20,1.23,60346,-0.02,-1.60%,1.23,75.36k,81
95,03/21/17,1.25,1.2502,1.25,1.25,5462,-0.01,-0.79%,1.25,6.83k,12
96,03/20/17,1.2201,1.26,1.21,1.26,12284,0.05,4.13%,1.26,15.36k,30
97,03/17/17,1.22,1.25,1.21,1.21,47499,0.01,0.83%,1.21,58.37k,49
98,03/16/17,1.16,1.2116,1.16,1.20,13263,0.03,2.56%,1.20,15.8k,41
99,03/15/17,1.19,1.19,1.1601,1.17,2717,0.01,0.86%,1.17,3.18k,11
100,03/14/17,1.18,1.1899,1.14,1.16,17981,-0.02,-1.69%,1.16,20.77k,65
101,03/13/17,1.21,1.22,1.18,1.18,4461,-0.03,-2.48%,1.18,5.39k,36
102,03/10/17,1.20,1.2199,1.20,1.21,25170,0.01,0.83%,1.21,30.43k,42
103,03/09/17,1.21,1.21,1.19,1.20,13536,-0.01,-0.83%,1.20,16.33k,24
104,03/08/17,1.22,1.22,1.18,1.21,25021,0.01,0.83%,1.21,29.99k,86
105,03/07/17,1.19,1.211,1.19,1.20,11394,0.02,1.69%,1.20,13.75k,42
106,03/06/17,1.20,1.20,1.18,1.18,29921,-0.02,-1.67%,1.18,35.62k,58
