,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,1.75,1.80,1.7001,1.7001,1781,0.0001,0.01%,1.7001,3.12k,17
2,08/03/17,1.85,1.90,1.70,1.70,19025,-0.10,-5.56%,1.70,33.15k,38
3,08/02/17,1.90,1.90,1.80,1.80,28183,-0.05,-2.70%,1.80,51.3k,29
4,08/01/17,1.85,1.90,1.85,1.85,2674,0.00,0.00%,1.85,4.97k,18
5,07/31/17,1.8509,1.90,1.85,1.85,4383,-0.05,-2.63%,1.85,8.21k,16
6,07/28/17,1.90,1.95,1.80,1.90,21344,0.10,5.56%,1.90,39.99k,54
7,07/27/17,1.85,1.95,1.7823,1.80,31510,-0.05,-2.70%,1.80,58.33k,65
8,07/26/17,1.841,1.85,1.80,1.85,7904,0.05,2.78%,1.85,14.61k,21
9,07/25/17,1.80,1.90,1.80,1.80,11540,0.00,0.00%,1.80,21.08k,69
10,07/24/17,1.85,1.90,1.80,1.80,15042,-0.05,-2.70%,1.80,27.78k,49
11,07/21/17,1.8245,1.85,1.8043,1.85,53424,0.05,2.78%,1.85,98.77k,34
12,07/20/17,1.8195,1.85,1.75,1.80,13965,-0.05,-2.70%,1.80,25.13k,43
13,07/19/17,1.80,1.85,1.80,1.85,8873,0.05,2.78%,1.85,16.34k,28
14,07/18/17,1.80,1.80,1.75,1.80,1430,0.00,0.00%,1.80,2.57k,12
15,07/17/17,1.80,1.80,1.75,1.80,2961,0.15,9.09%,1.80,5.3k,20
16,07/14/17,1.85,1.85,1.65,1.65,80242,-0.20,-10.81%,1.65,143.74k,103
17,07/13/17,1.80,1.85,1.751,1.85,38127,0.05,2.78%,1.85,68.82k,59
18,07/12/17,1.85,1.90,1.80,1.80,52348,-0.05,-2.70%,1.80,96.54k,148
19,07/11/17,1.90,1.90,1.85,1.85,1404,0.05,2.78%,1.85,2.61k,26
20,07/10/17,1.9001,1.95,1.70,1.80,34327,-0.15,-7.69%,1.80,63.95k,178
21,07/07/17,1.999,2.00,1.90,1.95,19996,0.00,0.00%,1.95,38.53k,57
22,07/06/17,1.75,2.00,1.75,1.95,29101,0.20,11.43%,1.95,54.23k,53
23,07/05/17,1.70,1.80,1.70,1.75,12402,0.0499,2.94%,1.75,21.91k,42
24,06/30/17,1.65,1.70,1.60,1.65,18947,-0.05,-2.94%,1.65,31.48k,145
25,06/29/17,1.65,1.75,1.65,1.70,2014,0.00,0.00%,1.70,3.42k,21
26,06/28/17,1.7001,1.75,1.70,1.70,3282,0.00,0.00%,1.70,5.62k,31
27,06/27/17,1.70,1.75,1.65,1.70,6204,0.05,3.03%,1.70,10.62k,33
28,06/26/17,1.70,1.70,1.65,1.65,6098,0.00,0.00%,1.65,10.23k,36
29,06/23/17,1.55,1.65,1.5474,1.65,38253,0.15,10.00%,1.65,59.64k,162
30,06/22/17,1.55,1.55,1.50,1.50,31099,-0.05,-3.23%,1.50,47.44k,87
31,06/21/17,1.60,1.60,1.50,1.55,24657,0.05,3.33%,1.55,38.2k,149
32,06/20/17,1.50,1.60,1.50,1.50,7927,-0.05,-3.23%,1.50,12.2k,74
33,06/19/17,1.5578,1.60,1.55,1.55,14644,0.00,0.00%,1.55,22.74k,76
34,06/16/17,1.55,1.60,1.50,1.55,20785,0.00,0.00%,1.55,32.4k,136
35,06/15/17,1.50,1.55,1.50,1.55,2120,0.00,0.00%,1.55,3.25k,26
36,06/14/17,1.5455,1.55,1.5033,1.55,7458,0.00,0.00%,1.55,11.53k,28
37,06/13/17,1.50,1.55,1.50,1.55,36463,0.00,0.00%,1.55,56.49k,180
38,06/12/17,1.60,1.65,1.50,1.55,27713,0.00,0.00%,1.55,44.17k,217
39,06/09/17,1.55,1.60,1.50,1.55,17706,0.05,3.33%,1.55,27.44k,129
40,06/08/17,1.55,1.60,1.50,1.50,59097,-0.05,-3.23%,1.50,91.45k,128
41,06/07/17,1.55,1.60,1.50,1.55,20582,0.00,0.00%,1.55,31.78k,134
42,06/06/17,1.50,1.60,1.50,1.55,10832,0.05,3.33%,1.55,16.73k,77
43,06/05/17,1.55,1.60,1.50,1.50,42694,-0.025,-1.64%,1.50,66.31k,196
44,06/02/17,1.50,1.55,1.45,1.525,44120,0.025,1.67%,1.525,67.08k,178
45,06/01/17,1.60,1.60,1.50,1.50,51777,-0.05,-3.23%,1.50,79.99k,134
46,05/31/17,1.5705,1.60,1.55,1.55,2409,0.00,0.00%,1.55,3.81k,16
47,05/30/17,1.60,1.60,1.481,1.55,18712,0.00,0.00%,1.55,29.07k,40
48,05/26/17,1.50,1.55,1.50,1.55,4382,-0.0001,-0.01%,1.55,6.61k,33
49,05/25/17,1.60,1.60,1.5501,1.5501,858,0.0001,0.01%,1.5501,1.35k,16
50,05/24/17,1.50,1.60,1.50,1.55,46905,-0.0001,-0.01%,1.55,72.82k,69
51,05/23/17,1.60,1.60,1.55,1.5501,13729,-0.0499,-3.12%,1.5501,21.33k,120
52,05/22/17,1.50,1.60,1.50,1.60,76209,0.00,0.00%,1.60,115.23k,150
53,05/19/17,1.60,1.60,1.55,1.60,7931,0.10,6.67%,1.60,12.51k,71
54,05/18/17,1.45,1.55,1.45,1.50,20809,0.00,0.00%,1.50,31.16k,58
55,05/17/17,1.50,1.50,1.45,1.50,4136,-0.05,-3.23%,1.50,6.16k,38
56,05/16/17,1.55,1.575,1.50,1.55,5502,-0.05,-3.12%,1.55,8.49k,53
57,05/15/17,1.55,1.65,1.55,1.60,32304,0.00,0.00%,1.60,51.76k,121
58,05/12/17,1.619,1.65,1.55,1.60,31859,-0.10,-5.88%,1.60,51.51k,118
59,05/11/17,1.65,1.70,1.60,1.70,26580,0.00,0.00%,1.70,43.78k,87
60,05/10/17,1.75,1.75,1.65,1.70,32604,0.00,0.00%,1.70,54.03k,55
61,05/09/17,1.70,1.75,1.70,1.70,15457,-0.05,-2.86%,1.70,26.46k,46
62,05/08/17,1.75,1.75,1.70,1.75,5771,0.00,0.00%,1.75,9.95k,61
63,05/05/17,1.7591,1.80,1.75,1.75,14506,0.00,0.00%,1.75,25.96k,27
64,05/04/17,1.85,1.864,1.70,1.75,41506,-0.15,-7.89%,1.75,73.98k,100
65,05/03/17,1.70,1.90,1.675,1.90,133080,0.25,15.15%,1.90,233.13k,195
66,05/02/17,1.60,1.70,1.5965,1.65,32582,0.10,6.45%,1.65,52.88k,104
67,05/01/17,1.55,1.60,1.50,1.55,24763,0.05,3.33%,1.55,38.39k,43
68,04/28/17,1.5192,1.5999,1.50,1.50,7362,0.00,0.00%,1.50,11.37k,27
69,04/27/17,1.50,1.55,1.50,1.50,7025,0.00,0.00%,1.50,10.73k,34
70,04/26/17,1.50,1.55,1.50,1.50,7803,-0.05,-3.23%,1.50,11.85k,45
71,04/25/17,1.65,1.65,1.55,1.55,9163,-0.05,-3.12%,1.55,14.57k,27
72,04/24/17,1.50,1.60,1.50,1.60,12767,0.10,6.67%,1.60,19.8k,24
73,04/21/17,1.45,1.50,1.45,1.50,8086,0.05,3.45%,1.50,12k,69
74,04/20/17,1.50,1.50,1.40,1.45,9411,0.00,0.00%,1.45,13.71k,43
75,04/19/17,1.45,1.50,1.45,1.45,2152,0.05,3.57%,1.45,3.16k,23
76,04/18/17,1.45,1.45,1.40,1.40,5734,-0.05,-3.45%,1.40,8.14k,55
77,04/17/17,1.30,1.50,1.30,1.45,39873,0.10,7.41%,1.45,54.51k,145
78,04/13/17,1.3501,1.40,1.30,1.35,10463,-0.05,-3.57%,1.35,14.38k,67
79,04/12/17,1.55,1.55,1.40,1.40,10604,-0.10,-6.67%,1.40,15.4k,36
80,04/11/17,1.50,1.60,1.50,1.50,55703,0.00,0.00%,1.50,84.36k,105
81,04/10/17,1.65,1.6501,1.50,1.50,13663,-0.15,-9.09%,1.50,21.59k,53
82,04/07/17,1.55,1.75,1.534,1.65,214814,0.10,6.45%,1.65,346.7k,208
83,04/06/17,1.3127,1.60,1.3127,1.55,43357,0.25,19.23%,1.55,63.87k,117
84,04/05/17,1.40,1.40,1.30,1.30,165657,-0.05,-3.70%,1.30,220.99k,387
85,04/04/17,1.449,1.50,1.35,1.35,164657,-0.10,-6.90%,1.35,225.87k,146
86,04/03/17,1.50,1.60,1.35,1.45,41474,0.00,0.00%,1.45,60.73k,135
87,03/31/17,1.50,1.55,1.45,1.45,15397,0.00,0.00%,1.45,23.09k,92
88,03/30/17,1.50,1.55,1.45,1.45,14583,-0.10,-6.45%,1.45,22.01k,139
89,03/29/17,1.55,1.55,1.50,1.55,25381,0.05,3.33%,1.55,38.8k,186
90,03/28/17,1.55,1.60,1.35,1.50,79032,-0.0501,-3.23%,1.50,118.65k,211
91,03/27/17,1.65,1.70,1.55,1.5501,33125,-0.0999,-6.05%,1.5501,53k,128
92,03/24/17,1.65,1.70,1.65,1.65,9333,0.00,0.00%,1.65,15.67k,48
93,03/23/17,1.75,1.80,1.55,1.65,163938,-0.15,-8.33%,1.65,276.07k,388
94,03/22/17,1.8005,1.85,1.80,1.80,5762,-0.0001,-0.01%,1.80,10.4k,46
95,03/21/17,1.85,1.85,1.80,1.8001,5197,0.0001,0.01%,1.8001,9.39k,38
96,03/20/17,1.80,1.85,1.80,1.80,11168,0.00,0.00%,1.80,20.27k,89
97,03/17/17,1.85,1.88,1.80,1.80,47910,-0.05,-2.70%,1.80,87.01k,160
98,03/16/17,1.8446,1.90,1.80,1.85,76196,0.05,2.78%,1.85,140.7k,420
99,03/15/17,1.85,1.85,1.80,1.80,7909,-0.05,-2.70%,1.80,14.46k,60
100,03/14/17,1.85,1.90,1.85,1.85,18679,-0.05,-2.63%,1.85,34.69k,148
101,03/13/17,1.95,1.95,1.85,1.90,11034,0.05,2.70%,1.90,21.18k,74
102,03/10/17,1.95,1.95,1.85,1.85,23781,-0.05,-2.63%,1.85,45.09k,124
103,03/09/17,1.85,1.95,1.80,1.90,30459,0.05,2.70%,1.90,57.78k,129
104,03/08/17,1.80,1.90,1.80,1.85,4647,0.00,0.00%,1.85,8.62k,42
105,03/07/17,1.90,1.90,1.85,1.85,4143,-0.05,-2.63%,1.85,7.74k,33
106,03/06/17,1.75,1.90,1.75,1.90,14162,0.10,5.56%,1.90,26.25k,97
107,03/03/17,1.90,1.90,1.80,1.80,18279,-0.0501,-2.71%,1.80,33.41k,68
108,03/02/17,1.85,1.90,1.85,1.8501,7946,0.0001,0.01%,1.8501,14.79k,50
109,03/01/17,1.85,1.90,1.85,1.85,11258,0.05,2.78%,1.85,21.08k,77
110,02/28/17,1.912,1.912,1.80,1.80,18554,-0.10,-5.26%,1.80,34.29k,127
111,02/27/17,1.884,1.95,1.85,1.90,18362,0.10,5.56%,1.90,34.85k,87
112,02/24/17,1.85,1.9002,1.80,1.80,19370,-0.10,-5.26%,1.80,35.55k,162
113,02/23/17,2.00,2.05,1.80,1.90,61465,-0.05,-2.56%,1.90,115.47k,251
114,02/22/17,2.05,2.05,1.95,1.95,22740,-0.10,-4.88%,1.95,45.36k,229
115,02/21/17,2.05,2.05,2.00,2.05,7265,-0.05,-2.38%,2.05,14.73k,34
116,02/17/17,2.05,2.10,1.9749,2.10,26739,0.10,5.00%,2.10,53.63k,160
