,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,13.50,13.60,13.30,13.35,815002,-0.10,-0.74%,13.35,10.93m,6181
2,08/03/17,13.15,13.45,13.05,13.45,880710,0.30,2.28%,13.45,11.73m,6846
3,08/02/17,13.40,13.95,13.00,13.15,1291167,0.20,1.54%,13.15,17.06m,7386
4,08/01/17,12.70,12.95,12.675,12.95,1104194,0.25,1.97%,12.95,14.19m,5850
5,07/31/17,12.75,12.7772,12.35,12.70,1079944,0.00,0.00%,12.70,13.59m,5508
6,07/28/17,11.65,13.225,10.30,12.70,4699063,-2.10,-14.19%,12.70,58.9m,24183
7,07/27/17,14.50,15.10,14.375,14.80,1222630,0.45,3.14%,14.80,18.05m,8427
8,07/26/17,14.20,14.575,14.20,14.35,409461,0.10,0.70%,14.35,5.9m,4047
9,07/25/17,14.30,14.375,14.05,14.25,467849,0.25,1.79%,14.25,6.67m,3416
10,07/24/17,13.80,14.10,13.75,14.00,379852,0.20,1.45%,14.00,5.31m,3430
11,07/21/17,13.85,14.00,13.55,13.80,529600,0.15,1.10%,13.80,7.33m,3228
12,07/20/17,13.55,13.925,13.45,13.65,604411,0.10,0.74%,13.65,8.29m,4947
13,07/19/17,14.15,14.175,13.45,13.55,1078010,-0.60,-4.24%,13.55,14.79m,6956
14,07/18/17,14.30,14.35,14.05,14.15,346435,-0.20,-1.39%,14.15,4.91m,2583
15,07/17/17,14.25,14.3758,14.20,14.35,359846,0.10,0.70%,14.35,5.14m,2651
16,07/14/17,14.25,14.30,14.05,14.25,274037,0.00,0.00%,14.25,3.9m,1986
17,07/13/17,14.35,14.375,14.10,14.25,254862,-0.15,-1.04%,14.25,3.62m,1662
18,07/12/17,14.25,14.40,14.20,14.40,350368,0.35,2.49%,14.40,5.02m,3827
19,07/11/17,14.45,14.45,14.00,14.05,490583,-0.15,-1.06%,14.05,6.93m,3897
20,07/10/17,14.45,14.50,14.15,14.20,341787,-0.30,-2.07%,14.20,4.87m,2361
21,07/07/17,14.20,14.525,14.15,14.50,495374,0.35,2.47%,14.50,7.11m,3375
22,07/06/17,14.20,14.50,14.075,14.15,448417,-0.15,-1.05%,14.15,6.38m,3319
23,07/05/17,14.30,14.40,14.075,14.30,565616,0.00,0.00%,14.30,8.05m,4013
24,06/30/17,14.45,14.70,14.375,14.55,541328,0.10,0.69%,14.55,7.88m,2495
25,06/29/17,15.00,15.00,14.375,14.45,465336,-0.60,-3.99%,14.45,6.76m,3247
26,06/28/17,14.65,15.05,14.50,15.05,493407,0.40,2.73%,15.05,7.35m,3215
27,06/27/17,14.95,15.025,14.525,14.65,510860,-0.35,-2.33%,14.65,7.56m,3661
28,06/26/17,15.10,15.15,14.60,15.00,689794,-0.10,-0.66%,15.00,10.28m,4940
29,06/23/17,14.95,15.10,14.85,15.10,1141363,0.15,1.00%,15.10,17.13m,4964
30,06/22/17,14.40,15.00,14.40,14.95,605539,0.10,0.67%,14.95,9.04m,4171
31,06/21/17,14.85,14.95,14.60,14.85,510217,0.00,0.00%,14.85,7.55m,3441
32,06/20/17,14.75,14.90,14.55,14.85,839483,0.05,0.34%,14.85,12.4m,5461
33,06/19/17,14.80,14.975,14.65,14.80,991832,0.05,0.34%,14.80,14.73m,6460
34,06/16/17,14.75,14.85,14.30,14.75,2314577,-0.05,-0.34%,14.75,34.08m,7763
35,06/15/17,14.40,14.85,14.275,14.80,896117,0.10,0.68%,14.80,13.09m,5988
36,06/14/17,14.65,14.90,14.50,14.70,590806,-0.05,-0.34%,14.70,8.69m,4227
37,06/13/17,14.40,14.85,14.325,14.75,851982,0.40,2.79%,14.75,12.47m,6103
38,06/12/17,13.95,14.40,13.70,14.35,648426,0.35,2.50%,14.35,9.22m,4703
39,06/09/17,14.40,14.60,13.90,14.00,622514,-0.40,-2.78%,14.00,8.86m,3728
40,06/08/17,14.20,14.40,14.10,14.40,311914,0.20,1.41%,14.40,4.46m,2062
41,06/07/17,14.40,14.50,14.075,14.20,761807,-0.20,-1.39%,14.20,10.86m,3619
42,06/06/17,14.20,14.45,14.06,14.40,1423055,0.10,0.70%,14.40,20.42m,6315
43,06/05/17,14.15,14.35,14.05,14.30,697407,0.10,0.70%,14.30,9.9m,3749
44,06/02/17,13.90,14.30,13.85,14.20,1131311,0.30,2.16%,14.20,15.89m,4790
45,06/01/17,13.70,14.00,13.65,13.90,690856,0.25,1.83%,13.90,9.57m,4629
46,05/31/17,13.60,13.75,13.40,13.65,830639,0.05,0.37%,13.65,11.27m,4700
47,05/30/17,13.50,13.70,13.35,13.60,899004,0.10,0.74%,13.60,12.19m,5028
48,05/26/17,14.15,15.00,13.35,13.50,3973276,0.35,2.66%,13.50,54.99m,19078
49,05/25/17,13.15,13.35,13.05,13.15,708053,0.05,0.38%,13.15,9.34m,4466
50,05/24/17,12.75,13.25,12.75,13.10,1038080,0.40,3.15%,13.10,13.64m,5640
51,05/23/17,12.90,12.95,12.60,12.70,1275455,-0.30,-2.31%,12.70,16.29m,7358
52,05/22/17,13.10,13.25,12.80,13.00,1081237,-0.15,-1.14%,13.00,14m,6425
53,05/19/17,12.85,13.225,12.85,13.15,743904,0.30,2.33%,13.15,9.74m,3614
54,05/18/17,13.05,13.075,12.70,12.85,940701,-0.25,-1.91%,12.85,12.09m,6106
55,05/17/17,13.75,13.80,13.00,13.10,906130,-0.75,-5.42%,13.10,12.07m,4442
56,05/16/17,13.50,14.025,13.45,13.85,826955,0.45,3.36%,13.85,11.42m,4321
57,05/15/17,13.35,13.6796,13.15,13.40,801590,0.15,1.13%,13.40,10.75m,4060
58,05/12/17,13.10,13.30,12.95,13.25,425680,0.20,1.53%,13.25,5.6m,2833
59,05/11/17,13.20,13.225,12.95,13.05,355119,-0.20,-1.51%,13.05,4.65m,2148
60,05/10/17,13.20,13.375,13.10,13.25,315690,0.00,0.00%,13.25,4.19m,2157
61,05/09/17,13.15,13.25,12.90,13.25,936155,0.10,0.76%,13.25,12.29m,5620
62,05/08/17,13.25,13.25,12.85,13.15,826614,-0.05,-0.38%,13.15,10.77m,5488
63,05/05/17,13.25,13.30,13.15,13.20,1145180,0.00,0.00%,13.20,15.12m,5862
64,05/04/17,13.35,13.35,13.05,13.20,1246268,0.00,0.00%,13.20,16.43m,7220
65,05/03/17,13.20,13.35,12.85,13.20,944239,0.00,0.00%,13.20,12.38m,4862
66,05/02/17,12.95,13.30,12.95,13.20,1179215,0.35,2.72%,13.20,15.51m,5713
67,05/01/17,14.05,14.05,12.675,12.85,2562090,-1.70,-11.68%,12.85,33.72m,13098
68,04/28/17,14.20,14.75,14.20,14.55,598930,0.35,2.46%,14.55,8.71m,3605
69,04/27/17,14.80,14.85,14.15,14.20,937339,-0.50,-3.40%,14.20,13.47m,5251
70,04/26/17,14.40,14.75,14.30,14.70,588900,0.25,1.73%,14.70,8.56m,4111
71,04/25/17,14.90,15.20,14.40,14.45,612438,-0.40,-2.69%,14.45,8.97m,4376
72,04/24/17,14.70,14.90,14.60,14.85,436767,0.40,2.77%,14.85,6.44m,2771
73,04/21/17,14.55,14.60,14.25,14.45,445140,-0.10,-0.69%,14.45,6.45m,2621
74,04/20/17,14.80,14.90,14.35,14.55,809834,-0.15,-1.02%,14.55,11.76m,3720
75,04/19/17,14.75,14.95,14.60,14.70,419520,0.05,0.34%,14.70,6.19m,2965
76,04/18/17,14.95,15.00,14.50,14.65,395174,-0.30,-2.01%,14.65,5.79m,2766
77,04/17/17,14.85,15.10,14.75,14.95,338565,0.15,1.01%,14.95,5.04m,2689
78,04/13/17,14.85,15.05,14.75,14.80,273934,-0.10,-0.67%,14.80,4.06m,1996
79,04/12/17,15.10,15.20,14.80,14.90,273319,-0.15,-1.00%,14.90,4.08m,2314
80,04/11/17,15.10,15.30,15.00,15.05,357500,-0.20,-1.31%,15.05,5.4m,2220
81,04/10/17,15.15,15.35,15.05,15.25,413955,0.05,0.33%,15.25,6.32m,2922
82,04/07/17,15.15,15.30,15.00,15.20,459623,0.00,0.00%,15.20,6.96m,1982
83,04/06/17,14.75,15.30,14.675,15.20,491080,0.45,3.05%,15.20,7.4m,2806
84,04/05/17,15.35,15.45,14.75,14.75,426479,-0.60,-3.91%,14.75,6.39m,2965
85,04/04/17,15.20,15.575,15.10,15.35,659901,0.15,0.99%,15.35,10.14m,4299
86,04/03/17,15.30,15.30,14.60,15.20,820294,-0.05,-0.33%,15.20,12.3m,5956
87,03/31/17,15.20,15.40,15.10,15.25,658615,0.00,0.00%,15.25,10.05m,3294
88,03/30/17,15.35,15.45,15.05,15.25,788313,-0.05,-0.33%,15.25,12.03m,3550
89,03/29/17,14.90,15.40,14.90,15.30,461314,0.35,2.34%,15.30,7.01m,3591
90,03/28/17,14.85,15.075,14.70,14.95,443072,0.10,0.67%,14.95,6.61m,2561
91,03/27/17,14.85,14.95,14.35,14.85,578307,-0.10,-0.67%,14.85,8.49m,3097
92,03/24/17,14.40,15.30,14.35,14.95,1367921,0.65,4.55%,14.95,20.4m,6563
93,03/23/17,14.45,14.55,14.1241,14.30,317876,-0.10,-0.69%,14.30,4.57m,2118
94,03/22/17,14.60,14.65,14.35,14.40,322564,-0.30,-2.04%,14.40,4.67m,2078
95,03/21/17,15.35,15.45,14.65,14.70,406147,-0.60,-3.92%,14.70,6.04m,2919
96,03/20/17,15.30,15.60,15.05,15.30,544015,0.00,0.00%,15.30,8.37m,3516
97,03/17/17,15.00,15.30,14.85,15.30,1514505,0.20,1.32%,15.30,22.98m,3741
98,03/16/17,14.35,15.10,14.35,15.10,647296,0.85,5.96%,15.10,9.61m,3641
99,03/15/17,14.20,14.4023,14.05,14.25,519224,0.05,0.35%,14.25,7.38m,3268
100,03/14/17,14.45,14.55,14.05,14.20,603294,-0.30,-2.07%,14.20,8.58m,4074
101,03/13/17,14.70,15.025,14.475,14.50,738887,-0.15,-1.02%,14.50,10.87m,4282
102,03/10/17,14.60,14.75,14.35,14.65,583640,0.15,1.03%,14.65,8.51m,3364
103,03/09/17,14.55,14.70,14.50,14.50,300546,-0.10,-0.68%,14.50,4.38m,1728
104,03/08/17,14.90,14.95,14.55,14.60,401691,-0.25,-1.68%,14.60,5.92m,1834
105,03/07/17,14.85,15.00,14.70,14.85,437712,0.00,0.00%,14.85,6.47m,1910
106,03/06/17,14.75,14.90,14.70,14.85,257529,-0.05,-0.34%,14.85,3.82m,1547
107,03/03/17,14.65,14.95,14.55,14.90,637780,0.20,1.36%,14.90,9.45m,3143
108,03/02/17,15.00,15.30,14.65,14.70,690946,-0.30,-2.00%,14.70,10.29m,3911
109,03/01/17,15.30,15.70,14.95,15.00,773206,-0.10,-0.66%,15.00,11.69m,4423
110,02/28/17,15.55,15.65,15.10,15.10,723410,-0.55,-3.51%,15.10,11.05m,3819
111,02/27/17,16.40,16.40,15.60,15.65,2014382,-0.50,-3.10%,15.65,32.35m,8395
112,02/24/17,14.50,16.80,14.50,16.15,1821740,1.45,9.86%,16.15,28.94m,8621
113,02/23/17,14.70,14.95,14.40,14.70,459801,0.05,0.34%,14.70,6.72m,2857
114,02/22/17,14.65,14.825,14.60,14.65,306907,-0.10,-0.68%,14.65,4.51m,2295
115,02/21/17,14.95,15.15,14.65,14.75,458790,-0.25,-1.67%,14.75,6.81m,3604
116,02/17/17,14.50,15.00,14.45,15.00,678529,0.50,3.45%,15.00,10.05m,3441
117,02/16/17,14.80,14.925,14.35,14.50,1132820,-0.35,-2.36%,14.50,16.46m,6934
118,02/15/17,14.90,15.20,14.655,14.85,1992708,-0.15,-1.00%,14.85,29.61m,8152
119,02/14/17,15.05,15.10,14.90,15.00,635394,-0.15,-0.99%,15.00,9.52m,2747
120,02/13/17,15.65,15.70,15.05,15.15,525781,-0.45,-2.88%,15.15,8.01m,3448
121,02/10/17,15.80,15.80,15.45,15.60,805720,-0.10,-0.64%,15.60,12.55m,4131
122,02/09/17,15.35,15.75,15.20,15.70,657731,0.40,2.61%,15.70,10.27m,4168
123,02/08/17,15.50,15.65,15.10,15.30,844694,-0.30,-1.92%,15.30,12.95m,4332
124,02/07/17,15.50,15.75,15.20,15.60,656581,0.15,0.97%,15.60,10.15m,4046
125,02/06/17,15.75,15.95,15.325,15.45,533485,-0.40,-2.52%,15.45,8.27m,2546
126,02/03/17,16.00,16.0234,15.75,15.85,435461,0.05,0.32%,15.85,6.91m,2961
127,02/02/17,15.50,15.95,15.325,15.80,613204,0.10,0.64%,15.80,9.66m,3874
128,02/01/17,16.00,16.40,15.65,15.70,439139,-0.15,-0.95%,15.70,6.95m,2378
129,01/31/17,15.65,15.95,15.60,15.85,506970,0.05,0.32%,15.85,7.99m,2922
130,01/30/17,15.95,16.10,15.75,15.80,801516,-0.25,-1.56%,15.80,12.77m,3230
131,01/27/17,16.15,16.275,15.65,16.05,634264,-0.15,-0.93%,16.05,10.12m,3747
132,01/26/17,16.20,16.65,14.95,16.20,2115424,-0.20,-1.22%,16.20,33.94m,9924
133,01/25/17,16.55,16.70,16.225,16.40,798374,-0.10,-0.61%,16.40,13.07m,5279
134,01/24/17,16.60,16.70,16.025,16.50,936031,0.05,0.30%,16.50,15.24m,6088
135,01/23/17,15.75,16.55,15.70,16.45,1064179,0.70,4.44%,16.45,17.22m,6898
136,01/20/17,15.70,16.15,15.425,15.75,843593,0.10,0.64%,15.75,13.29m,6087
137,01/19/17,15.40,15.90,15.20,15.65,806641,0.20,1.29%,15.65,12.57m,5712
138,01/18/17,15.05,15.65,14.95,15.45,840150,0.50,3.34%,15.45,12.88m,4760
139,01/17/17,15.05,15.15,14.75,14.95,627170,-0.25,-1.64%,14.95,9.38m,4112
140,01/13/17,15.50,15.54,14.95,15.20,331613,-0.20,-1.30%,15.20,5.03m,2411
141,01/12/17,14.85,15.525,14.60,15.40,856251,0.45,3.01%,15.40,13.01m,5678
142,01/11/17,14.80,14.95,14.625,14.95,254553,0.15,1.01%,14.95,3.78m,1597
143,01/10/17,14.40,14.90,14.35,14.80,289090,0.35,2.42%,14.80,4.26m,2142
144,01/09/17,14.50,14.60,14.35,14.45,331539,-0.05,-0.34%,14.45,4.79m,1854
145,01/06/17,14.70,14.70,14.35,14.50,478144,-0.10,-0.68%,14.50,6.91m,2559
146,01/05/17,14.40,14.75,14.35,14.60,426044,-0.15,-1.02%,14.60,6.19m,3194
147,01/04/17,14.70,14.90,14.35,14.75,666720,0.15,1.03%,14.75,9.82m,4209
148,01/03/17,14.50,14.75,14.25,14.60,582088,0.30,2.10%,14.60,8.44m,4025
149,12/30/16,14.55,14.65,14.20,14.30,496942,-0.20,-1.38%,14.30,7.15m,2992
150,12/29/16,14.15,14.50,14.15,14.50,210244,0.35,2.47%,14.50,3.02m,1680
