,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,13.05,14.40,12.35,14.15,696451,1.70,13.65%,14.15,9.53m,4801
2,08/03/17,12.00,12.65,11.95,12.45,378961,0.35,2.89%,12.45,4.72m,3352
3,08/02/17,12.00,12.50,11.80,12.10,347228,0.10,0.83%,12.10,4.23m,2871
4,08/01/17,11.50,12.10,11.15,12.00,453245,0.60,5.26%,12.00,5.34m,3703
5,07/31/17,12.20,12.40,11.25,11.40,483785,-0.75,-6.17%,11.40,5.62m,4540
6,07/28/17,12.25,12.525,12.075,12.15,341489,-0.20,-1.62%,12.15,4.18m,2947
7,07/27/17,12.35,12.60,11.90,12.35,392807,0.05,0.41%,12.35,4.81m,2925
8,07/26/17,12.70,13.00,12.15,12.30,333671,-0.35,-2.77%,12.30,4.14m,2786
9,07/25/17,13.25,13.325,12.40,12.65,536527,-0.65,-4.89%,12.65,6.84m,3700
10,07/24/17,13.35,13.675,13.00,13.30,468871,-0.05,-0.37%,13.30,6.23m,3596
11,07/21/17,13.40,14.05,13.20,13.35,308903,0.05,0.38%,13.35,4.18m,2529
12,07/20/17,13.75,13.90,12.90,13.30,480013,-0.40,-2.92%,13.30,6.37m,3499
13,07/19/17,13.80,14.25,13.50,13.70,342681,0.05,0.37%,13.70,4.71m,2522
14,07/18/17,14.15,14.40,13.50,13.65,302094,-0.55,-3.87%,13.65,4.16m,2335
15,07/17/17,14.85,15.30,14.15,14.20,367161,-0.70,-4.70%,14.20,5.36m,2567
16,07/14/17,15.20,15.55,14.85,14.90,234034,-0.30,-1.97%,14.90,3.55m,1993
17,07/13/17,14.80,15.40,14.40,15.20,385645,0.45,3.05%,15.20,5.75m,2807
18,07/12/17,14.80,14.80,14.40,14.75,322031,0.05,0.34%,14.75,4.73m,2435
19,07/11/17,14.45,14.80,14.30,14.70,331794,0.25,1.73%,14.70,4.84m,2739
20,07/10/17,14.60,14.75,14.25,14.45,248794,-0.25,-1.70%,14.45,3.6m,2484
21,07/07/17,14.90,15.049,14.25,14.70,389590,-0.10,-0.68%,14.70,5.68m,2858
22,07/06/17,15.50,15.5415,14.70,14.80,368438,-0.80,-5.13%,14.80,5.53m,2751
23,07/05/17,15.45,15.85,15.35,15.60,422970,0.05,0.32%,15.60,6.6m,3583
24,06/30/17,15.50,15.65,15.10,15.10,581183,-0.45,-2.89%,15.10,8.87m,3782
25,06/29/17,15.15,16.05,15.10,15.55,752310,0.30,1.97%,15.55,11.78m,5766
26,06/28/17,14.45,15.35,14.25,15.25,515613,0.95,6.64%,15.25,7.75m,3828
27,06/27/17,14.45,14.6408,14.05,14.30,727636,0.00,0.00%,14.30,10.39m,4951
28,06/26/17,14.70,15.20,14.20,14.30,696917,-0.40,-2.72%,14.30,10.14m,5182
29,06/23/17,13.50,14.70,13.25,14.70,1110087,1.05,7.69%,14.70,15.48m,6620
30,06/22/17,14.55,15.13,13.50,13.65,1245424,-0.85,-5.86%,13.65,17.4m,7330
31,06/21/17,13.80,15.20,13.80,14.50,987202,0.75,5.45%,14.50,14.47m,5751
32,06/20/17,13.10,14.175,13.05,13.75,765242,0.55,4.17%,13.75,10.49m,4808
33,06/19/17,13.75,13.95,12.9501,13.20,1223870,-0.45,-3.30%,13.20,16.43m,7793
34,06/16/17,14.40,14.45,13.05,13.65,2611300,-0.85,-5.86%,13.65,35.66m,10638
35,06/15/17,12.20,14.50,12.05,14.50,4278066,2.15,17.41%,14.50,58.45m,21412
36,06/14/17,10.20,13.30,9.3001,12.35,6435031,1.20,10.76%,12.35,74.48m,29333
