,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,8.525,8.55,8.45,8.55,17080,0.05,0.59%,8.55,145.52k,151
2,08/03/17,8.50,8.55,8.40,8.50,24701,0.05,0.59%,8.50,209.51k,230
3,08/02/17,8.60,8.60,8.40,8.45,16796,-0.10,-1.17%,8.45,142.39k,164
4,08/01/17,8.60,8.65,8.50,8.55,32405,-0.05,-0.58%,8.55,278.05k,325
5,07/31/17,8.30,8.60,8.25,8.60,57701,0.30,3.61%,8.60,488.81k,392
6,07/28/17,8.60,8.65,8.30,8.30,25783,-0.30,-3.49%,8.30,216.05k,196
7,07/27/17,8.55,8.65,8.45,8.60,136831,0.05,0.58%,8.60,1.17m,452
8,07/26/17,8.60,8.60,8.40,8.55,82848,-0.10,-1.16%,8.55,704.35k,370
9,07/25/17,8.60,8.65,8.55,8.65,61697,0.05,0.58%,8.65,532.25k,533
10,07/24/17,8.60,8.60,8.50,8.60,23740,0.00,0.00%,8.60,203.16k,252
11,07/21/17,8.65,8.70,8.50,8.60,186357,0.00,0.00%,8.60,1.6m,183
12,07/20/17,8.60,8.70,8.35,8.60,99511,0.00,0.00%,8.60,857.04k,624
13,07/19/17,8.75,8.75,8.55,8.60,50803,-0.15,-1.71%,8.60,436.97k,570
14,07/18/17,8.90,8.90,8.625,8.75,66883,-0.15,-1.69%,8.75,585.88k,499
15,07/17/17,8.85,9.00,8.725,8.90,107290,0.00,0.00%,8.90,952.47k,992
16,07/14/17,8.85,8.90,8.75,8.90,52193,0.00,0.00%,8.90,462.54k,362
17,07/13/17,8.85,8.95,8.60,8.90,102109,0.00,0.00%,8.90,905.44k,881
18,07/12/17,8.45,9.00,8.45,8.90,127317,0.35,4.09%,8.90,1.11m,1057
19,07/11/17,8.25,8.55,8.20,8.55,79255,0.30,3.64%,8.55,661.5k,749
20,07/10/17,8.25,8.30,8.2223,8.25,116912,-0.05,-0.60%,8.25,968.2k,1011
21,07/07/17,8.30,8.35,8.20,8.30,45015,0.00,0.00%,8.30,373.44k,532
22,07/06/17,8.25,8.325,8.15,8.30,99870,0.00,0.00%,8.30,826.39k,686
23,07/05/17,8.25,8.30,8.20,8.30,51180,0.00,0.00%,8.30,422.74k,495
24,06/30/17,8.25,8.30,8.10,8.25,38249,0.00,0.00%,8.25,314.78k,350
25,06/29/17,8.25,8.30,8.15,8.25,88585,0.05,0.61%,8.25,727.65k,636
26,06/28/17,8.30,8.30,8.025,8.20,185190,-0.10,-1.20%,8.20,1.52m,1281
27,06/27/17,8.20,8.30,8.15,8.30,106162,0.15,1.84%,8.30,875.38k,967
28,06/26/17,7.90,8.20,7.90,8.15,137857,0.30,3.82%,8.15,1.11m,1072
29,06/23/17,7.95,8.10,7.65,7.85,2433083,-0.10,-1.26%,7.85,19.08m,2100
30,06/22/17,8.20,8.20,7.95,7.95,71985,-0.25,-3.05%,7.95,578.88k,684
31,06/21/17,8.20,8.25,8.10,8.20,58405,0.00,0.00%,8.20,478.39k,724
32,06/20/17,7.95,8.20,7.95,8.20,51723,0.25,3.14%,8.20,422.65k,591
33,06/19/17,8.15,8.25,7.95,7.95,69947,-0.20,-2.45%,7.95,563.56k,728
34,06/16/17,8.20,8.25,8.15,8.15,73925,-0.05,-0.61%,8.15,606.01k,598
35,06/15/17,8.10,8.25,8.10,8.20,45376,0.10,1.23%,8.20,371.72k,566
36,06/14/17,8.25,8.30,8.10,8.10,69822,-0.15,-1.82%,8.10,575.53k,627
37,06/13/17,8.225,8.30,8.15,8.25,103508,0.05,0.61%,8.25,854.24k,738
38,06/12/17,8.20,8.25,8.05,8.20,54400,0.05,0.61%,8.20,442.2k,486
39,06/09/17,8.15,8.25,8.15,8.15,65021,0.00,0.00%,8.15,534.22k,429
40,06/08/17,8.20,8.25,8.10,8.15,63207,0.05,0.62%,8.15,517.78k,495
41,06/07/17,8.15,8.20,8.10,8.10,34362,0.00,0.00%,8.10,280.97k,314
42,06/06/17,8.15,8.20,8.10,8.10,23596,0.00,0.00%,8.10,193.07k,260
43,06/05/17,8.20,8.25,8.05,8.10,54439,-0.05,-0.61%,8.10,445.52k,428
44,06/02/17,8.15,8.20,8.00,8.15,60970,0.05,0.62%,8.15,497.18k,388
45,06/01/17,8.20,8.25,8.10,8.10,46268,-0.10,-1.22%,8.10,378.58k,399
46,05/31/17,8.05,8.275,7.85,8.20,86236,0.20,2.50%,8.20,705.17k,601
47,05/30/17,8.10,8.25,7.80,8.00,102368,-0.20,-2.44%,8.00,837.12k,332
48,05/26/17,8.15,8.20,8.15,8.20,24704,0.00,0.00%,8.20,202.17k,244
49,05/25/17,8.15,8.20,8.05,8.20,55887,0.10,1.23%,8.20,456.06k,378
50,05/24/17,8.15,8.15,8.05,8.10,28351,0.00,0.00%,8.10,230.47k,260
51,05/23/17,8.20,8.20,8.00,8.10,49055,-0.10,-1.22%,8.10,396.09k,327
52,05/22/17,8.00,8.20,7.75,8.20,69381,0.35,4.46%,8.20,554.41k,441
53,05/19/17,8.10,8.20,7.75,7.85,47768,-0.25,-3.09%,7.85,381.09k,268
54,05/18/17,7.895,8.15,7.895,8.10,31370,0.25,3.18%,8.10,251.61k,241
55,05/17/17,8.05,8.10,7.85,7.85,45961,-0.25,-3.09%,7.85,367.1k,201
56,05/16/17,7.95,8.15,7.95,8.10,33238,0.05,0.62%,8.10,267.46k,182
57,05/15/17,7.95,8.10,7.80,8.05,48295,0.00,0.00%,8.05,387.42k,150
58,05/12/17,8.095,8.10,8.00,8.05,18178,-0.05,-0.62%,8.05,146.2k,165
59,05/11/17,8.10,8.15,8.05,8.10,28705,0.00,0.00%,8.10,232.72k,250
60,05/10/17,8.05,8.15,8.05,8.10,15043,0.00,0.00%,8.10,121.78k,138
61,05/09/17,8.10,8.15,8.05,8.10,25052,0.00,0.00%,8.10,202.85k,200
62,05/08/17,8.15,8.175,8.00,8.10,24372,-0.05,-0.61%,8.10,197.74k,160
63,05/05/17,8.10,8.20,8.00,8.15,31618,0.00,0.00%,8.15,255.23k,208
64,05/04/17,7.95,8.15,7.95,8.15,52942,0.10,1.24%,8.15,427.67k,319
65,05/03/17,8.00,8.10,8.00,8.05,19301,0.05,0.63%,8.05,155.24k,176
66,05/02/17,8.05,8.10,8.00,8.00,47706,0.00,0.00%,8.00,384.19k,174
67,05/01/17,7.90,8.05,7.85,8.00,42814,0.05,0.63%,8.00,339.28k,98
68,04/28/17,7.80,7.95,7.80,7.95,40587,0.10,1.27%,7.95,318.73k,208
69,04/27/17,7.80,7.90,7.75,7.85,70468,0.05,0.64%,7.85,552.58k,155
70,04/26/17,7.85,7.90,7.80,7.80,49389,-0.05,-0.64%,7.80,387.73k,135
71,04/25/17,8.00,8.00,7.75,7.85,44217,0.00,0.00%,7.85,348.12k,173
72,04/24/17,7.65,7.90,7.65,7.85,46526,0.15,1.95%,7.85,364.1k,164
73,04/21/17,7.65,7.70,7.60,7.70,9895,0.15,1.99%,7.70,75.72k,101
74,04/20/17,7.60,7.70,7.40,7.55,32343,0.05,0.67%,7.55,242.29k,257
75,04/19/17,7.375,7.70,7.35,7.50,12984,-0.10,-1.32%,7.50,97.35k,119
76,04/18/17,7.40,7.725,6.95,7.60,49708,-0.15,-1.94%,7.60,372.87k,255
77,04/17/17,7.85,7.85,7.60,7.75,10188,-0.10,-1.27%,7.75,79.04k,74
78,04/13/17,7.90,8.00,7.80,7.85,42719,-0.05,-0.63%,7.85,336.05k,156
79,04/12/17,7.90,8.00,7.85,7.90,17222,0.00,0.00%,7.90,136.53k,148
80,04/11/17,7.85,8.00,7.717,7.90,10403,0.05,0.64%,7.90,82.25k,89
81,04/10/17,8.00,8.00,7.85,7.85,13370,-0.10,-1.26%,7.85,106.15k,129
82,04/07/17,7.7717,8.00,7.7717,7.95,81814,0.10,1.27%,7.95,644.54k,333
83,04/06/17,7.70,7.90,7.40,7.85,62076,0.20,2.61%,7.85,479.75k,462
84,04/05/17,7.75,8.00,7.65,7.65,26598,-0.35,-4.37%,7.65,208.14k,208
85,04/04/17,7.95,8.05,7.85,8.00,25240,0.05,0.63%,8.00,201.18k,188
86,04/03/17,8.10,8.10,7.80,7.95,24032,-0.05,-0.63%,7.95,192.36k,248
87,03/31/17,8.00,8.075,7.705,8.00,48238,0.05,0.63%,8.00,383.75k,379
88,03/30/17,8.15,8.20,7.95,7.95,101078,-0.15,-1.85%,7.95,813.49k,597
89,03/29/17,7.95,8.25,7.95,8.10,115041,0.10,1.25%,8.10,937.09k,194
90,03/28/17,8.20,8.20,7.8217,8.00,53926,-0.15,-1.84%,8.00,433.3k,372
91,03/27/17,7.85,8.20,7.85,8.15,43677,0.05,0.62%,8.15,352.76k,286
92,03/24/17,8.05,8.20,7.95,8.10,22306,0.00,0.00%,8.10,179.93k,140
93,03/23/17,8.05,8.10,7.95,8.10,28190,0.10,1.25%,8.10,227.22k,206
94,03/22/17,8.10,8.15,8.00,8.00,28026,-0.10,-1.23%,8.00,225.75k,212
95,03/21/17,8.20,8.20,7.90,8.10,57051,0.00,0.00%,8.10,458.41k,301
96,03/20/17,8.40,8.40,8.10,8.10,28436,-0.35,-4.14%,8.10,232.24k,174
97,03/17/17,8.1279,8.50,8.1279,8.45,369455,0.35,4.32%,8.45,3.07m,1561
98,03/16/17,8.0779,8.10,8.00,8.10,17194,0.05,0.62%,8.10,138.38k,85
99,03/15/17,8.15,8.20,8.05,8.05,24691,0.00,0.00%,8.05,199.76k,195
100,03/14/17,8.20,8.20,8.05,8.05,47171,-0.10,-1.23%,8.05,384.67k,376
101,03/13/17,8.20,8.25,8.10,8.15,30714,0.00,0.00%,8.15,251.67k,314
102,03/10/17,8.15,8.20,8.10,8.15,38368,0.10,1.24%,8.15,314.02k,312
103,03/09/17,8.15,8.25,8.0165,8.05,81528,-0.05,-0.62%,8.05,665.42k,468
104,03/08/17,8.05,8.20,7.981,8.10,36822,0.05,0.62%,8.10,298.56k,282
105,03/07/17,8.05,8.10,8.00,8.05,16180,-0.05,-0.62%,8.05,130.61k,75
106,03/06/17,7.95,8.10,7.90,8.10,56309,0.125,1.57%,8.10,450.34k,336
107,03/03/17,7.90,8.00,7.775,7.975,27708,0.025,0.31%,7.975,219.64k,173
108,03/02/17,8.05,8.05,7.85,7.95,18535,-0.05,-0.63%,7.95,146.28k,92
109,03/01/17,8.05,8.05,7.95,8.00,19787,0.05,0.63%,8.00,158.38k,150
110,02/28/17,8.05,8.05,7.71,7.95,27147,-0.10,-1.24%,7.95,215.19k,123
111,02/27/17,8.05,8.05,7.95,8.05,15324,0.05,0.63%,8.05,123.06k,142
112,02/24/17,8.00,8.00,7.90,8.00,7646,0.00,0.00%,8.00,61.05k,77
113,02/23/17,8.00,8.00,7.9219,8.00,8514,0.00,0.00%,8.00,68.07k,90
114,02/22/17,8.05,8.05,7.95,8.00,31787,0.00,0.00%,8.00,254.31k,260
115,02/21/17,7.95,8.028,7.80,8.00,20477,0.00,0.00%,8.00,163.01k,136
116,02/17/17,7.90,8.00,7.90,8.00,15586,0.15,1.91%,8.00,124.24k,95
117,02/16/17,8.05,8.05,7.85,7.85,13601,-0.20,-2.48%,7.85,108.44k,120
118,02/15/17,8.15,8.15,8.00,8.05,23335,-0.05,-0.62%,8.05,188.43k,137
