,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,26.93,27.32,26.73,26.98,13281,0.34,1.28%,26.98,358.48k,261
2,08/03/17,27.04,27.0699,26.4501,26.64,9863,-0.40,-1.48%,26.64,263.88k,136
3,08/02/17,27.2361,27.56,27.04,27.04,8226,-0.379993,-1.39%,27.04,223.47k,127
4,08/01/17,27.23,27.65,27.1601,27.60,12553,0.377522,1.40%,27.42,344.95k,154
5,07/31/17,27.37,27.59,27.10,27.22,24511,-0.158957,-0.58%,27.0425,669.23k,271
6,07/28/17,27.25,27.43,26.9805,27.38,12640,0.119218,0.44%,27.2014,345.29k,193
7,07/27/17,27.32,27.74,26.825,27.26,15324,0.069543,0.26%,27.0822,419.45k,240
8,07/26/17,28.50,28.50,27.02,27.19,15013,-0.615956,-2.23%,27.0127,413.57k,206
9,07/25/17,27.60,28.08,27.31,27.81,24076,0.496739,1.83%,27.6286,668.83k,220
10,07/24/17,27.25,27.80,26.86,27.31,25510,-0.099348,-0.36%,27.1319,696.78k,345
11,07/21/17,27.64,27.88,27.32,27.41,16852,-0.158956,-0.58%,27.2312,464.92k,119
12,07/20/17,27.58,27.8872,27.35,27.57,13563,-0.01987,-0.07%,27.3902,374.56k,173
13,07/19/17,27.76,28.1399,27.40,27.59,16510,-0.288109,-1.04%,27.4101,457.96k,220
14,07/18/17,27.52,28.03,27.52,27.88,13107,0.029805,0.11%,27.6982,364.66k,186
15,07/17/17,27.66,28.05,27.30,27.85,47150,0.009934,0.04%,27.6684,1.31m,471
16,07/14/17,27.56,28.20,27.40,27.84,33472,-0.019869,-0.07%,27.6584,932.85k,301
17,07/13/17,27.91,28.20,27.55,27.86,32608,-0.109283,-0.39%,27.6783,906.83k,362
18,07/12/17,27.33,28.05,27.16,27.97,20129,0.655696,2.42%,27.7876,557.4k,170
19,07/11/17,26.65,27.95,26.65,27.31,27266,-0.278174,-1.01%,27.1319,747.91k,337
