,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,16.65,16.789,16.54,16.67,80202,0.16,0.97%,16.67,1.34m,499
2,08/03/17,16.50,16.63,16.434,16.51,53391,0.01,0.06%,16.51,881.08k,425
3,08/02/17,16.50,16.6273,16.21,16.50,85465,0.13,0.79%,16.50,1.4m,574
4,08/01/17,16.78,16.97,16.19,16.37,192651,-0.49,-2.91%,16.37,3.19m,860
5,07/31/17,16.82,16.9721,16.78,16.86,36572,0.04,0.24%,16.86,616.53k,241
6,07/28/17,16.97,16.9893,16.80,16.82,48460,-0.22,-1.29%,16.82,818.08k,335
7,07/27/17,16.97,17.04,16.86,17.04,69708,0.09,0.53%,17.04,1.18m,356
8,07/26/17,16.85,16.97,16.81,16.95,62778,0.10,0.59%,16.95,1.06m,334
9,07/25/17,16.85,16.95,16.77,16.85,52390,-0.01,-0.06%,16.85,882.9k,457
10,07/24/17,16.77,16.98,16.77,16.86,55852,0.04,0.24%,16.86,943.64k,263
11,07/21/17,16.80,16.955,16.80,16.82,71665,-0.05,-0.30%,16.82,1.21m,455
12,07/20/17,17.00,17.00,16.80,16.87,44167,-0.11,-0.65%,16.87,744.93k,277
13,07/19/17,16.88,16.98,16.75,16.98,40798,0.17,1.01%,16.98,688.91k,327
14,07/18/17,16.87,16.9885,16.76,16.81,47379,-0.07,-0.41%,16.81,799.12k,309
15,07/17/17,16.85,17.03,16.76,16.88,48991,-0.01,-0.06%,16.88,827.84k,294
16,07/14/17,16.80,16.90,16.80,16.89,60150,0.05,0.30%,16.89,1.01m,458
17,07/13/17,16.89,16.90,16.76,16.84,49185,0.04,0.24%,16.84,828.28k,286
18,07/12/17,16.89,16.89,16.71,16.80,47196,0.03,0.18%,16.80,792.09k,289
19,07/11/17,16.90,16.90,16.67,16.77,45544,-0.06,-0.36%,16.77,763.46k,311
20,07/10/17,16.73,16.90,16.7201,16.83,58242,0.03,0.18%,16.83,978.22k,302
21,07/07/17,16.73,16.82,16.65,16.80,47540,0.03,0.18%,16.80,796.11k,258
22,07/06/17,16.81,16.94,16.65,16.77,92672,-0.08,-0.47%,16.77,1.56m,511
23,07/05/17,16.83,16.9999,16.74,16.85,55833,-0.04,-0.24%,16.85,940.75k,430
24,06/30/17,16.82,16.933,16.70,16.82,101329,-0.07,-0.41%,16.82,1.7m,434
25,06/29/17,16.88,17.05,16.71,16.89,108963,0.04,0.24%,16.89,1.84m,604
26,06/28/17,16.61,16.88,16.61,16.85,96684,0.14,0.84%,16.85,1.62m,632
27,06/27/17,16.78,16.85,16.70,16.71,98677,-0.04,-0.24%,16.71,1.66m,753
