,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,16.34,16.34,16.17,16.20,6542,-0.05,-0.31%,16.20,106.25k,70
2,08/03/17,16.41,16.425,16.25,16.25,25317,-0.18,-1.10%,16.25,413.98k,241
3,08/02/17,16.41,16.559,16.40,16.43,17824,-0.01,-0.06%,16.43,292.55k,160
4,08/01/17,16.52,16.52,16.38,16.44,20687,0.03,0.18%,16.44,339.76k,164
5,07/31/17,16.44,16.51,16.40,16.41,22326,0.01,0.06%,16.41,366.32k,270
6,07/28/17,16.40,16.4643,16.40,16.40,15136,0.03,0.18%,16.40,248.38k,186
7,07/27/17,16.40,16.54,16.30,16.37,40707,-0.12,-0.73%,16.37,666.21k,324
8,07/26/17,16.43,16.66,16.40,16.49,14554,0.08,0.49%,16.49,239.36k,97
9,07/25/17,16.45,16.84,16.40,16.41,16243,-0.02,-0.12%,16.41,268.5k,184
10,07/24/17,16.48,16.49,16.40,16.43,20295,-0.16,-0.96%,16.43,333.19k,344
11,07/21/17,16.78,17.02,16.40,16.59,46782,-0.06,-0.36%,16.59,777.4k,225
12,07/20/17,16.46,16.80,16.40,16.65,16338,0.19,1.15%,16.65,271.18k,130
13,07/19/17,16.45,16.52,16.40,16.46,6311,0.01,0.06%,16.46,103.8k,143
14,07/18/17,16.49,16.49,16.40,16.45,14922,-0.12,-0.72%,16.45,245.27k,214
15,07/17/17,16.58,16.80,16.485,16.57,5968,-0.06,-0.36%,16.57,98.75k,128
16,07/14/17,16.66,16.70,16.52,16.63,21488,-0.11,-0.66%,16.63,356.93k,195
17,07/13/17,16.98,16.98,16.60,16.74,18700,-0.24,-1.41%,16.74,312.92k,235
18,07/12/17,17.01,17.06,16.80,16.98,14539,0.07,0.41%,16.98,245.79k,127
19,07/11/17,17.375,17.375,16.79,16.91,21886,-0.15,-0.88%,16.91,369.97k,239
20,07/10/17,17.42,17.45,17.03,17.06,21084,-0.43,-2.46%,17.06,362.62k,263
21,07/07/17,17.34,17.58,17.14,17.49,14236,0.16,0.92%,17.49,248.3k,169
22,07/06/17,17.09,17.73,16.92,17.33,26690,0.23,1.35%,17.33,463.45k,332
23,07/05/17,16.95,17.78,16.75,17.10,69762,0.33,1.97%,17.10,1.21m,565
24,06/30/17,16.33,16.47,16.10,16.13,70200,-0.17,-1.04%,16.13,1.13m,291
25,06/29/17,16.35,16.37,16.13,16.30,22880,0.08,0.49%,16.30,371.77k,301
26,06/28/17,16.17,16.46,16.12,16.22,17940,0.08,0.50%,16.22,291.14k,176
27,06/27/17,16.22,16.39,16.09,16.14,20022,0.03,0.19%,16.14,324.14k,399
28,06/26/17,16.00,16.24,16.00,16.11,19174,0.09,0.56%,16.11,308.67k,231
29,06/23/17,16.28,16.28,16.00,16.02,98947,-0.19,-1.17%,16.02,1.59m,340
30,06/22/17,16.31,16.36,16.12,16.21,16171,-0.04,-0.25%,16.21,262.01k,214
31,06/21/17,16.40,16.545,16.23,16.25,12692,-0.22,-1.34%,16.25,206.53k,142
32,06/20/17,16.60,16.75,16.32,16.47,19936,-0.15,-0.90%,16.47,328.6k,279
33,06/19/17,16.90,17.01,16.60,16.62,17905,-0.18,-1.07%,16.62,299.88k,284
