,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,15.96,16.10,15.89,16.03,2537848,0.08,0.50%,16.03,40.68m,12581
2,08/03/17,16.15,16.20,15.91,15.95,2521903,-0.21,-1.30%,15.95,40.39m,15458
3,08/02/17,16.34,16.415,16.08,16.16,3002936,-0.13,-0.80%,16.16,48.63m,17328
4,08/01/17,16.01,16.34,15.97,16.29,4615150,0.30,1.88%,16.29,74.98m,21487
5,07/31/17,16.31,16.48,15.91,15.99,7008135,-0.30,-1.84%,15.99,113.07m,32075
6,07/28/17,16.75,17.00,15.78,16.29,12106729,-0.80,-4.68%,16.29,195.51m,58945
7,07/27/17,17.08,17.15,16.83,17.09,5733200,0.11,0.65%,17.09,97.53m,29339
8,07/26/17,17.15,17.1558,16.88,16.98,2972738,-0.07,-0.41%,16.98,50.54m,16671
9,07/25/17,17.11,17.175,16.82,17.05,3988928,-0.03,-0.18%,17.05,68.06m,17361
10,07/24/17,17.37,17.3726,16.88,17.08,5566232,0.34,2.03%,17.08,94.71m,23985
11,07/21/17,16.79,16.90,16.675,16.74,2813427,-0.07,-0.42%,16.74,47.17m,15151
12,07/20/17,17.01,17.05,16.74,16.81,2121244,-0.13,-0.77%,16.81,35.68m,11237
13,07/19/17,16.86,17.075,16.73,16.94,1795692,0.16,0.95%,16.94,30.5m,12269
14,07/18/17,16.83,16.87,16.64,16.78,2276042,-0.04,-0.24%,16.78,38.17m,14622
15,07/17/17,16.80,16.89,16.70,16.82,1168116,0.01,0.06%,16.82,19.66m,8447
16,07/14/17,16.60,16.85,16.49,16.81,1512973,0.25,1.51%,16.81,25.35m,9780
17,07/13/17,16.66,16.74,16.51,16.56,2177051,-0.07,-0.42%,16.56,36.08m,12944
18,07/12/17,16.65,16.70,16.53,16.63,1636873,0.10,0.60%,16.63,27.22m,11210
19,07/11/17,16.44,16.68,16.40,16.53,2242335,0.10,0.61%,16.53,37.07m,14252
20,07/10/17,16.27,16.4939,16.21,16.43,1982061,0.14,0.86%,16.43,32.45m,10360
21,07/07/17,16.14,16.46,16.14,16.29,2133836,0.20,1.24%,16.29,34.88m,12873
22,07/06/17,16.08,16.18,16.03,16.09,3381239,-0.09,-0.56%,16.09,54.45m,13277
23,07/05/17,16.27,16.40,15.97,16.18,4318410,-0.06,-0.37%,16.18,69.56m,21197
24,06/30/17,16.42,16.46,16.07,16.31,9017839,-0.03,-0.18%,16.31,146.28m,33368
25,06/29/17,16.66,16.75,16.275,16.34,5591354,-0.30,-1.80%,16.34,91.9m,18199
26,06/28/17,16.55,16.69,16.46,16.64,3781397,0.18,1.09%,16.64,62.64m,14699
27,06/27/17,17.01,17.01,16.44,16.46,2528338,-0.51,-3.01%,16.46,42.1m,15786
28,06/26/17,17.12,17.28,16.9136,16.97,2078972,-0.09,-0.53%,16.97,35.36m,10757
29,06/23/17,16.87,17.185,16.81,17.06,2510357,0.19,1.13%,17.06,42.81m,15428
30,06/22/17,16.80,16.9748,16.74,16.87,2612133,-0.06,-0.35%,16.87,44.09m,17198
31,06/21/17,16.81,17.06,16.74,16.93,2954876,0.22,1.32%,16.93,50m,17117
32,06/20/17,16.83,16.93,16.70,16.71,2295952,-0.13,-0.77%,16.71,38.57m,13861
33,06/19/17,16.56,16.88,16.49,16.84,3686709,0.34,2.06%,16.84,61.9m,17904
34,06/16/17,16.46,16.72,16.44,16.50,2438123,-0.14,-0.84%,16.50,40.3m,13469
35,06/15/17,15.93,16.69,15.92,16.64,3229512,-0.03,-0.18%,16.64,53.36m,17544
36,06/14/17,16.80,16.85,16.58,16.67,2946140,-0.04,-0.24%,16.67,49.24m,15224
37,06/13/17,16.46,16.775,16.45,16.71,6075057,-0.01,-0.06%,16.71,101.07m,23175
38,06/12/17,17.15,17.21,16.55,16.72,5099541,-0.61,-3.52%,16.72,85.27m,27232
39,06/09/17,17.34,17.51,17.15,17.33,4580492,-0.02,-0.12%,17.33,79.35m,21289
40,06/08/17,17.42,17.504,17.22,17.35,4654100,0.09,0.52%,17.35,80.56m,22714
41,06/07/17,17.47,17.57,17.18,17.26,2529368,-0.14,-0.80%,17.26,43.78m,16335
42,06/06/17,17.39,17.51,17.30,17.40,2091609,-0.04,-0.23%,17.40,36.42m,14572
43,06/05/17,17.53,17.76,17.42,17.44,3181696,-0.18,-1.02%,17.44,55.8m,17475
44,06/02/17,17.60,17.68,17.50,17.62,3757739,0.01,0.06%,17.62,66.18m,22307
45,06/01/17,17.40,17.645,17.33,17.61,3010326,0.35,2.03%,17.61,52.83m,20082
46,05/31/17,17.23,17.30,16.98,17.26,4088198,0.01,0.06%,17.26,70.44m,20879
47,05/30/17,16.90,17.325,16.87,17.25,3162681,0.29,1.71%,17.25,54.51m,20813
48,05/26/17,17.18,17.20,16.86,16.96,3266284,-0.17,-0.99%,16.96,55.5m,22485
49,05/25/17,17.00,17.20,16.90,17.13,3972099,0.15,0.88%,17.13,67.98m,20968
50,05/24/17,16.59,17.04,16.59,16.98,5224785,0.25,1.49%,16.98,88.29m,26610
51,05/23/17,16.79,16.87,16.52,16.73,3572606,-0.10,-0.59%,16.73,59.89m,20578
52,05/22/17,16.61,16.86,16.48,16.83,4174909,0.32,1.94%,16.83,69.91m,24492
53,05/19/17,16.13,16.67,16.13,16.51,7466472,0.41,2.55%,16.51,122.96m,33530
54,05/18/17,16.11,16.225,15.98,16.10,5572934,-0.12,-0.74%,16.10,89.8m,31941
55,05/17/17,16.50,16.56,16.19,16.22,6127607,-0.49,-2.93%,16.22,99.9m,34016
