,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,34.9636,35.00,34.9155,34.9162,5622,0.1064,0.31%,34.9162,196.41k,43
2,08/03/17,34.8699,34.871,34.788,34.8098,3434,-0.0678,-0.19%,34.8098,119.64k,31
3,08/02/17,35.21,35.21,34.6955,34.8776,6427,-0.3776,-1.07%,34.8776,223.96k,34
4,08/01/17,35.24,35.26,35.17,35.2552,29035,0.2202,0.63%,35.2552,1.02m,62
5,07/31/17,35.21,35.21,35.03,35.035,5940,-0.125,-0.36%,35.035,208.47k,37
6,07/28/17,35.11,35.22,35.0791,35.16,7888,-0.0728,-0.21%,35.16,277.08k,34
7,07/27/17,35.5452,35.709,35.10,35.2328,11948,-0.394,-1.11%,35.2328,424.63k,64
8,07/26/17,35.71,35.75,35.61,35.6268,45254,-0.1248,-0.35%,35.6268,1.61m,104
9,07/25/17,35.6552,35.84,35.6552,35.7516,12371,0.1516,0.43%,35.7516,442.34k,45
10,07/24/17,35.3139,35.60,35.283,35.60,36888,0.287,0.81%,35.60,1.31m,51
11,07/21/17,35.4302,35.4302,35.28,35.313,31355,-0.1734,-0.49%,35.313,1.11m,76
12,07/20/17,35.58,35.58,35.35,35.4864,11728,0.0186,0.05%,35.4864,415.78k,54
13,07/19/17,35.3459,35.48,35.307,35.4678,8543,0.308,0.88%,35.4678,302.66k,43
14,07/18/17,35.1443,35.189,35.0574,35.1598,9808,-0.0454,-0.13%,35.1598,344.49k,55
15,07/17/17,35.1297,35.2504,35.1297,35.2052,80912,-0.0648,-0.18%,35.2052,2.85m,22
16,07/14/17,35.1856,35.31,35.16,35.27,15212,0.1736,0.49%,35.27,535.86k,77
17,07/13/17,35.115,35.115,34.94,35.0964,18630,-0.0576,-0.16%,35.0964,652.44k,86
18,07/12/17,35.15,35.16,35.0574,35.154,19152,0.3541,1.02%,35.154,672.65k,89
19,07/11/17,34.605,34.7999,34.43,34.7999,24285,0.1499,0.43%,34.7999,842.05k,100
20,07/10/17,34.61,34.75,34.54,34.65,23390,-0.025,-0.07%,34.65,811.01k,151
21,07/07/17,34.371,34.6865,34.371,34.675,11520,0.385,1.12%,34.675,398.65k,45
22,07/06/17,34.51,34.60,34.29,34.29,14652,-0.45,-1.30%,34.29,504.85k,61
23,07/05/17,34.62,34.77,34.54,34.74,84812,0.08,0.23%,34.74,2.94m,100
24,06/30/17,34.69,34.72,34.52,34.57,9403,0.08,0.23%,34.57,325.6k,85
25,06/29/17,34.94,34.94,34.2678,34.49,17872,-0.3555,-1.02%,34.49,616.06k,104
26,06/28/17,34.57,34.8455,34.56,34.8455,2590,0.5055,1.47%,34.8455,89.89k,17
27,06/27/17,34.6303,34.723,34.34,34.34,10781,-0.4115,-1.18%,34.34,372.58k,72
28,06/26/17,34.96,34.96,34.5528,34.7515,8578,0.017,0.05%,34.7515,298.2k,63
29,06/23/17,34.57,34.814,34.56,34.7345,5490,0.1845,0.53%,34.7345,190.71k,35
30,06/22/17,34.52,34.67,34.46,34.55,16578,-0.000987,-0.00%,34.55,573.6k,44
31,06/21/17,34.8599,34.8923,34.58,34.58,5649,-0.089925,-0.26%,34.551,196.07k,43
32,06/20/17,34.9834,35.019,34.67,34.67,13277,-0.468606,-1.33%,34.6409,463.84k,84
33,06/19/17,34.85,35.139,34.85,35.139,11270,0.558531,1.62%,35.1095,394.8k,40
34,06/16/17,34.66,34.68,34.56,34.58,2215,0.009991,0.03%,34.551,76.65k,14
35,06/15/17,34.5862,34.60,34.37,34.57,10983,-0.169857,-0.49%,34.541,378.93k,63
36,06/14/17,35.07,35.07,34.63,34.74,12441,-0.189841,-0.54%,34.7109,432.39k,57
37,06/13/17,34.80,34.954,34.80,34.93,19088,0.300848,0.87%,34.9007,666.46k,59
38,06/12/17,34.84,34.84,34.5345,34.6289,7624,-0.210923,-0.61%,34.5998,264.38k,41
39,06/09/17,35.2042,35.4899,34.74,34.84,21900,-0.24979,-0.71%,34.8108,768.68k,65
40,06/08/17,34.78,35.11,34.78,35.09,8557,0.409656,1.18%,35.0606,299.06k,44
41,06/07/17,34.6119,34.68,34.5228,34.68,3016,0.139882,0.41%,34.6509,104.45k,28
42,06/06/17,34.52,34.62,34.50,34.54,10039,-0.119899,-0.35%,34.511,346.72k,55
43,06/05/17,34.70,34.7508,34.6204,34.66,7243,0.009991,0.03%,34.6309,251.27k,60
44,06/02/17,34.522,34.7799,34.48,34.65,8031,0.189841,0.55%,34.6209,278.31k,41
45,06/01/17,33.97,34.48,33.97,34.46,23918,0.459614,1.35%,34.4311,819.62k,98
46,05/31/17,33.82,34.00,33.6024,34.00,11513,0.019983,0.06%,33.9715,389.29k,138
47,05/30/17,34.00,34.03,33.92,33.98,10952,-0.149874,-0.44%,33.9515,371.99k,80
48,05/26/17,34.0862,34.19,34.04,34.13,21328,-0.05995,-0.18%,34.1014,727.7k,70
49,05/25/17,34.11,34.30,34.11,34.19,13418,0.129891,0.38%,34.1613,458.72k,99
50,05/24/17,34.0172,34.06,33.91,34.06,3291,0.029975,0.09%,34.0314,111.79k,40
51,05/23/17,33.89,34.09,33.89,34.03,5870,0.189841,0.56%,34.0014,199.61k,41
52,05/22/17,33.7928,33.868,33.7928,33.84,1363,0.230906,0.69%,33.8116,46.14k,14
53,05/19/17,33.6041,33.8021,33.6041,33.6089,4975,0.188741,0.57%,33.5807,167.8k,43
54,05/18/17,33.15,33.53,33.15,33.42,27241,0.00,0.00%,33.392,905.97k,45
55,05/17/17,33.87,33.87,33.42,33.42,109198,-0.849286,-2.48%,33.392,3.66m,59
56,05/16/17,34.09,34.28,34.0378,34.27,5380,0.079932,0.23%,34.2412,184.14k,23
57,05/15/17,33.86,34.26,33.86,34.19,6375,0.349707,1.03%,34.1613,217.35k,28
58,05/12/17,33.95,33.95,33.74,33.84,13897,-0.109908,-0.32%,33.8116,470.56k,92
59,05/11/17,33.93,34.028,33.8098,33.95,8181,-0.189841,-0.56%,33.9215,277.57k,45
