,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,13.25,13.50,13.25,13.35,87970,0.10,0.75%,13.35,1.18m,666
2,08/03/17,13.60,13.65,13.225,13.25,51521,-0.25,-1.85%,13.25,689.21k,520
3,08/02/17,13.50,13.65,13.45,13.50,38839,0.00,0.00%,13.50,525.77k,406
4,08/01/17,13.50,13.575,13.375,13.50,60634,-0.05,-0.37%,13.50,818.35k,577
5,07/31/17,13.60,13.60,13.40,13.55,80693,-0.05,-0.37%,13.55,1.09m,679
6,07/28/17,13.80,13.80,13.40,13.60,61882,-0.20,-1.45%,13.60,841.09k,425
7,07/27/17,13.65,13.85,13.55,13.80,76200,0.10,0.73%,13.80,1.04m,642
8,07/26/17,13.70,13.85,13.55,13.70,46717,-0.10,-0.72%,13.70,639.87k,442
9,07/25/17,13.35,13.95,13.30,13.80,109619,0.50,3.76%,13.80,1.5m,680
10,07/24/17,13.30,13.35,13.249,13.30,43565,-0.05,-0.37%,13.30,578.23k,481
11,07/21/17,13.50,13.50,13.25,13.35,106927,-0.05,-0.37%,13.35,1.43m,676
12,07/20/17,13.30,13.50,13.25,13.40,70957,0.10,0.75%,13.40,950.83k,701
13,07/19/17,13.55,13.55,13.25,13.30,129922,-0.30,-2.21%,13.30,1.74m,907
14,07/18/17,13.35,13.60,13.35,13.60,78463,0.20,1.49%,13.60,1.06m,652
15,07/17/17,13.40,13.60,13.25,13.40,109493,-0.05,-0.37%,13.40,1.47m,827
16,07/14/17,13.25,13.60,13.25,13.45,79378,0.15,1.13%,13.45,1.07m,710
17,07/13/17,13.30,13.35,13.20,13.30,54146,-0.05,-0.37%,13.30,720.75k,552
18,07/12/17,13.40,13.50,13.30,13.35,39286,-0.05,-0.37%,13.35,527.01k,401
19,07/11/17,13.50,13.50,13.15,13.40,80965,-0.10,-0.74%,13.40,1.08m,749
20,07/10/17,13.65,13.70,13.45,13.50,91105,-0.25,-1.82%,13.50,1.24m,1250
21,07/07/17,13.60,13.75,13.55,13.75,45177,0.15,1.10%,13.75,620.09k,574
22,07/06/17,13.80,13.80,13.40,13.60,79487,-0.30,-2.16%,13.60,1.08m,802
23,07/05/17,13.85,13.95,13.60,13.90,92917,0.00,0.00%,13.90,1.29m,844
24,06/30/17,13.90,13.90,13.70,13.90,51290,0.00,0.00%,13.90,709.15k,687
25,06/29/17,13.95,13.95,13.65,13.90,75241,0.00,0.00%,13.90,1.04m,964
26,06/28/17,13.90,13.95,13.80,13.90,79656,0.05,0.36%,13.90,1.11m,813
27,06/27/17,13.75,13.95,13.75,13.85,112678,0.00,0.00%,13.85,1.57m,1354
28,06/26/17,13.80,14.00,13.70,13.85,74835,0.05,0.36%,13.85,1.04m,896
29,06/23/17,13.85,13.85,13.475,13.80,440612,-0.05,-0.36%,13.80,6.08m,867
30,06/22/17,13.70,13.925,13.65,13.85,68078,0.10,0.73%,13.85,941.09k,714
31,06/21/17,13.80,13.90,13.70,13.75,71981,-0.05,-0.36%,13.75,995.22k,768
32,06/20/17,13.80,13.85,13.55,13.80,88773,0.00,0.00%,13.80,1.22m,877
33,06/19/17,13.90,13.90,13.50,13.80,91614,-0.10,-0.72%,13.80,1.26m,780
34,06/16/17,13.75,13.90,13.70,13.90,111806,0.05,0.36%,13.90,1.55m,881
35,06/15/17,13.80,13.90,13.65,13.85,57595,0.00,0.00%,13.85,794.88k,633
36,06/14/17,13.90,13.95,13.75,13.85,66990,-0.05,-0.36%,13.85,929.01k,705
37,06/13/17,13.90,14.00,13.70,13.90,118554,0.00,0.00%,13.90,1.65m,1538
38,06/12/17,13.80,13.95,13.80,13.90,110436,0.05,0.36%,13.90,1.54m,1180
39,06/09/17,13.80,14.00,13.6905,13.85,130683,0.05,0.36%,13.85,1.8m,1092
40,06/08/17,13.95,14.025,13.70,13.80,187319,-0.15,-1.08%,13.80,2.61m,1058
41,06/07/17,13.90,14.025,13.80,13.95,73795,0.10,0.72%,13.95,1.03m,772
42,06/06/17,13.85,14.05,13.70,13.85,71034,-0.05,-0.36%,13.85,988.27k,476
43,06/05/17,13.90,14.00,13.70,13.90,87506,-0.05,-0.36%,13.90,1.21m,681
44,06/02/17,13.95,14.0876,13.75,13.95,136206,-0.10,-0.71%,13.95,1.9m,1110
45,06/01/17,13.75,14.05,13.75,14.05,90299,0.35,2.55%,14.05,1.26m,890
46,05/31/17,13.95,13.95,13.60,13.70,59257,-0.20,-1.44%,13.70,814.62k,433
47,05/30/17,14.00,14.05,13.80,13.90,59446,-0.05,-0.36%,13.90,826.68k,1017
48,05/26/17,13.85,14.20,13.85,13.95,446640,0.05,0.36%,13.95,6.26m,1718
49,05/25/17,13.60,13.90,13.45,13.90,234680,0.35,2.58%,13.90,3.23m,1692
50,05/24/17,13.65,13.85,13.50,13.55,163364,-0.15,-1.09%,13.55,2.22m,1103
51,05/23/17,13.90,13.90,13.50,13.70,190468,-0.15,-1.08%,13.70,2.61m,1554
52,05/22/17,13.75,14.10,13.70,13.85,127206,-0.05,-0.36%,13.85,1.76m,1083
53,05/19/17,13.95,14.15,13.80,13.90,97660,-0.05,-0.36%,13.90,1.36m,919
54,05/18/17,13.60,14.00,13.25,13.95,390922,0.25,1.82%,13.95,5.36m,1807
55,05/17/17,13.40,13.75,13.40,13.70,126796,0.20,1.48%,13.70,1.73m,1287
56,05/16/17,13.85,14.00,13.45,13.50,202900,-0.35,-2.53%,13.50,2.78m,2077
