,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,50.81,50.90,50.74,50.80,31547,0.02,0.04%,50.80,1.6m,218
2,08/03/17,50.94,50.94,50.761,50.78,27189,-0.16,-0.31%,50.78,1.38m,219
3,08/02/17,51.03,51.03,50.7838,50.94,78461,-0.13,-0.25%,50.94,3.99m,257
4,08/01/17,51.02,51.142,50.86,51.07,66387,0.10,0.20%,51.07,3.39m,297
5,07/31/17,51.00,51.02,50.8484,50.97,66299,0.11,0.22%,50.97,3.38m,377
6,07/28/17,50.83,50.8899,50.68,50.86,33843,-0.07,-0.14%,50.86,1.72m,166
7,07/27/17,50.93,50.9654,50.73,50.93,62551,0.03,0.06%,50.93,3.18m,242
8,07/26/17,51.14,51.2396,50.8899,50.90,68259,-0.25,-0.49%,50.90,3.48m,269
9,07/25/17,51.12,51.26,51.0234,51.15,73605,0.25,0.49%,51.15,3.77m,342
10,07/24/17,50.97,51.044,50.86,50.90,36348,-0.15,-0.29%,50.90,1.85m,255
11,07/21/17,51.13,51.13,50.81,51.05,44799,0.10,0.20%,51.05,2.28m,272
12,07/20/17,51.07,51.08,50.87,50.95,44603,0.03,0.06%,50.95,2.27m,248
13,07/19/17,50.76,50.94,50.7201,50.92,53087,0.28,0.55%,50.92,2.7m,320
14,07/18/17,50.79,50.79,50.548,50.64,89905,-0.15,-0.30%,50.64,4.55m,581
15,07/17/17,50.61,50.88,50.61,50.79,354625,0.13,0.26%,50.79,18.03m,677
16,07/14/17,50.44,50.74,50.44,50.66,61712,0.2234,0.44%,50.66,3.12m,434
17,07/13/17,50.39,50.48,50.25,50.4366,73180,0.1666,0.33%,50.4366,3.69m,440
18,07/12/17,50.43,50.43,50.162,50.27,73452,0.34,0.68%,50.27,3.69m,376
19,07/11/17,50.09,50.09,49.68,49.93,60774,-0.11,-0.22%,49.93,3.04m,300
20,07/10/17,50.04,50.139,50.02,50.04,74285,-0.07,-0.14%,50.04,3.72m,271
21,07/07/17,49.83,50.1966,49.83,50.11,136176,0.32,0.64%,50.11,6.82m,507
22,07/06/17,50.06,50.07,49.72,49.79,232458,-0.56,-1.11%,49.79,11.59m,358
23,07/05/17,50.44,50.50,50.22,50.35,60062,-0.1102,-0.22%,50.35,3.02m,304
24,06/30/17,50.23,50.2903,50.06,50.18,53382,0.17,0.34%,50.18,2.68m,215
25,06/29/17,50.32,50.4371,49.7499,50.01,59209,-0.28,-0.56%,50.01,2.96m,252
26,06/28/17,50.23,50.4799,50.23,50.29,55600,0.28,0.56%,50.29,2.8m,246
27,06/27/17,50.20,50.34,49.993,50.01,37450,-0.21,-0.42%,50.01,1.88m,220
28,06/26/17,50.11,50.3198,50.11,50.22,24063,0.26,0.52%,50.22,1.21m,172
29,06/23/17,49.94,50.10,49.9164,49.96,44582,0.02,0.04%,49.96,2.23m,227
30,06/22/17,49.94,50.107,49.8946,49.94,42858,-0.010482,-0.02%,49.94,2.14m,221
31,06/21/17,50.34,50.4281,50.0685,50.16,39165,-0.159331,-0.32%,49.9505,1.97m,271
32,06/20/17,50.66,50.66,50.30,50.32,27562,-0.408288,-0.81%,50.1098,1.39m,216
33,06/19/17,50.61,50.7799,50.5684,50.73,44393,0.248956,0.50%,50.5181,2.25m,237
34,06/16/17,50.52,50.52,50.2379,50.48,19815,0.041825,0.08%,50.2691,997k,163
35,06/15/17,50.39,50.4728,50.2377,50.438,35926,-0.191198,-0.38%,50.2273,1.81m,222
36,06/14/17,50.75,50.75,50.4766,50.63,56258,-0.029875,-0.06%,50.4185,2.84m,248
37,06/13/17,50.49,50.70,50.4697,50.66,150232,0.219081,0.44%,50.4484,7.6m,334
38,06/12/17,50.28,50.5876,50.28,50.44,39591,0.069707,0.14%,50.2293,1.99m,302
39,06/09/17,50.03,50.39,50.03,50.37,41596,0.326431,0.66%,50.1596,2.09m,210
40,06/08/17,49.98,50.1801,49.93,50.0422,49330,0.022108,0.04%,49.8332,2.47m,252
41,06/07/17,49.99,50.06,49.87,50.02,42859,0.149373,0.30%,49.8111,2.14m,213
42,06/06/17,50.16,50.16,49.86,49.87,52241,-0.288789,-0.58%,49.6617,2.61m,366
43,06/05/17,50.28,50.28,50.1001,50.16,79755,-0.099582,-0.20%,49.9505,4m,336
44,06/02/17,50.33,50.35,50.1558,50.26,236882,0.039833,0.08%,50.0501,11.91m,426
45,06/01/17,49.83,50.22,49.75,50.22,46645,0.61741,1.25%,50.0102,2.33m,273
46,05/31/17,49.63,49.63,49.2999,49.60,133097,0.079666,0.16%,49.3928,6.58m,451
47,05/30/17,49.54,49.5998,49.414,49.52,60334,-0.015236,-0.03%,49.3132,2.99m,235
48,05/26/17,49.54,49.5599,49.4739,49.5353,34194,-0.014639,-0.03%,49.3284,1.69m,199
49,05/25/17,49.31,49.608,49.31,49.55,39134,0.348538,0.71%,49.343,1.94m,200
