,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,21.74,21.809,21.74,21.809,214,0.029,0.13%,21.809,4.66k,2
2,08/03/17,21.8399,21.85,21.78,21.78,1770,-0.03,-0.14%,21.78,38.63k,11
3,08/02/17,21.8047,21.8299,21.7886,21.81,2297,-0.04,-0.18%,21.81,50.09k,14
4,08/01/17,21.835,21.85,21.835,21.85,1180,0.1894,0.87%,21.85,25.78k,10
5,07/31/17,21.78,21.78,21.6606,21.6606,2535,-0.1093,-0.50%,21.6606,55.08k,20
6,07/28/17,21.76,21.97,21.7126,21.7699,4438,0.0499,0.23%,21.7699,96.79k,43
7,07/27/17,21.78,21.815,21.67,21.72,9282,-0.0526,-0.24%,21.72,201.58k,41
8,07/26/17,22.04,22.04,21.7726,21.7726,1222,0.0426,0.20%,21.7726,26.77k,6
9,07/25/17,21.93,21.93,21.705,21.73,2688,0.0865,0.40%,21.73,58.5k,17
10,07/24/17,21.74,21.74,21.6435,21.6435,3560,-0.1165,-0.54%,21.6435,77.3k,10
11,07/21/17,21.7183,21.76,21.6783,21.76,2582,0.087709,0.40%,21.76,56.07k,23
12,07/20/17,21.7699,21.7699,21.7248,21.7248,993,0.014764,0.07%,21.6723,21.59k,5
13,07/19/17,21.748,21.819,21.71,21.71,9352,0.043295,0.20%,21.6575,203.44k,55
14,07/18/17,21.68,21.68,21.6416,21.6666,2434,-0.043295,-0.20%,21.6142,52.72k,17
15,07/17/17,21.72,21.77,21.6931,21.71,6483,-0.11971,-0.55%,21.6575,140.94k,34
16,07/14/17,21.75,21.83,21.75,21.83,5295,0.099758,0.46%,21.7772,115.36k,22
17,07/13/17,21.865,21.865,21.67,21.73,1768,-0.024939,-0.11%,21.6775,38.53k,14
18,07/12/17,21.73,21.81,21.72,21.755,1521,0.114722,0.53%,21.7024,33.09k,8
19,07/11/17,,,,21.64,130,0.00,0.00%,21.5877,,4
20,07/10/17,21.62,21.69,21.62,21.64,3342,-0.019952,-0.09%,21.5877,72.37k,23
21,07/07/17,21.71,21.71,21.54,21.66,9515,0.11971,0.56%,21.6076,206.21k,103
22,07/06/17,21.4933,21.56,21.489,21.54,2095,-0.139661,-0.65%,21.4879,45.1k,21
23,07/05/17,21.61,21.69,21.61,21.68,2179,-0.039904,-0.18%,21.6276,47.19k,36
24,06/30/17,21.60,21.61,21.5572,21.61,2893,0.029928,0.14%,21.5578,62.46k,24
25,06/29/17,21.60,21.6486,21.51,21.58,5973,-0.179565,-0.83%,21.5278,129.11k,27
26,06/28/17,21.65,21.76,21.65,21.76,752,0.199517,0.93%,21.7074,16.31k,5
27,06/27/17,21.63,21.69,21.56,21.56,2686,0.048881,0.23%,21.5079,58.07k,18
28,06/26/17,21.6009,21.6009,21.511,21.511,833,-0.052772,-0.25%,21.459,17.97k,5
29,06/23/17,21.53,21.62,21.50,21.5639,3427,-0.026037,-0.12%,21.5118,73.93k,23
30,06/22/17,21.90,21.90,21.50,21.59,13360,0.152131,0.71%,21.5378,291.64k,32
31,06/21/17,21.4701,21.55,21.4701,21.49,4442,-0.06966,-0.32%,21.3857,95.65k,12
32,06/20/17,21.6879,21.7104,21.4833,21.56,2408,-0.099515,-0.46%,21.4553,52.07k,18
33,06/19/17,21.63,21.66,21.63,21.66,1494,0.089564,0.42%,21.5549,32.35k,13
34,06/16/17,,,,21.57,0,,0.00%,21.4653,,
35,06/15/17,22.53,22.53,21.52,21.57,4368,0.049757,0.23%,21.4653,94.74k,25
36,06/14/17,21.5695,21.5695,21.52,21.52,384,-0.094539,-0.44%,21.4155,8.27k,6
37,06/13/17,21.5199,21.64,21.4963,21.615,7113,0.124393,0.58%,21.5101,153.4k,39
38,06/12/17,21.62,21.62,21.45,21.49,4581,-0.079611,-0.37%,21.3857,98.52k,19
39,06/09/17,21.57,21.65,21.50,21.57,3293,0.019903,0.09%,21.4653,71k,24
40,06/08/17,21.49,21.55,21.3984,21.55,8113,0.109466,0.51%,21.4454,174.2k,111
41,06/07/17,21.70,21.70,21.18,21.44,10898,0.228883,1.08%,21.3359,233.28k,45
42,06/06/17,21.18,21.42,21.17,21.21,4514,-0.070456,-0.33%,21.107,96.33k,44
43,06/05/17,21.48,21.48,21.2808,21.2808,914,-0.24799,-1.16%,21.1775,19.59k,11
44,06/02/17,21.53,21.56,21.42,21.53,15922,0.059708,0.28%,21.4255,342.59k,127
45,06/01/17,21.2867,21.5544,21.2716,21.47,2742,0.467719,2.24%,21.3658,58.55k,20
46,05/31/17,22.19,22.19,21.00,21.00,1579,-0.157631,-0.75%,20.8981,33.4k,9
47,05/30/17,21.1666,21.1708,21.1584,21.1584,813,-0.111058,-0.52%,21.0557,17.21k,4
48,05/26/17,21.605,21.605,21.21,21.27,4069,0.064684,0.31%,21.1668,86.56k,25
49,05/25/17,21.05,21.3199,21.05,21.205,2805,0.054733,0.26%,21.1021,59.36k,15
50,05/24/17,21.23,21.23,21.15,21.15,568,0.113745,0.54%,21.0473,12.03k,2
51,05/23/17,21.0357,21.0357,21.0357,21.0357,205,0.064481,0.31%,20.9336,4.31k,1
52,05/22/17,,,,21.0234,1,0.00,0.00%,20.8691,,1
53,05/19/17,20.9808,21.03,20.9808,21.0234,949,0.053108,0.26%,20.8691,19.93k,9
54,05/18/17,20.8859,20.97,20.8859,20.9699,2579,-0.039806,-0.19%,20.816,54.07k,9
55,05/17/17,21.01,21.01,21.01,21.01,275,-0.158827,-0.76%,20.8558,5.78k,3
56,05/16/17,21.15,21.18,21.1383,21.17,5324,0.039708,0.19%,21.0146,112.71k,24
57,05/15/17,21.1959,21.1959,21.13,21.13,481,0.057475,0.27%,20.9749,10.17k,4
58,05/12/17,21.0721,21.0721,21.0721,21.0721,232,-0.107109,-0.51%,20.9175,4.89k,3
59,05/11/17,21.12,21.18,21.07,21.18,2964,-0.003971,-0.02%,21.0246,62.59k,34
60,05/10/17,21.20,21.20,21.184,21.184,3657,0.033751,0.16%,21.0285,77.51k,17
61,05/09/17,21.12,21.15,21.12,21.15,2168,-0.057276,-0.27%,20.9948,45.85k,4
62,05/08/17,21.2299,21.23,21.2077,21.2077,4133,0.120806,0.58%,21.0521,87.73k,7
63,05/05/17,,,,21.086,153,0.00,0.00%,20.9313,,2
64,05/04/17,21.086,21.086,21.086,21.086,161,-0.143141,-0.68%,20.9313,3.39k,2
65,05/03/17,21.17,21.2302,21.1521,21.2302,918,-0.002979,-0.01%,21.0744,19.45k,10
66,05/02/17,21.1506,21.24,21.1309,21.2332,7238,0.002285,0.01%,21.0774,153.54k,37
67,05/01/17,21.1964,21.27,21.1964,21.2309,2215,-0.029582,-0.14%,21.0751,47.06k,15
68,04/28/17,21.2607,21.2607,21.2607,21.2607,225,-0.03663,-0.17%,21.1047,4.78k,5
69,04/27/17,21.3299,21.3299,21.2976,21.2976,1936,-0.015585,-0.07%,21.1413,41.25k,10
70,04/26/17,21.31,21.3133,21.31,21.3133,737,-0.00665,-0.03%,21.1569,15.71k,6
71,04/25/17,21.30,21.32,21.30,21.32,1206,0.158826,0.76%,21.1635,25.69k,4
72,04/24/17,21.16,21.16,21.16,21.16,100,0.142546,0.68%,21.0047,2.12k,1
73,04/21/17,21.0047,21.0164,21.0047,21.0164,549,-0.031766,-0.15%,20.8622,11.53k,2
74,04/20/17,21.01,21.12,21.01,21.1009,1737,0.080206,0.39%,20.8939,36.61k,26
75,04/19/17,20.961,21.0399,20.961,21.0199,1039,0.079116,0.38%,20.8137,21.84k,7
76,04/18/17,20.94,20.94,20.94,20.94,317,0.030101,0.15%,20.7346,6.64k,5
77,04/17/17,20.74,20.9124,20.74,20.9096,929,0.066641,0.32%,20.7045,19.35k,7
78,04/13/17,20.8423,20.8423,20.8423,20.8423,425,-0.08892,-0.43%,20.6379,8.86k,1
79,04/12/17,20.90,20.98,20.90,20.9321,7523,-0.081097,-0.39%,20.7268,157.59k,28
80,04/11/17,20.76,21.0299,20.76,21.014,8512,-0.048717,-0.23%,20.8079,178.49k,17
81,04/10/17,21.0357,21.07,21.0357,21.0632,1609,0.098524,0.47%,20.8566,33.89k,7
82,04/07/17,20.9728,21.01,20.9309,20.9637,1603,0.013566,0.07%,20.7581,33.61k,6
83,04/06/17,,,,20.95,101,0.00,0.00%,20.7445,,3
84,04/05/17,21.07,21.08,20.93,20.95,2564,-0.047233,-0.23%,20.7445,53.94k,15
85,04/04/17,21.02,21.02,20.9977,20.9977,717,-0.079016,-0.38%,20.7917,15.06k,6
86,04/03/17,,,,21.0775,197,0.00,0.00%,20.8708,,22
