,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,2.15,2.1501,1.95,2.11,158084,-0.06,-2.76%,2.11,327.91k,404
2,08/03/17,1.82,2.25,1.8138,2.17,306959,0.34,18.58%,2.17,623.63k,971
3,08/02/17,1.90,1.92,1.80,1.83,167922,-0.06,-3.17%,1.83,308.73k,634
4,08/01/17,2.10,2.10,1.8265,1.89,271421,-0.11,-5.50%,1.89,519.74k,703
5,07/31/17,2.06,2.089,1.9401,2.00,158430,-0.06,-2.91%,2.00,316.54k,466
6,07/28/17,2.03,2.1205,2.00,2.06,137238,0.03,1.48%,2.06,282.41k,277
7,07/27/17,2.21,2.234,2.01,2.03,269826,-0.17,-7.73%,2.03,562.83k,761
8,07/26/17,2.24,2.24,2.17,2.20,90134,-0.01,-0.45%,2.20,199.33k,239
9,07/25/17,2.15,2.36,2.08,2.21,453970,0.14,6.76%,2.21,1.02m,973
10,07/24/17,2.18,2.24,2.05,2.07,183433,-0.11,-5.05%,2.07,386.79k,786
11,07/21/17,2.25,2.3399,2.15,2.18,163690,-0.0107,-0.49%,2.18,359.98k,466
12,07/20/17,2.33,2.35,2.17,2.1907,199329,-0.1493,-6.38%,2.1907,450.43k,960
13,07/19/17,2.30,2.3874,2.30,2.34,71155,0.05,2.18%,2.34,167.09k,199
14,07/18/17,2.37,2.411,2.28,2.29,150549,-0.11,-4.58%,2.29,355.31k,716
15,07/17/17,2.45,2.45,2.37,2.40,87847,-0.01,-0.41%,2.40,211.27k,346
16,07/14/17,2.37,2.43,2.31,2.41,79861,0.05,2.12%,2.41,190.74k,347
17,07/13/17,2.39,2.415,2.3099,2.36,99032,-0.03,-1.26%,2.36,232.8k,355
18,07/12/17,2.45,2.50,2.39,2.39,98856,0.01,0.42%,2.39,242.67k,438
19,07/11/17,2.41,2.50,2.35,2.38,48996,-0.01,-0.42%,2.38,117.14k,382
20,07/10/17,2.45,2.49,2.37,2.39,46118,-0.06,-2.45%,2.39,111.38k,350
21,07/07/17,2.46,2.4903,2.33,2.45,56224,0.06,2.51%,2.45,134.57k,239
22,07/06/17,2.45,2.50,2.36,2.39,92779,-0.07,-2.85%,2.39,227.27k,350
23,07/05/17,2.50,2.52,2.45,2.46,121407,-0.02,-0.81%,2.46,302.28k,379
24,06/30/17,2.40,2.47,2.37,2.46,53653,0.09,3.80%,2.46,130.92k,266
25,06/29/17,2.50,2.50,2.35,2.37,81958,-0.10,-4.05%,2.37,195.82k,277
26,06/28/17,2.48,2.53,2.44,2.47,92309,0.02,0.82%,2.47,230.85k,434
27,06/27/17,2.53,2.56,2.4046,2.45,90638,-0.08,-3.16%,2.45,225.95k,448
28,06/26/17,2.50,2.55,2.47,2.53,139356,0.07,2.85%,2.53,351.37k,575
29,06/23/17,2.42,2.51,2.37,2.46,175567,0.08,3.36%,2.46,433.64k,730
30,06/22/17,2.32,2.47,2.32,2.38,85714,0.01,0.42%,2.38,206.24k,347
31,06/21/17,2.34,2.41,2.261,2.37,104390,0.00,0.00%,2.37,247.31k,386
32,06/20/17,2.35,2.47,2.31,2.37,71986,-0.01,-0.42%,2.37,173.33k,297
33,06/19/17,2.40,2.40,2.20,2.38,244459,0.03,1.28%,2.38,556.39k,644
34,06/16/17,2.49,2.545,2.20,2.35,299689,-0.14,-5.62%,2.35,705.58k,927
35,06/15/17,2.50,2.54,2.44,2.49,95503,-0.04,-1.58%,2.49,237.28k,540
36,06/14/17,2.51,2.61,2.4779,2.53,142218,0.01,0.40%,2.53,359.96k,785
37,06/13/17,2.48,2.54,2.45,2.52,158225,0.07,2.86%,2.52,395.71k,659
38,06/12/17,2.44,2.51,2.37,2.45,63257,0.00,0.00%,2.45,153.73k,366
39,06/09/17,2.70,2.70,2.42,2.45,166221,-0.22,-8.24%,2.45,414.55k,748
40,06/08/17,2.42,2.75,2.40,2.67,254321,0.29,12.18%,2.67,659.67k,1255
41,06/07/17,2.34,2.45,2.30,2.38,94055,0.04,1.71%,2.38,223.85k,332
42,06/06/17,2.41,2.72,2.29,2.34,312987,0.04,1.74%,2.34,771.81k,982
43,06/05/17,2.42,2.42,2.28,2.30,116839,-0.12,-4.96%,2.30,272.09k,522
44,06/02/17,2.36,2.45,2.35,2.42,98731,0.08,3.42%,2.42,238.11k,541
45,06/01/17,2.27,2.44,2.27,2.34,129493,0.07,3.08%,2.34,303.08k,572
46,05/31/17,2.43,2.44,2.23,2.27,197618,-0.17,-6.97%,2.27,453.23k,706
47,05/30/17,2.51,2.5363,2.38,2.44,136689,-0.07,-2.79%,2.44,331.93k,596
48,05/26/17,2.36,2.55,2.32,2.51,194577,0.15,6.36%,2.51,475.99k,663
49,05/25/17,2.36,2.41,2.26,2.36,136928,0.01,0.43%,2.36,322.3k,649
50,05/24/17,2.34,2.4158,2.2501,2.35,105801,0.01,0.43%,2.35,245.93k,379
51,05/23/17,2.32,2.4001,2.2101,2.34,157252,0.02,0.86%,2.34,362k,443
52,05/22/17,2.28,2.32,2.1032,2.32,428474,-0.16,-6.45%,2.32,949.36k,1059
53,05/19/17,2.52,2.5472,2.4047,2.48,181195,-0.05,-1.98%,2.48,448.59k,493
54,05/18/17,2.24,2.62,2.24,2.53,380479,0.27,11.95%,2.53,945.49k,883
55,05/17/17,2.70,2.74,2.04,2.26,789471,-0.46,-16.91%,2.26,1.87m,1854
56,05/16/17,2.70,2.7961,2.70,2.72,121842,-0.01,-0.37%,2.72,334.5k,487
57,05/15/17,2.75,2.8215,2.70,2.73,119203,0.01,0.37%,2.73,330.32k,420
58,05/12/17,2.70,2.77,2.67,2.72,120398,-0.03,-1.09%,2.72,327.07k,458
59,05/11/17,2.77,2.8999,2.70,2.75,181481,-0.12,-4.18%,2.75,497.68k,530
60,05/10/17,2.66,2.92,2.66,2.87,144411,0.17,6.30%,2.87,403.58k,423
61,05/09/17,2.70,2.73,2.6321,2.70,194001,-0.05,-1.82%,2.70,525.14k,510
