,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,25.66,25.7415,25.6184,25.7415,3608,0.0862,0.34%,25.7415,92.68k,14
2,08/03/17,25.6553,25.6553,25.6553,25.6553,516,-0.0247,-0.10%,25.6553,13.24k,2
3,08/02/17,25.71,25.71,25.613,25.68,4472,-0.0386,-0.15%,25.68,114.82k,14
4,08/01/17,25.70,25.7312,25.70,25.7186,1688,0.0316,0.12%,25.7186,43.41k,7
5,07/31/17,,,,25.687,25,0.00,0.00%,25.687,,1
6,07/28/17,25.78,25.78,25.687,25.687,3764,0.071364,0.28%,25.687,96.9k,10
7,07/27/17,26.21,26.21,26.065,26.10,6225,0.049072,0.19%,25.6156,162.53k,20
8,07/26/17,26.1951,26.1951,26.05,26.05,3482,-0.058887,-0.23%,25.5666,91k,11
9,07/25/17,26.11,26.20,26.09,26.11,11725,-0.009814,-0.04%,25.6255,306.41k,37
10,07/24/17,26.24,26.24,26.00,26.12,7305,-0.029443,-0.11%,25.6353,190.71k,17
11,07/21/17,26.05,26.15,26.035,26.15,2321,0.012562,0.05%,25.6647,60.55k,15
12,07/20/17,25.99,26.15,25.99,26.1372,10888,0.144468,0.57%,25.6521,283.64k,44
13,07/19/17,26.01,26.01,25.9759,25.99,5527,-0.015997,-0.06%,25.5077,143.63k,17
14,07/18/17,26.00,26.0063,25.9856,26.0063,3838,-0.013446,-0.05%,25.5237,99.77k,16
15,07/17/17,25.95,26.0524,25.95,26.02,2440,0.068701,0.27%,25.5371,63.42k,13
16,07/14/17,25.985,26.00,25.95,25.95,11768,-0.013544,-0.05%,25.4684,305.6k,31
17,07/13/17,25.95,26.00,25.95,25.9638,4226,-0.025714,-0.10%,25.482,109.78k,21
18,07/12/17,25.9954,26.00,25.83,25.99,8993,-0.024536,-0.10%,25.5077,233.31k,33
19,07/11/17,25.967,26.035,25.967,26.015,2016,0.019629,0.08%,25.5322,52.45k,5
20,07/10/17,26.00,26.00,25.89,25.995,5945,-0.03435,-0.13%,25.5126,154.27k,21
21,07/07/17,25.92,26.05,25.92,26.03,8033,-0.206103,-0.80%,25.5469,208.83k,25
22,07/06/17,25.80,26.24,25.7184,26.24,14443,0.421529,1.66%,25.753,375.49k,128
23,07/05/17,25.7814,25.8481,25.72,25.8105,2333,0.02012,0.08%,25.3315,60.16k,8
24,06/30/17,25.66,25.80,25.65,25.70,7407,0.166845,0.67%,25.2231,190.42k,66
25,06/29/17,25.62,25.6566,25.53,25.53,6243,-0.068701,-0.27%,25.0562,159.87k,17
26,06/28/17,25.50,25.6151,25.50,25.60,2608,0.08833,0.35%,25.1249,66.74k,11
27,06/27/17,25.62,25.63,25.51,25.51,14452,-0.019629,-0.08%,25.0366,369.34k,47
28,06/26/17,,,,25.53,18,0.00,0.00%,25.0562,,1
29,06/23/17,25.52,25.6775,25.511,25.53,3063,0.019629,0.08%,25.0562,78.37k,18
30,06/22/17,25.53,25.58,25.50,25.51,4802,-0.068701,-0.27%,25.0366,122.59k,33
31,06/21/17,25.62,25.7947,25.3217,25.58,13315,-0.045932,-0.18%,25.1053,339.85k,60
32,06/20/17,25.6268,25.6268,25.6268,25.6268,500,0.055746,0.22%,25.1512,12.81k,1
33,06/19/17,25.67,25.6886,25.56,25.57,3241,-0.058886,-0.23%,25.0955,83.18k,20
34,06/16/17,25.59,25.64,25.56,25.63,2679,0.117773,0.47%,25.1544,68.61k,27
35,06/15/17,25.50,25.5723,25.50,25.51,1725,0.039846,0.16%,25.0366,44.05k,16
36,06/14/17,25.52,25.5984,25.4694,25.4694,2090,-0.049661,-0.20%,24.9967,53.38k,14
37,06/13/17,25.5293,25.5293,25.52,25.52,80941,-0.000981,-0.00%,25.0464,2.07m,10
38,06/12/17,25.579,25.579,25.52,25.521,1589,-0.028462,-0.11%,25.0474,40.57k,11
39,06/09/17,25.60,25.60,25.54,25.55,5970,-0.078515,-0.31%,25.0758,152.61k,28
40,06/08/17,25.54,25.64,25.54,25.63,16298,0.088329,0.35%,25.1544,416.66k,81
41,06/07/17,25.53,25.55,25.365,25.54,5900,0.009815,0.04%,25.066,150.5k,54
42,06/06/17,25.37,25.57,25.31,25.53,18777,0.166845,0.67%,25.0562,478.06k,110
43,06/05/17,25.26,25.37,25.25,25.36,3792,0.117773,0.48%,24.8894,96.03k,30
44,06/02/17,25.18,25.29,25.18,25.24,14240,0.08833,0.36%,24.7716,359.65k,39
45,06/01/17,25.305,25.305,25.131,25.15,16645,-0.107959,-0.44%,24.6833,419.85k,52
46,05/31/17,25.24,25.37,25.24,25.26,12040,0.009814,0.04%,24.7912,304.23k,36
47,05/30/17,25.26,25.27,25.20,25.25,11330,0.009815,0.04%,24.7814,286.06k,23
48,05/26/17,25.25,25.27,25.24,25.24,9146,0.011483,0.05%,24.7716,230.95k,28
49,05/25/17,25.2132,25.23,25.21,25.2283,6200,0.008146,0.03%,24.7601,156.37k,13
50,05/24/17,25.185,25.22,25.16,25.22,4061,0.068701,0.28%,24.752,102.32k,10
51,05/23/17,25.15,25.15,25.15,25.15,1062,0.058788,0.24%,24.6833,26.71k,6
52,05/22/17,25.18,25.18,25.09,25.0901,6391,-0.120815,-0.49%,24.6245,160.52k,26
53,05/19/17,25.21,25.2374,25.05,25.2132,3968,0.130728,0.53%,24.7453,99.7k,21
54,05/18/17,25.04,25.1651,25.04,25.08,3583,-0.098145,-0.40%,24.6146,89.97k,15
55,05/17/17,25.24,25.2499,25.18,25.18,6137,-0.058886,-0.24%,24.7127,154.71k,27
56,05/16/17,25.2148,25.24,25.2148,25.24,2948,0.039258,0.16%,24.7716,74.37k,9
57,05/15/17,25.1921,25.2148,25.1921,25.20,1059,0.078515,0.32%,24.7323,26.69k,5
58,05/12/17,25.20,25.24,25.12,25.12,9031,-0.068701,-0.28%,24.6538,227.52k,51
59,05/11/17,25.20,25.23,25.1802,25.19,4572,-0.001374,-0.01%,24.7225,115.25k,16
