,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,16.05,16.075,15.95,16.05,23596,0.05,0.31%,16.05,377.72k,297
2,08/03/17,16.10,16.10,15.875,16.00,41109,0.05,0.31%,16.00,656.57k,344
3,08/02/17,16.105,16.1161,15.8875,15.95,18531,-0.10,-0.62%,15.95,296.29k,250
4,08/01/17,16.15,16.20,15.95,16.05,16774,0.00,0.00%,16.05,268.9k,215
5,07/31/17,16.25,16.352,16.00,16.05,28306,0.10,0.63%,16.05,454.8k,211
6,07/28/17,16.45,16.65,15.90,15.95,25768,-0.50,-3.04%,15.95,415.79k,253
7,07/27/17,16.40,16.625,16.375,16.45,19471,0.05,0.30%,16.45,321.23k,311
8,07/26/17,16.25,16.45,16.20,16.40,28010,0.20,1.23%,16.40,457.42k,268
9,07/25/17,16.05,16.30,16.00,16.20,16277,0.20,1.25%,16.20,263.41k,190
10,07/24/17,16.15,16.20,15.975,16.00,15328,-0.10,-0.62%,16.00,246.45k,199
11,07/21/17,16.35,16.40,16.05,16.10,22907,-0.20,-1.23%,16.10,371.83k,201
12,07/20/17,16.05,16.40,15.85,16.30,21152,0.20,1.24%,16.30,342.47k,258
13,07/19/17,16.15,16.20,15.95,16.10,10827,0.05,0.31%,16.10,174.13k,135
14,07/18/17,16.00,16.15,15.75,16.05,65573,-0.05,-0.31%,16.05,1.05m,412
15,07/17/17,16.10,16.20,15.905,16.10,11534,-0.05,-0.31%,16.10,185.62k,116
16,07/14/17,16.35,16.35,16.10,16.15,10889,-0.25,-1.52%,16.15,176.56k,150
17,07/13/17,16.25,16.45,16.20,16.40,10933,0.05,0.31%,16.40,178.94k,145
18,07/12/17,16.20,16.40,16.00,16.35,18289,0.30,1.87%,16.35,297.54k,216
19,07/11/17,16.20,16.2993,15.975,16.05,16291,-0.15,-0.93%,16.05,262.08k,216
20,07/10/17,16.20,16.30,16.15,16.20,13741,-0.10,-0.61%,16.20,222.91k,273
21,07/07/17,16.20,16.45,16.20,16.30,7125,0.15,0.93%,16.30,115.94k,120
22,07/06/17,16.25,16.40,16.05,16.15,22770,-0.05,-0.31%,16.15,368.2k,372
23,07/05/17,16.05,16.35,15.95,16.20,19294,0.00,0.00%,16.20,313.06k,419
24,06/30/17,16.20,16.35,16.105,16.20,12664,-0.05,-0.31%,16.20,205.49k,208
25,06/29/17,16.20,16.50,16.20,16.25,11977,-0.10,-0.61%,16.25,195.07k,291
26,06/28/17,16.20,16.45,16.20,16.35,12016,0.20,1.24%,16.35,196.39k,211
27,06/27/17,16.15,16.50,16.00,16.15,14573,-0.05,-0.31%,16.15,235.67k,232
28,06/26/17,16.20,16.55,16.15,16.20,24715,-0.10,-0.61%,16.20,402.92k,293
29,06/23/17,15.95,16.35,15.925,16.30,92730,0.40,2.52%,16.30,1.51m,409
30,06/22/17,15.75,15.975,15.70,15.90,17798,0.10,0.63%,15.90,281.53k,356
31,06/21/17,16.05,16.10,15.70,15.80,20213,-0.20,-1.25%,15.80,320.15k,346
32,06/20/17,16.10,16.30,16.00,16.00,14939,-0.30,-1.84%,16.00,240.42k,147
33,06/19/17,16.35,16.70,16.15,16.30,12154,0.00,0.00%,16.30,198.24k,251
34,06/16/17,16.25,16.35,15.9259,16.30,39091,-0.10,-0.61%,16.30,633.72k,337
35,06/15/17,16.65,16.70,16.25,16.40,19822,-0.30,-1.80%,16.40,325.89k,275
36,06/14/17,16.55,16.70,16.55,16.70,28153,0.05,0.30%,16.70,469.25k,448
37,06/13/17,16.20,16.90,16.20,16.65,42307,0.40,2.46%,16.65,703k,371
38,06/12/17,16.15,16.40,16.10,16.25,36722,0.10,0.62%,16.25,596.48k,525
39,06/09/17,16.05,16.25,16.00,16.15,31511,0.10,0.62%,16.15,508.62k,480
40,06/08/17,15.7863,16.075,15.65,16.05,26373,0.20,1.26%,16.05,418.97k,464
41,06/07/17,15.75,16.05,15.65,15.85,38288,0.00,0.00%,15.85,605.82k,466
42,06/06/17,16.00,16.20,15.6144,15.85,35054,-0.25,-1.55%,15.85,558.6k,287
43,06/05/17,16.00,16.15,16.00,16.10,47107,0.05,0.31%,16.10,758.15k,549
44,06/02/17,16.10,16.55,16.00,16.05,50081,0.05,0.31%,16.05,810.5k,592
45,06/01/17,16.181,16.25,16.00,16.00,35729,-0.20,-1.23%,16.00,575.14k,391
46,05/31/17,15.95,16.35,15.80,16.20,68842,0.30,1.89%,16.20,1.11m,483
47,05/30/17,15.80,16.10,15.725,15.90,26225,0.10,0.63%,15.90,416.04k,329
48,05/26/17,15.75,15.85,15.60,15.80,7517,0.05,0.32%,15.80,118.54k,145
49,05/25/17,15.81,15.90,15.65,15.75,17446,0.00,0.00%,15.75,274.77k,222
50,05/24/17,16.00,16.00,15.60,15.75,15866,-0.20,-1.25%,15.75,250.37k,291
51,05/23/17,15.95,16.1662,15.65,15.95,29412,0.00,0.00%,15.95,466.56k,462
52,05/22/17,15.95,16.05,15.85,15.95,28383,0.00,0.00%,15.95,452.91k,472
53,05/19/17,15.45,16.00,15.40,15.95,40374,0.60,3.91%,15.95,632.94k,447
