,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,7.18,7.24,7.11,7.12,44820,-0.06,-0.84%,7.12,321.82k,536
2,08/03/17,7.25,7.25,7.12,7.18,100154,-0.02,-0.28%,7.18,718.02k,873
3,08/02/17,7.27,7.29,7.16,7.20,110656,-0.08,-1.10%,7.20,797.23k,1156
4,08/01/17,7.25,7.36,7.24,7.28,71914,0.02,0.28%,7.28,522.73k,1066
5,07/31/17,7.22,7.34,7.20,7.26,174169,0.04,0.55%,7.26,1.26m,895
6,07/28/17,7.86,7.95,6.75,7.22,288846,-0.71,-8.95%,7.22,2.08m,1660
7,07/27/17,7.96,8.132,7.86,7.93,73165,-0.03,-0.38%,7.93,583.32k,722
8,07/26/17,7.95,7.98,7.89,7.96,39395,0.01,0.13%,7.96,312.06k,387
9,07/25/17,7.99,8.09,7.885,7.95,51427,-0.03,-0.38%,7.95,410.84k,570
10,07/24/17,8.20,8.23,7.89,7.98,62402,-0.21,-2.56%,7.98,502.64k,527
11,07/21/17,7.96,8.23,7.88,8.19,85428,0.28,3.54%,8.19,690.26k,807
12,07/20/17,7.91,7.945,7.8175,7.91,52617,-0.01,-0.13%,7.91,415.22k,405
13,07/19/17,7.92,7.95,7.86,7.92,35599,0.02,0.25%,7.92,281.43k,314
14,07/18/17,7.93,7.98,7.82,7.90,48740,-0.06,-0.75%,7.90,385.06k,389
15,07/17/17,7.86,8.00,7.83,7.96,54234,0.05,0.63%,7.96,428.99k,424
16,07/14/17,7.98,7.98,7.76,7.91,77019,-0.10,-1.25%,7.91,605.47k,663
17,07/13/17,8.10,8.11,7.96,8.01,26745,-0.11,-1.35%,8.01,214.61k,311
18,07/12/17,8.12,8.19,8.00,8.12,39557,0.04,0.50%,8.12,321.47k,424
19,07/11/17,8.07,8.20,7.96,8.08,49938,0.01,0.12%,8.08,402.81k,549
20,07/10/17,8.23,8.23,8.02,8.07,76015,-0.13,-1.59%,8.07,617.5k,771
21,07/07/17,7.91,8.27,7.91,8.20,56418,0.30,3.80%,8.20,459.9k,555
22,07/06/17,7.85,7.93,7.7164,7.90,59377,0.03,0.38%,7.90,465.12k,735
23,07/05/17,7.88,7.96,7.75,7.87,98590,0.04,0.51%,7.87,771.42k,947
24,06/30/17,7.90,7.945,7.80,7.86,91516,-0.03,-0.38%,7.86,719.36k,920
25,06/29/17,7.91,7.91,7.85,7.89,107255,-0.02,-0.25%,7.89,843.6k,1251
26,06/28/17,7.88,7.92,7.72,7.91,90987,0.05,0.64%,7.91,712.99k,1049
27,06/27/17,8.15,8.21,7.85,7.86,47547,-0.30,-3.68%,7.86,380.88k,455
28,06/26/17,7.90,8.30,7.90,8.16,142579,0.26,3.29%,8.16,1.16m,1439
29,06/23/17,7.81,7.94,7.65,7.90,1467651,0.09,1.15%,7.90,11.57m,1653
30,06/22/17,7.61,7.95,7.61,7.81,112814,0.22,2.90%,7.81,880.72k,901
31,06/21/17,7.98,8.03,7.57,7.59,107467,-0.32,-4.05%,7.59,828.59k,1119
32,06/20/17,7.94,8.04,7.86,7.91,60074,-0.04,-0.50%,7.91,477.01k,757
33,06/19/17,7.84,7.99,7.7553,7.95,102522,0.13,1.66%,7.95,808.59k,650
34,06/16/17,7.82,7.93,7.73,7.82,70152,0.00,0.00%,7.82,546.8k,805
35,06/15/17,7.83,8.10,7.80,7.82,111033,-0.10,-1.26%,7.82,874.42k,1212
36,06/14/17,7.89,8.37,7.80,7.92,100957,0.05,0.64%,7.92,802.96k,1020
37,06/13/17,7.80,8.01,7.72,7.87,117009,0.08,1.03%,7.87,917.77k,985
38,06/12/17,8.50,8.50,7.70,7.79,151153,-0.70,-8.24%,7.79,1.22m,1064
39,06/09/17,8.75,8.89,8.38,8.49,128538,-0.19,-2.19%,8.49,1.11m,916
40,06/08/17,8.55,8.72,8.43,8.68,115698,0.17,2.00%,8.68,996.24k,774
41,06/07/17,8.50,8.57,8.43,8.51,39481,0.02,0.24%,8.51,335.2k,653
42,06/06/17,8.37,8.58,8.37,8.49,60225,0.11,1.31%,8.49,511.51k,512
43,06/05/17,8.56,8.60,8.38,8.38,45368,-0.18,-2.10%,8.38,386.45k,425
44,06/02/17,8.52,8.57,8.38,8.56,79051,0.20,2.39%,8.56,671.67k,598
45,06/01/17,8.25,8.54,8.212,8.36,157776,0.15,1.83%,8.36,1.32m,916
46,05/31/17,7.70,8.23,7.62,8.21,231613,0.51,6.62%,8.21,1.87m,1249
47,05/30/17,7.85,7.914,7.67,7.70,127987,-0.14,-1.79%,7.70,994.72k,836
48,05/26/17,7.78,7.91,7.74,7.84,97848,0.11,1.42%,7.84,766.95k,648
49,05/25/17,7.62,7.80,7.60,7.73,67027,0.10,1.31%,7.73,517.06k,706
50,05/24/17,7.74,7.90,7.62,7.63,64444,-0.11,-1.42%,7.63,495.44k,487
51,05/23/17,8.00,8.00,7.66,7.74,58406,-0.25,-3.13%,7.74,454.31k,607
52,05/22/17,7.84,8.00,7.8013,7.99,77358,0.16,2.04%,7.99,612.69k,590
53,05/19/17,7.80,7.98,7.80,7.83,54763,0.05,0.64%,7.83,432.14k,432
