,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,1.81,1.82,1.76,1.80,44007,0.00,0.00%,1.80,78.73k,230
2,08/03/17,1.76,1.81,1.75,1.80,57119,0.05,2.86%,1.80,101.49k,241
3,08/02/17,1.72,1.80,1.71,1.75,61132,0.01,0.57%,1.75,106.47k,172
4,08/01/17,1.72,1.7599,1.71,1.74,45794,0.01,0.58%,1.74,79.21k,161
5,07/31/17,1.75,1.77,1.71,1.73,41277,-0.02,-1.14%,1.73,71.77k,201
6,07/28/17,1.77,1.79,1.71,1.75,68764,-0.02,-1.13%,1.75,119.71k,267
7,07/27/17,1.80,1.85,1.75,1.77,135788,-0.01,-0.56%,1.77,242.86k,278
8,07/26/17,1.80,1.81,1.75,1.78,68419,-0.02,-1.11%,1.78,122.06k,252
9,07/25/17,1.79,1.84,1.79,1.80,121779,0.025,1.41%,1.80,220.07k,270
10,07/24/17,1.76,1.83,1.73,1.775,117279,0.015,0.85%,1.775,207.7k,320
11,07/21/17,1.76,1.78,1.73,1.76,70111,0.01,0.57%,1.76,123.09k,249
12,07/20/17,1.86,1.9199,1.75,1.75,302895,-0.08,-4.37%,1.75,552.51k,513
13,07/19/17,1.69,1.8773,1.68,1.83,787718,0.16,9.58%,1.83,1.41m,1450
14,07/18/17,1.66,1.68,1.6584,1.67,13582,0.011,0.66%,1.67,22.72k,61
15,07/17/17,1.65,1.66,1.64,1.659,48830,0.019,1.16%,1.659,80.78k,103
16,07/14/17,1.65,1.66,1.61,1.64,54599,0.035,2.18%,1.64,89.3k,92
17,07/13/17,1.61,1.61,1.58,1.605,41413,-0.005,-0.31%,1.605,66.49k,99
18,07/12/17,1.63,1.64,1.60,1.61,55700,0.00,0.00%,1.61,90.62k,118
19,07/11/17,1.56,1.62,1.56,1.61,28644,0.04,2.55%,1.61,45.93k,110
20,07/10/17,1.59,1.60,1.54,1.57,106064,-0.01,-0.63%,1.57,165.52k,228
21,07/07/17,1.57,1.589,1.55,1.58,59579,0.02,1.28%,1.58,93.36k,186
22,07/06/17,1.57,1.59,1.55,1.56,20402,0.00,0.00%,1.56,31.83k,67
23,07/05/17,1.56,1.62,1.53,1.56,150691,-0.02,-1.27%,1.56,235.23k,247
24,06/30/17,1.68,1.68,1.57,1.59,152181,-0.03,-1.85%,1.59,241.65k,290
25,06/29/17,1.60,1.64,1.58,1.62,61376,0.02,1.25%,1.62,99k,154
26,06/28/17,1.64,1.66,1.60,1.60,147222,-0.04,-2.44%,1.60,238.66k,196
27,06/27/17,1.6014,1.65,1.60,1.64,39139,0.04,2.50%,1.64,63.28k,129
28,06/26/17,1.60,1.63,1.60,1.60,34937,-0.01,-0.62%,1.60,56.24k,154
29,06/23/17,1.65,1.68,1.61,1.61,124894,-0.04,-2.42%,1.61,205.49k,197
30,06/22/17,1.67,1.68,1.65,1.65,43980,0.00,0.00%,1.65,73.16k,104
31,06/21/17,1.67,1.69,1.65,1.65,34207,0.00,0.00%,1.65,56.88k,95
32,06/20/17,1.65,1.68,1.65,1.65,26241,-0.02,-1.20%,1.65,43.63k,61
33,06/19/17,1.68,1.70,1.62,1.67,129188,-0.01,-0.60%,1.67,214.7k,120
34,06/16/17,1.691,1.72,1.67,1.68,51534,-0.0199,-1.17%,1.68,86.84k,122
35,06/15/17,1.71,1.75,1.69,1.6999,22567,-0.0001,-0.01%,1.6999,38.34k,61
36,06/14/17,1.72,1.75,1.70,1.70,16655,-0.02,-1.16%,1.70,28.65k,97
37,06/13/17,1.72,1.74,1.70,1.72,10020,0.04,2.38%,1.72,17.18k,61
38,06/12/17,1.71,1.72,1.68,1.68,31990,-0.02,-1.18%,1.68,54.35k,179
39,06/09/17,1.67,1.71,1.655,1.70,39746,0.05,3.03%,1.70,66.8k,179
40,06/08/17,1.66,1.68,1.65,1.65,52686,0.00,0.00%,1.65,87.65k,149
41,06/07/17,1.69,1.70,1.64,1.65,68902,-0.03,-1.79%,1.65,114.97k,180
42,06/06/17,1.75,1.77,1.68,1.68,124983,-0.07,-4.00%,1.68,214.86k,207
43,06/05/17,1.74,1.77,1.74,1.75,64463,0.01,0.57%,1.75,113k,167
44,06/02/17,1.79,1.79,1.70,1.74,127010,-0.03,-1.69%,1.74,220.47k,299
45,06/01/17,1.7601,1.81,1.76,1.77,95185,0.00,0.00%,1.77,169.24k,215
46,05/31/17,1.76,1.80,1.76,1.77,70167,0.01,0.57%,1.77,124.54k,160
47,05/30/17,1.85,1.8502,1.75,1.76,142440,-0.07,-3.83%,1.76,256.62k,270
48,05/26/17,1.85,1.8728,1.82,1.83,110712,-0.035,-1.88%,1.83,203.6k,162
49,05/25/17,1.86,1.92,1.84,1.865,128382,0.035,1.91%,1.865,240.67k,142
50,05/24/17,1.83,1.90,1.83,1.83,66603,-0.01,-0.54%,1.83,123.71k,84
51,05/23/17,1.89,1.89,1.79,1.84,156246,-0.02,-1.08%,1.84,286.56k,178
52,05/22/17,1.80,1.90,1.7901,1.86,74350,0.05,2.76%,1.86,138.56k,174
53,05/19/17,1.83,1.86,1.80,1.81,13892,0.00,0.00%,1.81,25.38k,50
54,05/18/17,1.79,1.86,1.79,1.81,40367,0.03,1.69%,1.81,73.63k,142
55,05/17/17,1.83,1.86,1.78,1.78,83318,-0.05,-2.73%,1.78,152.49k,201
56,05/16/17,1.93,1.95,1.82,1.83,183169,-0.10,-5.18%,1.83,344.03k,260
57,05/15/17,1.96,1.96,1.91,1.93,95343,0.02,1.05%,1.93,184.8k,163
58,05/12/17,1.92,1.93,1.85,1.91,45854,-0.03,-1.55%,1.91,87.14k,137
59,05/11/17,1.95,1.98,1.92,1.94,33430,-0.02,-1.02%,1.94,64.6k,69
60,05/10/17,1.94,1.97,1.9124,1.96,33634,0.01,0.51%,1.96,65.32k,119
61,05/09/17,1.98,1.98,1.90,1.95,38447,-0.01,-0.51%,1.95,74.7k,115
62,05/08/17,1.92,1.97,1.86,1.96,92401,0.06,3.16%,1.96,176.96k,148
63,05/05/17,1.93,1.93,1.83,1.90,49534,0.00,0.00%,1.90,93.99k,134
64,05/04/17,1.94,2.00,1.8801,1.90,69286,-0.06,-3.06%,1.90,133.02k,152
65,05/03/17,1.83,2.01,1.8299,1.96,343516,0.14,7.69%,1.96,660.85k,501
66,05/02/17,1.88,1.88,1.81,1.82,83798,-0.02,-1.09%,1.82,153.95k,225
67,05/01/17,1.85,1.86,1.78,1.84,35395,0.01,0.55%,1.84,65.18k,107
68,04/28/17,1.85,1.87,1.83,1.83,40938,-0.0101,-0.55%,1.83,75.91k,107
69,04/27/17,1.79,1.86,1.775,1.8401,104797,0.0501,2.80%,1.8401,191.08k,212
70,04/26/17,1.76,1.8082,1.75,1.79,62000,0.03,1.70%,1.79,110.15k,169
