,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,27.10,27.30,27.10,27.30,110102,0.15,0.55%,27.30,2.99m,1088
2,08/03/17,27.35,27.35,27.05,27.15,188288,-0.05,-0.18%,27.15,5.12m,1834
3,08/02/17,27.30,27.45,27.20,27.20,94828,-0.30,-1.09%,27.20,2.59m,1171
4,08/01/17,27.30,27.50,27.175,27.50,122958,0.30,1.10%,27.50,3.37m,1312
5,07/31/17,27.45,27.50,25.31,27.20,179145,-0.05,-0.18%,27.20,4.88m,1933
6,07/28/17,26.90,27.40,26.80,27.25,243928,0.30,1.11%,27.25,6.6m,1948
7,07/27/17,27.30,27.70,26.875,26.95,322939,-0.20,-0.74%,26.95,8.77m,1816
8,07/26/17,27.00,27.40,26.65,27.15,65428,0.45,1.69%,27.15,1.77m,755
9,07/25/17,26.45,26.90,26.425,26.70,86501,0.50,1.91%,26.70,2.31m,1000
10,07/24/17,25.95,26.30,25.90,26.20,121810,0.30,1.16%,26.20,3.18m,1275
11,07/21/17,26.45,26.45,25.85,25.90,95208,-0.20,-0.77%,25.90,2.48m,926
12,07/20/17,26.05,26.30,25.90,26.10,70061,0.05,0.19%,26.10,1.83m,920
13,07/19/17,26.05,26.30,25.90,26.05,73471,-0.05,-0.19%,26.05,1.91m,934
14,07/18/17,26.00,26.30,25.90,26.10,97937,-0.10,-0.38%,26.10,2.55m,1199
15,07/17/17,26.10,26.50,26.00,26.20,91926,-0.10,-0.38%,26.20,2.41m,902
16,07/14/17,26.25,26.45,26.05,26.30,104483,-0.20,-0.75%,26.30,2.75m,1066
17,07/13/17,26.50,26.55,26.15,26.50,116900,-0.05,-0.19%,26.50,3.08m,1024
18,07/12/17,26.20,26.70,26.10,26.55,79966,0.30,1.14%,26.55,2.11m,605
19,07/11/17,26.05,26.35,25.825,26.25,161753,0.15,0.57%,26.25,4.22m,1218
20,07/10/17,26.30,26.40,26.075,26.10,100448,-0.40,-1.51%,26.10,2.63m,1049
21,07/07/17,26.50,26.60,26.15,26.50,123146,0.15,0.57%,26.50,3.26m,1098
22,07/06/17,26.75,26.90,26.30,26.35,262113,-0.45,-1.68%,26.35,6.98m,1493
23,07/05/17,26.70,26.85,26.30,26.80,383650,0.10,0.37%,26.80,10.23m,1753
24,06/30/17,26.60,26.65,26.20,26.50,83820,0.00,0.00%,26.50,2.22m,887
25,06/29/17,26.60,26.75,26.05,26.50,219100,0.20,0.76%,26.50,5.79m,1819
26,06/28/17,25.70,26.425,25.70,26.30,72871,0.65,2.53%,26.30,1.91m,960
27,06/27/17,25.65,25.925,25.40,25.65,185707,0.10,0.39%,25.65,4.76m,894
28,06/26/17,25.55,25.80,25.25,25.55,110327,0.05,0.20%,25.55,2.82m,1502
29,06/23/17,25.50,25.85,25.30,25.50,153431,0.00,0.00%,25.50,3.91m,1109
30,06/22/17,25.75,25.75,25.30,25.50,72954,-0.20,-0.78%,25.50,1.86m,964
31,06/21/17,26.00,26.00,25.65,25.70,120450,-0.10,-0.39%,25.70,3.1m,1271
