,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,42.40,42.45,41.95,42.35,31208,0.50,1.19%,42.35,1.32m,469
2,08/03/17,43.90,43.90,41.80,41.85,46925,-2.00,-4.56%,41.85,1.99m,645
3,08/02/17,42.90,43.95,42.70,43.85,48244,0.80,1.86%,43.85,2.1m,644
4,08/01/17,42.25,43.05,42.00,43.05,29080,0.85,2.01%,43.05,1.24m,391
5,07/31/17,42.40,42.50,41.75,42.20,45244,-0.15,-0.35%,42.20,1.9m,524
6,07/28/17,43.40,43.65,42.25,42.35,50889,-1.20,-2.76%,42.35,2.17m,621
7,07/27/17,43.60,44.00,42.70,43.55,40615,0.05,0.11%,43.55,1.76m,591
8,07/26/17,43.80,44.40,43.30,43.50,56852,-0.35,-0.80%,43.50,2.5m,695
9,07/25/17,44.00,44.10,43.60,43.85,62577,-0.10,-0.23%,43.85,2.74m,681
10,07/24/17,43.90,44.30,43.45,43.95,71326,0.15,0.34%,43.95,3.13m,723
11,07/21/17,43.75,44.0184,43.20,43.80,50369,0.20,0.46%,43.80,2.21m,395
12,07/20/17,43.70,43.70,43.10,43.60,35644,-0.05,-0.11%,43.60,1.55m,432
13,07/19/17,43.10,43.70,43.10,43.65,23711,0.60,1.39%,43.65,1.03m,425
14,07/18/17,43.15,43.35,42.60,43.05,35883,-0.30,-0.69%,43.05,1.54m,511
15,07/17/17,42.70,43.35,42.525,43.35,75647,0.80,1.88%,43.35,3.26m,837
16,07/14/17,42.30,42.80,41.50,42.55,53382,0.35,0.83%,42.55,2.26m,670
17,07/13/17,42.35,42.35,40.80,42.20,43112,0.05,0.12%,42.20,1.8m,661
18,07/12/17,41.95,42.80,41.75,42.15,60689,0.55,1.32%,42.15,2.57m,673
19,07/11/17,41.40,41.95,41.05,41.60,65776,0.35,0.85%,41.60,2.73m,830
20,07/10/17,41.00,41.45,40.70,41.25,85560,-0.05,-0.12%,41.25,3.52m,868
21,07/07/17,40.80,41.40,40.70,41.30,83271,0.70,1.72%,41.30,3.42m,921
22,07/06/17,40.55,40.75,40.15,40.60,50123,-0.25,-0.61%,40.60,2.03m,715
23,07/05/17,41.70,41.75,40.15,40.85,54926,-1.00,-2.39%,40.85,2.25m,985
24,06/30/17,41.40,41.55,40.55,41.15,40439,-0.25,-0.60%,41.15,1.66m,708
25,06/29/17,40.75,41.45,40.20,41.40,77130,0.55,1.35%,41.40,3.16m,889
26,06/28/17,40.45,41.05,40.45,40.85,46978,0.85,2.13%,40.85,1.92m,730
27,06/27/17,40.65,40.725,39.90,40.00,56124,-0.60,-1.48%,40.00,2.26m,602
28,06/26/17,39.40,40.75,39.40,40.60,71237,1.20,3.05%,40.60,2.87m,951
29,06/23/17,39.85,40.475,39.25,39.40,475768,-0.85,-2.11%,39.40,18.82m,936
30,06/22/17,38.50,40.50,37.80,40.25,157573,1.70,4.41%,40.25,6.15m,1218
31,06/21/17,38.45,38.60,38.20,38.55,62015,0.20,0.52%,38.55,2.38m,850
32,06/20/17,38.95,38.95,38.05,38.35,51604,-0.55,-1.41%,38.35,1.98m,832
33,06/19/17,39.70,39.70,38.75,38.90,60633,-0.55,-1.39%,38.90,2.37m,798
34,06/16/17,39.50,40.00,39.025,39.45,64602,-0.55,-1.37%,39.45,2.55m,570
35,06/15/17,39.40,40.00,39.25,40.00,76524,0.10,0.25%,40.00,3.03m,625
36,06/14/17,40.30,40.40,39.60,39.90,62940,-0.180003,-0.45%,39.90,2.51m,894
37,06/13/17,40.65,40.95,40.15,40.20,52999,-0.249254,-0.62%,40.08,2.14m,739
38,06/12/17,41.50,41.80,40.30,40.45,79643,-1.2463,-3.00%,40.3293,3.25m,1081
39,06/09/17,41.05,42.15,41.00,41.70,87771,0.747762,1.83%,41.5755,3.67m,955
40,06/08/17,40.85,41.61,40.10,40.95,70159,0.099701,0.24%,40.8278,2.87m,1033
41,06/07/17,39.80,41.35,39.70,40.85,132062,0.947164,2.38%,40.7281,5.37m,1319
42,06/06/17,41.35,43.40,38.055,39.90,340873,-4.2373,-9.63%,39.7809,13.66m,3041
43,06/05/17,43.50,44.35,42.00,44.15,156897,0.498507,1.15%,44.0182,6.78m,1680
44,06/02/17,44.10,44.79,43.55,43.65,64782,-0.099701,-0.23%,43.5197,2.86m,863
45,06/01/17,43.00,44.55,42.80,43.75,118768,0.847462,1.98%,43.6194,5.14m,1080
46,05/31/17,42.65,42.95,41.90,42.90,137988,0.548359,1.30%,42.7719,5.89m,823
47,05/30/17,41.75,42.70,41.75,42.35,86858,0.498507,1.19%,42.2236,3.68m,1054
48,05/26/17,41.70,41.95,41.25,41.85,40702,0.00,0.00%,41.7251,1.7m,533
49,05/25/17,41.50,41.90,40.85,41.85,40411,0.448657,1.09%,41.7251,1.68m,724
50,05/24/17,41.65,41.8417,41.15,41.40,45090,-0.348955,-0.84%,41.2764,1.87m,615
51,05/23/17,42.05,42.20,41.65,41.75,74242,-0.299105,-0.71%,41.6254,3.1m,977
52,05/22/17,42.40,42.90,41.50,42.05,68789,-0.398806,-0.94%,41.9245,2.89m,854
53,05/19/17,42.25,42.85,41.355,42.45,57413,0.199403,0.47%,42.3233,2.43m,617
54,05/18/17,42.65,43.10,42.05,42.25,51891,-0.548358,-1.29%,42.1239,2.21m,593
55,05/17/17,43.45,43.95,42.55,42.80,58655,-1.1466,-2.62%,42.6722,2.52m,723
56,05/16/17,44.20,44.60,43.75,43.95,42044,-0.249254,-0.57%,43.8188,1.86m,543
57,05/15/17,44.80,45.40,43.55,44.20,48587,-0.64806,-1.45%,44.0681,2.15m,636
58,05/12/17,44.85,45.65,44.10,44.85,63489,-0.099701,-0.22%,44.7161,2.85m,968
59,05/11/17,45.70,45.70,44.65,44.95,52326,-0.947165,-2.07%,44.8158,2.35m,632
60,05/10/17,46.00,46.40,45.825,45.90,60988,-0.299104,-0.65%,45.763,2.8m,840
61,05/09/17,45.85,46.60,45.65,46.20,77044,0.348955,0.76%,46.0621,3.55m,785
62,05/08/17,45.70,46.05,44.95,45.85,95763,0.149552,0.33%,45.7131,4.38m,888
63,05/05/17,44.50,45.85,44.05,45.70,93276,1.2961,2.93%,45.5636,4.22m,1159
64,05/04/17,44.325,44.65,43.00,44.40,59967,0.149552,0.34%,44.2675,2.65m,887
65,05/03/17,44.15,44.50,43.75,44.25,64185,-0.249254,-0.56%,44.1179,2.84m,655
66,05/02/17,43.95,44.65,43.80,44.50,110561,0.598209,1.37%,44.3672,4.9m,918
67,05/01/17,43.50,44.00,42.887,43.90,58358,0.448657,1.04%,43.769,2.55m,884
68,04/28/17,44.90,44.90,43.30,43.45,71621,-1.4457,-3.23%,43.3203,3.14m,739
69,04/27/17,44.05,45.35,43.6325,44.90,88820,1.0469,2.39%,44.766,3.97m,945
70,04/26/17,43.00,44.15,43.00,43.85,78329,0.897314,2.10%,43.7191,3.43m,864
71,04/25/17,42.30,43.25,42.05,42.95,52921,0.847462,2.02%,42.8218,2.27m,665
72,04/24/17,42.65,42.90,40.85,42.10,104231,0.099702,0.24%,41.9743,4.38m,848
73,04/21/17,41.65,42.25,41.35,42.00,61788,0.249254,0.60%,41.8746,2.59m,691
74,04/20/17,39.80,41.90,39.80,41.75,94272,2.0439,5.16%,41.6254,3.9m,852
75,04/19/17,39.70,40.15,39.35,39.70,41671,0.249254,0.63%,39.5815,1.65m,539
76,04/18/17,39.10,39.60,38.75,39.45,45262,0.249254,0.64%,39.3322,1.77m,549
77,04/17/17,40.00,40.325,38.75,39.20,63485,-0.697911,-1.75%,39.083,2.49m,786
78,04/13/17,40.00,40.60,39.15,39.90,61501,-0.04985,-0.13%,39.7809,2.44m,648
79,04/12/17,41.10,41.10,39.755,39.95,52459,-1.1466,-2.80%,39.8307,2.11m,681
80,04/11/17,39.35,41.30,39.35,41.10,88940,1.6451,4.18%,40.9773,3.62m,1003
81,04/10/17,39.10,40.075,39.00,39.45,92446,0.747761,1.94%,39.3322,3.67m,995
82,04/07/17,39.25,40.15,37.75,38.70,161895,-0.598209,-1.53%,38.5845,6.32m,1465
83,04/06/17,37.60,39.90,34.10,39.30,301359,7.8266,24.96%,39.1827,11.46m,2897
84,04/05/17,31.40,31.85,31.10,31.45,99633,0.249254,0.80%,31.3561,3.13m,1032
85,04/04/17,31.05,31.25,30.50,31.20,56841,0.149552,0.48%,31.1069,1.76m,794
86,04/03/17,31.00,31.55,30.70,31.05,86645,0.00,0.00%,30.9573,2.69m,410
87,03/31/17,30.70,31.46,30.50,31.05,102800,0.299105,0.98%,30.9573,3.18m,614
88,03/30/17,30.874,30.874,30.00,30.75,74778,0.149552,0.49%,30.6582,2.28m,465
89,03/29/17,30.40,31.05,30.025,30.60,50676,0.049851,0.16%,30.5087,1.54m,643
90,03/28/17,30.40,30.65,30.15,30.55,27766,0.00,0.00%,30.4588,845.26k,450
91,03/27/17,30.15,31.05,30.10,30.55,44401,-0.099702,-0.33%,30.4588,1.36m,604
92,03/24/17,30.05,30.875,30.05,30.65,53739,0.598209,2.00%,30.5585,1.63m,464
93,03/23/17,30.00,30.50,29.75,30.05,76351,0.149552,0.50%,29.9603,2.3m,861
94,03/22/17,31.15,31.25,29.75,29.90,65383,-1.3958,-4.47%,29.8107,1.97m,813
95,03/21/17,31.90,31.90,30.95,31.30,52077,-0.598209,-1.88%,31.2066,1.63m,653
96,03/20/17,32.15,32.40,31.45,31.90,57777,-0.249253,-0.78%,31.8048,1.84m,621
97,03/17/17,31.70,32.30,31.25,32.15,88666,0.149552,0.47%,32.054,2.82m,676
98,03/16/17,31.80,32.25,31.70,32.00,39973,0.299104,0.95%,31.9045,1.28m,478
99,03/15/17,30.90,31.85,30.85,31.70,33705,0.967111,3.16%,31.6054,1.06m,456
100,03/14/17,31.35,31.40,30.75,30.85,32536,-0.645538,-2.06%,30.6383,1.01m,468
101,03/13/17,31.40,31.65,30.80,31.50,40865,0.099313,0.32%,31.2838,1.27m,579
102,03/10/17,31.50,31.90,31.25,31.40,24996,-0.049657,-0.16%,31.1845,786.96k,339
103,03/09/17,32.00,32.15,31.35,31.45,19417,-0.546225,-1.72%,31.2341,613.69k,297
104,03/08/17,32.20,32.30,31.90,32.00,18788,-0.198627,-0.62%,31.7804,602.17k,235
105,03/07/17,32.15,32.30,31.90,32.20,16876,0.049656,0.16%,31.979,542.24k,235
106,03/06/17,32.95,32.95,32.05,32.15,25447,-0.943479,-2.87%,31.9293,821.43k,324
107,03/03/17,33.10,33.50,32.70,33.10,27414,0.00,0.00%,32.8728,904.56k,372
108,03/02/17,33.10,33.65,32.90,33.10,23100,-0.148971,-0.45%,32.8728,766.88k,309
109,03/01/17,33.30,33.90,33.00,33.25,31342,0.248285,0.76%,33.0218,1.05m,440
110,02/28/17,33.00,33.35,32.60,33.00,58133,-0.099314,-0.30%,32.7735,1.92m,581
111,02/27/17,33.20,33.614,33.00,33.10,30418,-0.248284,-0.75%,32.8728,1.01m,357
112,02/24/17,33.25,33.60,32.80,33.35,33985,0.248284,0.76%,33.1211,1.13m,463
113,02/23/17,33.35,33.60,32.90,33.10,38010,-0.148971,-0.45%,32.8728,1.26m,479
114,02/22/17,33.55,33.75,33.175,33.25,26972,0.00,0.00%,33.0218,899.63k,316
115,02/21/17,33.10,33.50,32.725,33.25,46545,0.099314,0.30%,33.0218,1.54m,602
116,02/17/17,33.05,33.30,32.65,33.15,64172,0.198627,0.61%,32.9225,2.12m,540
117,02/16/17,32.30,33.30,32.30,32.95,47052,0.546226,1.70%,32.7239,1.55m,700
118,02/15/17,32.10,32.50,31.85,32.40,35844,0.099313,0.31%,32.1776,1.16m,479
119,02/14/17,31.90,32.45,31.90,32.30,27996,0.198628,0.62%,32.0783,902.52k,382
120,02/13/17,33.10,33.50,31.95,32.10,43265,-0.79451,-2.43%,31.8797,1.4m,578
121,02/10/17,32.45,32.95,32.35,32.90,35966,0.595882,1.86%,32.6742,1.17m,440
122,02/09/17,31.95,32.40,31.85,32.30,48755,0.347598,1.10%,32.0783,1.57m,528
123,02/08/17,31.85,32.20,31.65,31.95,47973,-0.049657,-0.16%,31.7307,1.53m,502
124,02/07/17,32.15,32.60,31.85,32.00,37180,-0.148971,-0.47%,31.7804,1.19m,546
