,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,17.79,17.93,17.70,17.72,410356,0.08,0.45%,17.72,7.31m,3284
2,08/03/17,17.75,17.88,17.63,17.64,393996,-0.16,-0.90%,17.64,6.98m,4132
3,08/02/17,18.00,18.00,17.57,17.80,350440,0.05,0.28%,17.80,6.22m,3407
4,08/01/17,17.76,17.77,17.50,17.75,294660,0.12,0.68%,17.75,5.21m,3389
5,07/31/17,17.45,17.75,17.41,17.63,444479,0.19,1.09%,17.63,7.83m,3706
6,07/28/17,17.52,17.58,17.27,17.44,390693,-0.21,-1.19%,17.44,6.8m,3382
7,07/27/17,17.26,17.91,17.26,17.65,612543,0.339998,1.96%,17.65,10.82m,5591
8,07/26/17,17.64,18.25,17.36,17.44,1803701,-1.1216,-6.09%,17.31,31.91m,10165
9,07/25/17,18.34,18.68,18.25,18.57,880516,0.526049,2.94%,18.4316,16.27m,6271
10,07/24/17,18.01,18.14,17.91,18.04,605987,0.099255,0.56%,17.9055,10.91m,4709
11,07/21/17,18.45,18.45,17.75,17.94,459659,-0.089329,-0.50%,17.8063,8.29m,3554
12,07/20/17,18.05,18.165,17.93,18.03,346402,-0.019851,-0.11%,17.8956,6.25m,3414
13,07/19/17,18.16,18.39,17.94,18.05,550084,-0.069479,-0.39%,17.9155,9.97m,4304
14,07/18/17,18.08,18.24,17.94,18.12,490661,-0.01985,-0.11%,17.9849,8.87m,3978
15,07/17/17,18.20,18.27,17.94,18.14,636293,-0.069479,-0.38%,18.0048,11.56m,5359
16,07/14/17,18.22,18.5727,18.00,18.21,1905696,-0.208434,-1.14%,18.0743,34.49m,6631
17,07/13/17,18.50,18.53,18.24,18.42,407287,0.00,0.00%,18.2827,7.48m,3323
18,07/12/17,18.47,18.65,18.31,18.42,332662,-0.019851,-0.11%,18.2827,6.14m,2798
19,07/11/17,18.58,18.60,18.26,18.44,476346,-0.208435,-1.13%,18.3025,8.79m,3471
20,07/10/17,18.88,18.895,18.64,18.65,290052,-0.277913,-1.48%,18.511,5.44m,2948
21,07/07/17,18.86,18.97,18.64,18.93,280843,0.208435,1.12%,18.7889,5.3m,2732
22,07/06/17,19.07,19.20,18.66,18.72,555566,-0.446646,-2.35%,18.5805,10.48m,3794
23,07/05/17,19.14,19.18,18.76,19.17,586548,0.009926,0.05%,19.0271,11.17m,4988
24,06/30/17,18.98,19.06,18.64,18.65,355891,-0.228285,-1.22%,18.511,6.66m,3015
25,06/29/17,19.02,19.15,18.59,18.88,352723,0.228285,1.23%,18.7393,6.65m,3259
26,06/28/17,18.44,18.82,18.44,18.65,460269,0.277913,1.52%,18.511,8.59m,3441
27,06/27/17,18.42,18.64,18.32,18.37,298490,0.049627,0.27%,18.2331,5.5m,2573
28,06/26/17,18.31,18.59,18.18,18.32,295813,0.079404,0.44%,18.1834,5.43m,2897
29,06/23/17,18.39,18.52,18.13,18.24,790853,-0.089329,-0.49%,18.104,14.46m,3914
30,06/22/17,18.62,18.8675,18.32,18.33,516522,-0.277913,-1.50%,18.1934,9.53m,4133
31,06/21/17,18.90,18.90,18.52,18.61,889553,-0.21836,-1.17%,18.4713,16.55m,4183
