,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,179.91,179.91,177.53,178.71,444775,-0.47,-0.26%,178.71,79.33m,5579
2,08/03/17,179.15,179.60,178.19,179.18,346216,-0.12,-0.07%,179.18,62m,4452
3,08/02/17,181.01,181.09,178.26,179.30,432494,-1.97,-1.09%,179.30,77.55m,5561
4,08/01/17,180.70,182.60,173.75,181.27,353808,-0.94,-0.52%,181.27,64.18m,4441
5,07/31/17,180.28,183.50,180.28,182.21,234068,-0.70,-0.38%,182.21,42.7m,2962
6,07/28/17,182.40,183.47,181.78,182.91,319018,0.08,0.04%,182.91,58.22m,4275
7,07/27/17,184.28,184.565,181.95,182.83,315011,-1.91,-1.03%,182.83,57.58m,4314
8,07/26/17,179.525,185.59,179.525,184.74,276559,0.00,0.00%,184.74,51.13m,3738
9,07/25/17,185.94,186.28,183.46,184.74,407291,-0.95,-0.51%,184.74,75.22m,4298
10,07/24/17,185.05,185.94,184.68,185.69,229091,0.77,0.42%,185.69,42.51m,3052
11,07/21/17,184.05,185.82,183.83,184.92,273667,0.48,0.26%,184.92,50.58m,3352
12,07/20/17,185.37,185.37,183.095,184.44,419882,-0.76,-0.41%,184.44,77.4m,5663
13,07/19/17,184.63,185.545,183.06,185.20,415673,0.82,0.44%,185.20,76.83m,4205
14,07/18/17,185.64,185.68,183.65,184.38,302357,-1.13,-0.61%,184.38,55.75m,3187
15,07/17/17,184.57,185.81,183.80,185.51,295063,0.99,0.54%,185.51,54.63m,3582
16,07/14/17,182.80,185.27,182.80,184.52,264819,2.09,1.15%,184.52,48.83m,3186
17,07/13/17,183.74,184.58,181.17,182.43,343621,-0.74,-0.40%,182.43,62.7m,4008
18,07/12/17,181.79,183.67,181.79,183.17,249793,2.49,1.38%,183.17,45.71m,3859
19,07/11/17,180.76,180.95,179.18,180.68,207613,0.06,0.03%,180.68,37.44m,3177
20,07/10/17,182.99,183.30,180.39,180.62,314677,-2.22,-1.21%,180.62,57.03m,4318
21,07/07/17,181.46,183.87,181.26,182.84,309883,1.73,0.96%,182.84,56.64m,3828
22,07/06/17,182.60,184.51,180.47,181.11,333786,-2.57,-1.40%,181.11,60.63m,4279
23,07/05/17,182.46,183.80,181.51,183.68,339544,1.71,0.94%,183.68,62.23m,4472
24,06/30/17,183.39,184.44,181.7126,183.02,365765,0.64,0.35%,183.02,67.03m,4015
25,06/29/17,184.18,185.04,182.00,182.38,288975,-1.90,-1.03%,182.38,52.94m,4262
26,06/28/17,183.64,184.86,182.81,184.28,272943,1.41,0.77%,184.28,50.26m,3763
27,06/27/17,184.41,185.22,182.83,182.87,405594,-2.09,-1.13%,182.87,74.59m,5267
28,06/26/17,184.85,185.53,184.28,184.96,250031,0.79,0.43%,184.96,46.25m,4070
29,06/23/17,184.37,184.75,183.66,184.17,440353,-0.09,-0.05%,184.17,81.08m,3453
30,06/22/17,183.73,184.84,182.85,184.26,271126,0.99,0.54%,184.26,49.88m,3957
31,06/21/17,181.60,183.49,181.60,183.27,308283,1.15,0.63%,183.27,56.34m,3990
32,06/20/17,185.07,185.07,181.88,182.12,328214,-2.94,-1.59%,182.12,60.07m,4228
33,06/19/17,183.91,185.26,183.10,185.06,474506,2.33,1.28%,185.06,87.6m,4491
34,06/16/17,182.60,184.20,181.44,182.73,588950,-0.93,-0.51%,182.73,107.64m,4904
35,06/15/17,183.46,183.735,182.15,183.66,226973,-0.36,-0.20%,183.66,41.59m,3745
36,06/14/17,184.76,186.47,183.21,184.02,238244,0.27,0.15%,184.02,43.96m,4418
37,06/13/17,183.39,184.5325,183.05,183.75,287173,-0.27,-0.15%,183.75,52.75m,3741
38,06/12/17,184.94,186.46,183.23,184.02,311210,-1.73,-0.93%,184.02,57.25m,4386
39,06/09/17,184.59,186.99,184.59,185.75,564529,1.57,0.85%,185.75,104.92m,7335
40,06/08/17,185.71,186.4384,183.30,184.18,309100,-1.22,-0.66%,184.18,57.02m,4426
41,06/07/17,184.87,186.25,183.73,185.40,435729,1.35,0.73%,185.40,80.62m,5344
42,06/06/17,185.22,186.71,183.94,184.05,453192,-1.16,-0.63%,184.05,84.01m,5171
43,06/05/17,186.32,186.44,184.67,185.21,295532,-1.36,-0.73%,185.21,54.78m,3801
44,06/02/17,186.27,186.71,185.80,186.57,290381,0.06,0.03%,186.57,54.12m,3816
45,06/01/17,184.25,186.64,184.08,186.51,324009,2.54,1.38%,186.51,60.15m,4612
46,05/31/17,182.99,184.08,182.15,183.97,337035,1.08,0.59%,183.97,61.92m,3031
47,05/30/17,182.42,183.19,181.85,182.89,183828,0.21,0.11%,182.89,33.57m,2660
48,05/26/17,183.25,183.4399,182.084,182.68,214096,-0.58,-0.32%,182.68,39.1m,2740
49,05/25/17,182.02,183.84,181.67,183.26,317338,1.63,0.90%,183.26,58.13m,4108
50,05/24/17,182.60,182.869,181.13,181.63,304346,-0.47,-0.26%,181.63,55.34m,3631
51,05/23/17,180.99,182.25,179.89,182.10,311928,1.19,0.66%,182.10,56.75m,4489
52,05/22/17,177.79,181.24,177.525,180.91,506267,3.10,1.74%,180.91,91.43m,5576
53,05/19/17,176.84,178.78,175.97,177.81,598646,0.76,0.43%,177.81,106.4m,4471
54,05/18/17,174.76,177.65,174.3401,177.05,554390,2.49,1.43%,177.05,98.05m,6384
55,05/17/17,175.83,176.90,174.35,174.56,318162,-2.28,-1.29%,174.56,55.74m,4511
56,05/16/17,176.46,176.99,175.66,176.84,413714,0.72,0.41%,176.84,73.02m,4223
57,05/15/17,175.29,176.22,175.04,176.12,289015,0.50,0.28%,176.12,50.78m,3816
58,05/12/17,175.82,176.475,174.86,175.62,326288,-0.78,-0.44%,175.62,57.28m,4466
59,05/11/17,175.32,176.54,174.31,176.40,355175,0.32,0.18%,176.40,62.37m,4278
60,05/10/17,177.34,177.64,175.54,176.08,490919,-1.33,-0.75%,176.08,86.52m,6220
61,05/09/17,180.00,182.48,175.98,177.41,843662,2.39,1.37%,177.41,150.49m,9032
62,05/08/17,178.37,178.72,174.195,175.02,628947,-3.33,-1.87%,175.02,110.42m,7340
63,05/05/17,178.82,179.30,177.58,178.35,317913,0.27,0.15%,178.35,56.72m,4138
64,05/04/17,176.17,178.16,175.73,178.08,361326,2.39,1.36%,178.08,64.12m,6090
65,05/03/17,175.25,176.29,175.185,175.69,459961,0.27,0.15%,175.69,80.82m,5912
66,05/02/17,173.52,175.63,173.52,175.42,311137,1.82,1.05%,175.42,54.41m,5000
67,05/01/17,173.85,174.07,172.75,173.60,242519,-0.20,-0.12%,173.60,42.07m,3513
68,04/28/17,173.76,174.44,173.23,173.80,356115,-0.375,-0.22%,173.80,61.88m,4306
69,04/27/17,173.47,174.69,173.23,174.175,358252,0.995,0.57%,174.175,62.38m,4927
70,04/26/17,170.35,173.36,170.2068,173.18,607530,2.96,1.74%,173.18,104.74m,7596
71,04/25/17,170.19,171.00,169.65,170.22,401937,0.42,0.25%,170.22,68.47m,4989
72,04/24/17,169.98,170.21,168.52,169.80,339872,1.69,1.01%,169.80,57.62m,4176
73,04/21/17,169.56,169.86,167.62,168.11,298116,-1.29,-0.76%,168.11,50.16m,3489
74,04/20/17,168.16,169.76,166.93,169.40,505317,1.42,0.85%,169.40,85.16m,5599
75,04/19/17,168.37,168.85,166.86,167.98,281355,0.28,0.17%,167.98,47.29m,3616
76,04/18/17,168.44,168.47,166.78,167.70,311628,-1.17,-0.69%,167.70,52.22m,4786
77,04/17/17,168.28,169.23,167.60,168.87,252355,1.02,0.61%,168.87,42.53m,4213
78,04/13/17,169.10,169.11,167.73,167.85,217649,-0.88,-0.52%,167.85,36.62m,3062
79,04/12/17,166.22,169.43,166.22,168.73,457436,-1.33,-0.78%,168.73,77.06m,5957
80,04/11/17,168.57,170.30,168.57,170.06,399525,1.14,0.67%,170.06,67.82m,5235
81,04/10/17,167.71,169.44,167.355,168.92,384836,1.37,0.82%,168.92,65m,4704
82,04/07/17,168.95,169.42,167.46,167.55,343668,-1.35,-0.80%,167.55,57.69m,4327
83,04/06/17,168.45,169.05,167.30,168.90,355260,0.71,0.42%,168.90,59.88m,4267
84,04/05/17,168.68,170.74,168.01,168.19,524452,-0.63,-0.37%,168.19,88.75m,4208
85,04/04/17,169.23,169.71,168.18,168.82,311255,-0.23,-0.14%,168.82,52.52m,3805
86,04/03/17,170.22,171.15,168.75,169.05,446275,-0.92,-0.54%,169.05,75.57m,6048
87,03/31/17,170.35,170.75,169.71,169.97,297444,-0.86,-0.50%,169.97,50.58m,4118
