,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,0.52,0.53,0.5101,0.52,27857,-0.01,-1.89%,0.52,14.42k,72
2,08/03/17,0.53,0.53,0.51,0.53,163705,0.01,1.92%,0.53,85.66k,210
3,08/02/17,0.521,0.56,0.51,0.52,261723,-0.0081,-1.53%,0.52,138.3k,327
4,08/01/17,0.5418,0.5418,0.516519,0.5281,114110,-0.0139,-2.56%,0.5281,60.4k,136
5,07/31/17,0.54,0.55,0.5299,0.542,159981,0.0121,2.28%,0.542,86.71k,147
6,07/28/17,0.53,0.54,0.5103,0.5299,145884,0.0099,1.90%,0.5299,77.56k,194
7,07/27/17,0.52,0.53,0.5101,0.52,69239,0.0009,0.17%,0.52,36.29k,115
8,07/26/17,0.5105,0.529,0.51,0.5191,79482,0.008,1.57%,0.5191,41.02k,184
9,07/25/17,0.5295,0.5299,0.501,0.5111,129879,-0.0091,-1.75%,0.5111,67.28k,251
10,07/24/17,0.5342,0.536,0.5109,0.5202,163066,-0.014,-2.62%,0.5202,84.99k,200
11,07/21/17,0.5002,0.539,0.5002,0.5342,223342,0.023276,4.56%,0.5342,118.12k,249
12,07/20/17,0.50,0.519,0.4902,0.510924,271762,0.015924,3.22%,0.510924,137.5k,264
13,07/19/17,0.50,0.5023,0.4838,0.495,342358,-0.0072,-1.43%,0.495,169.24k,293
14,07/18/17,0.545,0.55,0.462,0.5022,452992,-0.0378,-7.00%,0.5022,228.08k,391
15,07/17/17,0.559,0.559,0.5154,0.54,222171,-0.0001,-0.02%,0.54,117.97k,202
16,07/14/17,0.526,0.55,0.52,0.5401,142371,0.0115,2.18%,0.5401,76.39k,226
17,07/13/17,0.54,0.5485,0.521,0.5286,409607,-0.0215,-3.91%,0.5286,217.4k,453
18,07/12/17,0.556,0.5699,0.5406,0.5501,274955,0.0001,0.02%,0.5501,151.48k,317
19,07/11/17,0.561,0.5761,0.542,0.55,326711,-0.011,-1.96%,0.55,182.44k,319
20,07/10/17,0.56,0.588,0.542,0.561,389101,-0.009,-1.58%,0.561,214.76k,736
21,07/07/17,0.60,0.60,0.5413,0.57,599427,-0.017,-2.90%,0.57,335.99k,650
22,07/06/17,0.609,0.61,0.55,0.587,492674,-0.014,-2.33%,0.587,280.82k,792
23,07/05/17,0.596,0.61,0.58,0.601,501753,-0.002,-0.33%,0.601,296.95k,428
24,06/30/17,0.64,0.659,0.58,0.609,1038530,-0.0515,-7.80%,0.609,632.61k,941
25,06/29/17,0.709,0.74,0.634,0.6605,1380734,-0.039,-5.58%,0.6605,934.33k,1609
26,06/28/17,0.65,0.73,0.631,0.6995,2839158,0.1374,24.44%,0.6995,1.95m,3273
27,06/27/17,0.56,0.5898,0.55,0.5621,399244,-0.0277,-4.70%,0.5621,225.89k,405
28,06/26/17,0.59,0.59,0.5558,0.5898,232586,-0.0002,-0.03%,0.5898,135.14k,294
29,06/23/17,0.60,0.60,0.58,0.59,168096,-0.0091,-1.52%,0.59,100.07k,251
30,06/22/17,0.61,0.61,0.5902,0.5991,259426,-0.0009,-0.15%,0.5991,155.37k,443
31,06/21/17,0.61,0.61,0.59,0.60,167487,0.0049,0.82%,0.60,99.85k,323
32,06/20/17,0.60,0.62,0.58,0.5951,291886,-0.011,-1.81%,0.5951,174.38k,272
33,06/19/17,0.60,0.61,0.592,0.6061,135237,0.0011,0.18%,0.6061,81.37k,293
34,06/16/17,0.64,0.64,0.5482,0.605,170996,-0.015,-2.42%,0.605,103.16k,290
35,06/15/17,0.62,0.634,0.6102,0.62,126847,-0.0025,-0.40%,0.62,78.63k,298
36,06/14/17,0.64,0.6401,0.62,0.6225,187039,-0.0195,-3.04%,0.6225,117.17k,315
37,06/13/17,0.65,0.6589,0.6415,0.642,76271,-0.008,-1.23%,0.642,49.19k,147
38,06/12/17,0.675,0.679,0.6448,0.65,400854,-0.02,-2.99%,0.65,261.86k,437
39,06/09/17,0.68,0.6801,0.67,0.67,109093,-0.01,-1.47%,0.67,73.4k,235
40,06/08/17,0.6702,0.6898,0.6702,0.68,66080,0.0099,1.48%,0.68,45.09k,121
41,06/07/17,0.69,0.69,0.67,0.6701,177599,-0.0049,-0.73%,0.6701,120.41k,183
42,06/06/17,0.7004,0.7098,0.6745,0.675,232548,-0.025,-3.57%,0.675,158.35k,327
43,06/05/17,0.73,0.74,0.6901,0.70,196396,-0.007,-0.99%,0.70,138.76k,217
44,06/02/17,0.70,0.725,0.70,0.707,109433,0.007,1.00%,0.707,77.75k,392
45,06/01/17,0.701,0.74,0.6704,0.70,281367,0.0009,0.13%,0.70,200.58k,473
46,05/31/17,0.70,0.7011,0.66,0.6991,106467,0.0015,0.22%,0.6991,72.78k,224
47,05/30/17,0.71,0.71,0.674,0.6976,206748,-0.0038,-0.54%,0.6976,142.58k,283
48,05/26/17,0.707,0.75,0.7014,0.7014,434174,-0.0176,-2.45%,0.7014,313.44k,680
49,05/25/17,0.717,0.72,0.70,0.719,78618,0.0041,0.57%,0.719,56.01k,155
50,05/24/17,0.68,0.72,0.68,0.7149,161782,0.0179,2.57%,0.7149,114.12k,284
51,05/23/17,0.735,0.735,0.68,0.697,228041,-0.043,-5.81%,0.697,160.24k,330
52,05/22/17,0.68,0.74,0.678,0.74,254333,0.062,9.14%,0.74,178.95k,359
53,05/19/17,0.68,0.68,0.6601,0.678,182782,-0.0019,-0.28%,0.678,122.83k,212
54,05/18/17,0.67,0.69,0.67,0.6799,195646,-0.0101,-1.46%,0.6799,131.63k,221
55,05/17/17,0.70,0.70,0.69,0.69,179265,-0.0001,-0.01%,0.69,124.19k,215
56,05/16/17,0.69,0.7101,0.63,0.6901,300378,-0.0199,-2.80%,0.6901,204.48k,495
