,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,20.50,20.75,20.35,20.35,1651,-0.30,-1.45%,20.35,34.06k,24
2,08/03/17,20.15,20.75,20.15,20.65,2459,-0.05,-0.24%,20.65,50.67k,33
3,08/02/17,20.50,20.70,20.1499,20.70,6604,-0.05,-0.24%,20.70,135.39k,51
4,08/01/17,18.0738,20.75,18.0738,20.75,35484,0.4471,2.20%,20.75,723.79k,56
5,07/31/17,20.3029,20.3029,20.3029,20.3029,159,-0.1971,-0.96%,20.3029,3.23k,2
6,07/28/17,20.05,20.50,20.05,20.50,3337,0.60,3.02%,20.50,67.93k,30
7,07/27/17,19.60,20.40,19.60,19.90,1661,-0.45,-2.21%,19.90,33.35k,19
8,07/26/17,19.50,20.5296,19.50,20.35,2668,-0.40,-1.93%,20.35,54.23k,23
9,07/25/17,20.75,20.75,18.45,20.75,8343,0.00,0.00%,20.75,170.15k,49
10,07/24/17,20.60,20.75,20.60,20.75,3987,0.00,0.00%,20.75,82.53k,19
11,07/21/17,20.7371,20.75,20.7371,20.75,469,0.0352,0.17%,20.75,9.73k,9
12,07/20/17,20.7148,20.7148,20.7148,20.7148,215,0.1148,0.56%,20.7148,4.45k,7
13,07/19/17,20.75,20.75,20.60,20.60,472,-0.015,-0.07%,20.60,9.74k,8
14,07/18/17,21.35,21.50,20.60,20.615,971,0.015,0.07%,20.615,20.49k,19
15,07/17/17,20.62,20.62,20.60,20.60,967,0.00,0.00%,20.60,19.93k,17
16,07/14/17,,,,20.60,0,,0.00%,20.60,,
17,07/13/17,20.7001,20.7001,20.60,20.60,3307,-0.25,-1.20%,20.60,68.37k,22
18,07/12/17,20.85,20.85,20.85,20.85,120,0.50,2.46%,20.85,2.5k,5
19,07/11/17,20.95,21.00,20.35,20.35,1216,-0.65,-3.10%,20.35,25.36k,12
20,07/10/17,20.95,21.00,20.58,21.00,4357,0.0501,0.24%,21.00,91.35k,34
21,07/07/17,20.9499,20.9499,20.9499,20.9499,293,0.0499,0.24%,20.9499,6.14k,9
22,07/06/17,20.50,20.90,20.50,20.90,750,0.45,2.20%,20.90,15.42k,11
23,07/05/17,20.50,20.50,20.45,20.45,1190,-0.05,-0.24%,20.45,24.38k,34
24,06/30/17,20.9897,21.00,20.95,20.95,1980,0.4795,2.34%,20.95,41.56k,30
25,06/29/17,20.50,20.50,20.375,20.4705,1635,0.3968,1.98%,20.4705,33.4k,15
26,06/28/17,20.1144,20.3999,20.0737,20.0737,2196,-0.3213,-1.58%,20.0737,44.55k,13
27,06/27/17,20.9999,20.9999,20.35,20.395,848,-0.105,-0.51%,20.395,17.42k,11
28,06/26/17,20.55,20.65,20.50,20.50,1518,-0.20,-0.97%,20.50,31.16k,20
29,06/23/17,20.70,20.70,20.70,20.70,751,0.46,2.27%,20.70,15.55k,14
30,06/22/17,,,,20.24,29,0.00,0.00%,20.24,,3
31,06/21/17,,,,20.24,22,0.00,0.00%,20.24,,3
32,06/20/17,20.25,20.6499,20.0224,20.24,1167,0.2399,1.20%,20.24,23.66k,10
33,06/19/17,20.25,20.25,20.00,20.0001,3018,0.0001,0.00%,20.0001,60.4k,24
34,06/16/17,19.55,20.6724,19.55,20.00,3161,-0.6999,-3.38%,20.00,63.67k,33
35,06/15/17,20.70,20.70,20.45,20.6999,2741,-0.2501,-1.19%,20.6999,56.61k,15
36,06/14/17,21.00,21.00,20.007,20.95,1640,-0.05,-0.24%,20.95,33.48k,23
37,06/13/17,20.156,21.00,20.10,21.00,2729,0.971147,4.85%,21.00,55.86k,34
38,06/12/17,20.8499,20.90,20.675,20.90,1326,0.383328,1.95%,20.0289,27.64k,23
39,06/09/17,20.5308,20.55,20.50,20.50,763,0.00,0.00%,19.6455,15.66k,18
40,06/08/17,20.50,20.50,20.50,20.50,366,0.000096,0.00%,19.6455,7.5k,6
41,06/07/17,,,,20.4999,114,0.00,0.00%,19.6454,,3
42,06/06/17,20.25,20.4999,20.25,20.4999,1365,-0.210927,-1.06%,19.6454,27.71k,18
43,06/05/17,,,,20.72,1,0.00,0.00%,19.8564,,1
44,06/02/17,20.40,20.72,20.35,20.72,918,0.306663,1.57%,19.8564,18.75k,14
45,06/01/17,20.80,20.80,20.40,20.40,893,0.028366,0.15%,19.5497,18.35k,7
46,05/31/17,20.40,20.53,20.35,20.3704,1676,-0.028463,-0.15%,19.5213,34.2k,16
47,05/30/17,20.40,20.4001,20.40,20.4001,448,-0.239387,-1.21%,19.5498,9.14k,6
48,05/26/17,20.8787,20.8787,20.2501,20.6499,2763,-0.018017,-0.09%,19.7892,56.19k,17
49,05/25/17,20.65,20.6687,20.65,20.6687,2351,-0.221659,-1.11%,19.8072,48.56k,10
50,05/24/17,,,,20.90,15,0.00,0.00%,20.0289,,2
51,05/23/17,,,,20.90,4,0.00,0.00%,20.0289,,2
52,05/22/17,20.90,20.90,20.90,20.90,300,0.622907,3.21%,20.0289,6.27k,2
53,05/19/17,20.2375,20.25,20.2375,20.25,495,0.095832,0.50%,19.4059,10.02k,6
54,05/18/17,20.3772,20.3772,20.15,20.15,1118,0.095832,0.50%,19.3101,22.74k,14
55,05/17/17,19.80,20.05,19.80,20.05,429,-0.429902,-2.19%,19.2143,8.57k,10
56,05/16/17,20.4986,20.4986,20.4986,20.4986,554,0.449068,2.34%,19.6442,11.36k,5
57,05/15/17,19.05,20.4503,19.00,20.03,4468,1.2276,6.83%,19.1951,89.02k,30
58,05/12/17,20.00,20.00,18.749,18.749,859,-0.575949,-3.11%,17.9675,16.44k,11
59,05/11/17,19.00,19.35,19.00,19.35,2312,0.766655,4.31%,18.5435,44.26k,15
60,05/10/17,,,,18.55,1,0.00,0.00%,17.7768,,1
61,05/09/17,19.10,19.10,18.55,18.55,796,0.143748,0.82%,17.7768,15.04k,11
62,05/08/17,18.40,18.40,18.40,18.40,401,-0.958319,-5.15%,17.6331,7.38k,13
63,05/05/17,19.35,19.40,19.3317,19.40,1137,0.383327,2.11%,18.5914,22k,18
64,05/04/17,,,,19.00,0,,0.00%,18.208,,
65,05/03/17,,,,19.00,2,0.00,0.00%,18.208,,2
66,05/02/17,18.8499,19.00,18.8499,19.00,1168,0.143748,0.80%,18.208,22.04k,21
67,05/01/17,,,,18.85,180,0.00,0.00%,18.0643,,5
68,04/28/17,,,,18.85,139,0.00,0.00%,18.0643,,3
69,04/27/17,,,,18.85,221,0.00,0.00%,18.0643,,3
70,04/26/17,18.85,18.8815,18.7492,18.85,3146,0.219263,1.23%,18.0643,59.21k,35
71,04/25/17,19.00,19.049,18.6212,18.6212,1027,-0.344611,-1.89%,17.845,19.24k,9
72,04/24/17,18.00,18.9808,18.00,18.9808,1256,1.5149,9.09%,18.1896,23.26k,8
73,04/21/17,17.30,18.7293,17.30,17.40,1278,-1.5324,-8.42%,16.6747,23.41k,11
74,04/20/17,19.399,19.399,18.9808,18.999,1184,0.765697,4.39%,18.2071,22.57k,7
75,04/19/17,19.0366,19.0366,18.20,18.20,5240,-0.537233,-2.99%,17.4414,96.51k,54
76,04/18/17,18.5001,18.7606,18.5001,18.7606,403,0.249738,1.41%,17.9786,7.5k,5
77,04/17/17,19.43,19.43,17.95,18.50,5414,-0.383328,-2.12%,17.7289,101.24k,27
78,04/13/17,20.47,20.47,18.90,18.90,3363,-1.5333,-7.80%,18.1122,68.05k,16
79,04/12/17,,,,20.50,90,0.00,0.00%,19.6455,,6
80,04/11/17,20.40,21.40,20.40,20.50,1061,0.143748,0.74%,19.6455,21.79k,11
81,04/10/17,20.00,20.514,20.00,20.35,3040,-0.401536,-2.02%,19.5018,61.64k,11
82,04/07/17,,,,20.769,146,0.00,0.00%,19.9033,,4
83,04/06/17,20.50,20.769,20.50,20.769,2099,0.497367,2.56%,19.9033,43.11k,3
84,04/05/17,20.55,21.4835,20.00,20.25,3763,-0.335411,-1.70%,19.4059,76.9k,44
85,04/04/17,21.404,21.404,20.15,20.60,7659,-1.3416,-6.36%,19.7414,159.5k,49
86,04/03/17,21.30,22.45,21.0001,22.00,5639,0.862487,4.27%,21.083,122.14k,36
87,03/31/17,21.10,21.28,21.10,21.10,1816,0.342503,1.72%,20.2205,38.43k,13
88,03/30/17,20.85,21.268,20.55,20.7426,1399,-0.102924,-0.52%,19.878,29.15k,13
89,03/29/17,21.45,21.45,20.75,20.85,6750,-0.574991,-2.80%,19.9809,142.12k,50
90,03/28/17,21.75,21.75,21.40,21.45,3294,-0.335411,-1.61%,20.5559,71.02k,31
91,03/27/17,22.067,22.50,21.75,21.80,3420,-0.191664,-0.91%,20.8913,75.98k,34
92,03/24/17,22.15,22.15,22.00,22.00,2939,-0.670823,-3.08%,21.083,64.77k,42
93,03/23/17,22.50,22.7842,22.50,22.70,3048,0.047916,0.22%,21.7538,69.13k,16
94,03/22/17,22.10,22.70,22.10,22.65,3541,0.335411,1.57%,21.7059,79.11k,37
95,03/21/17,22.70,22.70,22.10,22.30,8247,-0.239579,-1.11%,21.3705,183.81k,69
96,03/20/17,22.35,23.25,22.00,22.55,26875,-0.383328,-1.74%,21.6101,607.52k,152
97,03/17/17,19.85,23.15,19.85,22.95,108117,3.2104,17.09%,21.9934,2.43m,487
98,03/16/17,19.60,19.60,19.60,19.60,607,0.143748,0.77%,18.783,11.9k,9
99,03/15/17,19.95,19.95,19.45,19.45,1301,-0.043124,-0.23%,18.6393,25.82k,7
100,03/14/17,19.90,19.90,19.40,19.495,448,-0.388119,-2.04%,18.6824,8.78k,7
101,03/13/17,19.90,19.90,19.8623,19.90,1006,1.2865,7.23%,19.0705,20k,13
102,03/10/17,19.5665,19.95,18.6176,18.6176,2749,-0.866776,-4.65%,17.7841,54.04k,16
103,03/09/17,19.50,19.525,19.50,19.525,1186,0.167165,0.90%,18.6509,23.15k,4
104,03/08/17,19.1459,19.9609,19.1459,19.35,1620,-0.604182,-3.17%,18.4837,31.44k,3
105,03/07/17,19.9999,19.9999,19.9825,19.9825,1000,0.360885,1.93%,19.0879,19.99k,2
106,03/06/17,19.85,19.85,19.40,19.6047,1505,-0.282079,-1.48%,18.727,29.64k,36
107,03/03/17,19.7698,19.90,19.7698,19.90,1796,0.267465,1.43%,19.0091,35.63k,12
108,03/02/17,19.85,19.85,19.62,19.62,224,0.448957,2.45%,18.7416,4.42k,3
109,03/01/17,18.4034,19.90,18.4034,19.15,1680,-0.429853,-2.30%,18.2926,32.11k,10
110,02/28/17,19.70,19.75,19.57,19.60,750,-0.286569,-1.51%,18.7225,14.73k,4
111,02/27/17,19.8817,19.90,19.35,19.90,3194,0.381328,2.05%,19.0091,62.98k,24
112,02/24/17,,,,19.5008,102,0.00,0.00%,18.6277,,4
113,02/23/17,,,,19.5008,2,0.00,0.00%,18.6277,,1
114,02/22/17,,,,19.5008,64,0.00,0.00%,18.6277,,3
115,02/21/17,19.501,19.65,19.50,19.5008,2699,-0.429089,-2.25%,18.6277,52.68k,18
116,02/17/17,19.75,19.95,19.75,19.95,335,0.008119,0.04%,19.0568,6.66k,5
117,02/16/17,19.95,20.00,19.8915,19.9415,1912,-0.027224,-0.14%,19.0487,38.17k,11
118,02/15/17,19.30,20.00,19.30,19.97,7246,0.305674,1.63%,19.0759,142.15k,22
119,02/14/17,19.3499,19.65,19.2879,19.65,2569,0.216836,1.17%,18.7703,49.7k,23
120,02/13/17,19.423,19.423,19.423,19.423,278,0.110043,0.60%,18.5534,5.4k,3
121,02/10/17,19.95,19.95,18.5278,19.3078,779,-0.293638,-1.57%,18.4434,15.3k,6
122,02/09/17,19.995,19.995,19.6152,19.6152,366,-0.091033,-0.48%,18.737,7.24k,6
123,02/08/17,19.7105,19.7105,19.7105,19.7105,1025,0.296504,1.60%,18.8281,20.2k,3
124,02/07/17,19.7233,19.7233,19.4001,19.4001,1468,-0.334236,-1.77%,18.5316,28.66k,12
125,02/06/17,19.2501,19.7813,19.25,19.75,2046,-0.191045,-1.00%,18.8658,39.74k,15
126,02/03/17,19.99,20.00,19.95,19.95,2058,0.360122,1.93%,19.0568,41.15k,13
127,02/02/17,19.65,19.65,19.573,19.573,480,0.308539,1.68%,18.6967,9.41k,4
128,02/01/17,19.30,19.35,19.25,19.25,1530,-0.095524,-0.52%,18.3882,29.54k,16
129,01/31/17,19.15,19.53,18.8564,19.35,4455,-0.286568,-1.53%,18.4837,85.29k,23
130,01/30/17,,,,19.65,0,,0.00%,18.7703,,
131,01/27/17,18.2001,19.65,18.2001,19.65,3641,-0.095524,-0.51%,18.7703,68.95k,16
132,01/26/17,,,,19.75,0,,0.00%,18.8658,,
133,01/25/17,19.55,19.75,19.50,19.75,1199,0.00,0.00%,18.8658,23.45k,15
134,01/24/17,19.75,19.75,19.75,19.75,539,0.00,0.00%,18.8658,10.65k,4
135,01/23/17,19.2501,19.80,19.2501,19.75,1881,0.309878,1.67%,18.8658,36.57k,20
136,01/20/17,19.4797,19.4797,19.2693,19.4256,2421,0.165349,0.90%,18.5559,46.91k,12
137,01/19/17,19.2537,19.2857,19.2525,19.2525,1251,-0.23642,-1.27%,18.3906,24.1k,4
138,01/18/17,19.50,19.50,19.50,19.50,100,-0.429852,-2.26%,18.627,1.95k,1
139,01/17/17,19.9499,19.95,19.9499,19.95,1048,0.238807,1.27%,19.0568,20.91k,5
140,01/13/17,18.9189,19.945,18.9189,19.70,3319,-0.095524,-0.51%,18.818,64.96k,19
141,01/12/17,20.00,20.00,19.2298,19.80,7099,-0.81672,-4.14%,18.9135,139.73k,29
