,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,0.92,0.96,0.90,0.95,59133,0.0002,0.02%,0.95,55.54k,117
2,08/03/17,0.93,0.95,0.93,0.9498,1662,0.0097,1.03%,0.9498,1.56k,24
3,08/02/17,0.921,0.9544,0.92,0.9401,7836,0.0101,1.09%,0.9401,7.33k,42
4,08/01/17,0.94,0.9566,0.92,0.93,5679,-0.0001,-0.01%,0.93,5.33k,22
5,07/31/17,0.935,0.96,0.9301,0.9301,6745,-0.02,-2.11%,0.9301,6.34k,25
6,07/28/17,0.9799,0.9799,0.9374,0.9501,2545,0.0001,0.01%,0.9501,2.43k,23
7,07/27/17,0.9799,0.9799,0.9316,0.95,2753,-0.0299,-3.05%,0.95,2.63k,31
8,07/26/17,0.95,0.9799,0.93,0.9799,8740,0.0199,2.07%,0.9799,8.27k,35
9,07/25/17,0.9817,1.01,0.96,0.96,15810,-0.02,-2.04%,0.96,15.61k,92
10,07/24/17,0.9888,1.01,0.97,0.98,69770,0.02,2.08%,0.98,68.41k,276
11,07/21/17,0.955,1.00,0.955,0.96,16408,-0.01,-1.03%,0.96,16.09k,42
12,07/20/17,0.932,0.97,0.932,0.97,18997,0.03,3.19%,0.97,18.36k,49
13,07/19/17,0.9889,0.9889,0.93,0.94,64880,-0.01,-1.05%,0.94,61.62k,140
14,07/18/17,0.95,0.95,0.916093,0.95,13880,-0.02,-2.06%,0.95,13.15k,36
15,07/17/17,0.9889,0.9889,0.95,0.97,30379,0.02,2.11%,0.97,29.06k,44
16,07/14/17,0.91,0.9897,0.91,0.95,30437,0.03,3.26%,0.95,29.43k,75
17,07/13/17,0.9111,0.965,0.9111,0.92,9095,-0.0296,-3.12%,0.92,8.45k,31
18,07/12/17,0.996,0.9999,0.90,0.9496,24425,-0.0122,-1.27%,0.9496,22.73k,209
19,07/11/17,0.951,1.02,0.951,0.9618,33920,-0.0082,-0.85%,0.9618,33.87k,84
20,07/10/17,0.9502,0.97,0.9502,0.97,2044,0.01,1.04%,0.97,1.96k,24
21,07/07/17,0.965,0.965,0.93,0.96,3783,-0.01,-1.03%,0.96,3.6k,38
22,07/06/17,0.962,0.9702,0.9502,0.97,1216,0.00,0.00%,0.97,1.17k,23
23,07/05/17,0.989,0.989,0.9502,0.97,11901,0.00,0.00%,0.97,11.46k,61
24,06/30/17,0.9483,0.99,0.89,0.90,69957,-0.0568,-5.94%,0.90,65.65k,139
25,06/29/17,0.908512,0.98,0.908512,0.9568,1385,-0.0132,-1.36%,0.9568,1.3k,17
26,06/28/17,0.902,0.97,0.902,0.97,1904,0.06,6.59%,0.97,1.79k,17
27,06/27/17,0.932,0.98,0.902,0.91,14168,-0.04,-4.21%,0.91,13.05k,74
28,06/26/17,0.922,0.97,0.922,0.95,5323,0.0046,0.49%,0.95,5.06k,27
