,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,10.12,10.27,9.96,10.00,727059,-0.02,-0.20%,10.00,7.32m,5425
2,08/03/17,11.20,11.229,9.90,10.02,1193250,-0.98,-8.91%,10.02,12.32m,6652
3,08/02/17,11.34,11.40,11.00,11.00,499338,-0.22,-1.96%,11.00,5.53m,3845
4,08/01/17,11.52,11.65,11.125,11.22,571077,-0.24,-2.09%,11.22,6.43m,3565
5,07/31/17,11.71,11.79,11.30,11.46,609428,0.07,0.61%,11.46,6.99m,2715
6,07/28/17,11.45,11.6317,11.17,11.39,414512,-0.08,-0.70%,11.39,4.7m,3301
7,07/27/17,12.03,12.11,11.39,11.47,722962,-0.56,-4.66%,11.47,8.43m,4015
8,07/26/17,11.87,12.17,11.79,12.03,598026,0.16,1.35%,12.03,7.17m,3805
9,07/25/17,12.39,12.42,11.85,11.87,699288,-0.32,-2.63%,11.87,8.39m,4778
10,07/24/17,11.99,12.20,11.84,12.19,405902,0.21,1.75%,12.19,4.89m,3022
11,07/21/17,12.27,12.51,11.79,11.98,607695,-0.33,-2.68%,11.98,7.32m,4241
12,07/20/17,12.79,12.85,12.25,12.31,388197,-0.38,-2.99%,12.31,4.85m,3203
13,07/19/17,12.57,12.85,12.55,12.69,301106,0.21,1.68%,12.69,3.83m,2217
14,07/18/17,12.40,12.61,12.30,12.48,362438,0.09,0.73%,12.48,4.53m,2046
15,07/17/17,12.15,12.6265,12.10,12.39,450787,0.24,1.98%,12.39,5.6m,3170
16,07/14/17,12.34,12.50,12.08,12.15,501502,-0.64,-5.00%,12.15,6.17m,3326
17,07/13/17,12.29,12.85,12.02,12.79,547731,0.42,3.40%,12.79,6.81m,3873
18,07/12/17,13.46,13.50,11.97,12.37,1023361,-1.14,-8.44%,12.37,12.83m,6416
19,07/11/17,13.42,13.66,13.36,13.51,400681,0.15,1.12%,13.51,5.41m,2633
20,07/10/17,13.10,13.48,13.05,13.36,460183,0.32,2.45%,13.36,6.14m,3471
21,07/07/17,12.96,13.0949,12.71,13.04,233486,0.09,0.69%,13.04,3.03m,2004
22,07/06/17,13.22,13.23,12.85,12.95,250054,-0.31,-2.34%,12.95,3.26m,2060
23,07/05/17,12.75,13.3979,12.68,13.26,496318,0.54,4.25%,13.26,6.53m,3699
24,06/30/17,12.96,12.99,12.501,12.65,361724,-0.26,-2.01%,12.65,4.58m,2646
25,06/29/17,13.23,13.23,12.52,12.91,460145,-0.19,-1.45%,12.91,5.87m,3503
26,06/28/17,12.51,13.27,12.50,13.10,515877,0.63,5.05%,13.10,6.72m,3659
27,06/27/17,13.08,13.18,12.44,12.47,548593,-0.75,-5.67%,12.47,6.99m,3746
28,06/26/17,13.80,14.00,13.00,13.22,900556,-0.50,-3.64%,13.22,12.12m,6257
29,06/23/17,13.18,13.76,13.1301,13.72,693085,0.58,4.41%,13.72,9.34m,4068
30,06/22/17,12.89,13.35,12.72,13.14,586101,0.35,2.74%,13.14,7.71m,3957
31,06/21/17,12.22,12.85,12.1182,12.79,650632,0.71,5.88%,12.79,8.21m,4647
32,06/20/17,11.65,12.33,11.52,12.08,509457,0.56,4.86%,12.08,6.12m,3740
33,06/19/17,11.33,11.70,11.13,11.52,449783,0.20,1.77%,11.52,5.18m,2864
34,06/16/17,11.28,11.3277,11.00,11.32,689112,-0.01,-0.09%,11.32,7.73m,3168
35,06/15/17,11.22,11.54,11.18,11.33,415812,-0.01,-0.09%,11.33,4.71m,2935
36,06/14/17,10.87,11.40,10.85,11.34,588745,0.47,4.32%,11.34,6.6m,3743
37,06/13/17,10.90,11.36,10.77,10.87,545835,-0.08,-0.73%,10.87,5.98m,3899
38,06/12/17,11.35,11.40,10.80,10.95,747699,-0.53,-4.62%,10.95,8.28m,4651
39,06/09/17,11.65,11.879,11.431,11.48,661537,-0.52,-4.33%,11.48,7.71m,4044
40,06/08/17,11.98,12.1396,11.70,12.00,514970,-0.09,-0.74%,12.00,6.16m,2954
41,06/07/17,12.47,12.6321,12.031,12.09,669493,-0.46,-3.67%,12.09,8.22m,4649
42,06/06/17,12.80,13.11,12.50,12.55,683917,-0.31,-2.41%,12.55,8.67m,4772
43,06/05/17,13.15,13.45,12.82,12.86,1194683,-1.22,-8.66%,12.86,15.58m,6751
44,06/02/17,14.28,14.46,13.55,14.08,780576,-0.11,-0.78%,14.08,10.86m,5421
45,06/01/17,14.66,14.80,13.8144,14.19,733826,-0.51,-3.47%,14.19,10.46m,5057
46,05/31/17,14.46,15.02,14.26,14.70,1054043,0.13,0.89%,14.70,15.44m,5252
47,05/30/17,14.00,14.87,14.00,14.57,984294,0.44,3.11%,14.57,14.32m,5666
48,05/26/17,14.25,14.69,13.90,14.13,723027,-0.08,-0.56%,14.13,10.22m,4441
49,05/25/17,13.70,14.31,13.57,14.21,951758,0.79,5.89%,14.21,13.34m,6139
50,05/24/17,13.80,13.84,13.11,13.42,775157,0.24,1.82%,13.42,10.44m,5055
51,05/23/17,13.29,13.48,12.875,13.18,526096,-0.04,-0.30%,13.18,6.93m,3473
52,05/22/17,12.59,13.48,12.59,13.22,906695,0.63,5.00%,13.22,11.93m,5661
53,05/19/17,12.31,12.95,12.28,12.59,808026,0.39,3.20%,12.59,10.21m,4488
54,05/18/17,12.15,12.29,11.981,12.20,373849,0.11,0.91%,12.20,4.55m,2442
55,05/17/17,12.24,12.42,11.9958,12.09,564347,0.07,0.58%,12.09,6.89m,3715
56,05/16/17,12.22,12.239,11.85,12.02,337569,-0.10,-0.83%,12.02,4.07m,2778
57,05/15/17,11.76,12.26,11.76,12.12,614062,0.45,3.86%,12.12,7.4m,4044
58,05/12/17,11.58,11.84,11.5183,11.67,416867,0.07,0.60%,11.67,4.87m,3114
59,05/11/17,11.21,11.68,11.09,11.60,404284,0.01,0.09%,11.60,4.62m,2958
60,05/10/17,11.06,11.67,10.55,11.59,1056517,-0.20,-1.70%,11.59,11.65m,6400
61,05/09/17,10.50,12.30,10.50,11.79,1483454,1.11,10.39%,11.79,17.33m,7891
62,05/08/17,10.86,10.985,10.555,10.68,339640,-0.17,-1.57%,10.68,3.64m,3004
63,05/05/17,10.62,10.90,10.51,10.85,347062,0.20,1.88%,10.85,3.71m,2348
64,05/04/17,10.70,10.80,10.51,10.65,331562,-0.08,-0.75%,10.65,3.54m,2339
65,05/03/17,10.95,10.95,10.50,10.73,311915,-0.22,-2.01%,10.73,3.34m,2287
66,05/02/17,11.25,11.46,10.93,10.95,447495,-0.25,-2.23%,10.95,5.01m,3231
67,05/01/17,11.22,11.69,11.19,11.20,734522,-0.05,-0.44%,11.20,8.43m,3504
68,04/28/17,11.38,11.84,11.10,11.25,704471,-0.13,-1.14%,11.25,8.08m,4040
69,04/27/17,11.20,11.534,11.114,11.38,598701,0.17,1.52%,11.38,6.79m,3570
70,04/26/17,10.53,11.22,10.53,11.21,661461,0.70,6.66%,11.21,7.23m,3572
71,04/25/17,10.68,10.68,10.3701,10.51,345933,0.15,1.45%,10.51,3.65m,2401
72,04/24/17,10.29,10.489,10.12,10.36,537979,0.15,1.47%,10.36,5.56m,2826
73,04/21/17,10.45,10.55,10.155,10.21,371252,-0.21,-2.02%,10.21,3.82m,2619
74,04/20/17,10.46,10.4999,10.25,10.42,389891,-0.01,-0.10%,10.42,4.06m,2797
75,04/19/17,10.41,10.55,10.32,10.43,383767,0.00,0.00%,10.43,4m,3190
76,04/18/17,10.52,10.54,10.2453,10.43,428675,-0.14,-1.32%,10.43,4.46m,3134
77,04/17/17,11.02,11.15,10.4599,10.57,595929,-0.45,-4.08%,10.57,6.38m,3977
78,04/13/17,11.31,11.467,10.961,11.02,577816,-0.23,-2.04%,11.02,6.44m,4305
79,04/12/17,11.29,11.55,11.05,11.25,553873,0.03,0.27%,11.25,6.24m,4254
80,04/11/17,11.09,11.55,10.83,11.22,955576,0.19,1.72%,11.22,10.7m,6666
81,04/10/17,10.55,11.25,10.55,11.03,1050617,0.67,6.47%,11.03,11.57m,6793
82,04/07/17,10.23,10.5568,10.22,10.36,906196,0.14,1.37%,10.36,9.42m,3687
83,04/06/17,10.02,10.28,9.86,10.22,508451,0.19,1.89%,10.22,5.13m,3685
84,04/05/17,10.04,10.75,9.88,10.03,1171735,-0.05,-0.50%,10.03,11.92m,5531
85,04/04/17,10.72,10.75,10.05,10.08,952213,-0.67,-6.23%,10.08,9.78m,4752
86,04/03/17,10.25,11.01,10.01,10.75,890399,0.24,2.28%,10.75,9.5m,5032
87,03/31/17,10.96,11.13,10.46,10.51,593780,-0.48,-4.37%,10.51,6.35m,3347
88,03/30/17,11.02,11.19,10.87,10.99,360675,-0.05,-0.45%,10.99,3.98m,2594
