,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,38.62,39.07,38.495,38.83,56304,0.36,0.94%,38.83,2.19m,769
2,08/03/17,38.85,39.08,38.31,38.47,46712,-0.50,-1.28%,38.47,1.8m,699
3,08/02/17,39.32,39.41,38.405,38.97,37502,-0.22,-0.56%,38.97,1.46m,501
4,08/01/17,39.52,39.69,39.08,39.19,49265,0.06,0.15%,39.19,1.94m,646
5,07/31/17,39.00,39.71,38.60,39.13,71613,0.22,0.57%,39.13,2.81m,748
6,07/28/17,38.72,38.99,38.5831,38.91,47293,0.05,0.13%,38.91,1.84m,546
7,07/27/17,39.20,39.32,37.041,38.86,82370,-0.25,-0.64%,38.86,3.2m,684
8,07/26/17,39.01,39.44,38.71,39.11,57890,0.09,0.23%,39.11,2.27m,783
9,07/25/17,38.03,39.09,38.03,39.02,80889,1.20,3.17%,39.02,3.13m,706
10,07/24/17,37.80,38.11,37.70,37.82,46731,0.03,0.08%,37.82,1.77m,695
11,07/21/17,38.32,38.32,37.67,37.79,39890,-0.37,-0.97%,37.79,1.52m,473
12,07/20/17,38.06,38.3699,37.86,38.16,28499,0.12,0.32%,38.16,1.09m,435
13,07/19/17,38.13,38.48,37.57,38.04,45037,-0.04,-0.11%,38.04,1.71m,635
14,07/18/17,37.84,38.23,37.725,38.08,67985,0.23,0.61%,38.08,2.59m,503
15,07/17/17,37.55,38.05,37.31,37.85,50028,0.19,0.50%,37.85,1.89m,597
16,07/14/17,37.90,37.965,37.58,37.66,55364,-0.41,-1.08%,37.66,2.09m,767
17,07/13/17,38.23,38.29,37.93,38.07,54492,0.01,0.03%,38.07,2.08m,832
18,07/12/17,38.08,38.48,38.05,38.06,39191,0.01,0.03%,38.06,1.5m,492
19,07/11/17,37.90,38.08,37.455,38.05,61165,0.18,0.48%,38.05,2.32m,687
20,07/10/17,37.88,38.34,37.80,37.87,27455,-0.21,-0.55%,37.87,1.04m,382
21,07/07/17,37.79,38.26,37.65,38.08,29170,0.44,1.17%,38.08,1.11m,345
22,07/06/17,38.01,38.24,37.57,37.64,42972,-0.56,-1.47%,37.64,1.63m,494
23,07/05/17,38.33,38.35,37.81,38.20,49771,-0.13,-0.34%,38.20,1.9m,505
24,06/30/17,38.51,38.51,37.69,37.76,64503,-0.61,-1.59%,37.76,2.45m,741
25,06/29/17,38.62,38.70,37.99,38.37,53023,0.02,0.05%,38.37,2.03m,753
26,06/28/17,38.23,38.83,38.23,38.35,50787,0.30,0.79%,38.35,1.95m,660
27,06/27/17,37.80,38.10,37.58,38.05,65772,0.08,0.21%,38.05,2.5m,1099
28,06/26/17,38.14,38.39,37.66,37.97,73833,-0.13,-0.34%,37.97,2.81m,855
29,06/23/17,37.99,38.18,37.71,38.10,98396,0.25,0.66%,38.10,3.74m,814
30,06/22/17,37.89,38.01,37.44,37.85,55790,0.05,0.13%,37.85,2.11m,657
31,06/21/17,38.12,38.30,37.59,37.80,63507,-0.03,-0.08%,37.80,2.4m,783
32,06/20/17,38.83,38.89,37.745,37.83,87068,-1.03,-2.65%,37.83,3.31m,994
33,06/19/17,37.97,39.37,37.67,38.86,174102,0.96,2.53%,38.86,6.73m,1745
34,06/16/17,35.97,38.29,35.47,37.90,405178,1.66,4.58%,37.90,15.2m,1502
