,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,,,,10.76,0,,0.00%,10.76,,
2,08/03/17,,,,10.76,0,,0.00%,10.76,,
3,08/02/17,10.76,10.76,10.76,10.76,1000,-0.02,-0.19%,10.76,10.76k,5
4,08/01/17,10.78,10.78,10.78,10.78,200,-0.018,-0.17%,10.78,2.16k,2
5,07/31/17,,,,10.798,0,,0.00%,10.798,,
6,07/28/17,,,,10.798,0,,0.00%,10.798,,
7,07/27/17,,,,10.798,0,,0.00%,10.798,,
8,07/26/17,,,,10.798,0,,0.00%,10.798,,
9,07/25/17,,,,10.798,0,,0.00%,10.798,,
10,07/24/17,,,,10.798,0,,0.00%,10.798,,
11,07/21/17,,,,10.798,0,,0.00%,10.798,,
12,07/20/17,,,,10.798,0,,0.00%,10.798,,
13,07/19/17,10.80,10.80,10.798,10.798,296,0.018,0.17%,10.798,3.2k,4
14,07/18/17,10.78,10.78,10.78,10.78,1000,0.03,0.28%,10.78,10.78k,1
15,07/17/17,,,,10.75,0,,0.00%,10.75,,
16,07/14/17,10.68,10.75,10.68,10.75,500,0.00,0.00%,10.75,5.36k,3
17,07/13/17,10.75,10.75,10.75,10.75,402,0.10,0.94%,10.75,4.32k,2
18,07/12/17,10.65,10.65,10.65,10.65,1000,0.00,0.00%,10.65,10.65k,2
19,07/11/17,,,,10.65,0,,0.00%,10.65,,
20,07/10/17,,,,10.65,100,0.00,0.00%,10.65,,2
21,07/07/17,10.65,10.65,10.65,10.65,100,-0.0998,-0.93%,10.65,1.07k,1
22,07/06/17,10.7498,10.7498,10.7498,10.7498,100,0.0698,0.65%,10.7498,1.07k,1
23,07/05/17,,,,10.68,0,,0.00%,10.68,,
24,06/30/17,,,,10.68,4,0.00,0.00%,10.68,,1
25,06/29/17,,,,10.68,0,,0.00%,10.68,,
26,06/28/17,,,,10.68,0,,0.00%,10.68,,
27,06/27/17,10.67,10.7262,10.67,10.68,2698,0.00,0.00%,10.68,28.82k,5
28,06/26/17,,,,10.68,0,,0.00%,10.68,,
29,06/23/17,,,,10.68,0,,0.00%,10.68,,
30,06/22/17,,,,10.68,0,,0.00%,10.68,,
31,06/21/17,,,,10.68,0,,0.00%,10.68,,
32,06/20/17,,,,10.68,0,,0.00%,10.68,,
33,06/19/17,,,,10.68,0,,0.00%,10.68,,
34,06/16/17,10.68,10.7297,10.68,10.68,1300,-0.043,-0.40%,10.68,13.89k,4
35,06/15/17,,,,10.723,0,,0.00%,10.723,,
36,06/14/17,,,,10.723,0,,0.00%,10.723,,
37,06/13/17,,,,10.723,0,,0.00%,10.723,,
38,06/12/17,,,,10.723,1,0.00,0.00%,10.723,,1
39,06/09/17,,,,10.723,1,0.00,0.00%,10.723,,1
40,06/08/17,,,,10.723,0,,0.00%,10.723,,
41,06/07/17,10.67,10.723,10.67,10.723,400,-0.007,-0.07%,10.723,4.28k,2
42,06/06/17,,,,10.73,0,,0.00%,10.73,,
43,06/05/17,,,,10.73,0,,0.00%,10.73,,
44,06/02/17,,,,10.73,0,,0.00%,10.73,,
45,06/01/17,,,,10.73,0,,0.00%,10.73,,
46,05/31/17,10.55,10.73,10.50,10.73,2000,-0.02,-0.19%,10.73,21.19k,8
47,05/30/17,,,,10.75,0,,0.00%,10.75,,
48,05/26/17,,,,10.75,0,,0.00%,10.75,,
49,05/25/17,10.70,10.75,10.70,10.75,300,-0.009,-0.08%,10.75,3.22k,4
50,05/24/17,,,,10.759,0,,0.00%,10.759,,
51,05/23/17,,,,10.759,0,,0.00%,10.759,,
52,05/22/17,,,,10.759,0,,0.00%,10.759,,
53,05/19/17,10.72,10.759,10.63,10.759,1000,0.0055,0.05%,10.759,10.73k,4
54,05/18/17,,,,10.7535,0,,0.00%,10.7535,,
55,05/17/17,,,,10.7535,0,,0.00%,10.7535,,
56,05/16/17,10.7535,10.7535,10.7535,10.7535,200,-0.1556,-1.43%,10.7535,2.15k,1
57,05/15/17,,,,10.9091,0,,0.00%,10.9091,,
58,05/12/17,,,,10.9091,0,,0.00%,10.9091,,
59,05/11/17,,,,10.9091,0,,0.00%,10.9091,,
60,05/10/17,,,,10.9091,0,,0.00%,10.9091,,
61,05/09/17,,,,10.9091,0,,0.00%,10.9091,,
62,05/08/17,,,,10.9091,0,,0.00%,10.9091,,
63,05/05/17,,,,10.9091,0,,0.00%,10.9091,,
64,05/04/17,11.3946,11.3946,10.82,10.9091,400,0.079,0.73%,10.9091,4.45k,3
65,05/03/17,10.89,10.89,10.8301,10.8301,1033,0.0201,0.19%,10.8301,11.19k,3
66,05/02/17,10.81,10.81,10.81,10.81,137,-0.09,-0.83%,10.81,1.48k,2
67,05/01/17,,,,10.90,0,,0.00%,10.90,,
68,04/28/17,,,,10.90,0,,0.00%,10.90,,
69,04/27/17,,,,10.90,0,,0.00%,10.90,,
70,04/26/17,10.74,10.90,10.74,10.90,18137,0.18,1.68%,10.90,195.2k,18
71,04/25/17,,,,10.72,0,,0.00%,10.72,,
72,04/24/17,,,,10.72,0,,0.00%,10.72,,
73,04/21/17,10.72,10.72,10.72,10.72,7000,-0.03,-0.28%,10.72,75.04k,1
74,04/20/17,10.6501,10.75,10.65,10.75,3800,0.11,1.03%,10.75,40.48k,3
75,04/19/17,,,,10.64,0,,0.00%,10.64,,
76,04/18/17,,,,10.64,0,,0.00%,10.64,,
77,04/17/17,10.73,10.73,10.56,10.64,1400,-0.18,-1.66%,10.64,14.84k,5
78,04/13/17,,,,10.82,0,,0.00%,10.82,,
79,04/12/17,,,,10.82,0,,0.00%,10.82,,
80,04/11/17,,,,10.82,0,,0.00%,10.82,,
81,04/10/17,,,,10.82,0,,0.00%,10.82,,
82,04/07/17,10.81,10.82,10.81,10.82,1463,0.01,0.09%,10.82,15.82k,5
83,04/06/17,,,,10.81,0,,0.00%,10.81,,
84,04/05/17,,,,10.81,0,,0.00%,10.81,,
85,04/04/17,,,,10.81,0,,0.00%,10.81,,
86,04/03/17,,,,10.81,0,,0.00%,10.81,,
87,03/31/17,10.81,10.81,10.81,10.81,2163,-0.01,-0.09%,10.81,23.38k,11
88,03/30/17,,,,10.82,0,,0.00%,10.82,,
89,03/29/17,,,,10.82,0,,0.00%,10.82,,
90,03/28/17,10.82,10.82,10.82,10.82,100,0.00,0.00%,10.82,1.08k,1
91,03/27/17,,,,10.82,33,0.00,0.00%,10.82,,1
92,03/24/17,10.81,10.86,10.81,10.82,11000,0.03,0.28%,10.82,119.03k,13
93,03/23/17,,,,10.79,0,,0.00%,10.79,,
94,03/22/17,10.79,10.79,10.79,10.79,100,-0.02,-0.19%,10.79,1.08k,1
95,03/21/17,10.81,10.81,10.81,10.81,200,0.00,0.00%,10.81,2.16k,1
96,03/20/17,10.81,10.81,10.81,10.81,200,0.02,0.19%,10.81,2.16k,1
97,03/17/17,,,,10.79,0,,0.00%,10.79,,
98,03/16/17,,,,10.79,0,,0.00%,10.79,,
99,03/15/17,10.79,10.79,10.79,10.79,200,-0.01,-0.09%,10.79,2.16k,1
100,03/14/17,,,,10.80,0,,0.00%,10.80,,
101,03/13/17,10.80,10.80,10.80,10.80,2200,0.00,0.00%,10.80,23.76k,4
