,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,7.15,7.40,7.10,7.20,54237,0.10,1.41%,7.20,391.65k,525
2,08/03/17,7.40,7.40,7.10,7.10,74311,-0.20,-2.74%,7.10,536.08k,681
3,08/02/17,7.20,7.40,7.20,7.30,120457,0.10,1.39%,7.30,876.08k,579
4,08/01/17,7.35,7.40,7.10,7.20,121158,-0.10,-1.37%,7.20,871.69k,944
5,07/31/17,7.10,7.40,7.05,7.30,148161,0.20,2.82%,7.30,1.08m,900
6,07/28/17,7.40,7.45,7.00,7.10,372332,-0.35,-4.70%,7.10,2.66m,1667
7,07/27/17,7.65,7.65,7.40,7.45,252107,-0.15,-1.97%,7.45,1.89m,1853
8,07/26/17,7.70,7.70,7.55,7.60,198414,-0.15,-1.94%,7.60,1.51m,1213
9,07/25/17,7.70,7.825,7.55,7.75,187454,0.10,1.31%,7.75,1.44m,1055
10,07/24/17,7.65,7.75,7.60,7.65,109710,0.05,0.66%,7.65,840.2k,808
11,07/21/17,8.00,8.05,7.60,7.60,420872,-0.30,-3.80%,7.60,3.23m,1101
12,07/20/17,7.75,8.00,7.70,7.90,191752,0.15,1.94%,7.90,1.51m,1151
13,07/19/17,7.70,7.75,7.50,7.75,206186,0.075,0.98%,7.75,1.58m,1060
14,07/18/17,7.80,7.925,7.50,7.675,233356,-0.175,-2.23%,7.675,1.78m,1590
15,07/17/17,7.70,8.10,7.70,7.85,347978,0.15,1.95%,7.85,2.77m,1967
16,07/14/17,7.70,7.80,7.65,7.70,147844,0.05,0.65%,7.70,1.14m,916
17,07/13/17,7.80,7.90,7.525,7.65,329421,-0.10,-1.29%,7.65,2.53m,2216
18,07/12/17,7.55,7.80,7.40,7.75,1978223,-0.10,-1.27%,7.75,15.06m,6905
19,07/11/17,8.50,8.50,7.80,7.85,322462,-0.65,-7.65%,7.85,2.58m,2000
20,07/10/17,8.60,8.75,8.40,8.50,195171,-0.10,-1.16%,8.50,1.66m,1283
21,07/07/17,8.55,8.80,8.3996,8.60,189428,0.00,0.00%,8.60,1.62m,1436
22,07/06/17,8.60,8.80,8.50,8.60,72377,-0.05,-0.58%,8.60,624.33k,655
23,07/05/17,8.75,8.85,8.475,8.65,75818,-0.15,-1.70%,8.65,654.86k,902
24,06/30/17,9.25,9.25,8.50,8.60,217862,-0.65,-7.03%,8.60,1.91m,1683
25,06/29/17,9.20,9.65,8.40,9.25,534596,0.00,0.00%,9.25,4.77m,2919
26,06/28/17,8.50,9.30,8.50,9.25,327757,0.75,8.82%,9.25,2.9m,1434
27,06/27/17,8.10,8.80,8.10,8.50,246663,0.40,4.94%,8.50,2.11m,1730
28,06/26/17,8.05,8.70,7.70,8.10,272741,-0.15,-1.82%,8.10,2.24m,1976
29,06/23/17,7.95,8.25,7.60,8.25,2613023,0.35,4.43%,8.25,21.4m,3806
30,06/22/17,7.75,8.15,7.70,7.90,348105,0.05,0.64%,7.90,2.78m,2285
31,06/21/17,7.05,7.90,7.05,7.85,683644,0.80,11.35%,7.85,5.2m,2944
32,06/20/17,7.00,7.05,6.90,7.05,217202,0.05,0.71%,7.05,1.52m,928
33,06/19/17,7.10,7.15,6.95,7.00,225742,-0.10,-1.41%,7.00,1.59m,1535
34,06/16/17,7.00,7.125,6.95,7.10,344642,0.15,2.16%,7.10,2.44m,1253
35,06/15/17,7.00,7.05,6.85,6.95,66415,-0.05,-0.71%,6.95,463.22k,781
36,06/14/17,7.05,7.10,6.90,7.00,207979,0.00,0.00%,7.00,1.46m,1156
37,06/13/17,6.65,7.075,6.65,7.00,94585,0.35,5.26%,7.00,658.63k,1017
38,06/12/17,6.65,6.80,6.65,6.65,76682,-0.05,-0.75%,6.65,512.28k,884
39,06/09/17,6.95,6.95,6.65,6.70,48140,-0.05,-0.74%,6.70,325.68k,663
40,06/08/17,6.80,6.85,6.55,6.75,88720,-0.10,-1.46%,6.75,594.34k,1143
41,06/07/17,6.90,6.95,6.75,6.85,61369,-0.10,-1.44%,6.85,420.67k,643
42,06/06/17,7.10,7.10,6.90,6.95,28086,-0.05,-0.71%,6.95,196.08k,451
43,06/05/17,7.00,7.05,6.85,7.00,446604,-0.05,-0.71%,7.00,3.12m,680
44,06/02/17,7.00,7.05,6.85,7.05,78702,0.10,1.44%,7.05,547.76k,623
45,06/01/17,6.80,7.00,6.80,6.95,77050,0.15,2.21%,6.95,534.9k,890
46,05/31/17,7.00,7.05,6.65,6.80,55128,-0.20,-2.86%,6.80,378.1k,563
47,05/30/17,7.15,7.15,6.95,7.00,52382,-0.15,-2.10%,7.00,367.88k,563
48,05/26/17,7.05,7.20,7.035,7.15,134066,0.10,1.42%,7.15,955.84k,735
49,05/25/17,7.05,7.05,6.95,7.05,49379,0.05,0.71%,7.05,346.97k,634
50,05/24/17,7.00,7.10,6.90,7.00,105844,0.10,1.45%,7.00,743.79k,685
51,05/23/17,6.95,6.95,6.70,6.90,53564,-0.05,-0.72%,6.90,366.51k,486
52,05/22/17,7.00,7.00,6.85,6.95,44379,-0.05,-0.71%,6.95,308.58k,475
