,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,20.00,20.20,19.55,19.70,241240,-0.30,-1.50%,19.70,4.79m,1905
2,08/03/17,20.55,20.60,19.70,20.00,171568,-0.50,-2.44%,20.00,3.43m,1405
3,08/02/17,20.80,20.80,20.15,20.50,152930,-0.15,-0.73%,20.50,3.12m,1388
4,08/01/17,20.85,20.975,20.55,20.65,79912,-0.05,-0.24%,20.65,1.65m,1024
5,07/31/17,21.20,21.20,20.40,20.70,248125,-0.05,-0.24%,20.70,5.13m,2149
6,07/28/17,20.55,20.85,20.25,20.75,111899,0.15,0.73%,20.75,2.3m,1280
7,07/27/17,20.70,21.05,20.40,20.60,171346,-0.15,-0.72%,20.60,3.54m,1389
8,07/26/17,21.35,21.35,20.45,20.75,190809,-0.60,-2.81%,20.75,3.95m,1804
9,07/25/17,21.50,21.70,21.15,21.35,256549,-0.15,-0.70%,21.35,5.51m,1733
10,07/24/17,21.25,21.55,21.15,21.50,122772,0.30,1.42%,21.50,2.62m,1018
11,07/21/17,21.35,21.35,20.90,21.20,253893,-0.25,-1.17%,21.20,5.37m,1242
12,07/20/17,21.60,21.775,21.30,21.45,133575,-0.20,-0.92%,21.45,2.86m,1616
13,07/19/17,21.60,21.80,21.35,21.65,175297,0.05,0.23%,21.65,3.79m,1570
14,07/18/17,21.50,21.70,21.20,21.60,317150,0.05,0.23%,21.60,6.79m,2537
15,07/17/17,21.35,21.70,21.00,21.55,258413,0.30,1.41%,21.55,5.55m,1989
16,07/14/17,20.90,21.40,20.60,21.25,167639,0.30,1.43%,21.25,3.54m,1220
17,07/13/17,20.75,21.10,20.65,20.95,172431,0.20,0.96%,20.95,3.61m,1223
18,07/12/17,20.15,21.10,20.10,20.75,440684,1.05,5.33%,20.75,9.15m,3045
19,07/11/17,20.00,20.05,19.40,19.70,147725,-0.35,-1.75%,19.70,2.92m,1171
20,07/10/17,19.70,20.25,19.50,20.05,134494,0.30,1.52%,20.05,2.69m,1163
21,07/07/17,19.35,19.80,19.35,19.75,76405,0.50,2.60%,19.75,1.5m,699
22,07/06/17,19.45,19.80,19.20,19.25,137946,-0.30,-1.53%,19.25,2.68m,1083
23,07/05/17,18.85,19.60,18.85,19.55,130106,0.45,2.36%,19.55,2.52m,1044
24,06/30/17,19.55,19.90,19.35,19.35,140372,-0.20,-1.02%,19.35,2.74m,1216
25,06/29/17,19.80,20.25,18.95,19.55,330476,-0.30,-1.51%,19.55,6.53m,2225
26,06/28/17,19.55,20.00,19.40,19.85,198496,0.40,2.06%,19.85,3.92m,1197
27,06/27/17,19.45,19.65,19.00,19.45,150959,-0.05,-0.26%,19.45,2.93m,1329
28,06/26/17,19.70,19.7189,19.25,19.50,135340,-0.05,-0.26%,19.50,2.64m,886
29,06/23/17,19.35,19.70,19.24,19.55,255544,0.25,1.30%,19.55,4.99m,1388
30,06/22/17,19.45,19.70,19.15,19.30,306759,-0.05,-0.26%,19.30,5.94m,1091
31,06/21/17,19.70,19.85,19.25,19.35,212318,-0.30,-1.53%,19.35,4.13m,1471
32,06/20/17,19.65,19.90,19.45,19.65,424520,0.00,0.00%,19.65,8.35m,2803
33,06/19/17,19.35,19.70,19.00,19.65,196434,0.50,2.61%,19.65,3.8m,1680
