,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,14.50,14.54,14.2004,14.45,9896,-0.18,-1.23%,14.45,142.01k,80
2,08/03/17,14.66,14.739,14.23,14.63,3654,-0.07,-0.48%,14.63,53.49k,29
3,08/02/17,15.00,15.48,14.53,14.70,27684,-0.15,-1.01%,14.70,415.59k,281
4,08/01/17,14.46,15.586,14.00,14.85,31288,0.55,3.85%,14.85,459.24k,238
5,07/31/17,12.81,14.95,12.81,14.30,37372,1.31,10.08%,14.30,512.35k,306
6,07/28/17,12.94,13.12,12.75,12.99,9303,0.23,1.80%,12.99,120.55k,66
7,07/27/17,13.2999,13.2999,12.75,12.76,2902,0.01,0.08%,12.76,37.36k,29
8,07/26/17,12.72,12.7899,12.50,12.75,2623,0.20,1.59%,12.75,33.28k,48
9,07/25/17,13.02,13.2657,12.50,12.55,23205,-0.02,-0.16%,12.55,297.53k,149
10,07/24/17,13.15,13.55,12.50,12.57,12951,-0.36,-2.78%,12.57,166.86k,84
11,07/21/17,13.07,13.4672,12.93,12.93,24128,-0.11,-0.84%,12.93,318.43k,66
12,07/20/17,13.1656,13.40,12.90,13.04,11865,-0.34,-2.54%,13.04,156.58k,63
13,07/19/17,,,,13.38,69,0.00,0.00%,13.38,,4
14,07/18/17,13.71,13.75,13.2901,13.38,18231,-0.16,-1.18%,13.38,248.41k,76
15,07/17/17,13.38,13.55,13.32,13.54,12007,-0.05,-0.37%,13.54,160.63k,54
16,07/14/17,13.60,13.75,13.59,13.59,2164,-0.0099,-0.07%,13.59,29.48k,14
17,07/13/17,13.5999,13.5999,13.5999,13.5999,500,-0.2001,-1.45%,13.5999,6.8k,5
18,07/12/17,13.60,13.80,13.60,13.80,7630,0.20,1.47%,13.80,104.15k,61
19,07/11/17,13.61,13.65,13.31,13.60,11848,-0.09,-0.66%,13.60,161.11k,111
20,07/10/17,13.60,13.75,13.31,13.69,6434,0.09,0.66%,13.69,87.58k,77
21,07/07/17,,,,13.60,262,0.00,0.00%,13.60,,8
