,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,2.17,2.19,2.12,2.17,1656,0.03,1.40%,2.17,3.58k,20
2,08/03/17,2.09,2.14,2.09,2.14,1935,-0.05,-2.28%,2.14,4.1k,10
3,08/02/17,2.07,2.19,2.05,2.19,34317,0.14,6.83%,2.19,70.73k,74
4,08/01/17,2.21,2.21,2.05,2.05,18335,-0.11,-5.09%,2.05,39.02k,63
5,07/31/17,2.1699,2.17,2.10,2.16,11625,-0.01,-0.46%,2.16,24.82k,59
6,07/28/17,2.2352,2.2352,2.17,2.17,9692,-0.04,-1.81%,2.17,21.42k,37
7,07/27/17,2.26,2.35,2.20,2.21,10054,0.00,0.00%,2.21,22.83k,59
8,07/26/17,2.20,2.3061,2.20,2.21,9326,-0.01,-0.45%,2.21,20.71k,45
9,07/25/17,2.27,2.29,2.093,2.22,17143,0.00,0.00%,2.22,38.72k,51
10,07/24/17,2.32,2.32,2.17,2.22,1890,-0.10,-4.31%,2.22,4.32k,32
11,07/21/17,2.41,2.41,2.15,2.32,2106,-0.05,-2.11%,2.32,4.75k,32
12,07/20/17,2.399,2.409,2.31,2.37,4186,0.01,0.42%,2.37,9.85k,23
13,07/19/17,2.31,2.39,2.161,2.36,51145,0.02,0.85%,2.36,117.55k,156
14,07/18/17,2.06,2.41,2.06,2.34,79154,0.22,10.38%,2.34,175.37k,231
15,07/17/17,2.13,2.20,2.06,2.12,10203,-0.07,-3.20%,2.12,21.77k,57
16,07/14/17,2.25,2.25,2.029,2.19,20934,-0.0869,-3.82%,2.19,44.41k,115
17,07/13/17,2.46,2.46,2.2534,2.2769,7261,-0.0631,-2.70%,2.2769,17.07k,58
18,07/12/17,2.57,2.67,2.30,2.34,58019,-0.19,-7.51%,2.34,150.28k,189
19,07/11/17,2.47,2.56,2.3967,2.53,46659,0.11,4.55%,2.53,112.81k,108
20,07/10/17,2.40,2.60,2.40,2.42,18191,-0.01,-0.41%,2.42,45.4k,57
21,07/07/17,2.65,2.65,2.42,2.43,12087,0.02,0.83%,2.43,29.78k,33
