,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,16.30,17.60,15.90,17.20,837007,0.95,5.85%,17.20,14.3m,6305
2,08/03/17,15.65,16.85,15.65,16.25,900511,0.75,4.84%,16.25,14.64m,5891
3,08/02/17,20.20,20.45,15.40,15.50,2036332,-3.15,-16.89%,15.50,34.47m,12699
4,08/01/17,18.70,19.25,18.35,18.65,685263,0.20,1.08%,18.65,12.8m,4094
5,07/31/17,19.80,19.80,18.30,18.45,716380,-1.10,-5.63%,18.45,13.37m,4742
6,07/28/17,18.80,20.40,18.55,19.55,697739,0.65,3.44%,19.55,13.8m,4384
7,07/27/17,19.25,19.50,18.70,18.90,420251,-0.30,-1.56%,18.90,7.98m,3515
8,07/26/17,19.45,19.50,18.85,19.20,384030,-0.15,-0.78%,19.20,7.35m,2727
9,07/25/17,19.15,19.40,18.85,19.35,472259,0.20,1.04%,19.35,9.07m,2812
10,07/24/17,18.60,19.15,18.15,19.15,496065,0.60,3.23%,19.15,9.25m,3646
11,07/21/17,18.75,18.90,18.30,18.55,368242,0.00,0.00%,18.55,6.85m,2113
12,07/20/17,18.60,18.70,18.20,18.55,520240,0.10,0.54%,18.55,9.65m,2617
13,07/19/17,18.60,18.625,18.15,18.45,344520,0.00,0.00%,18.45,6.33m,2452
14,07/18/17,18.45,18.625,18.15,18.45,403688,0.00,0.00%,18.45,7.43m,2128
15,07/17/17,17.55,18.90,17.50,18.45,885546,0.90,5.13%,18.45,16.38m,4852
16,07/14/17,18.00,18.30,17.45,17.55,433718,-0.70,-3.84%,17.55,7.68m,3009
17,07/13/17,18.40,18.50,17.80,18.25,474498,-0.075,-0.41%,18.25,8.58m,3405
18,07/12/17,18.25,18.45,17.95,18.325,571025,0.325,1.81%,18.325,10.43m,4231
19,07/11/17,18.10,18.20,17.55,18.00,523379,-0.10,-0.55%,18.00,9.39m,3261
20,07/10/17,17.80,18.15,17.125,18.10,757331,0.10,0.56%,18.10,13.44m,4441
21,07/07/17,18.50,18.50,17.55,18.00,611463,-0.45,-2.44%,18.00,11.07m,4304
22,07/06/17,18.25,18.80,17.95,18.45,1011731,0.00,0.00%,18.45,18.57m,6655
23,07/05/17,17.55,18.50,17.453,18.45,703293,0.90,5.13%,18.45,12.8m,4657
24,06/30/17,17.55,17.85,17.10,17.65,644533,0.25,1.44%,17.65,11.33m,4069
25,06/29/17,17.45,17.75,16.95,17.40,945123,0.00,0.00%,17.40,16.4m,7483
26,06/28/17,16.30,17.425,16.15,17.40,1053903,1.25,7.74%,17.40,17.97m,5841
27,06/27/17,16.25,16.90,15.80,16.15,1140837,-0.10,-0.62%,16.15,18.59m,7234
28,06/26/17,15.85,16.85,15.80,16.25,1061094,0.65,4.17%,16.25,17.43m,7119
29,06/23/17,15.15,15.65,14.75,15.60,4761336,0.50,3.31%,15.60,73.72m,7464
30,06/22/17,15.30,15.55,15.00,15.10,649718,-0.20,-1.31%,15.10,9.88m,5245
31,06/21/17,15.10,15.65,15.10,15.30,604667,0.20,1.32%,15.30,9.25m,4332
32,06/20/17,15.40,15.65,15.05,15.10,405133,-0.35,-2.27%,15.10,6.17m,3528
33,06/19/17,15.10,15.70,14.95,15.45,703815,0.35,2.32%,15.45,10.83m,4989
34,06/16/17,14.85,15.10,14.75,15.10,1004070,0.30,2.03%,15.10,15.07m,5645
35,06/15/17,15.00,15.20,14.60,14.80,2271576,-1.45,-8.92%,14.80,33.89m,12627
36,06/14/17,16.10,16.60,15.75,16.25,428462,0.30,1.88%,16.25,6.94m,3483
37,06/13/17,15.80,16.10,15.35,15.95,420438,0.25,1.59%,15.95,6.64m,3430
38,06/12/17,15.35,15.95,15.10,15.70,608695,-0.35,-2.18%,15.70,9.51m,4658
39,06/09/17,16.65,16.80,15.755,16.05,366235,-0.75,-4.46%,16.05,5.96m,3275
