,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,5.45,5.45,5.35,5.40,10246,0.00,0.00%,5.40,55.39k,87
2,08/03/17,5.40,5.40,5.35,5.40,17955,-0.05,-0.92%,5.40,96.75k,148
3,08/02/17,5.45,5.45,5.40,5.45,13881,0.05,0.93%,5.45,75.4k,112
4,08/01/17,5.50,5.50,5.40,5.40,7086,0.00,0.00%,5.40,38.58k,74
5,07/31/17,5.45,5.45,5.25,5.40,21078,0.00,0.00%,5.40,112.71k,61
6,07/28/17,5.30,5.45,5.30,5.40,16488,-0.10,-1.82%,5.40,88.17k,63
7,07/27/17,5.45,5.536,5.30,5.50,45873,0.00,0.00%,5.50,250.57k,176
8,07/26/17,5.55,5.55,5.40,5.50,13795,0.00,0.00%,5.50,75.76k,159
9,07/25/17,5.50,5.70,5.45,5.50,27573,0.00,0.00%,5.50,152.99k,152
10,07/24/17,5.50,5.60,5.50,5.50,19644,-0.0926,-1.66%,5.50,108.75k,70
11,07/21/17,5.55,5.65,5.55,5.5926,6332,-0.0024,-0.04%,5.5926,35.4k,55
12,07/20/17,5.60,5.65,5.50,5.595,9586,-0.005,-0.09%,5.595,53.58k,119
13,07/19/17,5.70,5.745,5.60,5.60,28290,-0.10,-1.75%,5.60,160.54k,159
14,07/18/17,5.60,5.75,5.60,5.70,20213,0.05,0.88%,5.70,114.15k,151
15,07/17/17,5.75,5.75,5.60,5.65,14049,0.00,0.00%,5.65,79.42k,120
16,07/14/17,5.75,5.80,5.60,5.65,9565,-0.05,-0.88%,5.65,54.3k,153
17,07/13/17,5.75,5.80,5.6106,5.70,25384,-0.10,-1.72%,5.70,146.15k,198
18,07/12/17,5.65,5.85,5.60,5.80,21561,0.20,3.57%,5.80,122.43k,130
19,07/11/17,5.5151,5.7395,5.5151,5.60,11303,-0.05,-0.88%,5.60,63.59k,69
20,07/10/17,5.65,5.65,5.40,5.65,49507,0.00,0.00%,5.65,272.85k,164
21,07/07/17,6.10,6.10,5.55,5.65,96701,-0.40,-6.61%,5.65,557.06k,319
22,07/06/17,6.20,6.20,6.05,6.05,29159,-0.0975,-1.59%,6.05,177.67k,158
23,07/05/17,6.20,6.30,6.10,6.25,88556,0.14754,2.46%,6.1475,549.27k,429
24,06/30/17,5.60,6.00,5.60,5.95,149673,0.34426,6.25%,5.8524,877.9k,405
25,06/29/17,5.40,5.60,5.35,5.60,149831,0.2459,4.67%,5.5082,823.01k,305
26,06/28/17,5.40,5.445,5.30,5.35,37163,0.00,0.00%,5.2623,200.64k,87
27,06/27/17,5.30,5.40,5.30,5.35,8164,0.00,0.00%,5.2623,43.55k,78
28,06/26/17,5.30,5.40,5.275,5.35,27804,0.04918,0.94%,5.2623,147.87k,200
29,06/23/17,5.30,5.30,5.20,5.30,22830,0.04918,0.95%,5.2131,120.62k,103
30,06/22/17,5.20,5.30,5.10,5.25,27706,0.09836,1.94%,5.1639,144.58k,119
31,06/21/17,5.00,5.20,5.00,5.15,28554,0.04918,0.98%,5.0655,146.52k,92
32,06/20/17,5.15,5.15,5.05,5.10,25171,0.04918,0.99%,5.0164,128.39k,71
33,06/19/17,4.95,5.10,4.95,5.05,24947,0.09836,2.02%,4.9672,125.24k,95
34,06/16/17,5.00,5.00,4.90,4.95,23795,-0.04918,-1.00%,4.8688,117.37k,91
35,06/15/17,4.95,5.05,4.90,5.00,20767,0.00,0.00%,4.918,103.45k,90
36,06/14/17,5.00,5.10,4.95,5.00,21988,0.00,0.00%,4.918,110.51k,171
37,06/13/17,5.05,5.05,5.00,5.00,11713,-0.04918,-0.99%,4.918,58.89k,62
38,06/12/17,5.05,5.10,5.00,5.05,36262,0.00,0.00%,4.9672,183.47k,151
39,06/09/17,5.05,5.15,5.00,5.05,48350,0.09836,2.02%,4.9672,245.36k,151
40,06/08/17,5.10,5.15,4.85,4.95,100996,-0.19672,-3.88%,4.8688,501.77k,266
41,06/07/17,5.05,5.15,5.05,5.15,27750,0.04918,0.98%,5.0655,141.11k,185
42,06/06/17,5.00,5.125,5.00,5.10,20869,0.09836,2.00%,5.0164,105.24k,123
43,06/05/17,5.10,5.10,5.00,5.00,31334,-0.09836,-1.96%,4.918,158.48k,118
44,06/02/17,5.15,5.20,5.10,5.10,17752,0.00,0.00%,5.0164,91.22k,98
45,06/01/17,5.20,5.20,5.05,5.10,33968,-0.04918,-0.97%,5.0164,174.4k,173
46,05/31/17,5.25,5.25,5.15,5.15,22621,-0.09836,-1.90%,5.0655,117.48k,130
47,05/30/17,5.40,5.45,5.25,5.25,32284,-0.19672,-3.67%,5.1639,172.56k,185
48,05/26/17,5.45,5.45,5.40,5.45,31338,0.00,0.00%,5.3606,169.95k,121
