,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,149.35,152.26,148.36,150.05,2154360,1.15,0.77%,150.05,324.05m,24192
2,08/03/17,149.50,151.49,148.26,148.90,3146112,-2.65,-1.75%,148.90,470.38m,26895
3,08/02/17,158.97,158.98,149.77,151.55,4787213,-5.91,-3.75%,151.55,726.38m,47578
4,08/01/17,160.44,160.49,157.17,157.46,2592545,-2.00,-1.25%,157.46,409.81m,25674
5,07/31/17,162.60,163.00,158.79,159.46,2444782,-2.14,-1.32%,159.46,391.65m,24193
6,07/28/17,164.25,164.969,160.7841,161.60,2740045,-3.16,-1.92%,161.60,444.38m,24608
7,07/27/17,168.92,170.00,161.271,164.76,5665243,-3.58,-2.13%,164.76,934.31m,54657
8,07/26/17,165.40,168.44,165.22,168.34,3310805,3.88,2.36%,168.34,553.2m,31330
9,07/25/17,164.08,164.82,162.475,164.46,2082769,0.34,0.21%,164.46,341.91m,19119
10,07/24/17,163.50,164.68,163.1513,164.12,1445660,0.59,0.36%,164.12,237.29m,13943
11,07/21/17,163.915,163.915,162.29,163.53,1848013,-1.27,-0.77%,163.53,301.54m,19151
12,07/20/17,164.98,165.12,161.82,164.80,2375913,0.57,0.35%,164.80,390.14m,20866
13,07/19/17,160.50,164.545,160.245,164.23,2711710,4.88,3.06%,164.23,442.51m,28445
14,07/18/17,157.00,159.5876,156.2369,159.35,1831954,2.37,1.51%,159.35,289.84m,17945
15,07/17/17,157.78,158.31,155.75,156.98,1658409,-0.32,-0.20%,156.98,260.07m,17686
16,07/14/17,155.69,157.61,154.96,157.30,1459805,2.36,1.52%,157.30,228.58m,15305
17,07/13/17,155.05,156.31,154.16,154.94,1461096,0.36,0.23%,154.94,226.68m,15711
18,07/12/17,155.41,156.35,152.92,154.58,1782748,0.86,0.56%,154.58,275.44m,23209
19,07/11/17,151.31,154.82,151.01,153.72,2753826,2.88,1.91%,153.72,423.07m,28304
20,07/10/17,148.73,151.005,147.86,150.84,2278961,2.71,1.83%,150.84,341.71m,25985
21,07/07/17,147.00,149.68,146.4367,148.13,2956290,4.24,2.95%,148.13,438.45m,26004
22,07/06/17,141.435,144.72,140.67,143.89,2796655,1.36,0.95%,143.89,400.81m,26662
23,07/05/17,140.42,142.70,139.94,142.53,2618913,3.24,2.33%,142.53,370.91m,26627
24,06/30/17,143.37,143.57,140.83,141.43,2938712,-0.92,-0.65%,141.43,417.39m,25494
25,06/29/17,146.08,146.499,140.01,142.35,3111213,-5.48,-3.71%,142.35,443.53m,31025
26,06/28/17,145.17,148.17,142.80,147.83,2910154,3.21,2.22%,147.83,426.42m,28381
27,06/27/17,148.26,148.57,144.44,144.62,3408941,-4.37,-2.93%,144.62,499m,32386
28,06/26/17,152.46,153.61,148.36,148.99,2606612,-2.79,-1.84%,148.99,390.95m,26569
29,06/23/17,149.81,152.82,149.5228,151.78,3074066,1.74,1.16%,151.78,466.83m,20317
30,06/22/17,151.51,152.415,149.52,150.04,1581409,-0.88,-0.58%,150.04,237.9m,15302
31,06/21/17,150.31,151.25,149.15,150.92,1885767,0.81,0.54%,150.92,283.97m,19648
32,06/20/17,151.50,152.94,149.525,150.11,2459548,-0.89,-0.59%,150.11,370.87m,24833
33,06/19/17,150.19,151.95,149.90,151.00,3081381,2.79,1.88%,151.00,464.56m,31346
34,06/16/17,148.83,150.97,147.66,148.21,4113402,-0.27,-0.18%,148.21,610.86m,31918
35,06/15/17,149.58,150.7564,147.60,148.48,4160943,-4.27,-2.80%,148.48,618.69m,41525
