,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,60.78,62.19,60.37,61.76,1644326,1.26,2.08%,61.76,101.48m,14438
2,08/03/17,60.84,61.57,60.41,60.50,1501370,-0.73,-1.19%,60.50,91.18m,13628
3,08/02/17,61.55,61.82,60.935,61.23,960122,-0.38,-0.62%,61.23,58.92m,9176
4,08/01/17,61.57,61.73,60.42,61.61,1279544,-0.03,-0.05%,61.61,78.41m,11848
5,07/31/17,61.98,61.98,60.94,61.64,1382063,-0.19,-0.31%,61.64,84.84m,10775
6,07/28/17,61.38,62.20,61.04,61.83,1376831,0.36,0.59%,61.83,85.08m,11762
7,07/27/17,61.26,61.91,60.42,61.47,1256326,0.00,0.00%,61.47,76.91m,10271
8,07/26/17,61.71,61.8036,61.26,61.47,1297086,-0.43,-0.69%,61.47,79.75m,11394
9,07/25/17,60.77,62.16,60.66,61.90,2608996,-0.12,-0.19%,61.90,160.5m,24470
10,07/24/17,61.59,62.26,61.44,62.02,2005820,0.08,0.13%,62.02,124.29m,15646
11,07/21/17,61.03,62.05,60.93,61.94,2193098,0.83,1.36%,61.94,135.28m,16177
12,07/20/17,61.39,61.4825,60.73,61.11,1681662,-0.24,-0.39%,61.11,102.84m,12952
13,07/19/17,59.92,61.60,59.48,61.35,2155283,1.97,3.32%,61.35,131.2m,16384
14,07/18/17,59.49,60.0375,59.15,59.38,1371653,-0.36,-0.60%,59.38,81.65m,11861
15,07/17/17,59.95,60.67,59.68,59.74,1490440,-0.07,-0.12%,59.74,89.64m,12401
16,07/14/17,59.61,60.00,59.23,59.81,841766,0.48,0.81%,59.81,50.35m,8361
17,07/13/17,58.88,59.69,58.62,59.33,1470889,0.61,1.04%,59.33,87.16m,11844
18,07/12/17,58.90,59.17,58.22,58.72,1144038,-0.06,-0.10%,58.72,67.03m,10642
19,07/11/17,58.69,58.95,58.18,58.78,1318999,0.10,0.17%,58.78,77.34m,12221
20,07/10/17,58.23,58.855,57.51,58.68,1491532,0.32,0.55%,58.68,87.11m,14138
21,07/07/17,58.39,59.10,58.031,58.36,1384999,0.39,0.67%,58.36,81.23m,12776
22,07/06/17,59.39,59.55,57.62,57.97,2277025,-1.78,-2.98%,57.97,132.26m,19660
23,07/05/17,60.01,60.49,59.35,59.75,2118879,-0.24,-0.40%,59.75,126.57m,15734
24,06/30/17,59.50,60.22,59.0615,59.67,3390130,0.57,0.96%,59.67,202.32m,24750
25,06/29/17,57.34,59.44,57.01,59.10,6703498,2.94,5.24%,59.10,393.99m,45342
26,06/28/17,55.29,56.30,55.1219,56.16,3067408,1.12,2.03%,56.16,171.75m,23378
27,06/27/17,55.48,56.13,54.96,55.04,2080332,-0.46,-0.83%,55.04,115.37m,16064
