,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,104.07,105.05,103.65,105.02,3068939,1.36,1.31%,105.02,321.16m,18016
2,08/03/17,103.62,105.19,103.45,103.66,2250594,0.17,0.16%,103.66,233.86m,18293
3,08/02/17,104.38,104.74,102.05,103.49,2182793,-1.64,-1.56%,103.49,225.06m,19728
4,08/01/17,104.80,105.55,104.61,105.13,1299592,0.94,0.90%,105.13,136.6m,12199
5,07/31/17,103.75,104.97,103.57,104.19,1262836,0.85,0.82%,104.19,131.79m,13475
6,07/28/17,103.64,104.6124,103.27,103.34,2005157,-0.72,-0.69%,103.34,207.87m,14555
7,07/27/17,103.48,104.41,102.98,104.06,2066415,1.02,0.99%,104.06,214.36m,18430
8,07/26/17,103.39,104.84,102.47,103.04,2606163,-0.02,-0.02%,103.04,269.63m,20538
9,07/25/17,103.15,103.32,102.64,103.06,1526849,0.35,0.34%,103.06,157.31m,13179
10,07/24/17,103.03,103.12,102.61,102.71,1506825,-0.14,-0.14%,102.71,154.95m,14418
11,07/21/17,102.05,103.06,102.02,102.85,1363918,0.45,0.44%,102.85,140.09m,13117
12,07/20/17,102.19,102.93,101.91,102.40,1622432,0.16,0.16%,102.40,166.2m,13593
13,07/19/17,101.88,102.61,101.451,102.24,1056901,0.24,0.24%,102.24,107.99m,10956
14,07/18/17,100.98,102.31,100.64,102.00,1367371,0.65,0.64%,102.00,139.41m,13102
15,07/17/17,100.89,101.95,100.61,101.35,1232325,0.36,0.36%,101.35,125.07m,12398
16,07/14/17,100.81,101.37,100.17,100.99,1323909,0.29,0.29%,100.99,133.67m,11731
17,07/13/17,101.00,101.24,100.46,100.70,1396413,-0.10,-0.10%,100.70,140.69m,10251
18,07/12/17,101.65,102.05,100.68,100.80,1776851,0.07,0.07%,100.80,179.59m,15260
19,07/11/17,100.33,100.95,99.83,100.73,1793814,0.02,0.02%,100.73,180.51m,13389
20,07/10/17,100.23,100.89,99.56,100.71,1524048,0.36,0.36%,100.71,153.14m,14407
21,07/07/17,99.70,100.74,99.43,100.35,2469761,0.70,0.70%,100.35,247.87m,15966
22,07/06/17,100.45,100.75,99.38,99.65,1984415,-1.52,-1.50%,99.65,198.39m,20783
23,07/05/17,100.30,101.56,100.05,101.17,2290927,1.06,1.06%,101.17,231.3m,20811
24,06/30/17,101.18,101.22,100.28,100.31,2837436,0.10,0.10%,100.31,285.34m,16492
25,06/29/17,102.16,102.34,99.08,100.21,3052900,-1.77,-1.74%,100.21,305.83m,23008
