,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,0.3425,0.35,0.3201,0.35,17100,-0.0214,-5.76%,0.35,5.65k,6
2,08/03/17,0.35,0.3798,0.32,0.3714,66199,-0.0063,-1.67%,0.3714,23.33k,25
3,08/02/17,0.3695,0.445,0.345,0.3777,173872,0.0277,7.91%,0.3777,63.21k,34
4,08/01/17,0.3989,0.3989,0.35,0.35,51968,-0.01,-2.78%,0.35,18.59k,24
5,07/31/17,0.347623,0.42,0.311,0.36,233182,0.0518,16.81%,0.36,83.85k,71
6,07/28/17,0.328,0.3499,0.3062,0.3082,27071,-0.0118,-3.69%,0.3082,8.77k,13
7,07/27/17,0.3061,0.326831,0.3061,0.32,18776,-0.01,-3.03%,0.32,6.04k,9
8,07/26/17,0.306,0.3499,0.306,0.33,91522,0.0024,0.73%,0.33,30.26k,29
9,07/25/17,0.32,0.33,0.306,0.3276,18502,0.0076,2.37%,0.3276,5.99k,16
10,07/24/17,0.3201,0.33,0.32,0.32,12506,-0.009,-2.74%,0.32,4.02k,11
11,07/21/17,0.31,0.329,0.306,0.329,44822,0.014,4.44%,0.329,14.06k,10
12,07/20/17,0.306,0.32,0.306,0.315,22672,0.008,2.61%,0.315,7.03k,19
13,07/19/17,0.306,0.32,0.306,0.307,17020,0.001,0.33%,0.307,5.36k,14
14,07/18/17,0.30545,0.3275,0.30545,0.306,8269,-0.00285,-0.92%,0.306,2.6k,9
15,07/17/17,0.31,0.33,0.30885,0.30885,31565,-0.03115,-9.16%,0.30885,9.91k,13
16,07/14/17,0.35,0.35,0.3301,0.34,26946,-0.0098,-2.80%,0.34,9.13k,11
17,07/13/17,0.334577,0.35,0.33,0.3498,24492,0.000198,0.06%,0.3498,8.46k,15
18,07/12/17,0.3499,0.3499,0.33,0.349602,5585,-0.000099,-0.03%,0.349602,1.93k,12
19,07/11/17,0.34,0.3499,0.33,0.349701,12121,0.014701,4.39%,0.349701,4.1k,13
20,07/10/17,0.3189,0.3399,0.2917,0.335,46769,0.0161,5.05%,0.335,15.08k,27
21,07/07/17,0.2901,0.3189,0.2901,0.3189,28740,0.0289,9.97%,0.3189,9.06k,14
22,07/06/17,0.2717,0.3099,0.2717,0.29,294798,0.01,3.57%,0.29,87.2k,28
23,07/05/17,0.33,0.33,0.28,0.28,259703,-0.0599,-17.62%,0.28,78.12k,63
24,06/30/17,0.34,0.34,0.31,0.3399,18843,-0.0001,-0.03%,0.3399,6.3k,16
25,06/29/17,0.395,0.40,0.30,0.34,242115,0.00,0.00%,0.34,83.06k,80
26,06/28/17,0.3675,0.37,0.28,0.34,522560,-0.03,-8.11%,0.34,169.28k,115
27,06/27/17,0.37,0.385,0.36,0.37,109419,0.005,1.37%,0.37,40.81k,36
28,06/26/17,0.39,0.39,0.3502,0.365,103236,-0.02,-5.19%,0.365,38.09k,32
29,06/23/17,0.39,0.39,0.385,0.385,56138,-0.0049,-1.26%,0.385,21.89k,31
30,06/22/17,0.383,0.39,0.383,0.3899,15719,-0.0001,-0.03%,0.3899,6.11k,15
31,06/21/17,0.38,0.41,0.37,0.39,50462,0.00,0.00%,0.39,18.98k,20
32,06/20/17,0.37,0.39,0.34,0.39,108378,0.005,1.30%,0.39,40.9k,38
33,06/19/17,0.40,0.40,0.38,0.385,33893,-0.0151,-3.77%,0.385,13.24k,19
34,06/16/17,0.405,0.4199,0.4001,0.4001,17751,-0.01735,-4.16%,0.4001,7.26k,15
35,06/15/17,0.43,0.43,0.40,0.41745,2093,-0.01245,-2.90%,0.41745,878.17,4
36,06/14/17,0.44,0.44,0.40,0.4299,110425,-0.0101,-2.30%,0.4299,46.61k,31
37,06/13/17,0.51,0.52,0.419806,0.44,188222,-0.062,-12.35%,0.44,86.21k,67
38,06/12/17,0.48,0.51,0.48,0.502,31165,-0.008,-1.57%,0.502,15.68k,22
39,06/09/17,0.50,0.518,0.48,0.51,13448,-0.007325,-1.42%,0.51,6.74k,16
40,06/08/17,0.61,0.61,0.461,0.517325,91539,-0.032675,-5.94%,0.517325,48.21k,56
41,06/07/17,0.48,0.6499,0.475,0.55,306524,0.10,22.22%,0.55,176.58k,178
42,06/06/17,0.47,0.47,0.4302,0.45,4716,-0.014651,-3.15%,0.45,2.17k,6
43,06/05/17,0.4301,0.464651,0.43,0.464651,33192,0.019651,4.42%,0.464651,14.81k,16
44,06/02/17,0.43,0.45825,0.43,0.445,25514,0.0148,3.44%,0.445,11.32k,10
