,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,16.76,17.88,16.60,17.28,404667,0.48,2.86%,17.28,7.03m,3675
2,08/03/17,14.96,16.92,14.36,16.80,783168,1.49,9.73%,16.80,12.61m,5553
3,08/02/17,15.98,15.98,15.175,15.31,204736,-0.45,-2.86%,15.31,3.17m,1869
4,08/01/17,16.59,16.59,15.70,15.76,258722,-0.76,-4.60%,15.76,4.12m,2246
5,07/31/17,17.00,17.29,16.49,16.52,257385,-0.35,-2.07%,16.52,4.33m,1727
6,07/28/17,16.80,17.50,16.58,16.87,176051,0.00,0.00%,16.87,2.95m,1426
7,07/27/17,17.50,17.70,16.70,16.87,192491,-0.51,-2.93%,16.87,3.29m,1799
8,07/26/17,17.50,17.54,17.22,17.38,131178,-0.10,-0.57%,17.38,2.28m,1504
9,07/25/17,17.89,18.00,17.43,17.48,187465,-0.40,-2.24%,17.48,3.3m,2001
10,07/24/17,17.27,17.94,17.11,17.88,214353,0.55,3.17%,17.88,3.75m,1723
11,07/21/17,17.57,17.67,17.12,17.33,143020,-0.10,-0.57%,17.33,2.49m,1214
12,07/20/17,17.33,17.83,17.26,17.43,241650,0.10,0.58%,17.43,4.23m,1743
13,07/19/17,17.84,18.29,17.09,17.33,277156,-0.35,-1.98%,17.33,4.83m,2404
14,07/18/17,18.04,18.33,17.61,17.68,153987,-0.50,-2.75%,17.68,2.75m,1263
15,07/17/17,17.64,18.55,17.6375,18.18,183644,0.64,3.65%,18.18,3.35m,2054
16,07/14/17,18.04,18.28,17.52,17.54,188235,-0.55,-3.04%,17.54,3.35m,1840
17,07/13/17,17.93,18.38,17.44,18.09,143142,0.23,1.29%,18.09,2.57m,1240
18,07/12/17,17.97,18.06,17.64,17.86,133848,-0.02,-0.11%,17.86,2.39m,1172
19,07/11/17,17.59,18.31,17.54,17.88,159791,0.34,1.94%,17.88,2.84m,1490
20,07/10/17,18.45,18.45,17.53,17.54,194465,-0.96,-5.19%,17.54,3.44m,1889
21,07/07/17,18.27,18.52,18.27,18.50,146954,0.31,1.70%,18.50,2.71m,1412
22,07/06/17,18.30,18.585,18.11,18.19,156520,-0.26,-1.41%,18.19,2.86m,1620
23,07/05/17,17.80,18.56,17.58,18.45,265099,0.69,3.89%,18.45,4.87m,2595
24,06/30/17,17.50,17.8233,17.2348,17.51,132102,0.01,0.06%,17.51,2.31m,1307
25,06/29/17,17.59,17.60,17.15,17.50,251238,-0.10,-0.57%,17.50,4.36m,2196
26,06/28/17,17.81,17.93,17.49,17.60,256882,-0.03,-0.17%,17.60,4.53m,3091
27,06/27/17,18.54,18.67,17.62,17.63,315070,-0.94,-5.06%,17.63,5.72m,2761
28,06/26/17,18.73,18.84,18.27,18.57,969036,0.08,0.43%,18.57,17.94m,4077
29,06/23/17,18.47,18.75,18.14,18.49,1335274,-0.08,-0.43%,18.49,24.63m,3606
30,06/22/17,18.56,19.05,18.34,18.57,593872,0.12,0.65%,18.57,11.09m,4775
31,06/21/17,18.57,18.68,18.28,18.45,654100,0.02,0.11%,18.45,12.08m,3909
