,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,145.97,148.93,140.67,141.52,26406,-1.22,-0.85%,141.52,3.77m,412
2,08/03/17,143.79,146.21,141.26,142.74,22172,-1.22,-0.85%,142.74,3.17m,381
3,08/02/17,145.85,147.52,138.80,143.96,30263,-2.60,-1.77%,143.96,4.38m,595
4,08/01/17,146.85,149.8981,141.90,146.56,61280,2.03,1.40%,146.56,8.89m,1157
5,07/31/17,139.00,145.48,137.40,144.53,27990,5.28,3.79%,144.53,3.93m,497
6,07/28/17,141.30,145.15,137.45,139.25,15202,-4.24,-2.95%,139.25,2.16m,266
7,07/27/17,144.88,145.00,142.155,143.49,13188,-1.57,-1.08%,143.49,1.9m,224
8,07/26/17,145.00,147.10,142.33,145.06,13522,1.29,0.90%,145.06,1.96m,270
9,07/25/17,150.44,150.51,142.52,143.77,48195,-4.93,-3.32%,143.77,7.04m,703
10,07/24/17,153.01,153.01,144.99,148.70,52240,-3.76,-2.47%,148.70,7.75m,810
11,07/21/17,153.02,153.9899,150.28,152.46,21645,0.49,0.32%,152.46,3.3m,290
12,07/20/17,155.31,155.31,149.73,151.97,10424,-2.23,-1.45%,151.97,1.58m,290
13,07/19/17,154.70,155.12,152.00,154.20,12059,5.265,3.54%,154.20,1.85m,643
14,07/18/17,151.51,152.69,148.71,148.935,18160,-2.065,-1.37%,148.935,2.73m,616
15,07/17/17,147.86,153.4375,147.06,151.00,16542,2.48,1.67%,151.00,2.48m,687
16,07/14/17,148.90,148.95,148.50,148.52,5107,0.67,0.45%,148.52,759.09k,215
17,07/13/17,146.12,149.98,145.675,147.85,11147,-0.60,-0.40%,147.85,1.64m,247
18,07/12/17,150.00,151.77,146.50,148.45,15610,1.04,0.71%,148.45,2.32m,311
19,07/11/17,145.665,151.805,144.10,147.41,16893,2.36,1.63%,147.41,2.49m,359
20,07/10/17,144.35,146.42,143.65,145.05,8297,1.29,0.90%,145.05,1.2m,164
21,07/07/17,144.29,144.99,141.51,143.76,28736,2.21,1.56%,143.76,4.12m,206
22,07/06/17,139.40,142.94,139.40,141.55,15405,-0.44,-0.31%,141.55,2.18m,369
23,07/05/17,144.54,144.59,141.38,141.99,19284,-1.57,-1.09%,141.99,2.75m,382
24,06/30/17,140.75,144.00,139.31,143.31,11471,3.50,2.50%,143.31,1.64m,364
25,06/29/17,142.32,142.87,138.89,139.81,9460,-1.56,-1.10%,139.81,1.32m,223
26,06/28/17,141.33,142.44,139.34,141.37,11848,1.32,0.94%,141.37,1.67m,274
27,06/27/17,140.995,143.89,139.84,140.05,8802,0.05,0.04%,140.05,1.24m,224
28,06/26/17,143.79,143.95,139.10,140.00,11432,-2.23,-1.57%,140.00,1.62m,282
29,06/23/17,143.05,144.35,140.75,142.23,20817,0.13,0.09%,142.23,2.96m,182
30,06/22/17,142.51,144.995,141.06,142.10,11336,-0.10,-0.07%,142.10,1.62m,270
31,06/21/17,139.19,144.00,139.19,142.20,6752,3.86,2.79%,142.20,961.76k,215
32,06/20/17,139.31,140.88,136.72,138.34,7532,-2.15,-1.53%,138.34,1.05m,182
33,06/19/17,142.43,144.69,138.72,140.49,12702,-1.21,-0.85%,140.49,1.78m,206
34,06/16/17,137.66,142.29,134.70,141.70,29791,2.19,1.57%,141.70,4.13m,319
35,06/15/17,139.80,139.80,138.59,139.51,8185,-0.49,-0.35%,139.51,1.14m,176
36,06/14/17,141.50,142.635,137.98,140.00,24610,-0.71,-0.50%,140.00,3.44m,461
37,06/13/17,142.37,142.37,139.185,140.71,16268,-1.29,-0.91%,140.71,2.28m,374
38,06/12/17,140.79,144.07,138.46,142.00,29909,-0.18,-0.13%,142.00,4.22m,586
39,06/09/17,151.55,151.55,139.45,142.18,55492,-11.08,-7.23%,142.18,8.02m,798
40,06/08/17,160.00,160.00,151.665,153.26,20196,-5.91,-3.71%,153.26,3.11m,355
41,06/07/17,163.11,165.835,156.81,159.17,33270,-4.70,-2.87%,159.17,5.39m,575
42,06/06/17,167.12,168.00,162.65,163.87,33269,-3.13,-1.87%,163.87,5.49m,576
43,06/05/17,166.00,169.805,153.10,167.00,28975,2.00,1.21%,167.00,4.81m,557
44,06/02/17,160.18,165.94,158.8001,165.00,16360,6.01,3.78%,165.00,2.65m,507
45,06/01/17,157.32,159.00,157.32,158.99,18677,2.65,1.70%,158.99,2.96m,260
46,05/31/17,157.35,157.35,151.78,156.34,33713,0.34,0.22%,156.34,5.25m,332
47,05/30/17,153.00,156.77,153.00,156.00,9793,4.11,2.71%,156.00,1.52m,227
48,05/26/17,153.30,153.30,151.30,151.89,5747,0.15994,0.11%,151.89,873.56k,125
49,05/25/17,151.65,152.355,150.00,151.89,10745,-0.109884,-0.07%,151.7301,1.63m,343
50,05/24/17,152.80,152.80,150.05,152.00,18693,1.0089,0.67%,151.8399,2.84m,239
51,05/23/17,151.67,153.48,149.41,150.99,13318,0.499474,0.33%,150.831,2.01m,300
52,05/22/17,145.54,152.77,145.31,150.49,24887,5.1246,3.53%,150.3315,3.75m,392
53,05/19/17,139.43,145.36,139.43,145.36,21026,6.0037,4.31%,145.2069,3.01m,474
54,05/18/17,138.65,143.26,138.61,139.35,15295,-0.5694,-0.41%,139.2033,2.14m,362
55,05/17/17,141.00,144.16,139.80,139.92,5758,-4.5652,-3.16%,139.7727,811.49k,209
56,05/16/17,142.22,145.50,140.80,144.49,18585,0.069926,0.05%,144.3379,2.68m,282
57,05/15/17,138.50,146.54,138.48,144.42,41536,5.9337,4.29%,144.2679,5.97m,550
58,05/12/17,144.00,144.59,138.48,138.48,6110,-4.3254,-3.03%,138.3342,857.56k,202
59,05/11/17,144.35,148.54,141.71,142.81,10270,-2.1977,-1.52%,142.6596,1.48m,320
60,05/10/17,144.96,145.75,143.16,145.01,8398,1.2886,0.90%,144.8573,1.21m,219
61,05/09/17,143.65,144.805,140.22,143.72,12278,1.0889,0.76%,143.5687,1.76m,258
62,05/08/17,141.67,144.20,141.40,142.63,8561,2.3076,1.65%,142.4798,1.22m,285
63,05/05/17,139.95,140.64,136.30,140.32,13131,1.3486,0.97%,140.1722,1.83m,203
64,05/04/17,137.2499,139.88,137.2499,138.97,24806,3.4564,2.55%,138.8237,3.45m,330
65,05/03/17,137.29,139.34,135.39,135.51,11650,-2.6972,-1.95%,135.3673,1.59m,292
66,05/02/17,139.87,139.87,137.62,138.21,9040,-0.93901,-0.68%,138.0645,1.25m,228
67,05/01/17,140.4285,140.85,138.00,139.15,13803,-0.669295,-0.48%,139.0035,1.92m,243
68,04/28/17,141.39,142.25,139.82,139.82,7058,0.399579,0.29%,139.6728,993.75k,124
69,04/27/17,139.98,142.54,139.42,139.42,16780,-0.659305,-0.47%,139.2732,2.35m,263
70,04/26/17,138.21,142.44,138.21,140.08,16088,-1.4185,-1.00%,139.9325,2.26m,240
71,04/25/17,141.40,144.62,140.57,141.50,11579,0.499474,0.35%,141.351,1.65m,218
72,04/24/17,143.51,144.9399,140.10,141.00,11383,-0.499474,-0.35%,140.8515,1.63m,197
73,04/21/17,145.11,147.58,140.028,141.50,12881,-3.766,-2.60%,141.351,1.86m,168
74,04/20/17,139.70,145.27,139.70,145.27,14542,6.0636,4.36%,145.117,2.09m,213
75,04/19/17,136.95,140.25,135.46,139.20,12163,2.7171,1.99%,139.0534,1.67m,232
76,04/18/17,135.48,136.95,135.3122,136.48,6248,0.899053,0.66%,136.3363,850.64k,107
77,04/17/17,131.47,135.69,131.47,135.58,9760,4.5752,3.50%,135.4372,1.31m,154
78,04/13/17,129.005,131.85,129.005,131.00,11194,0.998947,0.77%,130.8621,1.46m,230
79,04/12/17,127.50,130.90,127.50,130.00,18293,2.5973,2.04%,129.8631,2.36m,251
80,04/11/17,128.50,128.905,127.03,127.40,6886,-0.729231,-0.57%,127.2658,880.97k,184
81,04/10/17,128.45,129.42,127.05,128.13,7513,-0.289695,-0.23%,127.9951,962.43k,114
82,04/07/17,127.51,129.10,127.51,128.42,7127,0.419558,0.33%,128.2848,914.13k,144
83,04/06/17,125.07,128.39,122.44,128.00,11091,3.6761,2.96%,127.8652,1.4m,173
84,04/05/17,124.14,124.75,123.67,124.32,11366,-0.049947,-0.04%,124.1891,1.41m,187
85,04/04/17,123.55,124.4357,122.80,124.37,10021,1.7082,1.39%,124.239,1.24m,193
86,04/03/17,121.84,123.00,120.69,122.66,9004,-0.039958,-0.03%,122.5308,1.1m,306
87,03/31/17,121.75,122.80,121.00,122.70,8446,0.3796,0.31%,122.5708,1.03m,98
88,03/30/17,121.95,123.275,121.79,122.32,15987,0.299684,0.25%,122.1912,1.95m,261
89,03/29/17,122.184,123.285,122.00,122.02,4852,-0.529442,-0.43%,121.8915,592.93k,109
90,03/28/17,121.00,123.01,121.00,122.55,11367,1.8081,1.50%,122.421,1.39m,191
91,03/27/17,117.71,121.38,117.71,120.74,8820,0.729232,0.61%,120.6129,1.06m,178
92,03/24/17,119.15,120.94,119.15,120.01,11276,1.1788,0.99%,119.8836,1.35m,194
93,03/23/17,118.55,119.87,118.55,118.83,11053,-0.259726,-0.22%,118.7049,1.32m,195
94,03/22/17,121.05,121.9099,118.27,119.09,11876,-2.4674,-2.03%,118.9646,1.42m,240
95,03/21/17,122.00,123.18,121.00,121.56,19563,-1.4185,-1.15%,121.432,2.38m,435
96,03/20/17,123.61,124.55,121.02,122.98,14468,-0.629337,-0.51%,122.8505,1.77m,238
97,03/17/17,123.66,125.00,122.1704,123.61,33278,-0.659305,-0.53%,123.4798,4.11m,105
98,03/16/17,122.66,124.27,122.66,124.27,4177,1.908,1.56%,124.1391,517.88k,106
99,03/15/17,120.94,122.89,120.94,122.36,11034,1.5184,1.26%,122.2312,1.35m,206
100,03/14/17,120.63,121.61,120.06,120.84,8111,-1.898,-1.55%,120.7128,980.92k,166
101,03/13/17,123.52,124.95,117.58,122.74,8823,-1.0889,-0.88%,122.6108,1.08m,230
102,03/10/17,125.20,125.3526,122.54,123.83,7421,-1.1688,-0.94%,123.6996,922.7k,226
103,03/09/17,125.10,125.90,125.00,125.00,7512,0.00,0.00%,124.8684,939.89k,188
104,03/08/17,125.06,125.9117,125.00,125.00,9671,-0.998947,-0.79%,124.8684,1.21m,200
105,03/07/17,125.45,126.45,125.41,126.00,8251,0.789168,0.63%,125.8673,1.04m,199
106,03/06/17,125.01,126.14,125.00,125.21,10163,-0.449526,-0.36%,125.0782,1.27m,165
107,03/03/17,125.635,126.17,125.16,125.66,4687,-0.319663,-0.25%,125.5277,589.52k,131
108,03/02/17,125.05,125.98,125.00,125.98,11962,0.519452,0.41%,125.8473,1.5m,262
109,03/01/17,125.65,127.64,125.05,125.46,17404,0.439537,0.35%,125.3279,2.18m,239
110,02/28/17,126.00,126.0725,125.00,125.02,10877,-1.9479,-1.54%,124.8884,1.36m,256
111,02/27/17,125.59,127.40,125.53,126.97,7976,0.519453,0.41%,126.8363,1.01m,231
112,02/24/17,125.10,127.07,125.10,126.45,4957,1.0889,0.87%,126.3168,625.59k,146
113,02/23/17,125.00,126.09,125.00,125.52,9488,-0.079814,-0.06%,125.228,1.19m,218
114,02/22/17,126.00,126.99,125.00,125.60,6338,0.189558,0.15%,125.3078,795.66k,132
115,02/21/17,125.00,125.87,122.80,125.41,38170,2.3844,1.94%,125.1182,4.78m,572
116,02/17/17,123.59,123.69,120.08,123.02,13448,0.818093,0.67%,122.7338,1.66m,163
117,02/16/17,121.365,122.61,120.71,122.20,5227,0.189558,0.16%,121.9157,637.83k,149
118,02/15/17,122.99,122.9995,119.00,122.01,17027,-1.1872,-0.97%,121.7261,2.05m,262
119,02/14/17,120.9719,123.50,120.57,123.20,7590,-0.768208,-0.62%,122.9134,929.41k,120
120,02/13/17,123.41,124.00,122.72,123.97,20003,0.568674,0.46%,123.6816,2.48m,356
121,02/10/17,122.20,123.80,122.20,123.40,2546,0.00,0.00%,123.1129,313.41k,71
122,02/09/17,121.96,123.72,120.69,123.40,9644,2.0951,1.73%,123.1129,1.18m,221
123,02/08/17,123.0899,123.0899,119.40,121.30,11383,0.179582,0.15%,121.0178,1.37m,175
124,02/07/17,121.65,124.99,119.77,121.12,27558,-2.8733,-2.32%,120.8382,3.36m,453
125,02/06/17,127.02,128.01,122.22,124.00,17808,-3.1427,-2.48%,123.7115,2.25m,322
126,02/03/17,121.86,127.15,121.30,127.15,11822,6.1257,5.07%,126.8542,1.47m,221
127,02/02/17,119.90,124.47,118.05,121.01,23379,1.5065,1.26%,120.7285,2.83m,400
128,02/01/17,119.25,119.90,119.01,119.50,3539,0.359162,0.30%,119.222,422.45k,109
129,01/31/17,118.00,119.14,116.15,119.14,12048,0.389093,0.33%,118.8628,1.42m,260
130,01/30/17,121.56,121.85,118.21,118.75,10604,-0.94779,-0.79%,118.4737,1.27m,167
131,01/27/17,120.48,121.79,119.00,119.70,4018,0.758232,0.64%,119.4215,482.71k,77
132,01/26/17,118.94,118.94,118.94,118.94,1209,-1.8956,-1.57%,118.6633,143.8k,41
133,01/25/17,120.95,123.1577,120.14,120.84,7968,0.48886,0.41%,120.5588,964.05k,173
134,01/24/17,117.20,120.93,116.945,120.35,7084,3.7812,3.25%,120.07,843.87k,178
135,01/23/17,117.53,118.01,116.56,116.56,9757,-3.0429,-2.55%,116.2888,1.14m,157
136,01/20/17,117.50,120.62,117.50,119.61,13061,2.3545,2.01%,119.3317,1.56m,187
137,01/19/17,120.00,120.86,113.57,117.25,31076,-3.442,-2.86%,116.9772,3.65m,358
138,01/18/17,119.99,120.70,117.98,120.70,8200,2.6538,2.25%,120.4192,979.85k,128
139,01/17/17,118.00,118.81,117.88,118.04,10766,-0.778186,-0.66%,117.7654,1.27m,193
140,01/13/17,120.05,120.79,118.35,118.82,15779,-1.9554,-1.62%,118.5435,1.89m,238
141,01/12/17,121.05,121.97,120.21,120.78,6410,-3.2125,-2.60%,120.499,775.2k,178
142,01/11/17,124.17,124.97,121.1501,124.00,7797,-0.48886,-0.39%,123.7115,960.1k,205
143,01/10/17,121.99,124.71,121.99,124.49,5182,4.4796,3.74%,124.2004,641.14k,212
144,01/09/17,121.33,121.38,119.31,120.00,14969,-1.1274,-0.93%,119.7208,1.8m,233
145,01/06/17,123.20,124.01,121.00,121.13,5233,-3.2624,-2.63%,120.8482,640.75k,179
146,01/05/17,125.622,125.622,123.05,124.40,3922,-1.1872,-0.95%,124.1106,489.63k,94
147,01/04/17,125.4593,127.04,125.4593,125.59,5176,1.8457,1.50%,125.2978,650.85k,106
148,01/03/17,123.00,124.56,120.80,123.74,8282,0.987697,0.81%,123.4521,1.02m,366
149,12/30/16,124.21,124.21,119.87,122.75,16850,0.877952,0.72%,122.4644,2.06m,134
150,12/29/16,123.51,123.975,119.7995,121.87,11379,-1.4267,-1.16%,121.5865,1.38m,155
1,12/28/16,126.60,130.3175,122.96,123.30,13010,-2.3346,-1.86%,123.0131,1.62m,186
2,12/27/16,128.48,129.19,125.01,125.64,21169,-2.2547,-1.77%,125.3477,2.69m,268
3,12/23/16,126.9999,131.15,126.90,127.90,40826,0.349186,0.27%,127.6024,5.24m,461
4,12/22/16,126.95,131.37,125.55,127.55,16486,0.54872,0.43%,127.2532,2.1m,395
5,12/21/16,127.31,128.11,124.255,127.00,6227,-1.3568,-1.06%,126.7045,787.8k,132
6,12/20/16,126.58,131.38,124.68,128.36,11862,2.5441,2.03%,128.0614,1.52m,204
7,12/19/16,127.37,129.16,125.53,125.81,10178,-1.8756,-1.47%,125.5173,1.3m,510
8,12/16/16,133.19,133.25,126.04,127.69,22780,-4.4297,-3.36%,127.3929,2.99m,291
9,12/15/16,133.50,136.11,131.86,132.13,14503,-0.019953,-0.02%,131.8226,1.94m,209
10,12/14/16,132.32,134.59,131.30,132.15,9473,-2.4144,-1.80%,131.8425,1.26m,287
11,12/13/16,129.36,136.29,129.36,134.57,7305,4.0605,3.12%,134.2569,975.9k,143
12,12/12/16,130.865,134.2929,130.28,130.50,5441,-2.8633,-2.15%,130.1964,714.85k,123
13,12/09/16,129.49,134.69,129.48,133.37,11138,1.7759,1.35%,133.0597,1.47m,164
14,12/08/16,132.20,134.78,130.66,131.59,14058,-0.419023,-0.32%,131.2838,1.86m,292
15,12/07/16,126.08,132.38,124.3501,132.01,12504,7.1733,5.76%,131.7029,1.63m,248
16,12/06/16,125.39,125.84,122.30,124.82,10504,1.7459,1.42%,124.5296,1.31m,195
17,12/05/16,120.09,124.63,120.09,123.07,9633,3.0529,2.55%,122.7837,1.19m,243
18,12/02/16,121.88,122.745,120.01,120.01,6196,-2.1949,-1.80%,119.7308,749.73k,126
19,12/01/16,127.85,127.85,122.06,122.21,5770,-1.8457,-1.49%,121.9257,709.39k,162
20,11/30/16,128.23,130.775,124.04,124.06,27205,-4.0007,-3.13%,123.7714,3.39m,237
