,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,25.15,25.15,25.00,25.10,13315,0.00,0.00%,25.10,333.98k,99
2,08/03/17,24.975,25.10,24.9662,25.10,9918,0.05,0.20%,25.10,248.14k,69
3,08/02/17,24.85,25.10,24.85,25.05,4538,0.05,0.20%,25.05,113.46k,55
4,08/01/17,24.90,25.00,24.85,25.00,14108,0.20,0.81%,25.00,352.34k,134
5,07/31/17,24.85,24.90,24.80,24.80,4736,0.00,0.00%,24.80,117.6k,49
6,07/28/17,24.70,24.85,24.70,24.80,7983,0.10,0.40%,24.80,197.7k,65
7,07/27/17,24.70,24.75,24.55,24.70,5206,0.05,0.20%,24.70,128.52k,68
8,07/26/17,24.80,24.80,24.50,24.65,5282,-0.20,-0.80%,24.65,129.99k,78
9,07/25/17,24.75,24.90,24.70,24.85,15197,0.15,0.61%,24.85,377.05k,131
10,07/24/17,24.65,24.70,24.60,24.70,5421,0.00,0.00%,24.70,133.73k,81
11,07/21/17,24.60,24.70,24.50,24.70,11641,0.25,1.02%,24.70,286.17k,88
12,07/20/17,24.30,24.45,24.30,24.45,7468,0.05,0.20%,24.45,182.29k,43
13,07/19/17,24.35,24.40,24.325,24.40,4574,0.20,0.83%,24.40,111.46k,69
14,07/18/17,24.10,24.30,23.95,24.20,4262,0.00,0.00%,24.20,102.94k,57
15,07/17/17,24.15,24.20,24.15,24.20,1942,-0.05,-0.21%,24.20,46.99k,30
16,07/14/17,24.15,24.25,24.10,24.25,6359,0.00,0.00%,24.25,154.1k,104
17,07/13/17,24.00,24.25,24.00,24.25,14499,0.25,1.04%,24.25,349.97k,124
18,07/12/17,24.10,24.10,23.95,24.00,22842,-0.10,-0.41%,24.00,548.57k,274
19,07/11/17,24.15,24.15,23.70,24.10,19396,0.10,0.42%,24.10,466.85k,182
20,07/10/17,24.10,24.10,24.00,24.00,6178,-0.10,-0.41%,24.00,148.71k,96
