,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,7.60,8.43,7.50,8.09,304472,0.71,9.62%,8.09,2.48m,1743
2,08/03/17,7.29,7.52,7.27,7.38,26107,0.08,1.10%,7.38,194.1k,144
3,08/02/17,7.32,7.49,7.208,7.30,38215,-0.085,-1.15%,7.30,279.05k,356
4,08/01/17,6.955,7.72,6.955,7.385,159344,0.315,4.46%,7.385,1.18m,734
5,07/31/17,7.1329,7.1329,6.99,7.07,41744,-0.06,-0.84%,7.07,294.3k,441
6,07/28/17,7.04,7.26,6.94,7.13,73318,0.14,2.00%,7.13,517.59k,322
7,07/27/17,7.05,7.05,6.8881,6.99,52754,-0.03,-0.43%,6.99,366.84k,259
8,07/26/17,7.11,7.12,6.97,7.02,61097,-0.05,-0.71%,7.02,431.87k,315
9,07/25/17,7.10,7.22,7.07,7.07,84354,-0.04,-0.56%,7.07,601.69k,648
10,07/24/17,7.12,7.16,6.90,7.11,58060,0.01,0.14%,7.11,408.78k,572
11,07/21/17,7.10,7.16,7.00,7.10,90872,0.00,0.00%,7.10,643.11k,395
12,07/20/17,7.13,7.20,7.06,7.10,56249,-0.03,-0.42%,7.10,402.61k,405
13,07/19/17,7.11,7.23,7.06,7.13,41175,0.02,0.28%,7.13,293.92k,384
14,07/18/17,7.10,7.33,7.09,7.11,55644,0.00,0.00%,7.11,398.49k,424
15,07/17/17,7.25,7.25,6.96,7.11,170340,-0.14,-1.93%,7.11,1.21m,841
16,07/14/17,7.14,7.29,7.14,7.25,51903,0.07,0.97%,7.25,375.71k,277
17,07/13/17,7.25,7.40,7.08,7.18,162776,-0.07,-0.97%,7.18,1.18m,1125
18,07/12/17,7.20,7.49,7.11,7.25,106198,0.04,0.55%,7.25,774.82k,767
19,07/11/17,7.46,7.46,7.14,7.21,54277,0.13,1.84%,7.21,395.56k,562
20,07/10/17,6.90,7.235,6.86,7.08,145171,0.14,2.02%,7.08,1.02m,685
21,07/07/17,6.88,7.08,6.87,6.94,38552,0.04,0.58%,6.94,267.41k,360
22,07/06/17,6.90,6.98,6.75,6.90,57284,0.00,0.00%,6.90,393.39k,411
23,07/05/17,6.95,6.99,6.85,6.90,27145,-0.05,-0.72%,6.90,187.11k,190
24,06/30/17,6.82,7.00,6.77,6.98,40109,0.16,2.35%,6.98,277.42k,319
25,06/29/17,6.97,7.00,6.72,6.82,32302,-0.16,-2.29%,6.82,221.92k,144
26,06/28/17,6.93,7.1399,6.93,6.98,59626,0.03,0.43%,6.98,418.46k,419
27,06/27/17,6.97,7.18,6.9138,6.95,31709,-0.03,-0.43%,6.95,220.81k,373
28,06/26/17,7.01,7.18,6.91,6.98,55897,-0.02,-0.29%,6.98,390.75k,448
29,06/23/17,6.71,7.3399,6.71,7.00,228898,0.31,4.63%,7.00,1.61m,1121
30,06/22/17,6.88,6.9354,6.58,6.69,76493,-0.25,-3.60%,6.69,513.19k,520
31,06/21/17,6.89,6.96,6.75,6.94,79994,0.08,1.17%,6.94,549.41k,352
32,06/20/17,6.90,7.01,6.85,6.86,66039,-0.10,-1.44%,6.86,459.35k,464
33,06/19/17,7.00,7.04,6.78,6.96,43904,-0.02,-0.29%,6.96,304.12k,262
34,06/16/17,6.96,7.07,6.86,6.98,105342,0.10,1.45%,6.98,736.05k,575
35,06/15/17,6.97,7.00,6.74,6.88,48174,-0.12,-1.71%,6.88,330.88k,276
36,06/14/17,7.00,7.053,6.9411,7.00,35719,0.00,0.00%,7.00,249.46k,243
37,06/13/17,6.99,7.02,6.93,7.00,20621,0.05,0.72%,7.00,143.97k,356
38,06/12/17,6.965,7.00,6.94,6.95,27884,0.00,0.00%,6.95,194.2k,429
39,06/09/17,7.04,7.08,6.91,6.95,52421,-0.09,-1.28%,6.95,368.07k,452
40,06/08/17,7.07,7.15,6.99,7.04,37147,0.08,1.15%,7.04,261.62k,448
41,06/07/17,7.15,7.15,6.89,6.96,73324,-0.12,-1.69%,6.96,513.23k,625
42,06/06/17,6.98,7.11,6.95,7.08,35572,0.115,1.65%,7.08,249.62k,433
43,06/05/17,7.00,7.02,6.95,6.965,13346,-0.065,-0.92%,6.965,93.42k,123
44,06/02/17,7.01,7.04,6.94,7.03,40947,0.02,0.29%,7.03,287.19k,311
45,06/01/17,7.19,7.19,6.97,7.01,39220,-0.17,-2.37%,7.01,276.5k,298
46,05/31/17,7.64,7.64,7.08,7.18,27182,-0.22,-2.97%,7.18,196.82k,243
47,05/30/17,7.27,7.60,7.14,7.40,54278,0.12,1.65%,7.40,399.77k,361
48,05/26/17,7.25,7.40,7.13,7.28,53139,0.09,1.25%,7.28,388.73k,414
49,05/25/17,6.78,7.26,6.58,7.19,85492,0.54,8.12%,7.19,600.38k,525
50,05/24/17,6.81,6.95,6.41,6.65,104754,-0.09,-1.34%,6.65,691.95k,719
51,05/23/17,6.92,7.12,6.62,6.74,77679,-0.15,-2.18%,6.74,529.33k,598
52,05/22/17,6.87,7.00,6.74,6.89,70485,0.04,0.58%,6.89,485.64k,520
53,05/19/17,6.70,7.06,6.70,6.85,84282,0.22,3.32%,6.85,580.48k,496
54,05/18/17,6.74,6.87,6.60,6.63,72604,-0.16,-2.36%,6.63,485.75k,422
55,05/17/17,7.00,7.00,6.72,6.79,89215,-0.15,-2.16%,6.79,607.48k,402
56,05/16/17,7.21,7.24,6.87,6.94,45964,-0.28,-3.88%,6.94,321.76k,323
57,05/15/17,7.54,7.68,7.10,7.22,125011,-0.31,-4.12%,7.22,929.54k,1056
58,05/12/17,7.50,7.81,7.43,7.53,163243,0.46,6.51%,7.53,1.23m,697
59,05/11/17,7.02,7.15,6.84,7.07,106040,0.13,1.87%,7.07,741.31k,406
60,05/10/17,7.18,7.34,6.5897,6.94,37209,-0.25,-3.48%,6.94,260.46k,515
61,05/09/17,7.35,7.49,7.06,7.19,75074,-0.13,-1.78%,7.19,539.82k,628
62,05/08/17,7.70,7.70,7.20,7.32,143801,-0.45,-5.79%,7.32,1.05m,644
63,05/05/17,7.15,7.84,7.15,7.77,435332,0.45,6.15%,7.77,3.22m,595
64,05/04/17,7.56,7.56,7.215,7.32,61126,0.05,0.69%,7.32,446.69k,581
65,05/03/17,7.2601,7.39,7.2393,7.27,38285,-0.07,-0.95%,7.27,278k,302
66,05/02/17,7.35,7.48,7.25,7.34,21448,0.06,0.82%,7.34,157.12k,320
67,05/01/17,7.40,7.52,7.205,7.28,42365,-0.12,-1.62%,7.28,308.63k,470
68,04/28/17,7.69,7.69,7.1701,7.40,33559,-0.28,-3.65%,7.40,248.61k,266
69,04/27/17,7.56,7.73,7.4011,7.68,75108,0.11,1.45%,7.68,570.46k,555
70,04/26/17,7.40,7.63,7.3525,7.57,49392,0.15,2.02%,7.57,369.2k,438
71,04/25/17,6.98,7.47,6.86,7.42,88199,0.42,6.00%,7.42,643.87k,583
72,04/24/17,7.06,7.12,6.82,7.00,57243,-0.03,-0.43%,7.00,400.3k,429
73,04/21/17,6.95,7.06,6.92,7.03,37110,0.11,1.59%,7.03,259.16k,297
74,04/20/17,6.91,6.95,6.79,6.92,37473,0.03,0.44%,6.92,258.67k,283
75,04/19/17,6.99,6.99,6.69,6.89,101359,0.02,0.29%,6.89,695.05k,811
76,04/18/17,6.31,6.93,6.28,6.87,264303,0.54,8.53%,6.87,1.75m,1495
77,04/17/17,6.31,6.36,6.21,6.33,38500,-0.02,-0.31%,6.33,242.59k,400
78,04/13/17,6.42,6.53,6.33,6.35,37971,-0.16,-2.46%,6.35,242.98k,291
79,04/12/17,6.51,6.62,6.36,6.51,130462,-0.07,-1.06%,6.51,843.84k,757
80,04/11/17,6.4601,6.63,6.4601,6.58,52726,-0.02,-0.30%,6.58,347.1k,358
81,04/10/17,6.66,6.69,6.56,6.60,88301,-0.06,-0.90%,6.60,586.45k,598
82,04/07/17,6.53,6.80,6.53,6.66,57965,0.13,1.99%,6.66,388.56k,397
83,04/06/17,6.66,6.66,6.43,6.53,96405,-0.11,-1.66%,6.53,630.82k,596
