,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,31.88,32.49,31.275,31.46,116743,-0.34,-1.07%,31.46,3.68m,1156
2,08/03/17,31.87,31.98,31.2637,31.80,128519,0.07,0.22%,31.80,4.06m,1434
3,08/02/17,32.00,32.5799,31.55,31.73,99508,-0.26,-0.81%,31.73,3.17m,1166
4,08/01/17,32.05,32.38,31.73,31.99,110999,0.23,0.72%,31.99,3.53m,1118
5,07/31/17,32.23,32.23,31.63,31.76,147845,-0.49,-1.52%,31.76,4.72m,1444
6,07/28/17,33.43,33.43,32.145,32.25,196066,-1.54,-4.56%,32.25,6.41m,1995
7,07/27/17,33.67,34.01,33.07,33.79,80490,0.18,0.54%,33.79,2.71m,1019
8,07/26/17,33.68,34.14,33.58,33.61,69694,-0.27,-0.80%,33.61,2.36m,747
9,07/25/17,33.63,34.04,33.40,33.88,70807,0.47,1.41%,33.88,2.39m,735
10,07/24/17,33.28,33.96,33.25,33.41,45404,0.01,0.03%,33.41,1.52m,658
11,07/21/17,34.18,34.31,31.301,33.40,68442,-0.49,-1.45%,33.40,2.3m,650
12,07/20/17,33.80,34.03,33.585,33.89,39007,0.05,0.15%,33.89,1.32m,559
13,07/19/17,33.74,34.32,33.44,33.84,44231,0.07,0.21%,33.84,1.49m,510
14,07/18/17,33.70,34.12,33.70,33.77,25534,-0.15,-0.44%,33.77,863.01k,327
15,07/17/17,33.79,34.05,33.355,33.92,50442,0.14,0.41%,33.92,1.71m,620
16,07/14/17,33.63,34.00,33.31,33.78,33806,-0.14,-0.41%,33.78,1.14m,426
17,07/13/17,34.03,34.14,33.49,33.92,32730,-0.11,-0.32%,33.92,1.11m,469
18,07/12/17,34.02,34.24,33.62,34.03,101525,0.08,0.24%,34.03,3.46m,1126
19,07/11/17,33.65,34.30,33.24,33.95,232409,0.40,1.19%,33.95,7.82m,1213
20,07/10/17,33.66,33.66,33.35,33.55,96270,-0.10,-0.30%,33.55,3.23m,917
21,07/07/17,33.59,33.70,33.40,33.65,125009,0.18,0.54%,33.65,4.2m,1273
22,07/06/17,33.57,33.70,33.21,33.47,91245,-0.11,-0.33%,33.47,3.06m,874
23,07/05/17,33.92,33.92,33.30,33.58,71923,-0.36,-1.06%,33.58,2.41m,1038
24,06/30/17,33.70,33.73,33.22,33.52,56345,-0.15,-0.45%,33.52,1.89m,593
25,06/29/17,34.08,34.28,33.40,33.67,193358,0.00,0.00%,33.67,6.52m,1398
26,06/28/17,33.81,34.15,33.4935,33.67,105077,-0.02,-0.06%,33.67,3.55m,1064
27,06/27/17,33.76,33.80,33.55,33.69,54286,-0.04,-0.12%,33.69,1.83m,768
28,06/26/17,33.46,34.085,33.46,33.73,97598,0.12,0.36%,33.73,3.3m,995
29,06/23/17,33.37,33.83,32.74,33.61,1352456,0.26,0.78%,33.61,45.43m,1613
30,06/22/17,33.77,34.03,33.18,33.35,62008,-0.37,-1.10%,33.35,2.07m,823
31,06/21/17,34.00,34.30,33.63,33.72,44377,-0.27,-0.79%,33.72,1.5m,526
32,06/20/17,34.27,34.37,33.86,33.99,38970,-0.36,-1.05%,33.99,1.33m,575
33,06/19/17,34.62,34.65,33.90,34.35,88898,-0.15,-0.43%,34.35,3.05m,860
34,06/16/17,34.48,34.90,34.13,34.50,250884,-0.15,-0.43%,34.50,8.65m,935
35,06/15/17,35.05,35.50,33.69,34.65,170581,-0.60,-1.70%,34.65,5.93m,1032
36,06/14/17,34.95,35.47,34.65,35.25,74235,-0.18,-0.51%,35.25,2.6m,932
37,06/13/17,35.04,35.49,34.27,35.43,160605,0.68,1.96%,35.43,5.62m,1502
38,06/12/17,34.99,35.50,33.3401,34.75,266831,-0.20,-0.57%,34.75,9.27m,1643
39,06/09/17,34.83,35.59,34.515,34.95,54543,0.51,1.48%,34.95,1.91m,749
40,06/08/17,34.48,34.95,34.30,34.44,59191,-0.14,-0.40%,34.44,2.05m,975
41,06/07/17,34.80,35.535,34.51,34.58,46163,-0.20,-0.58%,34.58,1.61m,811
42,06/06/17,35.88,35.88,34.35,34.78,49086,-0.34,-0.97%,34.78,1.71m,910
43,06/05/17,35.07,35.58,34.90,35.12,41489,0.10,0.29%,35.12,1.46m,560
44,06/02/17,35.02,35.25,34.67,35.02,41022,0.46,1.33%,35.02,1.44m,489
45,06/01/17,35.02,35.30,34.41,34.56,65068,-0.38,-1.09%,34.56,2.25m,767
46,05/31/17,34.78,35.05,34.2352,34.94,88479,0.29,0.84%,34.94,3.09m,506
47,05/30/17,34.54,34.69,33.79,34.65,35349,0.35,1.02%,34.65,1.21m,424
48,05/26/17,34.29,34.58,34.23,34.30,35718,-0.27,-0.78%,34.30,1.23m,424
49,05/25/17,34.75,34.86,34.54,34.57,24203,-0.31,-0.89%,34.57,838.87k,358
50,05/24/17,35.36,35.36,34.50,34.88,37517,-0.33,-0.94%,34.88,1.31m,492
