,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,6.87,6.87,6.58,6.735,7368,-0.125,-1.82%,6.735,49.64k,66
2,08/03/17,6.57,6.99,6.495,6.86,5964,-0.01,-0.15%,6.86,39.94k,52
3,08/02/17,6.95,6.9501,6.23,6.87,9547,-0.13,-1.86%,6.87,65.62k,40
4,08/01/17,7.13,7.13,7.00,7.00,1871,0.13,1.89%,7.00,13.13k,18
5,07/31/17,6.85,6.87,6.85,6.87,1868,0.02,0.29%,6.87,12.8k,13
6,07/28/17,6.91,7.00,6.61,6.85,2920,-0.21,-2.97%,6.85,19.92k,34
7,07/27/17,7.08,7.08,6.81,7.06,798,0.15,2.17%,7.06,5.58k,18
8,07/26/17,7.25,7.25,6.72,6.91,5327,0.01,0.14%,6.91,36.89k,46
9,07/25/17,7.01,7.15,6.90,6.90,4048,-0.20,-2.82%,6.90,28.33k,23
10,07/24/17,6.966,7.10,6.966,7.10,652,0.04,0.57%,7.10,4.58k,18
11,07/21/17,7.0716,7.095,6.78,7.06,16348,0.08,1.15%,7.06,113.81k,51
12,07/20/17,6.59,6.99,6.345,6.98,9520,-0.1407,-1.98%,6.98,63.5k,47
13,07/19/17,7.075,7.18,6.30,7.1207,9336,0.1207,1.72%,7.1207,65.56k,108
14,07/18/17,7.00,7.00,7.00,7.00,375,-0.145,-2.03%,7.00,2.63k,11
15,07/17/17,7.201,7.29,7.145,7.145,4182,-0.1294,-1.78%,7.145,30.12k,63
16,07/14/17,7.2744,7.2744,7.2744,7.2744,197,0.0121,0.17%,7.2744,1.43k,3
17,07/13/17,7.23,7.34,7.23,7.2623,712,-0.0277,-0.38%,7.2623,5.17k,15
18,07/12/17,7.30,7.345,7.21,7.29,3235,0.05,0.69%,7.29,23.58k,29
19,07/11/17,7.28,7.30,7.24,7.24,1080,-0.05,-0.69%,7.24,7.87k,13
20,07/10/17,7.2425,7.30,7.22,7.29,11954,0.02,0.28%,7.29,87.02k,82
21,07/07/17,7.28,7.30,7.20,7.27,6917,0.04,0.55%,7.27,50.21k,43
22,07/06/17,7.30,7.30,7.23,7.23,515,0.00,0.00%,7.23,3.75k,11
23,07/05/17,7.29,7.30,7.207,7.23,3852,-0.06,-0.82%,7.23,28.03k,31
24,06/30/17,7.48,7.4974,7.41,7.42,1948,0.04,0.54%,7.42,14.56k,50
25,06/29/17,6.97,7.6381,6.91,7.38,12867,0.44,6.34%,7.38,90.86k,59
26,06/28/17,6.78,6.9689,6.65,6.94,36997,0.37,5.63%,6.94,252.87k,143
27,06/27/17,6.9258,6.9258,6.32,6.57,25276,-0.25,-3.67%,6.57,166.35k,169
28,06/26/17,6.9216,6.9216,6.80,6.82,4917,-0.17,-2.43%,6.82,33.55k,32
29,06/23/17,7.23,7.23,6.85,6.99,7391,-0.34,-4.64%,6.99,51.66k,70
30,06/22/17,7.26,7.33,7.26,7.33,762,0.08,1.10%,7.33,5.56k,20
31,06/21/17,7.90,7.90,7.02,7.25,18292,-0.25,-3.33%,7.25,136.96k,103
32,06/20/17,7.34,8.02,7.20,7.50,23491,0.15,2.04%,7.50,175.77k,118
33,06/19/17,7.20,7.36,7.19,7.35,2342,0.19,2.65%,7.35,17.08k,28
34,06/16/17,7.25,7.27,7.15,7.16,12242,-0.15,-2.05%,7.16,88.29k,59
35,06/15/17,7.50,7.6953,7.30,7.31,14036,-0.09,-1.22%,7.31,106.14k,106
36,06/14/17,7.29,7.58,7.29,7.40,7798,-0.05,-0.67%,7.40,58.16k,71
37,06/13/17,7.83,7.92,7.26,7.45,6414,-0.29,-3.75%,7.45,48.63k,74
38,06/12/17,6.76,7.97,6.70,7.74,6027,-0.01,-0.13%,7.74,43.58k,55
39,06/09/17,7.0216,7.75,7.0216,7.75,6233,0.15,1.97%,7.75,47.16k,85
40,06/08/17,7.28,7.60,7.25,7.60,7512,0.09,1.20%,7.60,55.56k,82
41,06/07/17,7.26,7.85,7.26,7.51,9619,0.37,5.18%,7.51,73.59k,114
42,06/06/17,6.91,7.552,6.91,7.14,4916,0.04,0.56%,7.14,35.95k,41
43,06/05/17,6.80,7.10,6.72,7.10,19186,0.32,4.72%,7.10,133.59k,75
44,06/02/17,6.95,6.955,6.60,6.78,20777,-0.09,-1.31%,6.78,141.54k,158
45,06/01/17,6.9276,6.95,6.87,6.87,1739,-0.07,-1.01%,6.87,12.03k,18
46,05/31/17,6.84,6.95,6.75,6.94,6180,0.21,3.12%,6.94,42.86k,50
47,05/30/17,6.88,6.94,6.73,6.73,6959,-0.06,-0.88%,6.73,47.75k,42
48,05/26/17,6.65,6.87,6.62,6.79,2964,0.07,1.04%,6.79,19.83k,32
49,05/25/17,6.67,6.83,6.58,6.72,5802,-0.05,-0.74%,6.72,39.03k,68
50,05/24/17,6.83,6.95,6.77,6.77,8020,-0.17,-2.45%,6.77,55.53k,51
51,05/23/17,6.655,6.95,6.51,6.94,8740,0.22,3.27%,6.94,57.8k,59
52,05/22/17,6.90,6.90,6.65,6.72,12724,-0.20,-2.89%,6.72,85.72k,111
53,05/19/17,6.8212,6.94,6.6967,6.92,9115,0.17,2.52%,6.92,62.44k,130
54,05/18/17,6.2673,6.7899,6.261,6.75,9193,0.04,0.60%,6.75,61.36k,70
55,05/17/17,6.72,6.84,6.50,6.71,12181,0.01,0.15%,6.71,80.99k,77
56,05/16/17,6.62,6.83,6.60,6.70,16707,-0.16,-2.33%,6.70,112.3k,102
57,05/15/17,6.88,6.90,6.65,6.86,12501,0.10,1.48%,6.86,85.64k,73
58,05/12/17,6.54,6.88,6.15,6.76,30041,0.06,0.90%,6.76,194.76k,180
59,05/11/17,6.4563,6.75,5.94,6.70,59609,0.03,0.45%,6.70,375.32k,214
60,05/10/17,6.50,6.974,6.50,6.67,18037,0.21,3.25%,6.67,122.44k,89
61,05/09/17,6.40,6.46,6.40,6.46,760,0.05,0.78%,6.46,4.88k,14
62,05/08/17,6.49,6.4999,6.30,6.41,6001,0.06,0.94%,6.41,38.9k,16
63,05/05/17,6.15,6.35,6.132,6.35,4831,-0.04,-0.63%,6.35,30.21k,20
64,05/04/17,6.2461,6.49,6.0909,6.39,9747,0.00,0.00%,6.39,60.95k,69
65,05/03/17,6.20,6.39,6.015,6.39,16240,0.16,2.57%,6.39,102.04k,82
66,05/02/17,6.13,6.32,6.08,6.23,13332,0.16,2.64%,6.23,82.47k,84
67,05/01/17,6.235,6.27,6.00,6.07,33013,-0.14,-2.25%,6.07,204.85k,125
68,04/28/17,6.15,6.21,6.1406,6.21,1308,0.01,0.16%,6.21,8.09k,10
69,04/27/17,6.1007,6.2429,6.1007,6.20,9941,0.01,0.16%,6.20,61.08k,52
70,04/26/17,6.17,6.25,6.09,6.19,13329,0.14,2.31%,6.19,82.43k,62
71,04/25/17,5.96,6.0607,5.77,6.05,9077,-0.01,-0.17%,6.05,53.5k,36
72,04/24/17,5.97,6.10,5.9242,6.06,4775,0.07,1.17%,6.06,28.71k,47
73,04/21/17,6.00,6.1799,5.76,5.99,14252,-0.23,-3.70%,5.99,85.25k,71
74,04/20/17,6.1906,6.25,6.13,6.22,11518,0.17,2.81%,6.22,71.26k,59
75,04/19/17,5.80,6.088,5.80,6.05,5632,0.34,5.95%,6.05,33.51k,44
76,04/18/17,5.71,5.71,5.71,5.71,280,-0.03,-0.52%,5.71,1.6k,5
77,04/17/17,5.65,5.8092,5.65,5.74,3691,0.08,1.41%,5.74,21.19k,20
78,04/13/17,5.74,5.7897,5.61,5.66,11865,-0.1178,-2.04%,5.66,67.83k,16
79,04/12/17,5.80,5.81,5.66,5.7778,6671,0.0778,1.36%,5.7778,38.2k,27
80,04/11/17,5.78,5.9199,5.70,5.70,3506,-0.06,-1.04%,5.70,20.6k,23
81,04/10/17,5.65,5.80,5.65,5.76,8516,0.09,1.59%,5.76,48.8k,41
82,04/07/17,5.67,5.76,5.65,5.67,34028,-0.03,-0.53%,5.67,193.61k,118
83,04/06/17,5.5548,5.75,5.52,5.70,7022,0.17,3.07%,5.70,39.83k,66
84,04/05/17,6.18,6.20,5.52,5.53,23813,-0.27,-4.66%,5.53,134.13k,149
85,04/04/17,6.21,6.21,5.7386,5.80,25442,-0.29,-4.76%,5.80,148.44k,173
86,04/03/17,6.35,6.3602,6.09,6.09,12500,-0.3152,-4.92%,6.09,77.43k,77
87,03/31/17,6.36,6.57,6.30,6.4052,7511,0.1052,1.67%,6.4052,47.83k,48
88,03/30/17,6.59,6.6389,6.30,6.30,14174,-0.36,-5.41%,6.30,91.69k,70
89,03/29/17,6.60,6.77,6.535,6.66,17761,0.11,1.68%,6.66,119.03k,78
90,03/28/17,6.45,6.6185,6.365,6.55,23922,0.16,2.50%,6.55,154.45k,91
91,03/27/17,6.15,6.4103,6.15,6.39,12658,0.25,4.07%,6.39,79.55k,95
92,03/24/17,6.5099,6.5099,6.13,6.14,10275,-0.07,-1.13%,6.14,63.93k,81
93,03/23/17,6.36,6.59,6.20,6.21,15263,-0.1899,-2.97%,6.21,97.67k,104
94,03/22/17,6.44,6.45,6.31,6.3999,17888,-0.0469,-0.73%,6.3999,114.05k,69
95,03/21/17,7.049,7.049,6.40,6.4468,45637,-0.5432,-7.77%,6.4468,305.55k,169
96,03/20/17,6.85,7.09,6.12,6.99,102253,0.29,4.33%,6.99,680.89k,459
97,03/17/17,6.44,6.85,6.20,6.70,65736,0.26,4.04%,6.70,431.39k,299
98,03/16/17,6.17,6.75,6.17,6.44,154689,0.41,6.80%,6.44,1.02m,667
99,03/15/17,5.79,6.69,5.4953,6.03,155103,0.27,4.69%,6.03,944.3k,649
100,03/14/17,5.74,5.9312,5.4101,5.76,17612,0.0301,0.53%,5.76,102.05k,134
101,03/13/17,5.4674,5.73,5.451,5.7299,38824,0.2199,3.99%,5.7299,220.56k,140
102,03/10/17,5.50,5.57,5.23,5.51,52995,0.00,0.00%,5.51,285.59k,238
103,03/09/17,4.91,5.819,4.91,5.51,345853,0.93,20.31%,5.51,1.89m,1604
104,03/08/17,4.648,4.6942,4.58,4.58,45808,-0.02,-0.43%,4.58,212.04k,156
105,03/07/17,4.63,4.63,4.59,4.60,7522,-0.0081,-0.18%,4.60,34.75k,29
106,03/06/17,4.62,4.62,4.59,4.6081,1998,0.0081,0.18%,4.6081,9.2k,17
107,03/03/17,4.5956,4.6397,4.59,4.60,6595,0.01,0.22%,4.60,30.44k,28
108,03/02/17,4.5934,4.63,4.59,4.59,4436,-0.04,-0.86%,4.59,20.49k,19
109,03/01/17,4.65,4.65,4.59,4.63,4969,0.03,0.65%,4.63,22.92k,41
110,02/28/17,4.66,4.70,4.59,4.60,10473,-0.10,-2.13%,4.60,48.63k,128
111,02/27/17,4.58,4.70,4.575,4.70,8420,0.09,1.95%,4.70,39.04k,64
112,02/24/17,4.6318,4.6496,4.61,4.61,3478,-0.1097,-2.32%,4.61,16.12k,18
113,02/23/17,4.65,4.7219,4.65,4.7197,7030,0.1197,2.60%,4.7197,32.98k,42
114,02/22/17,5.08,5.14,4.5101,4.60,9556,-0.0699,-1.50%,4.60,44.75k,57
115,02/21/17,4.66,4.67,4.66,4.6699,1810,0.0599,1.30%,4.6699,8.44k,15
116,02/17/17,4.50,4.64,4.43,4.61,41560,0.20,4.54%,4.61,189.82k,206
117,02/16/17,4.7915,4.7915,4.40,4.41,26361,0.01,0.23%,4.41,117.58k,153
118,02/15/17,4.53,4.54,4.39,4.40,5681,0.04,0.92%,4.40,25.15k,44
119,02/14/17,4.52,4.73,4.15,4.36,27060,-0.14,-3.11%,4.36,118.88k,132
120,02/13/17,4.50,4.84,4.50,4.50,116125,0.0242,0.54%,4.50,543.72k,474
121,02/10/17,4.44,4.54,4.40,4.4758,3412,0.0358,0.81%,4.4758,15.1k,20
122,02/09/17,4.49,4.57,4.40,4.44,9808,-0.01,-0.22%,4.44,43.64k,55
123,02/08/17,4.4513,4.6381,4.447,4.45,23878,0.05,1.14%,4.45,107.89k,96
124,02/07/17,4.379,4.4955,4.29,4.40,36631,0.075,1.73%,4.40,162.06k,178
125,02/06/17,3.99,4.33,3.97,4.325,108899,0.355,8.94%,4.325,459.78k,242
126,02/03/17,3.98,4.05,3.94,3.97,25995,0.01,0.25%,3.97,103.92k,92
127,02/02/17,4.03,4.222,3.95,3.96,24607,-0.09,-2.22%,3.96,98.5k,143
128,02/01/17,4.20,4.21,4.03,4.05,15282,-0.15,-3.57%,4.05,63.33k,69
129,01/31/17,4.2001,4.6159,4.20,4.20,20364,0.00,0.00%,4.20,88.06k,84
130,01/30/17,4.34,4.3719,4.20,4.20,11685,-0.13,-3.00%,4.20,50.15k,69
131,01/27/17,4.40,4.4321,4.321,4.33,7971,-0.08,-1.81%,4.33,35.03k,62
132,01/26/17,4.99,4.99,4.35,4.41,46837,-0.52,-10.55%,4.41,213.98k,203
133,01/25/17,4.25,5.00,4.245,4.93,139646,0.75,17.94%,4.93,648.93k,585
134,01/24/17,4.1628,4.225,4.1628,4.18,4900,0.0179,0.43%,4.18,20.58k,41
135,01/23/17,4.15,4.1997,4.15,4.1621,3480,-0.0179,-0.43%,4.1621,14.55k,11
136,01/20/17,4.16,4.249,4.15,4.18,2867,-0.02,-0.48%,4.18,12k,30
137,01/19/17,4.2399,4.2498,4.1825,4.20,9384,-0.0399,-0.94%,4.20,39.57k,52
138,01/18/17,4.37,4.37,4.16,4.2399,5493,-0.0601,-1.40%,4.2399,23.26k,48
139,01/17/17,4.30,4.35,4.13,4.30,21180,0.23,5.65%,4.30,89.8k,91
140,01/13/17,4.10,4.1892,3.85,4.07,63617,-0.09,-2.16%,4.07,256.54k,245
141,01/12/17,4.97,4.97,4.16,4.16,72274,-0.72,-14.75%,4.16,328.99k,345
142,01/11/17,5.20,5.2999,4.80,4.88,36289,-0.25,-4.87%,4.88,182.53k,161
143,01/10/17,5.44,5.57,5.11,5.13,55545,-0.23,-4.29%,5.13,293.53k,342
144,01/09/17,5.75,5.9021,5.075,5.36,39957,-0.28,-4.96%,5.36,214.04k,162
145,01/06/17,6.04,6.17,5.6084,5.64,59060,-0.46,-7.54%,5.64,353.07k,248
146,01/05/17,6.05,6.10,6.00,6.10,21489,0.10,1.67%,6.10,130.43k,117
147,01/04/17,6.0162,6.04,6.00,6.00,3577,0.00,0.00%,6.00,21.51k,10
148,01/03/17,6.00,6.33,6.00,6.00,7472,0.00,0.00%,6.00,45.6k,73
149,12/30/16,6.00,6.41,6.00,6.00,19012,0.00,0.00%,6.00,117.55k,80
150,12/29/16,5.985,6.144,5.98,6.00,2364,-0.415,-6.47%,6.00,14.23k,38
1,12/28/16,6.27,6.49,5.905,6.415,18205,0.115,1.83%,6.415,116.44k,105
2,12/27/16,6.29,6.30,6.29,6.30,2729,0.00,0.00%,6.30,17.17k,13
3,12/23/16,6.50,6.55,6.30,6.30,8068,-0.17,-2.63%,6.30,51.8k,36
4,12/22/16,6.75,6.76,6.37,6.47,16814,-0.25,-3.72%,6.47,112.13k,61
5,12/21/16,6.95,6.9903,6.70,6.72,10683,0.05,0.75%,6.72,72.59k,47
6,12/20/16,7.28,7.28,6.62,6.67,13173,-0.6198,-8.50%,6.67,90.79k,87
7,12/19/16,7.60,7.61,7.2898,7.2898,8109,-0.3602,-4.71%,7.2898,60.94k,40
8,12/16/16,7.65,7.65,7.60,7.65,1419,0.00,0.00%,7.65,10.82k,21
9,12/15/16,7.61,7.65,7.61,7.65,1365,0.04,0.53%,7.65,10.43k,10
10,12/14/16,7.82,7.847,7.60,7.61,4218,-0.23,-2.93%,7.61,32.64k,32
11,12/13/16,7.61,7.92,7.61,7.84,22776,0.22,2.89%,7.84,177.82k,117
12,12/12/16,7.93,8.00,7.47,7.62,13205,-0.085,-1.10%,7.62,103.88k,91
13,12/09/16,7.59,7.9686,7.56,7.705,4331,0.155,2.05%,7.705,33.69k,37
14,12/08/16,8.25,8.50,7.09,7.55,42125,-0.61,-7.48%,7.55,326.65k,195
15,12/07/16,8.49,8.49,8.16,8.16,3961,-0.37,-4.34%,8.16,33.12k,26
16,12/06/16,8.50,8.93,8.50,8.53,5673,0.02,0.24%,8.53,49.67k,31
17,12/05/16,8.54,8.75,8.50,8.51,3534,0.01,0.12%,8.51,30.35k,34
18,12/02/16,9.13,9.13,8.50,8.50,3452,-0.09,-1.05%,8.50,29.86k,40
19,12/01/16,8.61,9.40,8.50,8.59,7817,-0.15,-1.72%,8.59,68.79k,79
20,11/30/16,8.45,9.26,8.40,8.74,7135,0.09,1.04%,8.74,62.4k,85
21,11/29/16,9.28,9.40,8.61,8.65,3630,0.24,2.85%,8.65,32.61k,32
22,11/28/16,8.74,8.789,8.41,8.41,7068,-0.39,-4.43%,8.41,60.97k,59
23,11/23/16,8.22,8.99,7.945,8.39,4542,0.14,1.70%,8.39,39.14k,58
24,11/22/16,8.20,8.96,8.04,8.25,7801,-0.25,-2.94%,8.25,66.01k,60
25,11/21/16,9.11,9.40,8.50,8.50,3647,-0.38,-4.28%,8.50,33.1k,39
26,11/18/16,9.17,9.25,8.62,8.88,4775,0.12,1.37%,8.88,42.49k,51
27,11/17/16,9.19,9.25,8.55,8.76,6346,-0.28,-3.10%,8.76,57.25k,69
28,11/16/16,9.20,9.20,8.56,9.04,6686,0.24,2.73%,9.04,60.17k,59
29,11/15/16,8.47,9.00,8.47,8.80,6564,0.25,2.92%,8.80,57.81k,61
30,11/14/16,8.06,8.66,8.00,8.55,9069,-0.16,-1.84%,8.55,77.4k,67
31,11/11/16,8.70,8.93,8.64,8.71,7918,0.39,4.69%,8.71,69.09k,71
32,11/10/16,8.95,8.99,8.32,8.32,12442,-0.16,-1.89%,8.32,108.57k,103
33,11/09/16,8.49,8.92,8.30,8.48,13353,-0.03,-0.35%,8.48,115.03k,88
34,11/08/16,8.91,8.91,8.1938,8.51,12948,-0.34,-3.84%,8.51,111.25k,109
35,11/07/16,8.88,8.88,8.74,8.85,3820,-0.08,-0.90%,8.85,33.78k,41
36,11/04/16,8.83,8.93,8.80,8.93,1188,-0.01,-0.11%,8.93,10.5k,14
37,11/03/16,8.815,8.94,8.815,8.94,1102,0.09,1.02%,8.94,9.75k,9
38,11/02/16,8.93,8.93,8.7788,8.85,10055,-0.04,-0.45%,8.85,88.94k,27
39,11/01/16,,,,8.89,270,0.00,0.00%,8.89,,7
40,10/31/16,8.6267,8.90,8.6267,8.89,2128,0.2661,3.09%,8.89,18.73k,22
41,10/28/16,8.6424,8.6424,8.6239,8.6239,900,-0.2461,-2.77%,8.6239,7.77k,3
42,10/27/16,,,,8.87,44,0.00,0.00%,8.87,,4
43,10/26/16,8.7793,8.8875,8.67,8.87,3562,-0.0184,-0.21%,8.87,31.29k,13
44,10/25/16,,,,8.8884,156,0.00,0.00%,8.8884,,9
45,10/24/16,,,,8.8884,154,0.00,0.00%,8.8884,,7
46,10/21/16,8.81,8.89,8.81,8.8884,719,0.0184,0.21%,8.8884,6.38k,4
47,10/20/16,8.87,8.87,8.87,8.87,108,0.01,0.11%,8.87,957.96,2
48,10/19/16,,,,8.86,90,0.00,0.00%,8.86,,3
49,10/18/16,8.75,8.89,8.67,8.86,2009,-0.005,-0.06%,8.86,17.71k,28
50,10/17/16,8.865,8.865,8.865,8.865,205,0.015,0.17%,8.865,1.82k,3
51,10/14/16,9.01,9.01,8.82,8.85,2377,-0.18,-1.99%,8.85,21.12k,30
52,10/13/16,9.15,9.15,9.03,9.03,1840,0.04,0.44%,9.03,16.7k,22
53,10/12/16,,,,8.99,18,0.00,0.00%,8.99,,2
54,10/11/16,8.96,9.03,8.96,8.99,4434,-0.08,-0.88%,8.99,39.76k,34
55,10/10/16,8.75,9.15,8.60,9.07,4595,-0.07,-0.77%,9.07,41.04k,31
56,10/07/16,8.50,9.16,8.50,9.14,3187,0.20,2.24%,9.14,28.89k,14
57,10/06/16,8.99,9.12,8.92,8.94,2733,0.05,0.56%,8.94,24.79k,25
58,10/05/16,8.87,8.94,8.87,8.89,930,0.00,0.00%,8.89,8.27k,13
59,10/04/16,8.96,8.96,8.89,8.89,1894,-0.0135,-0.15%,8.89,16.87k,23
