,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,40.05,40.075,39.5806,39.95,23427,0.35,0.88%,39.95,933.89k,328
2,08/03/17,39.90,39.90,39.40,39.60,17852,-0.30,-0.75%,39.60,708.83k,212
3,08/02/17,40.15,40.15,39.725,39.90,10737,-0.15,-0.37%,39.90,428.28k,151
4,08/01/17,40.50,40.50,39.5282,40.05,27153,-0.05,-0.12%,40.05,1.09m,365
5,07/31/17,39.80,40.45,39.80,40.10,12067,0.30,0.75%,40.10,484.36k,214
6,07/28/17,39.85,40.00,39.35,39.80,23329,-0.10,-0.25%,39.80,929.38k,237
7,07/27/17,39.95,40.50,39.40,39.90,25948,0.10,0.25%,39.90,1.03m,258
8,07/26/17,40.65,40.80,39.80,39.80,35306,-0.85,-2.09%,39.80,1.42m,232
9,07/25/17,40.25,40.875,40.00,40.65,19410,0.60,1.50%,40.65,788.05k,265
10,07/24/17,39.45,40.20,39.45,40.05,14640,0.65,1.65%,40.05,582.91k,234
11,07/21/17,39.95,40.15,39.35,39.40,14952,-0.45,-1.13%,39.40,593.79k,125
12,07/20/17,39.50,39.85,38.75,39.85,11465,0.30,0.76%,39.85,452.72k,149
13,07/19/17,39.75,40.50,39.50,39.55,9757,-0.15,-0.38%,39.55,388.46k,275
14,07/18/17,39.55,39.90,39.35,39.70,11055,-0.15,-0.38%,39.70,437.86k,147
15,07/17/17,39.75,40.25,39.40,39.85,30839,-0.10,-0.25%,39.85,1.23m,294
16,07/14/17,40.40,40.40,39.15,39.95,31894,-0.80,-1.96%,39.95,1.27m,307
17,07/13/17,40.90,40.90,39.95,40.75,15962,-0.05,-0.12%,40.75,646.96k,218
18,07/12/17,39.70,41.00,39.70,40.80,27228,0.50,1.24%,40.80,1.11m,392
19,07/11/17,40.20,40.60,39.30,40.30,16161,0.05,0.12%,40.30,648.61k,270
20,07/10/17,40.50,40.70,40.00,40.25,15209,-0.20,-0.49%,40.25,613.61k,302
21,07/07/17,40.00,40.60,39.934,40.45,18198,0.45,1.13%,40.45,732.5k,333
22,07/06/17,40.70,40.70,39.75,40.00,50664,-0.70,-1.72%,40.00,2.04m,654
23,07/05/17,41.00,41.00,39.85,40.70,32514,-0.35,-0.85%,40.70,1.32m,416
24,06/30/17,39.70,39.85,39.40,39.55,20495,-0.30,-0.75%,39.55,810.84k,325
25,06/29/17,39.75,40.00,39.30,39.85,37112,0.25,0.63%,39.85,1.47m,372
