,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,112.02,112.79,111.75,112.42,5618270,1.76,1.59%,112.42,631.32m,29783
2,08/03/17,110.52,111.055,110.43,110.66,1908358,-0.22,-0.20%,110.66,211.41m,10785
3,08/02/17,111.08,111.22,110.85,110.88,3407388,-0.22,-0.20%,110.88,378.55m,15195
4,08/01/17,110.30,111.20,110.20,111.10,3760728,0.77,0.70%,111.10,416.71m,18659
5,07/31/17,110.25,110.39,110.08,110.33,2535134,0.11,0.10%,110.33,279.46m,10715
6,07/28/17,110.12,110.40,110.05,110.22,2041734,-0.12,-0.11%,110.22,225.12m,9997
7,07/27/17,109.85,110.43,109.84,110.34,2846855,0.41,0.37%,110.34,313.56m,15834
8,07/26/17,109.75,109.95,109.75,109.93,2711531,0.22,0.20%,109.93,297.95m,11405
9,07/25/17,109.56,109.93,109.55,109.71,2426004,0.16,0.15%,109.71,266.42m,9628
10,07/24/17,109.83,109.84,109.55,109.55,1583803,-0.31,-0.28%,109.55,173.75m,8089
11,07/21/17,109.60,109.8901,109.55,109.86,1321205,0.15,0.14%,109.86,145.03m,7348
12,07/20/17,109.50,109.81,109.41,109.71,1497754,0.11,0.10%,109.71,164.23m,9295
13,07/19/17,109.45,109.65,109.41,109.60,1302266,0.14,0.13%,109.60,142.67m,8765
14,07/18/17,109.45,109.64,109.37,109.46,1521680,0.01,0.01%,109.46,166.6m,7647
15,07/17/17,109.40,109.6186,109.37,109.45,2083208,0.05,0.05%,109.45,228.03m,10334
16,07/14/17,109.20,109.48,109.16,109.40,1781973,0.19,0.17%,109.40,194.86m,8798
17,07/13/17,109.15,109.50,109.08,109.21,2247254,0.04,0.04%,109.21,245.57m,12474
18,07/12/17,109.20,109.37,109.06,109.17,2861416,-0.08,-0.07%,109.17,312.44m,11618
19,07/11/17,109.25,109.25,109.00,109.25,1803828,-0.07,-0.06%,109.25,196.81m,10241
20,07/10/17,109.05,109.46,109.05,109.32,1429255,0.21,0.19%,109.32,156.16m,8490
21,07/07/17,109.27,109.38,109.00,109.11,3532524,-0.15,-0.14%,109.11,385.39m,12086
22,07/06/17,109.11,109.30,109.05,109.26,1708567,0.06,0.05%,109.26,186.58m,10170
23,07/05/17,109.27,109.365,109.035,109.20,2315608,-0.07,-0.06%,109.20,252.81m,16668
24,06/30/17,109.33,109.51,109.14,109.45,2853904,0.05,0.05%,109.45,311.85m,18343
25,06/29/17,109.77,109.80,109.03,109.40,4944942,-0.50,-0.45%,109.40,540.41m,30611
26,06/28/17,109.88,109.95,109.57,109.90,2211409,0.38,0.35%,109.90,242.83m,11995
27,06/27/17,109.67,109.79,109.42,109.52,4010401,-0.21,-0.19%,109.52,439.34m,15565
28,06/26/17,109.75,109.92,109.45,109.73,2438030,-0.25,-0.23%,109.73,267.56m,14813
29,06/23/17,109.50,109.98,109.47,109.98,23837010,0.48,0.44%,109.98,2.62b,49013
30,06/22/17,109.15,109.50,108.99,109.50,3156790,0.33,0.30%,109.50,345m,18899
31,06/21/17,109.02,109.215,108.88,109.17,2796616,0.17,0.16%,109.17,304.99m,18540
32,06/20/17,109.05,109.86,108.97,109.00,3010801,-0.15,-0.14%,109.00,328.81m,18389
33,06/19/17,109.00,109.285,108.90,109.15,1809030,0.06,0.06%,109.15,197.5m,10624
34,06/16/17,109.00,109.40,108.845,109.09,2075727,0.09,0.08%,109.09,226.39m,8274
35,06/15/17,108.78,109.11,108.75,109.00,1315681,-0.27,-0.25%,109.00,143.33m,12650
36,06/14/17,108.96,109.415,108.65,109.27,2478030,0.16,0.15%,109.27,270.36m,15643
37,06/13/17,108.45,109.11,108.32,109.11,1959082,0.89,0.82%,109.11,213.13m,14934
38,06/12/17,108.91,108.91,108.00,108.22,2889858,-0.36,-0.33%,108.22,313.04m,20237
39,06/09/17,109.23,109.50,108.17,108.58,4308663,-0.65,-0.60%,108.58,469.42m,29455
40,06/08/17,109.07,109.40,108.92,109.23,2064827,0.02,0.02%,109.23,225.46m,13972
41,06/07/17,108.85,109.32,108.81,109.21,2903193,0.36,0.33%,109.21,316.92m,20861
42,06/06/17,109.22,109.35,108.845,108.85,2724684,-0.37,-0.34%,108.85,297.13m,18237
43,06/05/17,109.00,109.32,109.00,109.22,2537372,0.07,0.06%,109.22,276.99m,18037
44,06/02/17,109.20,109.35,108.86,109.15,3789013,-0.17,-0.16%,109.15,413.3m,22980
45,06/01/17,109.645,109.71,109.00,109.32,7466143,-0.58,-0.53%,109.32,816.63m,37188
46,05/31/17,109.05,109.90,108.98,109.90,12507064,1.76,1.63%,109.90,1.37b,43392
47,05/30/17,107.91,108.21,107.91,108.14,2111928,0.14,0.13%,108.14,228.28m,16520
48,05/26/17,107.89,108.24,107.89,108.00,2620593,0.05,0.05%,108.00,283.14m,18386
49,05/25/17,108.00,108.15,107.80,107.95,3058752,-0.05,-0.05%,107.95,330.08m,19677
50,05/24/17,108.11,108.29,107.845,108.00,3686014,-0.09,-0.08%,108.00,398.3m,23855
51,05/23/17,107.96,108.20,107.96,108.09,2996502,-0.08,-0.07%,108.09,323.99m,18099
52,05/22/17,107.87,108.24,107.75,108.17,3259410,0.42,0.39%,108.17,352.46m,20718
53,05/19/17,107.45,107.825,107.45,107.75,2773353,0.48,0.45%,107.75,298.68m,18859
54,05/18/17,107.28,107.50,107.14,107.27,3252767,-0.12,-0.11%,107.27,349.08m,22509
55,05/17/17,107.26,107.83,107.25,107.39,5324608,-0.31,-0.29%,107.39,572.66m,33513
56,05/16/17,106.97,107.755,106.93,107.70,6256903,0.66,0.62%,107.70,672.16m,22795
57,05/15/17,106.78,107.20,106.67,107.04,1854824,0.17,0.16%,107.04,198.53m,8894
58,05/12/17,106.77,106.91,106.50,106.87,4860589,0.01,0.01%,106.87,518.93m,14055
59,05/11/17,106.55,106.94,106.40,106.86,2924493,0.18,0.17%,106.86,312.16m,17141
60,05/10/17,106.72,106.89,106.58,106.68,3242967,-0.09,-0.08%,106.68,346.04m,12709
61,05/09/17,106.66,107.02,106.65,106.77,2152035,-0.13,-0.12%,106.77,230m,13450
62,05/08/17,106.53,106.9695,106.45,106.90,2710936,0.32,0.30%,106.90,289.16m,12339
63,05/05/17,106.57,106.96,106.38,106.58,2512702,-0.20,-0.19%,106.58,267.79m,16237
64,05/04/17,105.76,106.97,105.73,106.78,4468089,0.99,0.94%,106.78,476.5m,27685
65,05/03/17,106.00,106.10,105.60,105.79,1199183,0.03,0.03%,105.79,126.88m,11546
66,05/02/17,106.00,106.19,105.67,105.76,2297848,-0.20,-0.19%,105.76,243.52m,11577
67,05/01/17,105.90,106.155,105.60,105.96,1946758,0.21,0.20%,105.96,206.38m,13100
68,04/28/17,105.40,105.80,105.30,105.75,2050052,0.30,0.28%,105.75,216.38m,11665
69,04/27/17,105.50,105.58,105.30,105.45,1981043,-0.02,-0.02%,105.45,208.85m,11727
70,04/26/17,105.11,105.60,105.11,105.47,2824838,0.26,0.25%,105.47,297.91m,15566
71,04/25/17,104.86,105.28,104.80,105.21,2253253,0.44,0.42%,105.21,236.85m,12937
72,04/24/17,104.50,104.91,104.41,104.77,1644757,0.41,0.39%,104.77,172.3m,11653
73,04/21/17,104.45,104.45,104.11,104.36,1813228,-0.07,-0.07%,104.36,189.1m,10710
74,04/20/17,104.45,104.505,103.90,104.43,2904526,0.20,0.19%,104.43,303.25m,10885
75,04/19/17,103.50,104.42,103.39,104.23,3463244,0.92,0.89%,104.23,359.59m,16304
76,04/18/17,103.20,103.585,103.16,103.31,1495281,0.14,0.14%,103.31,154.54m,9124
77,04/17/17,103.50,103.69,103.17,103.17,1998950,-0.06,-0.06%,103.17,206.69m,12689
78,04/13/17,103.70,103.90,103.19,103.23,2698248,-0.46,-0.44%,103.23,279.69m,15987
79,04/12/17,103.92,103.99,103.66,103.69,3112463,-0.28,-0.27%,103.69,323.08m,17744
80,04/11/17,104.05,104.44,103.87,103.97,2272051,-0.20,-0.19%,103.97,236.35m,14367
81,04/10/17,104.50,104.68,104.17,104.17,2051221,-0.38,-0.36%,104.17,213.99m,11651
82,04/07/17,104.50,104.80,104.45,104.55,4128575,0.15,0.14%,104.55,432.09m,13795
83,04/06/17,104.95,105.00,104.34,104.40,3719165,-0.40,-0.38%,104.40,388.9m,14481
84,04/05/17,105.48,105.48,104.61,104.80,3961319,-0.25,-0.24%,104.80,415.81m,17361
85,04/04/17,104.75,105.26,104.345,105.05,7817404,0.78,0.75%,105.05,820.99m,26315
86,04/03/17,103.68,104.42,103.50,104.27,2955064,0.77,0.74%,104.27,307.43m,15005
87,03/31/17,103.94,104.00,103.38,103.50,3326854,-0.25,-0.24%,103.50,344.59m,14626
88,03/30/17,103.33,104.29,103.14,103.75,1697023,0.13,0.13%,103.75,176.47m,10424
89,03/29/17,103.16,103.67,103.15,103.62,1622946,0.44,0.43%,103.62,167.8m,9937
90,03/28/17,103.07,103.5302,102.97,103.18,1246296,-0.04,-0.04%,103.18,128.71m,9118
91,03/27/17,102.92,103.36,102.70,103.22,1182206,0.23,0.22%,103.22,121.73m,8698
92,03/24/17,102.81,103.16,102.60,102.99,2153518,0.29,0.28%,102.99,221.72m,12441
93,03/23/17,102.74,102.975,102.62,102.70,1720618,-0.03,-0.03%,102.70,176.84m,8358
94,03/22/17,102.83,102.99,102.60,102.73,2040718,-0.21,-0.20%,102.73,209.79m,14759
