,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,0.305,0.319,0.30,0.31,881126,0.00299,0.97%,0.31,270.83k,707
2,08/03/17,0.33,0.33,0.30,0.30701,1029519,-0.01649,-5.10%,0.30701,318.12k,946
3,08/02/17,0.329,0.345,0.3212,0.3235,1274931,0.002993,0.93%,0.3235,423.5k,1099
4,08/01/17,0.30,0.3299,0.30,0.320507,1303668,0.015607,5.12%,0.320507,411.41k,1230
5,07/31/17,0.32,0.3308,0.283,0.3049,2189352,-0.0237,-7.21%,0.3049,665.68k,1541
6,07/28/17,0.32,0.337,0.316,0.3286,1597832,-0.0054,-1.62%,0.3286,513.45k,1198
7,07/27/17,0.3464,0.349,0.32,0.334,2234803,-0.011,-3.19%,0.334,745.19k,1728
8,07/26/17,0.33,0.365,0.33,0.345,2672063,0.01,2.99%,0.345,923.62k,2168
9,07/25/17,0.359,0.365,0.3318,0.335,1662646,-0.02,-5.63%,0.335,565.96k,1946
10,07/24/17,0.365,0.3669,0.325,0.355,3161895,0.01,2.90%,0.355,1.08m,3090
11,07/21/17,0.4098,0.4189,0.34,0.345,10423551,-0.035,-9.21%,0.345,3.89m,9441
12,07/20/17,0.34,0.4152,0.3314,0.38,19136364,0.06,18.75%,0.38,7.25m,19206
13,07/19/17,0.34,0.3502,0.305,0.32,5620182,0.018,5.96%,0.32,1.86m,6303
14,07/18/17,0.31,0.33,0.2923,0.302,2634533,-0.0031,-1.02%,0.302,809.79k,3047
15,07/17/17,0.32,0.32,0.2901,0.3051,1563765,-0.0059,-1.90%,0.3051,473.43k,2585
16,07/14/17,0.33,0.335,0.31,0.311,1321300,-0.0089,-2.78%,0.311,418.27k,2379
17,07/13/17,0.3301,0.3613,0.3016,0.3199,5382412,-0.0987,-23.58%,0.3199,1.85m,9506
18,07/12/17,0.4651,0.564,0.38,0.4186,9359933,-0.0289,-6.46%,0.4186,4.41m,15703
19,07/11/17,0.47,0.49,0.42,0.4475,271138,-0.0125,-2.72%,0.4475,123.49k,679
20,07/10/17,0.55,0.57,0.452,0.46,747220,-0.09,-16.36%,0.46,371.87k,1064
21,07/07/17,0.58,0.60,0.5491,0.55,350835,-0.05,-8.33%,0.55,200.79k,450
22,07/06/17,0.62,0.631,0.58,0.60,195507,-0.0199,-3.21%,0.60,119.89k,187
23,07/05/17,0.63,0.6702,0.6002,0.6199,253284,-0.0101,-1.60%,0.6199,161.59k,270
24,06/30/17,0.65,0.67,0.63,0.6402,64568,-0.0249,-3.74%,0.6402,41.69k,199
25,06/29/17,0.7395,0.77,0.61,0.6651,226351,-0.074432,-10.06%,0.6651,154.9k,569
26,06/28/17,0.69,0.7427,0.69,0.739532,38491,0.029532,4.16%,0.739532,27.51k,117
27,06/27/17,0.69,0.73,0.69,0.71,44122,-0.01,-1.39%,0.71,31.3k,105
28,06/26/17,0.77,0.7789,0.68,0.72,96355,-0.02,-2.70%,0.72,68.9k,177
29,06/23/17,0.77,0.7742,0.73,0.74,283669,0.0012,0.16%,0.74,213.49k,528
30,06/22/17,0.664,0.78,0.655625,0.7388,315089,0.0789,11.96%,0.7388,227.73k,484
31,06/21/17,0.62,0.689,0.614,0.6599,127951,0.0399,6.44%,0.6599,83.85k,234
32,06/20/17,0.66,0.66,0.601,0.62,48060,-0.01,-1.59%,0.62,29.75k,134
33,06/19/17,0.63,0.69,0.5901,0.63,148457,0.04,6.78%,0.63,94.56k,244
34,06/16/17,0.64,0.65,0.5816,0.59,178272,-0.041,-6.50%,0.59,111.17k,213
35,06/15/17,0.6602,0.68,0.62,0.631,220318,-0.039,-5.82%,0.631,145.04k,391
36,06/14/17,0.68,0.69,0.6501,0.67,95590,-0.03,-4.29%,0.67,63.82k,121
37,06/13/17,0.65,0.70,0.65,0.70,385143,0.05,7.69%,0.70,256.72k,489
38,06/12/17,0.67,0.70,0.61,0.65,166460,-0.02,-2.99%,0.65,109.14k,215
39,06/09/17,0.65,0.705,0.65,0.67,105112,0.01,1.52%,0.67,71.96k,271
40,06/08/17,0.6515,0.6877,0.65,0.66,27459,0.005,0.76%,0.66,17.96k,103
41,06/07/17,0.681,0.70,0.65,0.655,92907,-0.0435,-6.23%,0.655,62.51k,228
42,06/06/17,0.70,0.72,0.662,0.6985,50821,-0.0015,-0.21%,0.6985,35.49k,148
43,06/05/17,0.7237,0.7237,0.68,0.70,47663,-0.0097,-1.37%,0.70,33.1k,162
44,06/02/17,0.68,0.72,0.68,0.7097,31254,-0.0003,-0.04%,0.7097,21.68k,145
45,06/01/17,0.66,0.75,0.66,0.71,193612,0.0487,7.36%,0.71,138.11k,410
46,05/31/17,0.65,0.70,0.65,0.6613,82885,-0.0067,-1.00%,0.6613,55.18k,265
47,05/30/17,0.7263,0.7263,0.58,0.668,105294,-0.0238,-3.44%,0.668,69.32k,259
48,05/26/17,0.7455,0.75,0.63,0.6918,672493,-0.0481,-6.50%,0.6918,463.68k,957
