,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,1.46,1.60,1.45,1.57,230136,-0.10,-5.99%,1.57,354.28k,723
2,08/03/17,1.61,1.73,1.54,1.67,466557,0.05,3.09%,1.67,774.7k,1201
3,08/02/17,1.56,1.63,1.56,1.62,270851,0.07,4.52%,1.62,432.7k,906
4,08/01/17,1.51,1.56,1.445,1.55,510466,0.03,1.97%,1.55,766.22k,1695
5,07/31/17,1.51,1.54,1.46,1.52,206645,0.03,2.01%,1.52,310.78k,855
6,07/28/17,1.49,1.5199,1.45,1.49,134942,-0.01,-0.67%,1.49,199.39k,568
7,07/27/17,1.54,1.569,1.47,1.50,134371,-0.03,-1.96%,1.50,203.1k,666
8,07/26/17,1.52,1.6349,1.51,1.53,239787,0.00,0.00%,1.53,377.51k,883
9,07/25/17,1.52,1.53,1.49,1.53,81722,0.01,0.66%,1.53,124.77k,436
10,07/24/17,1.52,1.569,1.49,1.52,142309,0.00,0.00%,1.52,217.08k,366
11,07/21/17,1.54,1.55,1.50,1.52,97153,-0.03,-1.94%,1.52,147.81k,285
12,07/20/17,1.48,1.5986,1.47,1.55,546121,0.08,5.44%,1.55,846.19k,1666
13,07/19/17,1.47,1.51,1.47,1.47,348251,0.00,0.00%,1.47,521.76k,620
14,07/18/17,1.51,1.51,1.43,1.47,309907,-0.04,-2.65%,1.47,463.64k,652
15,07/17/17,1.50,1.55,1.4882,1.51,264291,0.01,0.67%,1.51,399.16k,620
16,07/14/17,1.53,1.5574,1.49,1.50,280058,-0.02,-1.32%,1.50,427k,853
17,07/13/17,1.46,1.52,1.46,1.52,406655,0.05,3.40%,1.52,607.46k,806
18,07/12/17,1.46,1.4899,1.45,1.47,193493,0.01,0.68%,1.47,284.08k,809
19,07/11/17,1.44,1.52,1.43,1.46,579490,0.03,2.10%,1.46,856.24k,1492
20,07/10/17,1.52,1.53,1.42,1.43,488779,-0.10,-6.54%,1.43,716.96k,2277
21,07/07/17,1.53,1.56,1.51,1.53,239752,0.00,0.00%,1.53,366.74k,839
22,07/06/17,1.54,1.57,1.51,1.53,225432,-0.02,-1.29%,1.53,346.58k,1044
23,07/05/17,1.55,1.58,1.53,1.55,181248,-0.02,-1.27%,1.55,280.61k,1212
24,06/30/17,1.59,1.63,1.49,1.56,499463,-0.07,-4.29%,1.56,766.01k,1469
25,06/29/17,1.57,1.75,1.56,1.63,529598,0.05,3.16%,1.63,875.49k,1940
26,06/28/17,1.70,1.70,1.53,1.58,553550,-0.12,-7.06%,1.58,881.22k,2800
27,06/27/17,1.72,1.79,1.66,1.70,256161,-0.015,-0.87%,1.70,438.98k,1167
28,06/26/17,1.73,1.79,1.55,1.715,530710,-0.025,-1.44%,1.715,914.11k,2077
29,06/23/17,1.89,1.96,1.68,1.74,5164918,-0.16,-8.42%,1.74,9.17m,7584
30,06/22/17,1.59,1.94,1.5286,1.90,4497566,0.44,30.14%,1.90,7.9m,13664
31,06/21/17,1.50,1.55,1.431,1.46,314062,-0.03,-2.01%,1.46,468.11k,1767
32,06/20/17,1.43,1.55,1.43,1.49,828841,0.07,4.93%,1.49,1.25m,3011
33,06/19/17,1.37,1.43,1.34,1.42,554398,0.06,4.41%,1.42,771k,2273
34,06/16/17,1.32,1.36,1.30,1.36,217862,0.01,0.74%,1.36,289.49k,876
35,06/15/17,1.35,1.38,1.3226,1.35,169122,-0.01,-0.74%,1.35,228.57k,991
36,06/14/17,1.35,1.38,1.31,1.36,239240,0.01,0.74%,1.36,323.11k,1155
37,06/13/17,1.31,1.39,1.29,1.35,377140,0.07,5.47%,1.35,508.87k,1561
38,06/12/17,1.31,1.35,1.28,1.28,242757,-0.03,-2.29%,1.28,314.47k,1376
39,06/09/17,1.30,1.34,1.28,1.31,170153,0.01,0.77%,1.31,223.81k,915
40,06/08/17,1.27,1.325,1.27,1.30,174203,0.03,2.36%,1.30,226.85k,878
41,06/07/17,1.29,1.30,1.26,1.27,207211,-0.03,-2.31%,1.27,264.67k,1011
42,06/06/17,1.28,1.32,1.28,1.30,115897,0.02,1.56%,1.30,149.73k,648
43,06/05/17,1.31,1.3201,1.28,1.28,128307,-0.04,-3.03%,1.28,165.46k,663
44,06/02/17,1.35,1.36,1.30,1.32,186405,-0.03,-2.22%,1.32,245.21k,873
45,06/01/17,1.28,1.36,1.28,1.35,340267,0.07,5.47%,1.35,451.4k,1398
46,05/31/17,1.26,1.30,1.26,1.28,292132,0.01,0.79%,1.28,372.82k,918
47,05/30/17,1.29,1.30,1.25,1.27,304556,-0.02,-1.55%,1.27,386.35k,1344
48,05/26/17,1.30,1.32,1.29,1.29,190979,-0.02,-1.53%,1.29,247.31k,941
49,05/25/17,1.32,1.36,1.30,1.31,171878,-0.01,-0.76%,1.31,226.86k,1056
50,05/24/17,1.32,1.36,1.30,1.32,258877,-0.01,-0.75%,1.32,339.71k,1455
51,05/23/17,1.30,1.35,1.26,1.33,287186,0.04,3.10%,1.33,372.51k,1429
52,05/22/17,1.33,1.39,1.26,1.29,521636,-0.03,-2.27%,1.29,675.99k,2092
53,05/19/17,1.33,1.3775,1.30,1.32,297391,-0.01,-0.75%,1.32,391.55k,1619
54,05/18/17,1.35,1.38,1.32,1.33,355688,-0.02,-1.48%,1.33,477.11k,1758
55,05/17/17,1.40,1.43,1.35,1.35,244295,-0.07,-4.93%,1.35,338.26k,1455
56,05/16/17,1.43,1.46,1.405,1.42,182236,-0.01,-0.70%,1.42,260.95k,723
57,05/15/17,1.37,1.49,1.37,1.43,358508,0.04,2.88%,1.43,520.1k,1675
58,05/12/17,1.35,1.44,1.35,1.39,242167,0.02,1.46%,1.39,334.07k,1132
59,05/11/17,1.39,1.42,1.37,1.37,254827,-0.02,-1.44%,1.37,351.53k,1176
60,05/10/17,1.40,1.44,1.35,1.39,484328,-0.02,-1.42%,1.39,674k,1920
61,05/09/17,1.41,1.45,1.41,1.41,190930,-0.005,-0.35%,1.41,271.88k,1116
62,05/08/17,1.45,1.47,1.40,1.415,216593,-0.035,-2.41%,1.415,307.15k,1018
63,05/05/17,1.40,1.47,1.40,1.45,219082,0.05,3.57%,1.45,317.58k,989
64,05/04/17,1.41,1.45,1.38,1.40,226452,-0.01,-0.71%,1.40,316.04k,1370
65,05/03/17,1.43,1.46,1.41,1.41,185929,-0.03,-2.08%,1.41,264.95k,886
66,05/02/17,1.49,1.49,1.44,1.44,187370,-0.06,-4.00%,1.44,272.35k,787
67,05/01/17,1.51,1.52,1.47,1.50,247522,-0.01,-0.66%,1.50,371.02k,893
68,04/28/17,1.54,1.56,1.50,1.51,276409,-0.025,-1.63%,1.51,423.35k,1426
69,04/27/17,1.58,1.58,1.50,1.535,249334,-0.035,-2.23%,1.535,382.72k,1560
70,04/26/17,1.48,1.58,1.42,1.57,840362,0.10,6.80%,1.57,1.29m,2498
71,04/25/17,1.45,1.48,1.42,1.47,497920,0.04,2.80%,1.47,728.06k,1604
72,04/24/17,1.44,1.45,1.40,1.43,204700,0.01,0.70%,1.43,291.43k,955
73,04/21/17,1.43,1.48,1.40,1.42,388849,-0.02,-1.39%,1.42,551.26k,1298
74,04/20/17,1.45,1.50,1.43,1.44,309639,-0.01,-0.69%,1.44,449.94k,1112
75,04/19/17,1.48,1.55,1.435,1.45,649596,-0.03,-2.03%,1.45,963.29k,1596
76,04/18/17,1.50,1.53,1.45,1.48,508149,-0.04,-2.63%,1.48,754.35k,1663
77,04/17/17,1.58,1.60,1.50,1.52,450896,-0.04,-2.56%,1.52,686.95k,1987
78,04/13/17,1.53,1.62,1.53,1.56,620869,0.02,1.30%,1.56,988.51k,2087
79,04/12/17,1.49,1.57,1.485,1.54,480345,0.05,3.36%,1.54,733.8k,1153
80,04/11/17,1.50,1.56,1.48,1.49,385966,-0.03,-1.97%,1.49,579.27k,1375
81,04/10/17,1.52,1.5878,1.48,1.52,493099,-0.01,-0.65%,1.52,745k,2035
82,04/07/17,1.58,1.60,1.50,1.53,460573,-0.07,-4.37%,1.53,707.55k,1640
83,04/06/17,1.53,1.61,1.50,1.60,704640,0.07,4.58%,1.60,1.09m,2275
84,04/05/17,1.67,1.70,1.52,1.53,890861,-0.12,-7.27%,1.53,1.41m,2016
