,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,43.44,46.31,43.44,46.26,1110394,2.87,6.61%,46.26,50.43m,10585
2,08/03/17,45.89,45.96,43.20,43.39,1101041,-2.23,-4.89%,43.39,48.49m,10244
3,08/02/17,46.82,46.82,44.86,45.62,953182,-1.37,-2.92%,45.62,43.65m,10006
4,08/01/17,47.01,47.675,46.61,46.99,579481,-0.17,-0.36%,46.99,27.26m,5843
5,07/31/17,47.58,48.31,46.79,47.16,887312,-0.35,-0.74%,47.16,42.02m,8863
6,07/28/17,47.78,48.73,47.31,47.51,745228,-0.41,-0.86%,47.51,35.69m,7215
7,07/27/17,47.47,48.91,47.14,47.92,1041330,0.52,1.10%,47.92,50.15m,9415
8,07/26/17,47.18,49.22,47.18,47.40,1041412,0.05,0.11%,47.40,50.05m,10574
9,07/25/17,45.59,48.03,45.59,47.35,1414181,2.49,5.55%,47.35,67.03m,13807
10,07/24/17,44.32,44.93,43.65,44.86,967045,0.86,1.95%,44.86,42.98m,8982
11,07/21/17,45.99,46.01,43.49,44.00,959557,-1.46,-3.21%,44.00,42.36m,9437
12,07/20/17,46.38,46.74,45.22,45.46,888257,-0.42,-0.92%,45.46,40.6m,9424
13,07/19/17,43.68,46.30,43.54,45.88,1447862,2.06,4.70%,45.88,65.72m,12415
14,07/18/17,44.68,45.06,43.42,43.82,972292,-0.40,-0.90%,43.82,42.94m,10060
15,07/17/17,44.03,44.44,43.69,44.22,1162176,0.18,0.41%,44.22,51.37m,8916
16,07/14/17,44.81,45.22,43.77,44.04,786473,-0.74,-1.65%,44.04,34.74m,7600
17,07/13/17,44.05,45.25,43.94,44.78,1021843,0.67,1.52%,44.78,45.43m,10006
18,07/12/17,44.23,45.64,43.78,44.11,1546445,0.68,1.57%,44.11,68.62m,11901
19,07/11/17,43.00,44.24,42.49,43.43,1193041,0.47,1.09%,43.43,51.93m,9370
20,07/10/17,41.93,43.54,41.66,42.96,1177173,0.72,1.70%,42.96,50.5m,9645
21,07/07/17,41.15,42.37,40.36,42.24,1311978,0.84,2.03%,42.24,54.57m,12068
22,07/06/17,42.82,43.59,41.25,41.40,1112587,-1.08,-2.54%,41.40,46.8m,10788
23,07/05/17,43.97,43.97,42.03,42.48,1233856,-1.93,-4.35%,42.48,52.44m,9564
24,06/30/17,42.77,44.05,42.50,43.11,1988209,0.74,1.75%,43.11,86.1m,15161
25,06/29/17,40.77,42.93,40.39,42.37,1990290,1.98,4.90%,42.37,83.55m,15833
26,06/28/17,41.00,41.52,40.12,40.39,2414745,-0.73,-1.78%,40.39,98.08m,19081
27,06/27/17,43.04,43.125,41.11,41.12,1694440,-1.76,-4.10%,41.12,71.11m,15566
28,06/26/17,44.91,45.53,42.81,42.88,1420987,-1.84,-4.11%,42.88,62.58m,13377
29,06/23/17,42.87,44.75,42.41,44.72,2870183,2.21,5.20%,44.72,127.37m,14937
30,06/22/17,43.63,43.85,42.435,42.51,1129158,-0.50,-1.16%,42.51,48.55m,10130
31,06/21/17,45.54,46.585,42.88,43.01,1485023,-2.99,-6.50%,43.01,65.33m,14245
32,06/20/17,45.08,46.33,44.32,46.00,851224,0.02,0.04%,46.00,38.82m,8901
33,06/19/17,45.62,46.27,45.29,45.98,764458,0.46,1.01%,45.98,35.06m,6585
34,06/16/17,44.78,45.57,44.50,45.52,2065784,0.74,1.65%,45.52,93.53m,10160
35,06/15/17,46.32,46.98,44.225,44.78,1066889,-1.81,-3.88%,44.78,48.19m,10050
36,06/14/17,48.66,48.76,46.45,46.59,1364684,-2.42,-4.94%,46.59,64.23m,11348
37,06/13/17,47.85,49.04,47.57,49.01,953094,1.22,2.55%,49.01,46.32m,10016
38,06/12/17,47.43,48.795,46.55,47.79,1354886,0.69,1.46%,47.79,64.58m,12211
39,06/09/17,44.45,47.15,44.43,47.10,1848672,2.83,6.39%,47.10,84.71m,15124
40,06/08/17,44.49,45.16,44.01,44.27,2196123,-0.39,-0.87%,44.27,98.11m,18865
41,06/07/17,47.52,48.0058,44.55,44.66,1326891,-3.15,-6.59%,44.66,60.5m,12188
42,06/06/17,47.13,48.04,46.19,47.81,1169687,0.36,0.76%,47.81,55.32m,12304
43,06/05/17,48.37,48.62,47.38,47.45,958393,-1.06,-2.19%,47.45,45.76m,9519
44,06/02/17,48.47,48.905,46.86,48.51,1336581,-1.67,-3.33%,48.51,64.25m,12810
45,06/01/17,49.71,50.95,49.48,50.18,903358,0.52,1.05%,50.18,45.48m,9124
46,05/31/17,49.97,50.65,48.71,49.66,914576,-1.10,-2.17%,49.66,45.19m,8439
47,05/30/17,51.19,51.495,50.45,50.76,804891,-1.48,-2.83%,50.76,40.9m,6777
48,05/26/17,51.74,52.51,51.0721,52.24,734219,0.37,0.71%,52.24,38.29m,6897
49,05/25/17,53.02,54.40,51.60,51.87,867805,-1.51,-2.83%,51.87,45.52m,9370
50,05/24/17,54.58,55.01,53.095,53.38,708164,-1.21,-2.22%,53.38,38.15m,7139
51,05/23/17,54.50,54.63,53.515,54.59,1420956,0.71,1.32%,54.59,76.84m,11360
52,05/22/17,53.99,54.48,53.43,53.88,1082429,0.05,0.09%,53.88,58.49m,8024
53,05/19/17,52.91,54.01,52.50,53.83,803305,1.33,2.53%,53.83,42.98m,8121
54,05/18/17,52.13,52.86,51.90,52.50,888804,0.00,0.00%,52.50,46.67m,9199
55,05/17/17,52.35,53.25,51.85,52.50,1822434,-0.14,-0.27%,52.50,95.83m,13608
56,05/16/17,52.98,53.29,52.29,52.64,1301854,-0.12,-0.23%,52.64,68.67m,11382
57,05/15/17,54.29,54.60,52.70,52.76,967216,-0.45,-0.85%,52.76,51.66m,8729
58,05/12/17,54.05,54.44,52.92,53.21,846943,-0.80,-1.48%,53.21,45.23m,8536
59,05/11/17,55.29,55.67,53.86,54.01,1071137,-1.00,-1.82%,54.01,58.12m,10044
60,05/10/17,55.04,55.40,54.27,55.01,1147425,0.82,1.51%,55.01,63.13m,10536
61,05/09/17,54.17,55.18,53.66,54.19,1329520,-0.09,-0.17%,54.19,72.5m,13111
62,05/08/17,52.64,54.64,52.35,54.28,1469324,1.57,2.98%,54.28,79.3m,14517
63,05/05/17,51.39,53.50,51.30,52.71,1878522,0.80,1.54%,52.71,97.95m,16677
64,05/04/17,51.67,52.23,50.85,51.91,2086261,-0.22,-0.42%,51.91,107.66m,20470
65,05/03/17,53.92,53.92,51.465,52.13,3098859,-2.64,-4.82%,52.13,162.11m,25623
66,05/02/17,55.21,55.79,54.04,54.77,773932,-0.38,-0.69%,54.77,42.45m,8179
67,05/01/17,55.06,55.35,54.264,55.15,1090043,-0.08,-0.14%,55.15,59.81m,10216
68,04/28/17,56.84,56.87,55.12,55.23,1517739,-1.17,-2.07%,55.23,84.37m,10881
69,04/27/17,57.43,57.43,54.53,56.40,2457107,-1.83,-3.14%,56.40,137.43m,21394
70,04/26/17,58.20,59.60,58.09,58.23,899732,-0.42,-0.72%,58.23,52.91m,8913
71,04/25/17,57.78,58.74,57.255,58.65,727771,1.04,1.81%,58.65,42.53m,7342
72,04/24/17,57.55,58.37,57.224,57.61,1023084,0.46,0.80%,57.61,58.9m,10378
73,04/21/17,57.28,57.64,56.16,57.15,1917937,-0.16,-0.28%,57.15,109.38m,17899
74,04/20/17,59.29,59.80,55.88,57.31,2324149,-1.87,-3.16%,57.31,133.68m,21387
75,04/19/17,62.09,62.345,59.01,59.18,1423933,-2.89,-4.66%,59.18,85.51m,13896
76,04/18/17,62.74,63.80,62.05,62.07,809517,-1.36,-2.14%,62.07,50.69m,8852
77,04/17/17,63.29,64.10,62.61,63.43,813821,0.00,0.00%,63.43,51.39m,8401
78,04/13/17,64.36,65.04,63.255,63.43,1331785,-0.96,-1.49%,63.43,85.3m,14796
79,04/12/17,64.78,65.99,64.01,64.39,804568,-0.39,-0.60%,64.39,52.11m,9928
80,04/11/17,63.82,64.80,63.24,64.78,796932,0.91,1.42%,64.78,51.14m,8753
81,04/10/17,62.81,64.25,62.50,63.87,609008,1.50,2.41%,63.87,38.82m,7075
82,04/07/17,62.39,63.19,61.97,62.37,702287,-0.02,-0.03%,62.37,43.91m,7352
83,04/06/17,61.65,62.49,61.0775,62.39,859034,1.43,2.35%,62.39,53.35m,9766
84,04/05/17,63.38,64.0805,60.95,60.96,1475300,-1.98,-3.15%,60.96,91.94m,14591
85,04/04/17,61.52,63.47,61.31,62.94,1448645,1.38,2.24%,62.94,90.96m,13165
