,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,6.05,6.095,6.00,6.05,3690,0.00,0.00%,6.05,22.41k,19
2,08/03/17,6.1688,6.1688,6.05,6.05,3883,-0.10,-1.63%,6.05,23.59k,16
3,08/02/17,6.10,6.15,6.0757,6.15,1621,0.05,0.82%,6.15,9.91k,11
4,08/01/17,6.10,6.15,6.10,6.10,11912,-0.10,-1.61%,6.10,72.83k,22
5,07/31/17,6.0932,6.25,6.00,6.20,10516,0.075,1.22%,6.20,63.28k,39
6,07/28/17,6.10,6.15,6.10,6.125,4723,-0.025,-0.41%,6.125,28.87k,31
7,07/27/17,6.25,6.25,6.15,6.15,2470,-0.10,-1.60%,6.15,15.26k,16
8,07/26/17,6.35,6.35,6.1798,6.25,3400,0.00,0.00%,6.25,21.3k,17
9,07/25/17,6.30,6.30,6.25,6.25,4566,-0.05,-0.79%,6.25,28.67k,39
10,07/24/17,6.40,6.40,6.25,6.30,10289,0.00,0.00%,6.30,64.9k,40
11,07/21/17,6.30,6.40,6.20,6.30,34204,0.00,0.00%,6.30,215.53k,83
12,07/20/17,6.10,6.30,5.95,6.30,36055,0.25,4.13%,6.30,224.02k,208
13,07/19/17,6.00,6.10,5.95,6.05,19229,0.15,2.54%,6.05,115.71k,56
14,07/18/17,6.0415,6.10,5.85,5.90,12162,-0.15,-2.48%,5.90,72.42k,40
15,07/17/17,6.065,6.095,5.95,6.05,10251,0.05,0.83%,6.05,61.48k,19
16,07/14/17,6.00,6.10,6.00,6.00,6411,-0.05,-0.83%,6.00,38.86k,37
17,07/13/17,6.05,6.10,6.05,6.05,4757,-0.05,-0.82%,6.05,28.86k,37
18,07/12/17,6.15,6.25,6.10,6.10,14653,-0.10,-1.61%,6.10,90.19k,59
19,07/11/17,6.20,6.2332,6.20,6.20,4377,0.00,0.00%,6.20,27.18k,33
20,07/10/17,6.25,6.275,6.20,6.20,7463,0.00,0.00%,6.20,46.43k,61
21,07/07/17,6.35,6.50,6.20,6.20,9239,-0.10,-1.59%,6.20,58.95k,49
22,07/06/17,6.35,6.35,6.25,6.30,1273,0.00,0.00%,6.30,8.02k,17
23,07/05/17,6.25,6.35,6.25,6.30,3873,-0.05,-0.79%,6.30,24.41k,25
24,06/30/17,6.15,6.35,6.05,6.15,11440,0.00,0.00%,6.15,70.55k,43
25,06/29/17,6.05,6.15,5.875,6.15,17087,0.05,0.82%,6.15,103.22k,50
26,06/28/17,5.8535,6.10,5.8535,6.10,9497,0.20,3.39%,6.10,56.59k,54
27,06/27/17,5.75,5.90,5.75,5.90,3710,0.10,1.72%,5.90,21.64k,35
28,06/26/17,5.60,5.80,5.35,5.80,4457,0.15,2.65%,5.80,25.41k,34
29,06/23/17,5.60,5.65,5.60,5.65,407,-0.10,-1.74%,5.65,2.29k,8
30,06/22/17,5.55,5.80,5.55,5.75,6572,0.10,1.77%,5.75,37.12k,41
31,06/21/17,5.55,5.70,5.50,5.65,5934,0.10,1.80%,5.65,33.51k,25
32,06/20/17,5.45,5.55,5.35,5.55,4842,0.15,2.78%,5.55,26.43k,32
33,06/19/17,5.40,5.45,5.30,5.40,16158,0.0298,0.55%,5.40,87.57k,49
34,06/16/17,5.20,5.3702,5.1255,5.3702,5506,-0.1298,-2.36%,5.3702,28.86k,46
35,06/15/17,5.65,5.80,5.50,5.50,9181,-0.1218,-2.17%,5.50,51.17k,66
36,06/14/17,5.70,5.70,5.60,5.6218,1538,-0.0282,-0.50%,5.6218,8.71k,16
37,06/13/17,5.75,5.805,5.60,5.65,13293,-0.10,-1.74%,5.65,76.24k,40
38,06/12/17,5.85,6.00,5.60,5.75,8259,-0.10,-1.71%,5.75,48.51k,30
39,06/09/17,5.55,5.85,5.55,5.85,12976,0.35,6.36%,5.85,73.9k,42
40,06/08/17,5.55,5.5903,5.4081,5.50,6299,-0.10,-1.79%,5.50,34.81k,23
41,06/07/17,5.576,5.60,5.576,5.60,4436,0.00,0.00%,5.60,24.8k,21
42,06/06/17,6.00,6.00,5.59,5.60,7453,-0.40,-6.67%,5.60,43.08k,49
43,06/05/17,5.705,6.10,5.705,6.00,10651,0.35,6.19%,6.00,61.72k,45
44,06/02/17,5.70,5.70,5.65,5.65,810,0.00,0.00%,5.65,4.6k,8
45,06/01/17,5.6557,5.75,5.65,5.65,1475,0.00,0.00%,5.65,8.36k,11
46,05/31/17,5.60,5.65,5.60,5.65,3329,0.005,0.09%,5.65,18.68k,49
47,05/30/17,5.55,5.75,5.55,5.645,4342,-0.0794,-1.39%,5.645,24.49k,14
48,05/26/17,5.70,5.75,5.70,5.7244,1771,0.0624,1.10%,5.7244,10.12k,10
49,05/25/17,5.6893,5.70,5.65,5.662,5507,0.012,0.21%,5.662,31.28k,18
50,05/24/17,5.5404,5.65,5.5404,5.65,3427,0.00,0.00%,5.65,19.03k,4
51,05/23/17,5.30,5.6583,5.25,5.65,10939,0.3573,6.75%,5.65,58.1k,36
52,05/22/17,5.70,5.70,5.2927,5.2927,9881,-0.3573,-6.32%,5.2927,55.25k,30
53,05/19/17,5.85,5.85,5.65,5.65,14049,0.00,0.00%,5.65,81.06k,34
54,05/18/17,5.70,5.85,5.65,5.65,4044,-0.20,-3.42%,5.65,22.95k,16
55,05/17/17,6.00,6.05,5.65,5.85,35372,-0.25,-4.10%,5.85,208.3k,87
56,05/16/17,6.00,6.15,6.00,6.10,6322,0.05,0.83%,6.10,38.4k,14
57,05/15/17,6.20,6.20,5.95,6.05,11633,0.05,0.83%,6.05,70.6k,51
58,05/12/17,6.00,6.25,5.95,6.00,74686,0.35,6.19%,6.00,455.84k,196
59,05/11/17,5.45,6.00,5.325,5.65,18296,0.4211,8.05%,5.65,99.9k,81
60,05/10/17,4.90,5.45,4.90,5.2289,7691,0.2789,5.63%,5.2289,39.79k,34
61,05/09/17,4.75,4.95,4.75,4.95,525,0.05,1.02%,4.95,2.58k,6
