,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,52.90,53.75,52.90,53.75,8261,1.164,2.21%,53.75,439.79k,77
2,08/03/17,52.215,52.65,52.215,52.586,6384,0.136,0.26%,52.586,335.16k,38
3,08/02/17,52.71,52.71,52.32,52.45,6733,-0.05,-0.10%,52.45,353.33k,62
4,08/01/17,52.36,52.575,52.30,52.50,8559,0.40,0.77%,52.50,448.73k,88
5,07/31/17,52.44,52.44,52.04,52.10,62952,-0.15,-0.29%,52.10,3.29m,38
6,07/28/17,52.50,52.519,52.0121,52.25,27622,-0.39,-0.74%,52.25,1.44m,162
7,07/27/17,52.5311,52.68,52.42,52.64,11597,0.09,0.17%,52.64,609.85k,110
8,07/26/17,52.42,52.69,52.3877,52.55,53171,0.13,0.25%,52.55,2.8m,208
9,07/25/17,52.27,52.58,52.18,52.42,8250,0.09,0.17%,52.42,431.93k,76
10,07/24/17,52.5922,52.68,52.20,52.33,5263,-0.51,-0.97%,52.33,276.09k,59
11,07/21/17,52.40,52.96,52.40,52.84,5064,0.50,0.96%,52.84,266.5k,42
12,07/20/17,51.76,52.4985,51.76,52.34,5464,1.06,2.07%,52.34,286k,34
13,07/19/17,50.95,51.41,50.95,51.28,6558,0.50,0.98%,51.28,335.6k,44
14,07/18/17,50.70,50.9402,50.64,50.78,8556,0.15,0.30%,50.78,434.92k,59
15,07/17/17,50.24,50.6543,50.24,50.63,4525,0.27,0.54%,50.63,228.26k,28
16,07/14/17,49.96,50.44,49.96,50.36,11513,0.3099,0.62%,50.36,578.1k,50
17,07/13/17,50.53,50.53,50.0501,50.0501,1501,-0.6051,-1.19%,50.0501,75.42k,26
18,07/12/17,50.50,50.6552,50.4466,50.6552,2515,0.3648,0.73%,50.6552,127.18k,33
19,07/11/17,50.56,50.5621,50.1992,50.2904,4362,-0.3896,-0.77%,50.2904,219.82k,41
20,07/10/17,51.08,51.08,50.61,50.68,2680,-0.3497,-0.69%,50.68,136.18k,28
21,07/07/17,50.94,51.0664,50.9322,51.0297,2153,0.1947,0.38%,51.0297,109.82k,30
22,07/06/17,51.01,51.08,50.835,50.835,2282,-0.295,-0.58%,50.835,116.28k,24
23,07/05/17,51.69,51.69,51.00,51.13,6889,-0.5619,-1.09%,51.13,353.02k,50
24,06/30/17,51.531,51.6919,51.531,51.6919,1826,0.1519,0.29%,51.6919,94.29k,25
25,06/29/17,51.69,51.69,51.28,51.54,3292,-0.22,-0.43%,51.54,169.5k,37
26,06/28/17,51.97,51.97,51.76,51.76,2067,0.1815,0.35%,51.76,107.18k,30
27,06/27/17,51.86,51.86,51.4403,51.5785,9101,-0.4115,-0.79%,51.5785,469.5k,55
28,06/26/17,51.94,52.0181,51.81,51.99,1664,0.22,0.42%,51.99,86.42k,19
