,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,19.32,19.45,18.995,19.09,3405309,-0.13,-0.68%,19.09,65.16m,24177
2,08/03/17,19.66,19.81,19.09,19.22,3524402,-0.46,-2.34%,19.22,68.35m,25109
3,08/02/17,19.19,19.83,18.75,19.68,4652504,0.41,2.13%,19.68,90.03m,32617
4,08/01/17,19.28,19.46,18.88,19.27,4886843,-0.07,-0.36%,19.27,93.63m,35635
5,07/31/17,19.51,19.82,19.06,19.34,4177860,-0.17,-0.87%,19.34,80.8m,28532
6,07/28/17,19.36,20.29,19.302,19.51,4070321,0.08,0.41%,19.51,80.36m,30606
7,07/27/17,19.89,20.54,19.24,19.43,7666680,-0.32,-1.62%,19.43,150.72m,56596
8,07/26/17,19.89,20.04,19.17,19.75,4770036,0.01,0.05%,19.75,94.3m,36109
9,07/25/17,19.45,20.09,19.43,19.74,4864595,0.56,2.92%,19.74,96.6m,32769
10,07/24/17,19.87,19.95,18.925,19.18,6410811,-0.57,-2.89%,19.18,122.92m,42560
11,07/21/17,20.74,20.98,19.70,19.75,5547825,-1.03,-4.96%,19.75,111.78m,40102
12,07/20/17,21.69,21.74,20.73,20.78,3979066,-0.73,-3.39%,20.78,83.76m,30441
13,07/19/17,20.25,21.655,20.035,21.51,6940383,1.28,6.33%,21.51,147.1m,43487
14,07/18/17,20.28,20.37,19.91,20.23,3871516,0.12,0.60%,20.23,77.98m,25918
15,07/17/17,20.36,20.51,20.09,20.11,3367681,-0.36,-1.76%,20.11,68.08m,22021
16,07/14/17,20.43,20.56,20.13,20.47,3881053,0.04,0.20%,20.47,79.02m,28720
17,07/13/17,20.03,20.45,19.78,20.43,3269366,0.42,2.10%,20.43,65.91m,21645
18,07/12/17,20.60,20.77,19.85,20.01,2823719,-0.27,-1.33%,20.01,56.97m,23098
19,07/11/17,20.04,20.49,19.78,20.28,3409873,0.26,1.30%,20.28,69m,25640
20,07/10/17,19.65,20.05,19.51,20.02,4091511,0.24,1.21%,20.02,81.26m,25273
21,07/07/17,19.55,19.79,19.13,19.78,2580904,0.10,0.51%,19.78,50.32m,20267
22,07/06/17,20.36,20.56,19.62,19.68,3111071,-0.54,-2.67%,19.68,62.33m,24816
23,07/05/17,20.71,20.71,20.02,20.22,3808688,-0.66,-3.16%,20.22,76.93m,31363
24,06/30/17,20.20,20.47,19.97,20.19,3443451,0.07,0.35%,20.19,69.55m,26518
25,06/29/17,20.13,20.67,20.03,20.12,3901470,0.10,0.50%,20.12,79.15m,32995
26,06/28/17,19.96,20.38,19.84,20.02,3592939,0.09,0.45%,20.02,72.36m,28252
27,06/27/17,19.85,20.19,19.70,19.93,3708511,0.14,0.71%,19.93,74.12m,29220
28,06/26/17,19.78,20.12,19.55,19.79,2289892,0.14,0.71%,19.79,45.48m,19285
29,06/23/17,19.60,19.885,19.41,19.65,6555133,0.13,0.67%,19.65,128.91m,29845
30,06/22/17,19.58,19.935,19.30,19.52,4138401,0.07,0.36%,19.52,81.39m,32083
31,06/21/17,19.59,19.64,19.06,19.45,5428322,-0.27,-1.37%,19.45,105.08m,41070
32,06/20/17,19.97,20.10,19.20,19.72,5577141,-0.68,-3.33%,19.72,109.2m,41734
33,06/19/17,20.45,20.52,20.10,20.40,5307708,-0.01,-0.05%,20.40,107.99m,28707
34,06/16/17,20.08,20.43,19.87,20.41,6182284,0.44,2.20%,20.41,125.37m,28704
35,06/15/17,19.96,20.27,19.805,19.97,4049264,-0.25,-1.24%,19.97,81m,30715
36,06/14/17,21.34,21.34,19.96,20.22,5935859,-1.15,-5.38%,20.22,120.53m,44837
37,06/13/17,20.80,21.50,20.65,21.37,3396407,0.62,2.99%,21.37,71.93m,26899
38,06/12/17,20.89,21.52,20.69,20.75,5994459,0.12,0.58%,20.75,125.77m,46643
39,06/09/17,20.02,21.12,19.55,20.63,5722696,0.74,3.72%,20.63,116.76m,39967
40,06/08/17,19.27,19.91,19.27,19.89,4588131,0.42,2.16%,19.89,90.28m,31876
41,06/07/17,21.32,21.54,19.32,19.47,7534735,-2.06,-9.57%,19.47,149.9m,50497
42,06/06/17,21.22,21.60,20.89,21.53,4327773,0.119994,0.56%,21.53,92.22m,35285
43,06/05/17,21.05,21.48,20.94,21.43,4765240,0.239776,1.13%,21.41,101.46m,32484
44,06/02/17,21.56,21.61,20.83,21.19,4763538,-0.539496,-2.49%,21.1702,100.91m,31743
45,06/01/17,21.42,21.96,21.21,21.73,4824271,0.409618,1.92%,21.7097,104.36m,37417
46,05/31/17,21.04,21.435,20.73,21.32,6045054,0.089916,0.42%,21.3001,127.85m,42743
47,05/30/17,21.34,21.57,20.94,21.23,3726690,-0.28973,-1.35%,21.2102,78.82m,26706
48,05/26/17,21.07,21.625,21.07,21.52,5209175,0.529506,2.53%,21.4999,111.77m,36728
49,05/25/17,22.02,22.705,20.89,20.99,5700489,-1.069,-4.85%,20.9704,121.59m,39019
50,05/24/17,21.94,22.455,21.86,22.06,4168113,0.079925,0.36%,22.0394,92.16m,27795
51,05/23/17,22.42,22.445,21.73,21.98,3648317,-0.489542,-2.18%,21.9595,80.09m,27926
52,05/22/17,23.04,23.04,22.415,22.47,3631534,-0.349674,-1.53%,22.449,82.06m,28947
53,05/19/17,22.36,23.08,22.22,22.82,6072211,0.73931,3.35%,22.7987,138.16m,41196
54,05/18/17,21.35,22.37,21.22,22.08,5913148,0.45957,2.13%,22.0594,130.54m,40136
55,05/17/17,21.61,21.95,21.38,21.62,6691621,-0.189822,-0.87%,21.5998,145.18m,38925
56,05/16/17,21.92,22.11,21.475,21.81,3337776,0.099906,0.46%,21.7897,72.6m,26184
57,05/15/17,21.49,22.29,21.37,21.71,6385454,0.949114,4.58%,21.6897,139.75m,41506
