,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,2.90,3.00,2.72,2.96,12382,0.07,2.42%,2.96,36.3k,69
2,08/03/17,2.7964,2.90,2.7964,2.89,18192,0.18,6.64%,2.89,52.04k,116
3,08/02/17,2.6107,2.81,2.60,2.71,35908,0.13,5.04%,2.71,96.54k,177
4,08/01/17,2.55,2.64,2.55,2.58,17065,-0.01,-0.39%,2.58,44.12k,58
5,07/31/17,2.59,2.65,2.50,2.59,42815,0.03,1.17%,2.59,110.19k,131
6,07/28/17,2.61,2.6794,2.56,2.56,11684,-0.13,-4.83%,2.56,30.64k,42
7,07/27/17,2.6199,2.73,2.60,2.69,5885,-0.06,-2.18%,2.69,15.55k,50
8,07/26/17,2.78,2.79,2.59,2.75,10019,-0.05,-1.79%,2.75,26.53k,36
9,07/25/17,2.67,2.81,2.67,2.80,12512,0.15,5.66%,2.80,33.94k,46
10,07/24/17,2.61,2.71,2.59,2.65,52194,-0.04,-1.49%,2.65,137.72k,298
11,07/21/17,2.601,2.69,2.565,2.69,50311,0.03,1.13%,2.69,132.45k,83
12,07/20/17,2.62,2.66,2.59,2.66,1817,0.06,2.31%,2.66,4.77k,16
13,07/19/17,2.72,2.72,2.55,2.60,23403,-0.14,-5.11%,2.60,61.15k,91
14,07/18/17,2.72,2.84,2.60,2.74,17158,0.02,0.74%,2.74,46.66k,141
15,07/17/17,2.69,2.75,2.5683,2.72,16950,0.02,0.74%,2.72,45.31k,56
16,07/14/17,2.5813,2.70,2.55,2.70,8539,0.05,1.89%,2.70,22.61k,74
17,07/13/17,2.67,2.67,2.65,2.65,10497,-0.01,-0.38%,2.65,27.86k,49
18,07/12/17,2.665,2.77,2.65,2.66,9664,0.00,0.00%,2.66,25.92k,55
19,07/11/17,2.68,2.78,2.65,2.66,12559,-0.04,-1.48%,2.66,33.88k,94
20,07/10/17,2.72,2.8099,2.65,2.70,13457,0.00,0.00%,2.70,36.33k,86
21,07/07/17,2.80,2.83,2.65,2.70,19368,-0.10,-3.57%,2.70,52.99k,61
22,07/06/17,2.78,2.845,2.78,2.80,7202,0.00,0.00%,2.80,20.3k,28
23,07/05/17,2.93,2.93,2.79,2.80,19752,-0.13,-4.44%,2.80,56.48k,92
24,06/30/17,2.89,2.92,2.80,2.92,6035,0.02,0.69%,2.92,17.26k,41
25,06/29/17,2.80,2.93,2.74,2.90,26458,0.12,4.32%,2.90,75.21k,93
26,06/28/17,2.83,2.95,2.69,2.78,45424,-0.04,-1.42%,2.78,125.65k,265
27,06/27/17,2.942,3.00,2.79,2.82,31409,-0.08,-2.76%,2.82,90.94k,195
28,06/26/17,2.87,3.0231,2.86,2.90,46125,0.00,0.00%,2.90,136.47k,212
29,06/23/17,3.01,3.15,2.88,2.90,49136,-0.13,-4.29%,2.90,146.59k,186
30,06/22/17,3.08,3.14,2.82,3.03,24758,-0.11,-3.50%,3.03,73.72k,107
31,06/21/17,3.13,3.20,2.98,3.14,34519,0.06,1.95%,3.14,106.43k,201
32,06/20/17,2.99,3.19,2.83,3.08,34695,0.13,4.41%,3.08,101.75k,129
33,06/19/17,3.16,3.22,2.93,2.95,18595,-0.20,-6.35%,2.95,56.57k,110
34,06/16/17,3.18,3.22,3.15,3.15,8804,-0.01,-0.32%,3.15,28.05k,75
35,06/15/17,3.11,3.23,3.10,3.16,17083,0.02,0.64%,3.16,54.7k,121
36,06/14/17,3.07,3.1499,3.05,3.14,39894,0.06,1.95%,3.14,123.54k,151
37,06/13/17,3.05,3.091,3.00,3.08,28269,0.12,4.05%,3.08,86.52k,102
38,06/12/17,2.98,3.10,2.96,2.96,35088,-0.10,-3.27%,2.96,105.48k,131
39,06/09/17,3.04,3.0845,2.8846,3.06,62748,0.05,1.66%,3.06,187.2k,184
40,06/08/17,3.00,3.0799,2.97,3.01,37290,0.03,1.01%,3.01,112.35k,224
41,06/07/17,3.03,3.04,2.87,2.98,65566,0.02,0.68%,2.98,192.71k,127
42,06/06/17,2.877,3.00,2.87,2.96,34672,0.08,2.78%,2.96,101.59k,205
43,06/05/17,2.8601,2.90,2.8601,2.88,2459,0.00,0.00%,2.88,7.09k,29
44,06/02/17,2.92,2.92,2.85,2.88,6927,0.01,0.35%,2.88,19.83k,44
45,06/01/17,2.90,2.91,2.86,2.87,15565,0.00,0.00%,2.87,44.88k,88
46,05/31/17,2.7888,2.91,2.7888,2.87,12324,0.08,2.87%,2.87,35.31k,47
47,05/30/17,2.94,2.94,2.75,2.79,5628,-0.15,-5.10%,2.79,15.56k,21
48,05/26/17,2.82,2.94,2.6768,2.94,16611,0.10,3.52%,2.94,45.8k,126
49,05/25/17,2.87,2.97,2.76,2.84,26802,0.01,0.35%,2.84,75.67k,44
50,05/24/17,2.91,2.91,2.79,2.83,45716,-0.09,-3.08%,2.83,131.47k,127
51,05/23/17,2.81,2.93,2.76,2.92,28603,0.04,1.39%,2.92,79.44k,72
52,05/22/17,2.89,2.89,2.88,2.88,415,-0.01,-0.35%,2.88,1.2k,8
53,05/19/17,2.8143,2.89,2.8143,2.89,585,0.13,4.71%,2.89,1.67k,10
54,05/18/17,2.7936,2.91,2.76,2.76,13105,0.06,2.22%,2.76,37.21k,61
55,05/17/17,2.91,2.92,2.70,2.70,19621,-0.23,-7.85%,2.70,55.18k,84
56,05/16/17,2.66,2.93,2.6301,2.93,19244,0.16,5.78%,2.93,54.4k,58
57,05/15/17,2.69,2.85,2.66,2.77,7153,0.04,1.47%,2.77,19.33k,40
58,05/12/17,2.66,2.78,2.66,2.73,19396,0.07,2.63%,2.73,53.47k,43
59,05/11/17,2.49,2.66,2.49,2.66,38192,-0.0101,-0.38%,2.66,97.47k,144
60,05/10/17,2.65,2.69,2.5968,2.6701,19683,-0.0199,-0.74%,2.6701,51.7k,44
61,05/09/17,2.58,2.69,2.52,2.69,57809,0.07,2.67%,2.69,147.92k,164
62,05/08/17,2.60,2.64,2.54,2.62,16034,0.02,0.77%,2.62,41.47k,47
63,05/05/17,2.60,2.60,2.50,2.60,14165,0.0226,0.88%,2.60,36.19k,140
64,05/04/17,2.52,2.59,2.5165,2.5774,4561,-0.0126,-0.49%,2.5774,11.71k,10
65,05/03/17,2.56,2.83,2.52,2.59,50109,-0.15,-5.47%,2.59,130.89k,234
66,05/02/17,2.6314,2.82,2.6314,2.74,28011,0.13,4.98%,2.74,75.87k,205
67,05/01/17,2.63,2.82,2.60,2.61,35734,-0.08,-2.97%,2.61,96.11k,99
68,04/28/17,2.65,2.84,2.57,2.69,59100,0.08,3.07%,2.69,159.11k,148
69,04/27/17,2.55,2.67,2.45,2.61,47216,-0.07,-2.61%,2.61,122.64k,116
70,04/26/17,2.66,2.68,2.654,2.68,862,0.03,1.13%,2.68,2.29k,6
71,04/25/17,2.61,2.65,2.6022,2.65,6581,0.0001,0.00%,2.65,17.31k,61
72,04/24/17,2.59,2.65,2.59,2.6499,4189,0.0199,0.76%,2.6499,10.94k,24
73,04/21/17,2.63,2.74,2.61,2.63,22756,-0.04,-1.50%,2.63,60.75k,66
74,04/20/17,2.61,2.74,2.56,2.67,21629,0.02,0.75%,2.67,56.91k,114
75,04/19/17,2.8186,2.82,2.645,2.65,17629,0.06,2.32%,2.65,48.43k,84
76,04/18/17,2.77,2.77,2.59,2.59,1777,-0.09,-3.36%,2.59,4.74k,15
77,04/17/17,2.60,2.83,2.60,2.68,13279,-0.015,-0.56%,2.68,35.65k,35
78,04/13/17,2.69,2.72,2.55,2.695,51485,0.015,0.56%,2.695,135.25k,113
79,04/12/17,2.79,2.84,2.68,2.68,48347,-0.03,-1.11%,2.68,133.37k,78
80,04/11/17,2.69,2.82,2.69,2.71,287093,-0.04,-1.45%,2.71,788.99k,154
81,04/10/17,2.83,2.93,2.74,2.75,25704,0.01,0.36%,2.75,73.63k,106
82,04/07/17,2.83,2.90,2.70,2.74,25716,-0.10,-3.52%,2.74,71.98k,113
83,04/06/17,2.7208,2.85,2.7208,2.84,3925,0.12,4.41%,2.84,10.98k,35
84,04/05/17,2.71,2.82,2.71,2.72,22385,0.06,2.26%,2.72,62.02k,146
85,04/04/17,2.81,2.81,2.6401,2.66,75801,-0.11,-3.97%,2.66,205.99k,250
86,04/03/17,2.82,2.96,2.76,2.77,75069,-0.05,-1.77%,2.77,215.55k,357
87,03/31/17,2.7641,2.8244,2.7151,2.82,7851,0.05,1.81%,2.82,21.7k,37
88,03/30/17,2.76,2.90,2.75,2.77,33586,0.03,1.09%,2.77,95.44k,169
89,03/29/17,2.84,2.86,2.65,2.74,24934,-0.13,-4.53%,2.74,69.62k,96
90,03/28/17,2.815,2.97,2.72,2.87,38812,0.06,2.14%,2.87,111.75k,179
91,03/27/17,2.77,2.8589,2.67,2.81,41784,0.04,1.44%,2.81,117.33k,165
92,03/24/17,2.66,2.829,2.62,2.77,172171,0.10,3.75%,2.77,469.98k,126
93,03/23/17,2.58,2.69,2.55,2.67,12566,0.09,3.49%,2.67,33.15k,93
94,03/22/17,2.54,2.65,2.54,2.58,39920,0.08,3.20%,2.58,103.45k,206
95,03/21/17,2.45,2.58,2.45,2.50,56446,0.05,2.04%,2.50,141.12k,225
96,03/20/17,2.47,2.52,2.4131,2.45,4829,0.00,0.00%,2.45,11.96k,51
97,03/17/17,2.39,2.4799,2.39,2.45,16722,0.06,2.51%,2.45,40.96k,109
98,03/16/17,2.34,2.45,2.27,2.39,16884,0.09,3.91%,2.39,40.11k,131
99,03/15/17,2.26,2.36,2.26,2.30,30602,0.01,0.44%,2.30,70.7k,106
100,03/14/17,2.29,2.409,2.24,2.29,60997,0.0221,0.97%,2.29,138.55k,262
