,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,23.69,24.42,23.25,24.32,4024612,0.74,3.14%,24.32,96.64m,24170
2,08/03/17,23.90,23.91,23.50,23.58,3497392,-0.28,-1.17%,23.58,82.84m,22705
3,08/02/17,24.38,24.38,23.53,23.86,2855805,-0.48,-1.97%,23.86,68.11m,20502
4,08/01/17,23.97,24.39,23.97,24.34,2379970,0.40,1.67%,24.34,57.7m,14851
5,07/31/17,24.30,24.40,23.76,23.94,1956574,-0.29,-1.20%,23.94,46.84m,13252
6,07/28/17,24.17,24.36,23.74,24.23,2086066,-0.08,-0.33%,24.23,50.24m,15045
7,07/27/17,24.13,24.51,24.00,24.31,1877430,0.11,0.45%,24.31,45.54m,14613
8,07/26/17,24.38,24.49,24.18,24.20,1744277,-0.15,-0.62%,24.20,42.38m,12874
9,07/25/17,24.16,24.75,24.07,24.35,3205289,0.27,1.12%,24.35,78.45m,21997
10,07/24/17,23.79,24.12,23.56,24.08,3450695,0.26,1.09%,24.08,82.61m,15776
11,07/21/17,24.25,24.29,23.80,23.82,3051566,-0.44,-1.81%,23.82,73.04m,14467
12,07/20/17,24.50,24.73,24.21,24.26,4235284,-0.12,-0.49%,24.26,103.39m,26609
13,07/19/17,23.73,24.45,23.66,24.38,3993375,0.65,2.74%,24.38,96.99m,23878
14,07/18/17,23.63,23.79,23.50,23.73,2680605,0.01,0.04%,23.73,63.51m,12685
15,07/17/17,23.30,23.77,23.30,23.72,2668263,0.44,1.89%,23.72,63.15m,16589
16,07/14/17,23.14,23.45,23.00,23.28,2153011,0.26,1.13%,23.28,50.15m,16521
17,07/13/17,23.36,23.53,22.925,23.02,4887946,-0.16,-0.69%,23.02,112.73m,30862
18,07/12/17,23.52,23.69,23.15,23.18,2994684,-0.18,-0.77%,23.18,69.79m,23155
19,07/11/17,23.92,24.135,23.32,23.36,3635044,-0.42,-1.77%,23.36,85.83m,27125
20,07/10/17,24.16,24.16,23.14,23.78,7273598,-0.30,-1.25%,23.78,171.4m,37267
21,07/07/17,24.21,24.605,24.04,24.08,5232664,-0.08,-0.33%,24.08,127.38m,40817
22,07/06/17,25.90,26.00,23.83,24.16,18275629,-0.30,-1.23%,24.16,445.19m,103793
23,07/05/17,24.30,24.71,24.22,24.46,1597123,0.10,0.41%,24.46,39.12m,11714
24,06/30/17,24.53,24.645,24.23,24.54,1804356,0.20,0.82%,24.54,44.22m,11501
25,06/29/17,24.57,24.686,24.12,24.34,1258183,-0.27,-1.10%,24.34,30.64m,11061
26,06/28/17,24.52,24.82,24.43,24.61,1418835,0.10,0.41%,24.61,34.97m,11401
27,06/27/17,24.52,24.94,24.48,24.51,1779782,-0.13,-0.53%,24.51,43.86m,13113
28,06/26/17,24.53,24.84,24.49,24.64,1119072,0.15,0.61%,24.64,27.56m,9438
29,06/23/17,23.95,24.505,23.82,24.49,4554828,0.48,2.00%,24.49,111.22m,12987
30,06/22/17,23.82,24.185,23.71,24.01,2112558,0.21,0.88%,24.01,50.64m,12549
31,06/21/17,23.69,23.95,23.56,23.80,1984718,0.09,0.38%,23.80,47.2m,14543
32,06/20/17,24.36,24.36,23.57,23.71,2180968,-0.72,-2.95%,23.71,51.84m,16324
33,06/19/17,24.72,24.72,24.34,24.43,1800037,-0.15,-0.61%,24.43,44.02m,14105
34,06/16/17,24.26,24.61,23.94,24.58,4791814,0.22,0.90%,24.58,116.95m,15959
35,06/15/17,24.19,24.63,23.90,24.36,2746082,0.11,0.45%,24.36,66.76m,18361
36,06/14/17,24.45,24.50,24.08,24.25,1301755,-0.10,-0.41%,24.25,31.61m,10477
37,06/13/17,24.14,24.43,23.93,24.35,2051401,0.12,0.50%,24.35,49.85m,14575
38,06/12/17,23.67,24.44,23.67,24.23,2638985,0.44,1.85%,24.23,63.98m,21306
39,06/09/17,23.81,24.20,23.63,23.79,2938356,0.00,0.00%,23.79,70.23m,23077
40,06/08/17,23.61,23.82,23.43,23.79,1813602,0.13,0.55%,23.79,42.97m,14141
41,06/07/17,23.76,23.76,23.47,23.66,1973570,-0.11,-0.46%,23.66,46.61m,12594
42,06/06/17,24.02,24.48,23.75,23.77,1816887,-0.25,-1.04%,23.77,43.42m,14628
43,06/05/17,24.24,24.37,23.98,24.02,2187297,-0.18,-0.74%,24.02,52.82m,14342
44,06/02/17,24.28,24.48,24.07,24.20,2214681,-0.16,-0.66%,24.20,53.68m,17972
45,06/01/17,23.56,24.405,23.42,24.36,3052433,0.90,3.84%,24.36,73.76m,21229
46,05/31/17,23.75,23.75,23.15,23.46,2916945,-0.21,-0.89%,23.46,68.34m,15172
47,05/30/17,23.78,23.98,23.53,23.67,1883577,-0.05,-0.21%,23.67,44.75m,12250
48,05/26/17,23.77,23.80,23.52,23.72,1660551,0.00,0.00%,23.72,39.3m,10854
49,05/25/17,23.56,24.02,23.39,23.72,2439899,0.32,1.37%,23.72,58.14m,15757
50,05/24/17,23.57,23.71,23.40,23.40,1917351,-0.13,-0.55%,23.40,45.06m,11245
51,05/23/17,24.02,24.02,23.53,23.53,1627863,-0.43,-1.79%,23.53,38.6m,12051
52,05/22/17,23.69,24.03,23.245,23.96,2104189,0.22,0.93%,23.96,50.37m,11990
53,05/19/17,23.33,23.88,23.29,23.74,1504570,0.35,1.50%,23.74,35.67m,9959
54,05/18/17,23.35,23.64,23.23,23.39,1836080,0.10,0.43%,23.39,42.97m,12606
55,05/17/17,23.42,23.67,23.23,23.29,2319950,-0.26,-1.10%,23.29,54.32m,14565
56,05/16/17,23.69,23.78,23.42,23.55,2498662,0.00,0.00%,23.55,58.96m,14247
57,05/15/17,23.63,23.84,23.53,23.55,2710560,-0.12,-0.51%,23.55,64.18m,12819
58,05/12/17,23.63,23.775,23.33,23.67,1865243,-0.02,-0.08%,23.67,44.11m,13033
59,05/11/17,23.98,24.0189,23.58,23.69,1907393,-0.34,-1.41%,23.69,45.19m,14094
60,05/10/17,23.94,24.08,23.71,24.03,3507648,0.33,1.39%,24.03,84.03m,19323
61,05/09/17,21.76,23.72,21.73,23.70,7331052,2.43,11.42%,23.70,170.57m,35199
62,05/08/17,21.23,21.29,21.07,21.27,2542754,0.09,0.42%,21.27,53.89m,14567
63,05/05/17,21.08,21.20,20.94,21.18,2845135,0.13,0.62%,21.18,59.98m,15362
