,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,12.75,12.88,12.68,12.77,344056,0.02,0.16%,12.77,4.4m,3044
2,08/03/17,12.83,12.83,12.64,12.75,581287,-0.04,-0.31%,12.75,7.39m,4814
3,08/02/17,12.92,12.96,12.78,12.79,1154153,-0.10,-0.78%,12.79,14.8m,3935
4,08/01/17,12.93,12.96,12.835,12.89,385919,0.00,0.00%,12.89,4.98m,3127
5,07/31/17,12.98,13.03,12.87,12.89,788352,-0.08,-0.62%,12.89,10.17m,3583
6,07/28/17,12.98,13.09,12.92,12.97,539893,-0.10,-0.77%,12.97,7.01m,4559
7,07/27/17,13.22,13.31,12.99,13.07,837761,-0.11,-0.83%,13.07,11.01m,6771
8,07/26/17,13.23,13.3367,13.04,13.18,1034623,-0.01,-0.08%,13.18,13.6m,7185
9,07/25/17,13.18,13.30,12.76,13.19,2538845,0.55,4.35%,13.19,33.26m,15318
10,07/24/17,12.49,12.69,12.40,12.64,835715,0.03,0.24%,12.64,10.55m,4450
11,07/21/17,12.77,12.79,12.55,12.61,621016,-0.07,-0.55%,12.61,7.84m,4621
12,07/20/17,12.65,12.71,12.60,12.68,622776,0.04,0.32%,12.68,7.89m,4196
13,07/19/17,12.62,12.73,12.54,12.64,552492,0.04,0.32%,12.64,6.99m,4222
14,07/18/17,12.60,12.73,12.50,12.60,776083,-0.03,-0.24%,12.60,9.8m,4768
15,07/17/17,12.74,12.80,12.55,12.63,1205881,-0.14,-1.10%,12.63,15.27m,5312
16,07/14/17,12.83,12.905,12.76,12.77,727013,-0.03,-0.23%,12.77,9.3m,3436
17,07/13/17,12.95,13.02,12.74,12.80,1013409,-0.17,-1.31%,12.80,12.99m,5167
18,07/12/17,12.90,13.05,12.79,12.97,1227475,0.12,0.93%,12.97,15.91m,7284
19,07/11/17,12.67,12.90,12.58,12.85,1568404,0.13,1.02%,12.85,20.04m,9962
20,07/10/17,12.56,12.76,12.4401,12.72,3048574,0.27,2.17%,12.72,38.57m,15859
21,07/07/17,11.36,12.98,11.35,12.45,7240217,1.12,9.89%,12.45,88.62m,33610
22,07/06/17,11.30,11.515,11.30,11.33,803184,-0.10,-0.87%,11.33,9.14m,5473
23,07/05/17,11.35,11.50,11.33,11.43,779254,0.10,0.88%,11.43,8.89m,5971
24,06/30/17,11.56,11.59,11.42,11.43,693328,-0.12,-1.04%,11.43,7.94m,4428
25,06/29/17,11.72,11.73,11.39,11.55,710416,-0.19,-1.62%,11.55,8.19m,4902
26,06/28/17,11.69,11.79,11.62,11.74,586762,0.12,1.03%,11.74,6.88m,3927
27,06/27/17,11.74,11.81,11.60,11.62,722006,-0.15,-1.27%,11.62,8.43m,4813
28,06/26/17,11.87,11.92,11.73,11.77,475935,-0.07,-0.59%,11.77,5.62m,3590
29,06/23/17,11.72,11.87,11.71,11.84,849683,0.13,1.11%,11.84,10.05m,4154
30,06/22/17,11.83,11.95,11.71,11.71,510778,-0.13,-1.10%,11.71,6.01m,4329
31,06/21/17,11.81,11.93,11.775,11.84,454607,0.09,0.77%,11.84,5.39m,3668
