,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,3.45,3.5196,3.35,3.45,184508,0.00,0.00%,3.45,634.46k,622
2,08/03/17,3.45,3.65,3.40,3.45,239141,0.00,0.00%,3.45,826.68k,368
3,08/02/17,3.45,3.55,3.25,3.45,292378,-0.05,-1.43%,3.45,980.89k,531
4,08/01/17,3.50,3.55,3.45,3.50,128567,0.00,0.00%,3.50,449.05k,415
5,07/31/17,3.60,3.65,3.50,3.50,159853,-0.10,-2.78%,3.50,570.68k,752
6,07/28/17,3.60,3.70,3.55,3.60,75486,0.00,0.00%,3.60,270.55k,180
7,07/27/17,3.70,3.75,3.60,3.60,102783,-0.15,-4.00%,3.60,375.31k,265
8,07/26/17,3.70,3.75,3.70,3.75,26421,0.05,1.35%,3.75,98.88k,112
9,07/25/17,3.75,3.75,3.65,3.70,74279,0.00,0.00%,3.70,276.03k,284
10,07/24/17,3.55,3.90,3.55,3.70,97415,0.15,4.23%,3.70,365.88k,370
11,07/21/17,3.65,3.70,3.55,3.55,370185,-0.15,-4.05%,3.55,1.34m,619
12,07/20/17,3.75,3.80,3.601,3.70,153025,-0.05,-1.33%,3.70,566.47k,433
13,07/19/17,3.75,3.80,3.7056,3.75,58920,-0.05,-1.32%,3.75,223.1k,287
14,07/18/17,3.9001,3.941,3.80,3.80,95348,-0.10,-2.56%,3.80,365.26k,525
15,07/17/17,4.05,4.05,3.85,3.90,62759,-0.05,-1.27%,3.90,246.48k,315
16,07/14/17,4.00,4.025,3.95,3.95,124092,-0.10,-2.47%,3.95,492.89k,322
17,07/13/17,4.05,4.05,4.00,4.05,50503,0.00,0.00%,4.05,203.89k,110
18,07/12/17,4.00,4.10,4.00,4.05,30931,0.05,1.25%,4.05,125.22k,172
19,07/11/17,4.00,4.10,4.00,4.00,26653,-0.05,-1.23%,4.00,107.18k,87
20,07/10/17,4.10,4.125,4.0109,4.05,57760,0.00,0.00%,4.05,235.73k,236
21,07/07/17,4.15,4.1625,4.0035,4.05,45469,-0.10,-2.41%,4.05,185.06k,138
22,07/06/17,4.15,4.15,4.10,4.15,7861,0.05,1.22%,4.15,32.35k,56
23,07/05/17,4.10,4.20,4.10,4.10,29604,-0.05,-1.20%,4.10,123.04k,123
24,06/30/17,4.2069,4.2311,4.15,4.15,19622,0.00,0.00%,4.15,82.09k,69
25,06/29/17,4.15,4.2325,4.15,4.15,25710,0.00,0.00%,4.15,107.72k,115
26,06/28/17,4.10,4.20,4.10,4.15,55420,0.00,0.00%,4.15,232.28k,345
27,06/27/17,4.2008,4.2412,4.10,4.15,33116,-0.05,-1.19%,4.15,138.53k,196
28,06/26/17,4.05,4.20,4.00,4.20,89509,0.20,5.00%,4.20,364.86k,155
29,06/23/17,4.005,4.15,3.90,4.00,162691,-0.10,-2.44%,4.00,651.82k,386
30,06/22/17,4.20,4.20,4.10,4.10,82484,-0.05,-1.20%,4.10,341.18k,192
31,06/21/17,4.25,4.25,3.85,4.15,355466,0.30,7.79%,4.15,1.47m,670
32,06/20/17,3.90,3.90,3.80,3.85,26994,0.00,0.00%,3.85,103.51k,194
33,06/19/17,3.85,3.95,3.85,3.85,29046,-0.05,-1.28%,3.85,112.8k,146
34,06/16/17,3.95,4.00,3.90,3.90,36026,-0.05,-1.27%,3.90,142.41k,163
35,06/15/17,3.95,4.004,3.95,3.95,32408,0.00,0.00%,3.95,129.39k,212
36,06/14/17,4.05,4.0992,3.95,3.95,38030,-0.05,-1.25%,3.95,152.25k,211
37,06/13/17,3.90,4.05,3.90,4.00,297789,0.05,1.27%,4.00,1.18m,176
38,06/12/17,4.0003,4.05,3.90,3.95,130748,-0.05,-1.25%,3.95,523.27k,255
39,06/09/17,4.00,4.05,3.90,4.00,73946,0.00,0.00%,4.00,295.56k,202
40,06/08/17,3.95,4.10,3.85,4.00,192052,0.00,0.00%,4.00,764.94k,520
41,06/07/17,4.00,4.05,3.95,4.00,30801,0.015,0.38%,4.00,123.36k,145
42,06/06/17,4.055,4.0873,3.90,3.985,104851,-0.065,-1.60%,3.985,417k,444
43,06/05/17,4.10,4.20,4.05,4.05,50380,-0.05,-1.22%,4.05,207.05k,270
44,06/02/17,4.20,4.20,4.10,4.10,12325,-0.05,-1.20%,4.10,51.3k,69
45,06/01/17,4.10,4.2251,4.10,4.15,32473,0.10,2.47%,4.15,136.09k,209
46,05/31/17,4.15,4.2495,4.05,4.05,73737,-0.05,-1.22%,4.05,308.25k,396
47,05/30/17,4.10,4.15,4.10,4.10,22053,-0.05,-1.20%,4.10,91.25k,191
48,05/26/17,4.10,4.25,4.10,4.15,40419,-0.05,-1.19%,4.15,169.35k,176
49,05/25/17,4.05,4.2412,4.00,4.20,65865,0.20,5.00%,4.20,271.81k,351
50,05/24/17,4.00,4.10,3.95,4.00,54857,0.05,1.27%,4.00,219.06k,252
51,05/23/17,4.10,4.20,3.95,3.95,320292,-0.10,-2.47%,3.95,1.3m,612
52,05/22/17,4.15,4.15,4.05,4.05,51369,-0.05,-1.22%,4.05,209.41k,255
53,05/19/17,4.10,4.25,4.05,4.10,169665,0.00,0.00%,4.10,701.37k,456
54,05/18/17,4.15,4.15,4.05,4.10,56620,0.05,1.23%,4.10,233.58k,325
55,05/17/17,4.05,4.15,4.05,4.05,65952,-0.05,-1.22%,4.05,270.8k,373
56,05/16/17,4.25,4.2627,4.05,4.10,149189,-0.10,-2.38%,4.10,617.63k,439
57,05/15/17,4.55,4.55,4.1614,4.20,97475,-0.30,-6.67%,4.20,416.56k,407
58,05/12/17,4.20,4.50,4.15,4.50,141835,0.25,5.88%,4.50,611.68k,500
59,05/11/17,4.45,4.65,4.15,4.25,371581,-0.55,-11.46%,4.25,1.61m,852
60,05/10/17,5.00,5.00,4.80,4.80,53682,-0.15,-3.03%,4.80,261.66k,297
61,05/09/17,5.05,5.05,4.85,4.95,54091,-0.10,-1.98%,4.95,267.89k,134
62,05/08/17,5.05,5.10,5.00,5.05,29776,0.05,1.00%,5.05,150.75k,243
63,05/05/17,5.00,5.0245,4.851,5.00,31788,0.00,0.00%,5.00,157.52k,163
64,05/04/17,5.1237,5.15,5.00,5.00,29780,-0.10,-1.96%,5.00,152.19k,134
65,05/03/17,4.85,5.20,4.85,5.10,205669,0.20,4.08%,5.10,1.05m,726
66,05/02/17,5.00,5.00,4.90,4.90,97063,-0.10,-2.00%,4.90,480.34k,299
67,05/01/17,4.85,5.00,4.80,5.00,51872,0.20,4.17%,5.00,254.32k,138
68,04/28/17,4.90,4.90,4.80,4.80,38505,-0.05,-1.03%,4.80,187.16k,130
69,04/27/17,4.90,4.95,4.85,4.85,20586,0.00,0.00%,4.85,101.04k,74
70,04/26/17,4.90,4.9001,4.85,4.85,36767,-0.025,-0.51%,4.85,180.07k,181
71,04/25/17,4.85,4.95,4.827,4.875,29444,0.025,0.52%,4.875,144.07k,123
72,04/24/17,4.95,4.95,4.85,4.85,45169,-0.10,-2.02%,4.85,220.53k,168
73,04/21/17,4.85,4.95,4.75,4.95,49486,0.15,3.12%,4.95,242.04k,207
74,04/20/17,4.75,4.8752,4.75,4.80,68724,0.05,1.05%,4.80,330.49k,330
75,04/19/17,4.85,4.90,4.75,4.75,82079,-0.10,-2.06%,4.75,395.23k,295
76,04/18/17,4.90,4.90,4.80,4.85,15344,-0.05,-1.02%,4.85,74.69k,65
77,04/17/17,4.95,5.00,4.90,4.90,6930,-0.05,-1.01%,4.90,34.1k,36
78,04/13/17,4.90,4.95,4.895,4.95,30324,0.05,1.02%,4.95,149.03k,119
79,04/12/17,4.85,4.90,4.80,4.90,21331,0.10,2.08%,4.90,103.26k,152
80,04/11/17,4.8418,4.90,4.80,4.80,17241,-0.05,-1.03%,4.80,83.55k,74
81,04/10/17,4.838,4.85,4.80,4.85,20932,0.00,0.00%,4.85,101.29k,92
82,04/07/17,4.90,4.95,4.80,4.85,36219,-0.05,-1.02%,4.85,174.82k,157
83,04/06/17,4.85,4.90,4.8154,4.90,23184,0.10,2.08%,4.90,113.16k,58
84,04/05/17,4.90,4.95,4.80,4.80,77101,-0.15,-3.03%,4.80,376.36k,195
85,04/04/17,4.9647,5.00,4.95,4.95,58941,0.05,1.02%,4.95,293.38k,219
86,04/03/17,5.00,5.00,4.90,4.90,96232,-0.05,-1.01%,4.90,479.62k,341
87,03/31/17,4.75,5.00,4.75,4.95,210909,0.10,2.06%,4.95,1.04m,498
88,03/30/17,4.65,4.90,4.65,4.85,134061,0.15,3.19%,4.85,645.9k,702
89,03/29/17,4.55,4.75,4.52,4.70,93765,0.20,4.44%,4.70,435.7k,209
90,03/28/17,4.45,4.55,4.45,4.50,19989,0.00,0.00%,4.50,90.05k,114
91,03/27/17,4.35,4.50,4.35,4.50,26102,0.05,1.12%,4.50,116.27k,203
