,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,39.50,39.82,38.47,39.05,2835247,-0.23,-0.59%,39.05,110.58m,18362
2,08/03/17,40.56,41.23,39.00,39.28,3393792,-1.32,-3.25%,39.28,135.2m,23938
3,08/02/17,40.91,41.47,39.95,40.60,2580870,-0.19,-0.47%,40.60,104.24m,17853
4,08/01/17,39.98,40.80,39.40,40.79,3468754,1.94,4.99%,40.79,139.94m,22895
5,07/31/17,39.57,39.95,38.62,38.85,2439440,-0.86,-2.17%,38.85,95.31m,17770
6,07/28/17,40.29,40.88,39.22,39.71,3526679,-0.36,-0.90%,39.71,140.66m,25357
7,07/27/17,45.00,45.02,38.85,40.07,11391634,-8.78,-17.97%,40.07,461.63m,70286
8,07/26/17,48.75,48.91,47.65,48.85,2117459,0.19,0.39%,48.85,102.33m,19017
9,07/25/17,49.11,49.54,48.54,48.66,1370060,-0.36,-0.73%,48.66,67.08m,12502
10,07/24/17,50.15,50.42,48.91,49.02,1017774,-1.10,-2.19%,49.02,50.26m,9254
11,07/21/17,50.50,50.6995,49.36,50.12,1237303,-0.45,-0.89%,50.12,61.69m,10892
12,07/20/17,51.91,52.044,50.44,50.57,1216898,-1.38,-2.66%,50.57,61.91m,10840
13,07/19/17,51.97,52.255,51.21,51.95,1755429,-0.11,-0.21%,51.95,91.06m,14642
14,07/18/17,53.00,53.44,51.61,52.06,2015982,-1.34,-2.51%,52.06,105.16m,14901
15,07/17/17,52.98,53.84,52.74,53.40,1420551,0.23,0.43%,53.40,75.8m,9093
16,07/14/17,53.19,53.56,52.82,53.17,1016736,-0.05,-0.09%,53.17,54.12m,7632
17,07/13/17,52.79,53.50,52.53,53.22,847551,0.21,0.40%,53.22,45m,8700
18,07/12/17,52.43,53.67,52.43,53.01,1275370,0.73,1.40%,53.01,67.8m,11073
19,07/11/17,52.18,52.795,51.95,52.28,767059,0.10,0.19%,52.28,40.22m,7911
20,07/10/17,53.41,53.82,52.1474,52.18,1140723,-1.28,-2.39%,52.18,60.23m,11571
21,07/07/17,51.29,53.69,51.29,53.46,1506410,2.20,4.29%,53.46,79.79m,15426
22,07/06/17,51.69,52.05,50.99,51.26,935089,-0.49,-0.95%,51.26,48.12m,8905
23,07/05/17,51.18,52.13,51.00,51.75,1290940,0.70,1.37%,51.75,66.54m,14524
24,06/30/17,52.35,52.35,50.89,51.65,1350228,-0.44,-0.84%,51.65,69.57m,11110
25,06/29/17,52.70,52.70,51.15,52.09,1566644,-0.28,-0.53%,52.09,81.16m,12237
26,06/28/17,52.81,54.10,52.21,52.37,1143257,-0.21,-0.40%,52.37,60.61m,9845
27,06/27/17,52.30,53.39,52.30,52.58,708121,0.24,0.46%,52.58,37.34m,7216
28,06/26/17,52.66,53.5325,51.93,52.34,826584,-0.21,-0.40%,52.34,43.32m,7239
29,06/23/17,52.54,52.74,52.02,52.55,1015782,0.02,0.04%,52.55,53.29m,7337
30,06/22/17,53.00,53.4759,52.15,52.53,773283,-0.28,-0.53%,52.53,40.63m,6152
31,06/21/17,53.01,53.44,52.63,52.81,644198,-0.14,-0.26%,52.81,34.08m,6687
32,06/20/17,54.10,54.49,52.94,52.95,627526,-1.00,-1.85%,52.95,33.52m,6199
33,06/19/17,53.08,54.09,52.61,53.95,574242,1.24,2.35%,53.95,30.77m,5384
34,06/16/17,52.93,53.32,52.41,52.71,643103,-0.12,-0.23%,52.71,33.94m,5086
35,06/15/17,53.67,54.01,52.36,52.83,907774,-1.07,-1.99%,52.83,47.79m,8856
36,06/14/17,54.33,54.81,53.50,53.90,708546,-0.31,-0.57%,53.90,38.3m,7722
37,06/13/17,54.37,54.57,53.08,54.21,1143696,0.01,0.02%,54.21,61.34m,10208
38,06/12/17,54.80,54.84,53.52,54.20,736217,-0.58,-1.06%,54.20,39.87m,7311
39,06/09/17,55.48,56.33,54.3658,54.78,1228526,-1.07,-1.92%,54.78,67.77m,12925
40,06/08/17,55.58,56.17,53.50,55.85,2077566,0.44,0.79%,55.85,113.81m,16576
41,06/07/17,55.99,56.63,55.281,55.41,1253081,-1.01,-1.79%,55.41,70.11m,10609
42,06/06/17,56.01,56.89,55.5711,56.42,736391,0.10,0.18%,56.42,41.59m,7203
43,06/05/17,55.70,56.50,55.41,56.32,708461,0.49,0.88%,56.32,39.75m,5935
44,06/02/17,55.13,56.21,55.00,55.83,1480875,1.47,2.70%,55.83,82.52m,14255
45,06/01/17,53.22,54.54,53.22,54.36,914364,1.26,2.37%,54.36,49.45m,8153
46,05/31/17,53.39,53.58,52.32,53.10,921015,-0.02,-0.04%,53.10,48.67m,8807
47,05/30/17,54.01,54.25,53.00,53.12,755162,-1.14,-2.10%,53.12,40.29m,7222
48,05/26/17,54.05,54.8725,53.97,54.26,824330,0.11,0.20%,54.26,44.74m,7847
49,05/25/17,52.44,54.26,52.44,54.15,1333831,2.08,3.99%,54.15,71.48m,12060
50,05/24/17,53.24,53.57,51.89,52.07,1484971,-1.05,-1.98%,52.07,77.64m,11505
51,05/23/17,53.39,53.9398,52.59,53.12,925967,0.12,0.23%,53.12,49.1m,8028
52,05/22/17,54.02,54.27,52.98,53.00,982066,-0.82,-1.52%,53.00,52.26m,7900
53,05/19/17,53.86,54.79,53.60,53.82,751538,0.06,0.11%,53.82,40.62m,7881
54,05/18/17,53.68,54.21,53.35,53.76,843421,0.13,0.24%,53.76,45.4m,7113
55,05/17/17,54.55,55.25,53.55,53.63,852339,-1.35,-2.46%,53.63,46.12m,6094
56,05/16/17,55.63,55.63,54.695,54.98,693554,-0.50,-0.90%,54.98,38.14m,7029
57,05/15/17,55.38,55.638,55.1727,55.48,563008,0.39,0.71%,55.48,31.21m,6190
58,05/12/17,55.13,55.435,54.72,55.09,634702,-0.23,-0.42%,55.09,35.02m,6092
59,05/11/17,55.58,56.00,54.59,55.32,902976,-0.45,-0.81%,55.32,50.03m,9390
60,05/10/17,56.25,56.60,55.44,55.77,1574386,-0.34,-0.61%,55.77,88.02m,13436
61,05/09/17,57.59,57.99,54.33,56.11,4698704,-1.32,-2.30%,56.11,259.94m,28733
62,05/08/17,59.04,59.761,57.16,57.43,1134920,-1.76,-2.97%,57.43,65.47m,9503
63,05/05/17,59.30,59.70,59.10,59.19,582367,-0.09,-0.15%,59.19,34.58m,6576
64,05/04/17,59.97,60.28,58.77,59.28,879198,-0.46,-0.77%,59.28,52.13m,8939
65,05/03/17,59.33,59.97,58.56,59.74,800858,0.23,0.39%,59.74,47.58m,8144
66,05/02/17,57.40,59.655,57.40,59.51,1182959,1.91,3.32%,59.51,69.66m,12524
67,05/01/17,57.80,58.47,57.27,57.60,1255263,0.33,0.58%,57.60,72.75m,13220
68,04/28/17,58.51,59.28,56.62,57.27,1949660,-0.26,-0.45%,57.27,111.96m,16512
69,04/27/17,57.49,57.83,56.89,57.53,1528992,-0.42,-0.72%,57.53,87.83m,14127
70,04/26/17,58.04,58.17,57.21,57.95,1745626,0.08,0.14%,57.95,100.69m,13231
71,04/25/17,58.39,58.99,57.29,57.87,1144579,-0.13,-0.22%,57.87,66.26m,10566
72,04/24/17,59.19,59.54,57.99,58.00,1355857,-0.46,-0.79%,58.00,79.1m,11722
73,04/21/17,58.62,58.93,58.19,58.46,1305099,-0.04,-0.07%,58.46,76.46m,10059
74,04/20/17,57.98,58.96,57.50,58.50,1059644,0.78,1.35%,58.50,61.95m,9698
75,04/19/17,56.50,58.34,55.89,57.72,1527601,1.50,2.67%,57.72,87.89m,13245
76,04/18/17,55.00,57.04,55.00,56.22,2031428,2.39,4.44%,56.22,113.77m,17889
77,04/17/17,53.71,54.05,53.21,53.83,436642,0.32,0.60%,53.83,23.39m,4855
78,04/13/17,53.55,54.29,52.69,53.51,960766,-0.52,-0.96%,53.51,51.32m,9051
79,04/12/17,,54.97,52.74,54.03,1983566,1.38,2.62%,54.03,107.36m,14670
80,04/11/17,51.64,52.68,50.859,52.65,1366016,0.84,1.62%,52.65,70.7m,11025
81,04/10/17,51.72,52.25,51.40,51.81,561146,-0.04,-0.08%,51.81,29.12m,5933
82,04/07/17,51.63,52.00,51.025,51.85,466757,0.10,0.19%,51.85,24.12m,3832
83,04/06/17,51.22,51.83,50.80,51.75,740788,0.85,1.67%,51.75,38.19m,6354
84,04/05/17,51.50,51.84,50.68,50.90,1534983,-0.51,-0.99%,50.90,78.25m,12327
