,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,23.54,23.59,22.82,23.09,2601291,-0.48,-2.04%,23.09,60.16m,15999
2,08/03/17,22.85,23.595,22.76,23.57,1594412,0.39,1.68%,23.57,37.17m,11914
3,08/02/17,23.75,23.94,22.97,23.18,5237491,-0.01,-0.04%,23.18,122.31m,24641
4,08/01/17,23.27,23.36,22.88,23.19,2107712,-0.01,-0.04%,23.19,48.77m,13548
5,07/31/17,23.24,23.375,22.88,23.20,1996699,-0.05,-0.22%,23.20,46.27m,13391
6,07/28/17,23.58,23.63,22.80,23.25,3702358,-0.39,-1.65%,23.25,85.78m,15936
7,07/27/17,23.50,23.80,23.08,23.64,3719474,0.07,0.30%,23.64,87.17m,16645
8,07/26/17,23.65,23.86,23.44,23.57,1844858,-0.08,-0.34%,23.57,43.62m,10889
9,07/25/17,23.33,23.73,23.105,23.65,2401741,0.35,1.50%,23.65,56.64m,15649
10,07/24/17,23.52,23.79,23.27,23.30,2884832,-0.15,-0.64%,23.30,67.71m,17252
11,07/21/17,23.47,23.58,23.01,23.45,1558693,0.27,1.16%,23.45,36.46m,9887
12,07/20/17,23.54,23.575,22.85,23.18,6574962,-0.23,-0.98%,23.18,152.36m,32315
13,07/19/17,23.39,23.73,23.30,23.41,1224206,0.02,0.09%,23.41,28.78m,8389
14,07/18/17,23.39,23.60,23.25,23.39,1503110,0.05,0.21%,23.39,35.24m,9846
15,07/17/17,23.38,23.52,23.20,23.34,858314,0.10,0.43%,23.34,20.07m,6493
16,07/14/17,23.28,23.46,23.11,23.24,1080951,0.16,0.69%,23.24,25.12m,10687
17,07/13/17,23.01,23.62,22.94,23.08,3222834,0.10,0.44%,23.08,74.69m,13835
18,07/12/17,22.70,23.20,22.70,22.98,1683398,0.49,2.18%,22.98,38.62m,13198
19,07/11/17,22.60,22.74,22.46,22.49,2102961,-0.15,-0.66%,22.49,47.45m,9207
20,07/10/17,22.95,23.07,22.61,22.64,1015394,-0.52,-2.25%,22.64,23.16m,7542
21,07/07/17,23.09,23.265,22.69,23.16,1283938,-0.02,-0.09%,23.16,29.61m,9187
22,07/06/17,23.31,23.57,23.08,23.18,2355834,-0.29,-1.24%,23.18,54.85m,14116
23,07/05/17,24.44,24.60,23.41,23.47,2878198,-0.98,-4.01%,23.47,68.68m,17647
24,06/30/17,23.94,24.22,23.74,24.10,1966750,0.29,1.22%,24.10,47.14m,12865
25,06/29/17,24.34,24.75,23.72,23.81,894721,-0.72,-2.94%,23.81,21.42m,5367
26,06/28/17,24.49,24.93,24.38,24.53,827439,0.10,0.41%,24.53,20.34m,6468
27,06/27/17,24.79,24.87,24.24,24.43,1082558,-0.50,-2.01%,24.43,26.42m,8043
28,06/26/17,25.11,25.27,24.84,24.93,863092,-0.02,-0.08%,24.93,21.59m,6892
29,06/23/17,24.67,25.3075,24.29,24.95,2455872,0.31,1.26%,24.95,61.44m,15642
30,06/22/17,24.39,24.76,24.37,24.64,1294028,0.21,0.86%,24.64,31.92m,8723
31,06/21/17,24.18,24.62,24.08,24.43,1495172,0.25,1.03%,24.43,36.47m,10382
32,06/20/17,23.98,24.26,23.95,24.18,2368745,0.23,0.96%,24.18,57.09m,13002
33,06/19/17,23.67,24.00,23.51,23.95,1566192,0.28,1.18%,23.95,37.35m,9828
34,06/16/17,23.34,23.72,23.28,23.67,2430689,0.23,0.98%,23.67,57.31m,14285
35,06/15/17,23.25,23.495,23.03,23.44,1180354,0.05,0.21%,23.44,27.6m,9087
36,06/14/17,23.45,23.70,23.23,23.39,1948346,0.11,0.47%,23.39,45.58m,15225
37,06/13/17,23.30,23.30,22.79,23.28,1733814,0.03,0.13%,23.28,40.01m,11322
38,06/12/17,22.92,23.31,22.86,23.25,3185021,0.39,1.71%,23.25,73.7m,16997
39,06/09/17,22.55,23.23,22.48,22.86,4545420,0.33,1.46%,22.86,103.85m,23268
40,06/08/17,22.90,22.95,22.44,22.53,3125418,-0.35,-1.53%,22.53,70.6m,17574
41,06/07/17,22.88,23.02,22.71,22.88,1544029,-0.03,-0.13%,22.88,35.22m,10794
42,06/06/17,23.20,23.27,22.89,22.91,1214128,-0.31,-1.34%,22.91,27.93m,6900
43,06/05/17,23.40,23.44,22.91,23.22,1143023,-0.16,-0.68%,23.22,26.43m,8506
44,06/02/17,23.62,23.79,23.34,23.38,922944,-0.08,-0.34%,23.38,21.64m,8983
