,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,22.0736,22.0736,21.658,21.90,8299,0.27,1.25%,21.90,181.15k,127
2,08/03/17,22.00,22.00,21.63,21.63,4520,-0.37,-1.68%,21.63,98.65k,94
3,08/02/17,22.00,22.17,21.7636,22.00,9342,-0.22,-0.99%,22.00,205.15k,132
4,08/01/17,22.59,22.8657,22.001,22.22,18346,-0.11,-0.49%,22.22,410.24k,175
5,07/31/17,22.40,22.525,21.985,22.33,12019,-0.05,-0.22%,22.33,268.61k,110
6,07/28/17,20.70,22.56,20.70,22.38,17474,0.08,0.36%,22.38,388.39k,156
7,07/27/17,21.75,22.41,21.00,22.30,40184,0.64,2.95%,22.30,876.47k,366
8,07/26/17,22.00,22.00,21.66,21.66,8894,-0.19,-0.87%,21.66,194.96k,100
9,07/25/17,21.88,22.00,21.4425,21.85,13334,0.40,1.86%,21.85,291.17k,141
10,07/24/17,21.30,21.8547,20.92,21.45,27153,0.09,0.42%,21.45,582.44k,326
11,07/21/17,21.95,21.95,21.2985,21.36,23012,-0.41,-1.88%,21.36,498.2k,286
12,07/20/17,21.86,22.12,21.61,21.77,14145,0.01,0.05%,21.77,309.69k,178
13,07/19/17,21.40,22.03,21.29,21.76,13243,0.26,1.21%,21.76,288.04k,171
14,07/18/17,21.87,21.91,21.41,21.50,10164,-0.62,-2.80%,21.50,219.47k,164
15,07/17/17,22.30,22.39,21.91,22.12,4470,-0.28,-1.25%,22.12,99.14k,80
16,07/14/17,22.02,22.585,21.80,22.40,29087,0.21,0.95%,22.40,649.29k,294
17,07/13/17,22.21,22.51,22.03,22.19,18976,-0.30,-1.33%,22.19,422.4k,177
18,07/12/17,21.72,22.74,21.65,22.49,17987,0.42,1.90%,22.49,398.06k,197
19,07/11/17,21.71,22.70,21.20,22.07,18809,0.37,1.71%,22.07,414.54k,180
20,07/10/17,22.15,22.50,21.70,21.70,24995,-0.53,-2.38%,21.70,554.07k,168
21,07/07/17,22.06,22.3548,21.7901,22.23,7525,0.17,0.77%,22.23,166.76k,121
22,07/06/17,22.20,22.33,22.06,22.06,7000,-0.53,-2.35%,22.06,154.99k,70
23,07/05/17,22.87,22.87,22.3128,22.59,5794,-0.54,-2.33%,22.59,131.13k,103
24,06/30/17,22.07,22.74,22.02,22.35,10061,-0.14,-0.62%,22.35,224.37k,186
25,06/29/17,23.00,23.00,22.30,22.49,20983,-0.47,-2.05%,22.49,474.83k,178
26,06/28/17,22.48,23.33,22.48,22.96,38782,0.40,1.77%,22.96,893.36k,292
27,06/27/17,22.7479,22.76,21.4488,22.56,15738,-0.05,-0.22%,22.56,352.05k,124
28,06/26/17,22.14,22.76,21.10,22.61,20012,0.34,1.53%,22.61,437.49k,326
29,06/23/17,20.88,22.29,20.88,22.27,84797,1.25,5.95%,22.27,1.87m,289
30,06/22/17,20.85,21.54,20.42,21.02,13642,0.12,0.57%,21.02,286.86k,116
31,06/21/17,20.645,21.58,20.645,20.90,14423,0.00,0.00%,20.90,303.84k,110
32,06/20/17,20.91,21.4167,20.90,20.90,7474,-0.12,-0.57%,20.90,157.38k,105
33,06/19/17,21.34,21.34,19.744,21.02,6399,-0.26,-1.22%,21.02,133.72k,92
34,06/16/17,20.46,21.28,20.46,21.28,36849,0.49,2.36%,21.28,766k,162
35,06/15/17,20.79,21.25,20.42,20.79,9029,0.29,1.41%,20.79,187.55k,124
36,06/14/17,21.02,21.39,20.33,20.50,6940,-0.52,-2.47%,20.50,143.89k,171
