,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,42.96,43.17,42.43,42.59,588134,-0.35,-0.82%,42.59,25.11m,5895
2,08/03/17,43.19,43.525,42.77,42.94,507004,-0.012502,-0.03%,42.94,21.82m,4935
3,08/02/17,44.23,44.51,42.545,43.15,1368419,-1.3339,-3.01%,42.9525,59.42m,9856
4,08/01/17,41.52,45.81,41.11,44.49,2923799,3.3645,8.22%,44.2864,129.98m,21147
5,07/31/17,41.81,41.84,40.33,41.11,1142477,-0.437986,-1.06%,40.9218,46.9m,7683
6,07/28/17,41.46,41.97,41.16,41.55,909553,-0.049771,-0.12%,41.3598,37.8m,6234
7,07/27/17,42.25,42.38,41.33,41.60,660565,-0.557437,-1.33%,41.4096,27.67m,4611
8,07/26/17,42.01,42.55,41.90,42.16,585253,0.169222,0.40%,41.967,24.68m,5500
9,07/25/17,42.50,42.74,41.86,41.99,593167,-0.318535,-0.76%,41.7978,24.98m,5117
10,07/24/17,42.75,42.78,42.29,42.31,328691,-0.358352,-0.84%,42.1163,13.94m,2919
11,07/21/17,43.77,43.77,42.17,42.67,753101,-1.2343,-2.82%,42.4747,32.12m,5634
12,07/20/17,44.99,45.13,43.73,43.91,294252,-0.796338,-1.79%,43.709,13.01m,2818
13,07/19/17,44.71,45.15,44.70,44.71,474936,0.44794,1.02%,44.5054,21.32m,4333
14,07/18/17,44.68,44.68,43.87,44.26,415312,0.00,0.00%,44.0574,18.36m,3213
15,07/17/17,43.89,44.57,43.84,44.26,710404,0.338444,0.77%,44.0574,31.42m,5387
16,07/14/17,42.42,44.27,42.295,43.92,808161,1.5031,3.56%,43.719,35.19m,6655
17,07/13/17,42.53,43.09,42.23,42.41,713897,0.029862,0.07%,42.2159,30.34m,4469
18,07/12/17,43.17,43.38,42.04,42.38,896765,-0.457894,-1.07%,42.186,38.08m,7303
19,07/11/17,43.80,44.175,42.80,42.84,913455,-1.2542,-2.86%,42.6439,39.49m,7559
20,07/10/17,44.38,45.02,43.25,44.10,1071567,-0.597254,-1.34%,43.8982,47.19m,9686
21,07/07/17,43.74,46.00,43.4501,44.70,2397756,-2.9863,-6.29%,44.4954,107.34m,17868
22,07/06/17,47.98,48.15,47.11,47.70,448078,-0.766476,-1.59%,47.4817,21.36m,4021
23,07/05/17,48.54,49.85,48.08,48.47,543808,0.029863,0.06%,48.2482,26.5m,4820
24,06/30/17,50.16,50.16,48.18,48.23,675348,-1.6424,-3.31%,48.0093,33.08m,5071
25,06/29/17,51.08,51.39,49.22,49.88,568502,-1.2443,-2.44%,49.6517,28.52m,4970
26,06/28/17,49.80,51.3125,49.80,51.13,312235,1.3339,2.69%,50.896,15.89m,2705
27,06/27/17,50.07,51.19,49.75,49.79,454637,-0.169222,-0.34%,49.5621,22.86m,3621
28,06/26/17,50.47,50.80,49.81,49.96,311378,-0.278719,-0.56%,49.7313,15.61m,2683
29,06/23/17,49.94,50.40,49.63,50.24,369180,0.179177,0.36%,50.0101,18.51m,3072
30,06/22/17,50.75,50.955,49.86,50.06,535267,-0.706751,-1.40%,49.8309,26.86m,4459
31,06/21/17,51.05,51.50,50.35,50.77,451544,-0.149313,-0.29%,50.5376,22.91m,3802
32,06/20/17,52.35,52.53,50.67,50.92,674921,-1.4832,-2.84%,50.6869,34.53m,3596
33,06/19/17,52.29,52.65,51.51,52.41,366608,0.816246,1.59%,52.1701,19.19m,2883
34,06/16/17,52.99,53.10,51.36,51.59,383678,-1.1447,-2.18%,51.3539,19.89m,3003
35,06/15/17,52.03,52.91,51.70,52.74,574030,-0.179176,-0.34%,52.4986,30.01m,4085
36,06/14/17,53.53,53.74,52.47,52.92,350169,-0.218993,-0.41%,52.6778,18.55m,3578
37,06/13/17,52.93,53.635,52.58,53.14,384573,0.44794,0.85%,52.8968,20.35m,3050
38,06/12/17,51.96,52.76,51.14,52.69,710635,-0.398169,-0.75%,52.4488,37.02m,5982
39,06/09/17,55.08,55.68,52.37,53.09,1395580,-2.1999,-4.00%,52.847,75.09m,7322
40,06/08/17,54.15,55.50,53.74,55.30,734211,1.2144,2.26%,55.0469,40.19m,6251
41,06/07/17,53.60,54.15,53.15,54.08,501980,0.77643,1.46%,53.8325,26.97m,3889
42,06/06/17,54.19,54.29,53.045,53.30,617634,-0.806293,-1.50%,53.056,33.04m,4637
43,06/05/17,54.28,54.455,53.82,54.11,261931,0.338444,0.63%,53.8623,14.17m,2592
44,06/02/17,53.25,54.37,53.25,53.77,547773,0.527574,1.00%,53.5239,29.43m,4776
45,06/01/17,52.65,54.48,52.425,53.24,939780,0.985469,1.89%,52.9963,50.2m,7537
46,05/31/17,52.00,52.40,51.83,52.25,528186,0.209039,0.40%,52.0109,27.49m,4882
47,05/30/17,51.59,52.66,51.51,52.04,300430,0.547483,1.07%,51.8018,15.64m,3009
48,05/26/17,51.57,51.745,50.84,51.49,385542,-0.318536,-0.62%,51.2543,19.77m,3598
49,05/25/17,49.77,52.00,49.68,51.81,719625,2.0406,4.12%,51.5729,37.02m,5623
50,05/24/17,49.23,50.50,48.8476,49.76,484602,0.975514,2.01%,49.5322,24.18m,3575
51,05/23/17,50.19,50.19,48.56,48.78,408580,-1.2144,-2.44%,48.5567,20.12m,2899
52,05/22/17,49.50,50.18,49.21,50.00,620342,0.647025,1.32%,49.7712,30.88m,4546
53,05/19/17,47.37,49.84,47.37,49.35,660175,2.2397,4.78%,49.1241,32.41m,5962
54,05/18/17,47.27,47.66,46.75,47.10,962640,-0.696796,-1.46%,46.8844,45.35m,7908
55,05/17/17,49.25,49.44,47.67,47.80,475986,-1.7221,-3.49%,47.5812,23.06m,4072
56,05/16/17,49.83,49.83,48.75,49.53,456703,-0.089588,-0.18%,49.3033,22.5m,4565
57,05/15/17,49.13,49.66,48.72,49.62,602259,0.418077,0.85%,49.3929,29.63m,5319
58,05/12/17,50.86,51.04,49.02,49.20,601003,-1.5031,-2.98%,48.9748,29.86m,4909
59,05/11/17,51.23,51.23,50.40,50.71,390316,-0.457895,-0.90%,50.4779,19.82m,3481
60,05/10/17,51.36,51.50,50.76,51.17,366285,0.25881,0.51%,50.9358,18.72m,3430
61,05/09/17,50.80,51.045,50.32,50.91,471822,0.507666,1.01%,50.677,23.92m,2825
62,05/08/17,50.52,50.71,50.01,50.40,257988,0.059725,0.12%,50.1693,13m,2281
63,05/05/17,50.40,50.56,49.76,50.34,482403,-0.139359,-0.28%,50.1096,24.26m,4106
64,05/04/17,50.47,50.70,50.10,50.48,348297,-0.348398,-0.69%,50.249,17.56m,3305
65,05/03/17,49.62,51.18,49.55,50.83,461853,0.943179,1.90%,50.5974,23.45m,4053
66,05/02/17,50.00,50.99,49.60,50.08,803303,0.168554,0.34%,49.6542,40.45m,6031
67,05/01/17,48.80,50.575,48.80,49.91,1341143,1.3484,2.80%,49.4856,67.16m,9213
68,04/28/17,44.72,49.32,44.00,48.55,1812338,4.2337,9.64%,48.1372,86.81m,12437
69,04/27/17,44.82,45.07,44.06,44.28,600557,-0.257788,-0.58%,43.9035,26.69m,5288
70,04/26/17,44.41,45.10,44.32,44.54,315180,-0.356939,-0.80%,44.1613,14.06m,3245
71,04/25/17,45.54,45.785,44.21,44.90,539326,-0.1983,-0.44%,44.5182,24.15m,3956
72,04/24/17,45.12,45.49,44.53,45.10,441007,0.277619,0.62%,44.7165,19.84m,3703
73,04/21/17,44.55,45.17,44.43,44.82,355868,0.029745,0.07%,44.4389,15.92m,3443
74,04/20/17,45.36,45.385,44.37,44.79,539364,-0.168555,-0.38%,44.4092,24.12m,5690
75,04/19/17,45.51,45.98,44.58,44.96,573122,-0.138809,-0.31%,44.5777,25.79m,4903
76,04/18/17,45.38,46.25,44.42,45.10,507032,-0.634558,-1.40%,44.7165,22.79m,4489
77,04/17/17,46.30,46.30,45.47,45.74,417096,-0.396599,-0.87%,45.3511,19.1m,3142
78,04/13/17,46.73,47.23,46.13,46.14,387462,-0.684132,-1.47%,45.7477,18.05m,2742
79,04/12/17,47.19,47.57,46.54,46.83,1011724,-0.15864,-0.34%,46.4318,47.49m,4368
80,04/11/17,47.34,47.93,46.28,46.99,701578,-0.684133,-1.45%,46.5904,32.83m,5415
81,04/10/17,46.69,48.19,46.69,47.68,948551,1.4674,3.20%,47.2746,45.26m,6293
82,04/07/17,47.25,47.4599,45.62,46.20,976807,0.09915,0.22%,45.8072,45.67m,5998
83,04/06/17,45.52,46.315,45.52,46.10,226738,0.297449,0.66%,45.708,10.44m,2385
84,04/05/17,46.18,46.64,45.70,45.80,358220,-0.297449,-0.65%,45.4106,16.52m,3399
85,04/04/17,46.44,46.58,45.13,46.10,805615,-0.466004,-1.01%,45.708,36.91m,5977
86,04/03/17,47.04,47.13,46.291,46.57,651856,-0.178469,-0.39%,46.174,30.43m,5190
87,03/31/17,46.45,47.33,46.04,46.75,632697,0.396598,0.86%,46.3525,29.61m,4411
88,03/30/17,46.08,46.90,45.66,46.35,545741,-0.148724,-0.32%,45.9559,25.33m,4382
89,03/29/17,45.12,46.71,44.90,46.50,974465,1.5567,3.49%,46.1046,44.98m,6719
90,03/28/17,45.13,45.48,44.73,44.93,173873,-0.05949,-0.13%,44.548,7.82m,1975
91,03/27/17,44.69,45.07,44.10,44.99,412029,0.237959,0.54%,44.6075,18.44m,3400
92,03/24/17,44.99,45.72,44.66,44.75,593396,0.029745,0.07%,44.3695,26.77m,3448
93,03/23/17,44.59,45.00,44.29,44.72,340870,0.01983,0.04%,44.3397,15.25m,3247
94,03/22/17,44.00,44.73,43.74,44.70,594786,0.832857,1.92%,44.3199,26.31m,4166
95,03/21/17,45.01,45.03,43.75,43.86,822308,-1.1402,-2.55%,43.4871,36.3m,7040
96,03/20/17,44.39,45.05,44.01,45.01,418673,0.684134,1.56%,44.6273,18.72m,3249
97,03/17/17,44.00,44.67,43.70,44.32,496566,0.198299,0.45%,43.9431,21.94m,3927
98,03/16/17,44.71,44.97,44.02,44.12,352535,-0.347024,-0.79%,43.7448,15.64m,3357
99,03/15/17,44.71,44.71,43.78,44.47,443836,-0.237959,-0.54%,44.0919,19.63m,3784
100,03/14/17,45.00,45.26,44.40,44.71,391336,-0.475919,-1.06%,44.3298,17.56m,4006
101,03/13/17,44.90,45.25,44.53,45.19,439747,0.188385,0.42%,44.8058,19.79m,3417
102,03/10/17,43.53,45.06,43.425,45.00,1139324,0.832857,1.90%,44.6174,50.99m,7714
103,03/09/17,42.73,44.45,42.67,44.16,1154093,1.4377,3.39%,43.7845,50.53m,8754
104,03/08/17,41.47,43.08,41.125,42.71,1156020,1.3385,3.26%,42.3468,49.18m,7464
105,03/07/17,40.87,41.67,40.43,41.36,353397,0.634558,1.57%,41.0083,14.6m,3114
106,03/06/17,40.83,40.86,40.08,40.72,279632,-0.188384,-0.46%,40.3738,11.31m,2730
107,03/03/17,40.74,40.98,40.15,40.91,275890,0.228044,0.57%,40.5621,11.25m,2616
108,03/02/17,41.50,41.81,40.52,40.68,616305,-0.247874,-0.61%,40.3341,25.28m,4984
109,03/01/17,40.96,41.17,39.91,40.93,932229,0.337109,0.84%,40.582,37.8m,6804
110,02/28/17,40.69,40.90,40.31,40.59,436156,-0.208215,-0.51%,40.2449,17.7m,3791
111,02/27/17,41.06,41.41,40.43,40.80,367602,-0.228044,-0.56%,40.4531,15.01m,3904
112,02/24/17,41.41,41.775,40.70,41.03,647349,-0.971668,-2.33%,40.6811,26.62m,4800
113,02/23/17,42.37,42.37,41.60,42.01,366258,-0.337109,-0.80%,41.6528,15.39m,3114
114,02/22/17,42.16,42.77,41.90,42.35,357438,-0.218129,-0.52%,41.9899,15.1m,3088
115,02/21/17,41.87,42.62,41.84,42.57,346308,0.713878,1.72%,42.208,14.64m,3131
116,02/17/17,41.95,42.04,41.55,41.85,419517,-0.307364,-0.74%,41.4942,17.56m,3030
117,02/16/17,41.61,42.29,41.42,42.16,446238,0.307364,0.74%,41.8015,18.69m,3473
118,02/15/17,41.75,42.22,41.41,41.85,480983,-0.089235,-0.21%,41.4942,20.15m,4449
119,02/14/17,41.78,42.29,41.10,41.94,378678,0.148725,0.36%,41.5834,15.86m,3770
120,02/13/17,42.14,42.33,41.21,41.79,883992,-0.118979,-0.29%,41.4347,36.99m,8109
121,02/10/17,40.25,42.19,40.03,41.91,1136486,1.9334,4.88%,41.5536,47.3m,9999
122,02/09/17,39.91,40.10,39.40,39.96,797292,-0.151184,-0.38%,39.6202,31.78m,7181
123,02/08/17,39.06,41.50,38.93,40.31,1424156,1.3616,3.54%,39.7714,57.75m,10026
124,02/07/17,39.34,39.40,38.59,38.93,360015,-0.157862,-0.41%,38.4098,14.03m,3244
125,02/06/17,39.45,40.04,39.01,39.09,364824,-0.443987,-1.14%,38.5677,14.33m,2814
126,02/03/17,39.08,40.08,39.08,39.54,395415,0.591983,1.54%,39.0117,15.64m,3023
127,02/02/17,38.59,39.37,38.39,38.94,453839,0.039465,0.10%,38.4197,17.7m,3683
128,02/01/17,39.43,39.65,37.37,38.90,1355046,-0.197328,-0.51%,38.3802,51.92m,10374
129,01/31/17,38.96,39.61,38.85,39.10,467738,-0.310792,-0.80%,38.5776,18.29m,4499
130,01/30/17,39.60,39.81,38.80,39.415,601715,-0.409454,-1.04%,38.8884,23.63m,5315
131,01/27/17,40.11,40.4076,39.25,39.83,752162,-0.276259,-0.70%,39.2978,29.86m,5523
132,01/26/17,40.81,41.42,39.26,40.11,1263665,-0.858376,-2.12%,39.5741,50.79m,9639
133,01/25/17,41.22,42.13,40.80,40.98,1142338,-0.167729,-0.41%,40.4325,47.07m,9844
134,01/24/17,41.50,44.095,40.92,41.15,3662225,-2.1607,-5.05%,40.6002,153.13m,25735
135,01/23/17,42.87,43.55,41.02,43.34,1844629,0.591984,1.40%,42.7609,78.01m,14311
136,01/20/17,41.99,44.44,41.76,42.74,1109844,0.443986,1.06%,42.1689,47.32m,8750
137,01/19/17,43.01,43.64,42.14,42.29,753034,-1.3122,-3.05%,41.725,32.04m,4409
138,01/18/17,43.05,43.68,42.925,43.62,381649,0.769578,1.82%,43.0372,16.54m,2586
139,01/17/17,43.25,43.25,42.33,42.84,338020,-0.463719,-1.09%,42.2676,14.43m,2792
140,01/13/17,42.24,43.73,41.95,43.31,470563,1.3714,3.32%,42.7313,20.32m,3437
141,01/12/17,43.75,44.05,41.80,41.92,882475,-2.2495,-5.16%,41.3599,37.43m,7542
142,01/11/17,42.25,44.35,42.1229,44.20,746960,2.1706,5.24%,43.6094,32.57m,5124
143,01/10/17,43.81,44.20,40.69,42.00,1772106,-2.1311,-4.89%,41.4388,74.43m,11301
144,01/09/17,44.94,45.5186,43.91,44.16,461814,-0.73998,-1.67%,43.57,20.55m,3640
145,01/06/17,44.38,45.45,43.8995,44.91,665142,1.2333,2.86%,44.3099,29.91m,4583
146,01/05/17,44.30,44.70,43.61,43.66,195625,-0.572249,-1.31%,43.0766,8.58m,1983
147,01/04/17,45.00,45.39,43.72,44.24,390253,-0.60185,-1.36%,43.6489,17.3m,3457
148,01/03/17,42.83,45.18,42.69,44.85,604394,2.3383,5.58%,44.2507,26.74m,6181
149,12/30/16,43.38,43.93,42.41,42.48,395557,-1.0754,-2.50%,41.9124,16.95m,3544
150,12/29/16,43.53,43.96,42.61,43.57,321575,0.069065,0.16%,42.9878,13.93m,3357
1,12/28/16,44.63,44.82,43.37,43.50,328805,-1.105,-2.51%,42.9188,14.42m,3036
2,12/27/16,45.31,45.41,44.57,44.62,295647,-0.443988,-1.00%,44.0238,13.28m,2490
3,12/23/16,45.48,45.76,44.45,45.07,254449,-0.552518,-1.23%,44.4678,11.44m,2169
4,12/22/16,46.50,47.43,45.49,45.63,504851,-0.404522,-0.89%,45.0203,23.43m,4116
5,12/21/16,44.33,46.33,43.95,46.04,587494,1.7562,4.02%,45.4248,26.75m,4562
6,12/20/16,43.70,44.6453,43.45,44.26,351949,0.286126,0.66%,43.6686,15.54m,3309
7,12/19/16,43.82,44.2412,43.30,43.97,334005,-0.236793,-0.54%,43.3825,14.68m,3258
8,12/16/16,44.17,44.43,43.53,44.21,387626,0.286125,0.66%,43.6193,17.1m,3857
9,12/15/16,43.50,43.98,42.63,43.92,529992,0.443987,1.04%,43.3332,23.11m,5329
10,12/14/16,44.70,44.79,43.25,43.47,432229,-1.2333,-2.80%,42.8892,18.87m,4011
11,12/13/16,44.30,45.29,43.73,44.72,470190,1.0557,2.45%,44.1225,20.95m,4152
12,12/12/16,44.51,44.515,43.26,43.65,481144,-1.1938,-2.70%,43.0668,21.03m,3769
13,12/09/16,46.49,46.49,44.50,44.86,781815,-0.759712,-1.69%,44.2606,35.2m,4816
14,12/08/16,45.42,46.50,45.37,45.63,323103,0.226927,0.51%,45.0203,14.87m,2571
15,12/07/16,45.17,45.4538,44.47,45.40,348689,0.152929,0.34%,44.7934,15.69m,3116
16,12/06/16,44.46,46.51,44.43,45.245,758509,1.1396,2.62%,44.6405,34.38m,5400
17,12/05/16,43.84,44.20,43.44,44.09,296752,0.690647,1.61%,43.5009,13.05m,2640
18,12/02/16,44.37,45.05,42.89,43.39,942498,-1.184,-2.69%,42.8103,41.1m,7175
19,12/01/16,45.90,46.26,44.28,44.59,809915,-1.3813,-3.04%,43.9942,36.5m,5361
20,11/30/16,46.45,46.8024,45.87,45.99,297716,-0.414389,-0.90%,45.3755,13.7m,2440
21,11/29/16,45.48,47.35,45.17,46.41,449936,0.591983,1.31%,45.7899,20.97m,3653
22,11/28/16,46.00,46.42,45.19,45.81,603573,-0.335456,-0.74%,45.1979,27.62m,5346
23,11/23/16,46.68,47.133,46.20,46.53,201684,-0.10853,-0.24%,45.9083,9.42m,1917
24,11/22/16,46.20,47.20,46.05,46.64,346695,0.453854,1.00%,46.0168,16.18m,2737
25,11/21/16,47.00,47.489,45.425,46.18,629864,-0.266392,-0.58%,45.563,29.05m,5269
26,11/18/16,45.91,46.63,44.75,46.45,681492,0.759711,1.69%,45.8294,31.48m,6079
27,11/17/16,46.01,46.375,44.87,45.68,464109,-0.443987,-0.98%,45.0697,21.28m,3664
28,11/16/16,46.74,48.25,45.95,46.13,733517,-0.118397,-0.26%,45.5136,34.15m,6785
29,11/15/16,44.75,46.45,44.1852,46.25,794524,2.3482,5.43%,45.632,36.56m,6573
30,11/14/16,43.37,45.08,43.25,43.87,730486,0.394656,0.92%,43.2838,32.18m,5626
31,11/11/16,42.00,43.57,41.58,43.47,480900,1.3122,3.16%,42.8892,20.71m,5200
32,11/10/16,43.17,43.47,41.90,42.14,611165,-0.562384,-1.33%,41.577,25.87m,5584
33,11/09/16,40.58,42.90,40.10,42.71,442736,0.473586,1.14%,42.1393,18.63m,3542
34,11/08/16,42.13,42.74,41.37,42.23,419435,-0.118397,-0.28%,41.6658,17.71m,3915
