,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,,,,24.16,2,0.00,0.00%,24.16,,2
2,08/03/17,24.2239,24.2239,24.16,24.16,1092,-0.23,-0.94%,24.16,26.45k,3
3,08/02/17,24.3744,24.39,24.3744,24.39,1498,-0.196,-0.80%,24.39,36.53k,5
4,08/01/17,24.639,24.64,24.586,24.586,8190,-0.024,-0.10%,24.586,201.46k,7
5,07/31/17,24.61,24.61,24.61,24.61,200,-0.30,-1.20%,24.61,4.92k,1
6,07/28/17,24.99,24.99,24.91,24.91,200,-0.1935,-0.77%,24.91,4.99k,2
7,07/27/17,,,,25.1035,19,0.00,0.00%,25.1035,,1
8,07/26/17,25.1035,25.1035,25.1035,25.1035,202,-0.0649,-0.26%,25.1035,5.07k,2
9,07/25/17,25.2076,25.2076,25.1684,25.1684,436,0.3584,1.44%,25.1684,10.98k,4
10,07/24/17,24.49,24.81,24.49,24.81,1105,0.1446,0.59%,24.81,27.29k,12
11,07/21/17,24.6654,24.6654,24.6654,24.6654,1751,-0.0246,-0.10%,24.6654,43.19k,3
12,07/20/17,24.69,24.69,24.69,24.69,338,0.2334,0.95%,24.69,8.35k,15
13,07/19/17,,,,24.4566,0,,0.00%,24.4566,,
14,07/18/17,,,,24.4566,0,,0.00%,24.4566,,
15,07/17/17,24.4566,24.4566,24.4566,24.4566,125,0.2166,0.89%,24.4566,3.06k,1
16,07/14/17,,,,24.24,0,,0.00%,24.24,,
17,07/13/17,24.19,24.24,24.19,24.24,1141,0.01,0.04%,24.24,27.61k,15
18,07/12/17,24.18,24.24,24.18,24.23,3720,0.08,0.33%,24.23,89.99k,24
19,07/11/17,24.15,24.15,24.15,24.15,211,0.05,0.21%,24.15,5.1k,3
20,07/10/17,24.10,24.10,24.10,24.10,400,0.0025,0.01%,24.10,9.64k,4
21,07/07/17,24.061,24.0975,24.061,24.0975,8070,0.2075,0.87%,24.0975,194.32k,5
22,07/06/17,24.0506,24.1208,23.89,23.89,4189,-0.36,-1.48%,23.89,100.69k,9
23,07/05/17,24.25,24.25,24.25,24.25,110,-0.001,-0.00%,24.25,2.67k,2
24,06/30/17,24.1258,24.19,24.05,24.19,7371,0.04,0.17%,24.19,177.87k,36
25,06/29/17,24.1282,24.15,23.99,24.15,1282,-0.22,-0.90%,24.15,30.91k,8
26,06/28/17,24.405,24.405,24.37,24.37,1500,0.23,0.95%,24.37,36.6k,3
27,06/27/17,24.2532,24.3043,24.14,24.14,5228,-0.245,-1.00%,24.14,126.93k,22
28,06/26/17,,,,24.385,0,,0.00%,24.385,,
29,06/23/17,24.2216,24.385,24.2216,24.385,925,0.225,0.93%,24.385,22.5k,9
30,06/22/17,23.79,24.21,23.79,24.16,11639,0.0553,0.23%,24.16,279.73k,53
31,06/21/17,,,,24.1047,0,,0.00%,24.1047,,
32,06/20/17,,,,24.1047,9,0.00,0.00%,24.1047,,5
33,06/19/17,24.0626,24.1047,24.046,24.1047,1646,0.2287,0.96%,24.1047,39.62k,6
34,06/16/17,23.876,23.876,23.876,23.876,338,0.106,0.45%,23.876,8.07k,3
35,06/15/17,23.77,23.77,23.77,23.77,3556,-0.239,-1.00%,23.77,84.53k,5
36,06/14/17,24.05,24.05,24.009,24.009,691,-0.3182,-1.31%,24.009,16.61k,6
37,06/13/17,24.3272,24.3272,24.3272,24.3272,289,0.1113,0.46%,24.3272,7.03k,5
38,06/12/17,24.36,24.36,24.05,24.2159,13424,-0.0841,-0.35%,24.2159,324.14k,70
39,06/09/17,24.59,24.59,24.1696,24.30,4265,-0.17,-0.69%,24.30,103.72k,32
40,06/08/17,24.03,24.47,24.03,24.47,2864,0.26,1.07%,24.47,69.64k,23
41,06/07/17,24.26,24.304,24.11,24.21,9060,-0.21,-0.86%,24.21,219.19k,64
42,06/06/17,24.31,24.42,24.262,24.42,5447,0.069,0.28%,24.42,132.48k,63
43,06/05/17,24.351,24.351,24.351,24.351,140,-0.0299,-0.12%,24.351,3.41k,1
44,06/02/17,,,,24.3809,64,0.00,0.00%,24.3809,,7
45,06/01/17,24.2964,24.3809,24.2964,24.3809,647,0.3509,1.46%,24.3809,15.75k,6
46,05/31/17,23.94,24.03,23.73,24.03,11470,0.02,0.08%,24.03,274.08k,44
47,05/30/17,24.09,24.14,24.01,24.01,859,-0.2105,-0.87%,24.01,20.68k,9
48,05/26/17,24.2205,24.2205,24.2205,24.2205,125,-0.2995,-1.22%,24.2205,3.03k,1
49,05/25/17,24.60,24.60,24.52,24.52,327,-0.0627,-0.26%,24.52,8.04k,4
50,05/24/17,,,,24.5827,0,,0.00%,24.5827,,
51,05/23/17,,,,24.5827,10,0.00,0.00%,24.5827,,1
52,05/22/17,24.60,24.60,24.5827,24.5827,515,0.0527,0.21%,24.5827,12.67k,3
53,05/19/17,24.5604,24.61,24.53,24.53,4100,0.20,0.82%,24.53,100.66k,6
54,05/18/17,24.29,24.33,24.29,24.33,263,0.08,0.33%,24.33,6.39k,4
55,05/17/17,24.41,24.41,24.25,24.25,503,-0.57,-2.30%,24.25,12.23k,7
56,05/16/17,24.69,24.82,24.69,24.82,371,0.02,0.08%,24.82,9.19k,4
57,05/15/17,24.80,24.81,24.80,24.80,4187,0.1975,0.80%,24.80,103.84k,11
58,05/12/17,24.62,24.62,24.6025,24.6025,462,0.0425,0.17%,24.6025,11.37k,7
59,05/11/17,,,,24.56,1,0.00,0.00%,24.56,,1
60,05/10/17,24.56,24.56,24.56,24.56,150,0.0819,0.33%,24.56,3.68k,2
61,05/09/17,24.4781,24.4781,24.4781,24.4781,121,0.2368,0.98%,24.4781,2.96k,3
62,05/08/17,24.275,24.28,24.2412,24.2413,5885,0.1913,0.80%,24.2413,142.78k,29
63,05/05/17,24.14,24.14,24.05,24.05,638,-0.04,-0.17%,24.05,15.36k,5
64,05/04/17,24.09,24.09,24.09,24.09,1232,-0.12,-0.50%,24.09,29.68k,1
65,05/03/17,24.20,24.21,24.20,24.21,855,-0.175,-0.72%,24.21,20.7k,5
66,05/02/17,24.47,24.47,24.385,24.385,1627,-0.245,-0.99%,24.385,39.71k,5
67,05/01/17,24.33,24.63,24.33,24.63,2398,0.2659,1.09%,24.63,58.96k,23
68,04/28/17,24.37,24.37,24.3641,24.3641,291,-0.1849,-0.75%,24.3641,7.09k,5
69,04/27/17,24.549,24.549,24.549,24.549,246,-0.181,-0.73%,24.549,6.04k,4
70,04/26/17,24.7199,24.73,24.7011,24.73,3814,-0.0301,-0.12%,24.73,94.31k,16
71,04/25/17,24.75,24.8099,24.7375,24.7601,8578,0.3601,1.48%,24.7601,212.36k,14
72,04/24/17,,,,24.40,160,0.00,0.00%,24.40,,2
73,04/21/17,24.40,24.40,24.40,24.40,1860,0.0517,0.21%,24.40,45.38k,2
74,04/20/17,24.3483,24.3483,24.3483,24.3483,246,0.1413,0.58%,24.3483,5.99k,2
75,04/19/17,24.2764,24.2764,24.207,24.207,312,0.201,0.84%,24.207,7.57k,3
76,04/18/17,24.03,24.03,24.006,24.006,1255,0.0597,0.25%,24.006,30.14k,12
77,04/17/17,24.03,24.03,23.9463,23.9463,845,-0.0837,-0.35%,23.9463,20.27k,8
78,04/13/17,23.96,24.03,23.96,24.03,1150,-0.0375,-0.16%,24.03,27.56k,2
79,04/12/17,24.08,24.08,24.0675,24.0675,1503,0.0914,0.38%,24.0675,36.19k,16
80,04/11/17,,,,23.9761,2,0.00,0.00%,23.9761,,1
81,04/10/17,24.0199,24.0199,23.9761,23.9761,1417,0.1062,0.44%,23.9761,34k,6
82,04/07/17,,,,23.8699,0,,0.00%,23.8699,,
83,04/06/17,23.8699,23.8699,23.8699,23.8699,570,-0.4801,-1.97%,23.8699,13.61k,2
84,04/05/17,,,,24.35,0,,0.00%,24.35,,
85,04/04/17,,,,24.35,0,,0.00%,24.35,,
86,04/03/17,,,,24.35,0,,0.00%,24.35,,
87,03/31/17,24.34,24.4199,24.1211,24.35,1734,-0.10,-0.41%,24.35,41.93k,10
88,03/30/17,24.4833,24.50,24.45,24.45,3106,0.12,0.49%,24.45,75.96k,9
89,03/29/17,,,,24.33,0,,0.00%,24.33,,
90,03/28/17,24.2516,24.33,24.2516,24.33,446,0.3073,1.28%,24.33,10.84k,3
91,03/27/17,,,,24.0227,58,0.00,0.00%,24.0227,,2
92,03/24/17,24.0227,24.0227,24.0227,24.0227,292,0.0127,0.05%,24.0227,7.01k,5
93,03/23/17,,,,24.01,0,,0.00%,24.01,,
94,03/22/17,24.09,24.09,23.88,24.01,1479,-0.093,-0.39%,24.01,35.42k,11
95,03/21/17,24.04,24.103,24.04,24.103,1546,-0.4683,-1.91%,24.103,37.24k,13
96,03/20/17,24.417,24.61,24.417,24.5713,7916,0.1113,0.46%,24.5713,194.15k,29
97,03/17/17,24.3771,24.49,24.3154,24.46,3654,0.0487,0.20%,24.46,89.36k,26
98,03/16/17,24.41,24.4113,24.3561,24.4113,2000,0.0533,0.22%,24.4113,48.77k,31
99,03/15/17,24.1718,24.358,24.1718,24.358,1437,0.208,0.86%,24.358,34.89k,9
100,03/14/17,24.09,24.15,24.04,24.15,3235,-0.0485,-0.20%,24.15,77.98k,12
101,03/13/17,,,,24.1985,19,0.00,0.00%,24.1985,,2
102,03/10/17,24.20,24.2448,24.12,24.1985,5840,0.1375,0.57%,24.1985,141.29k,36
103,03/09/17,23.9917,24.061,23.9917,24.061,225,-0.0089,-0.04%,24.061,5.41k,2
104,03/08/17,24.19,24.2558,24.0699,24.0699,7750,-0.0301,-0.12%,24.0699,187.48k,7
105,03/07/17,24.10,24.10,24.10,24.10,901,0.07,0.29%,24.10,21.71k,3
106,03/06/17,,,,24.03,0,,0.00%,24.03,,
107,03/03/17,24.14,24.14,24.0299,24.03,600,-0.04,-0.17%,24.03,14.46k,4
108,03/02/17,24.1275,24.1275,24.07,24.07,441,-0.0815,-0.34%,24.07,10.63k,3
109,03/01/17,24.00,24.18,24.00,24.1515,4011,0.4219,1.78%,24.1515,96.68k,7
110,02/28/17,23.90,23.96,23.726,23.7296,6792,-0.0179,-0.08%,23.7296,162.19k,23
111,02/27/17,23.69,23.7475,23.66,23.7475,5244,0.0475,0.20%,23.7475,124.46k,14
112,02/24/17,23.88,23.88,23.53,23.70,2286,0.0032,0.01%,23.70,54.27k,12
