,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,146.37,147.51,145.90,146.33,427884,0.06,0.04%,146.33,62.7m,3521
2,08/03/17,146.73,147.20,145.5499,146.27,449082,-0.55,-0.37%,146.27,65.63m,3859
3,08/02/17,148.74,149.06,145.80,146.82,580579,-1.07,-0.72%,146.82,85.37m,5040
4,08/01/17,147.42,147.90,146.70,147.89,333961,0.91,0.62%,147.89,49.27m,2643
5,07/31/17,148.15,148.92,146.57,146.98,505823,-1.15,-0.78%,146.98,74.69m,3699
6,07/28/17,148.02,148.74,147.40,148.13,401873,-0.57,-0.38%,148.13,59.51m,3401
7,07/27/17,151.45,151.65,146.93,148.70,942643,-2.30,-1.52%,148.70,140.14m,7688
8,07/26/17,150.69,151.65,150.1494,151.00,668165,1.64,1.10%,151.00,100.9m,4214
9,07/25/17,149.18,149.72,147.82,149.36,401176,-0.13,-0.09%,149.36,59.82m,3248
10,07/24/17,150.16,150.16,149.19,149.49,404202,-0.45,-0.30%,149.49,60.44m,3493
11,07/21/17,150.24,150.24,149.20,149.94,327969,-1.29,-0.85%,149.94,49.1m,3092
12,07/20/17,150.85,151.43,149.60,151.23,509022,0.44,0.29%,151.23,76.82m,3311
13,07/19/17,150.27,150.83,149.76,150.79,470172,1.38,0.92%,150.79,70.76m,2662
14,07/18/17,148.06,149.44,147.51,149.41,339087,0.46,0.31%,149.41,50.4m,3117
15,07/17/17,150.07,150.12,148.45,148.95,231134,-0.61,-0.41%,148.95,34.45m,2298
16,07/14/17,148.39,149.64,148.04,149.56,411549,1.98,1.34%,149.56,61.34m,3744
17,07/13/17,148.20,149.16,147.14,147.58,510924,-0.46,-0.31%,147.58,75.68m,4468
18,07/12/17,147.17,148.36,146.65,148.04,559394,2.33,1.60%,148.04,82.55m,4989
19,07/11/17,144.13,145.77,144.04,145.71,321821,1.20,0.83%,145.71,46.72m,3080
20,07/10/17,143.41,144.88,142.51,144.51,326121,1.65,1.15%,144.51,46.92m,3295
21,07/07/17,141.17,143.43,141.17,142.86,1124757,2.37,1.69%,142.86,160.4m,3308
22,07/06/17,139.80,141.70,139.14,140.49,687692,-0.62,-0.44%,140.49,96.61m,6030
23,07/05/17,138.73,141.33,138.73,141.11,639412,2.83,2.05%,141.11,89.84m,4885
24,06/30/17,141.41,142.15,139.59,140.20,497585,-0.77,-0.55%,140.20,69.96m,4052
25,06/29/17,143.99,143.99,139.04,140.97,983096,-3.60,-2.49%,140.97,138.7m,7204
26,06/28/17,142.93,144.73,141.56,144.57,761827,2.46,1.73%,144.57,109.13m,3885
27,06/27/17,145.49,145.49,142.05,142.11,640519,-3.9002,-2.67%,142.11,92.13m,4862
28,06/26/17,148.48,149.28,145.59,146.37,627606,-1.2669,-0.86%,146.0102,92.08m,4819
29,06/23/17,147.45,148.47,146.76,147.64,324361,0.438919,0.30%,147.2771,47.98m,2565
30,06/22/17,147.50,147.86,146.50,147.20,433277,-0.339165,-0.23%,146.8382,63.8m,3201
31,06/21/17,146.53,147.61,145.94,147.54,462312,1.6858,1.16%,147.1773,67.96m,3395
32,06/20/17,148.29,148.47,145.82,145.85,397662,-1.6559,-1.13%,145.4915,58.39m,3133
33,06/19/17,146.36,147.75,146.24,147.51,485216,2.7432,1.90%,147.1474,71.43m,3779
34,06/16/17,145.72,146.43,144.31,144.76,529680,-0.578574,-0.40%,144.4042,76.79m,3902
35,06/15/17,144.05,145.79,143.86,145.34,1177273,-1.1571,-0.79%,144.9828,170.65m,7499
36,06/14/17,148.66,148.66,144.87,146.50,704292,-1.5462,-1.05%,146.1399,103.31m,5671
37,06/13/17,149.29,149.50,146.24,148.05,1072218,0.997542,0.68%,147.6861,158.41m,7693
38,06/12/17,146.05,147.59,142.81,147.05,1759100,-0.847911,-0.57%,146.6886,256.44m,11884
39,06/09/17,155.52,155.95,144.91,147.90,1701369,-6.474,-4.20%,147.5365,255.15m,13398
40,06/08/17,152.85,154.45,151.53,154.39,539158,2.7632,1.83%,154.0105,82.57m,4268
41,06/07/17,151.25,152.22,150.85,151.62,420893,1.1172,0.74%,151.2473,63.83m,3505
42,06/06/17,149.45,151.53,149.23,150.50,413556,0.488796,0.33%,150.1301,62.38m,3325
43,06/05/17,149.60,150.81,149.54,150.01,328875,0.359115,0.24%,149.6413,49.36m,3053
44,06/02/17,149.08,149.83,147.96,149.65,432476,1.5063,1.02%,149.2822,64.5m,3670
45,06/01/17,148.56,148.56,147.30,148.14,354444,0.149631,0.10%,147.7759,52.4m,2768
46,05/31/17,149.07,149.37,147.28,147.99,535128,-0.01995,-0.01%,147.6262,79.25m,4461
47,05/30/17,147.02,148.37,146.85,148.01,392315,0.977591,0.67%,147.6462,58m,3004
48,05/26/17,146.24,147.10,145.40,147.03,263204,0.668353,0.46%,146.6686,38.51m,1909
49,05/25/17,146.06,146.88,145.42,146.36,337845,0.738181,0.51%,146.0002,49.45m,2565
50,05/24/17,145.65,145.89,144.95,145.62,339557,0.937689,0.65%,145.2621,49.37m,2258
51,05/23/17,145.39,145.40,143.57,144.68,253362,-0.578574,-0.40%,144.3244,36.59m,2016
52,05/22/17,144.62,145.32,144.29,145.26,666693,1.5661,1.09%,144.903,96.68m,2396
53,05/19/17,143.45,144.19,143.32,143.69,893781,1.5661,1.10%,143.3368,128.47m,4616
54,05/18/17,139.58,142.52,139.16,142.12,701243,2.5936,1.86%,141.7707,99.26m,5356
55,05/17/17,144.10,144.39,139.40,139.52,1030765,-6.2745,-4.31%,139.1771,146.03m,7890
56,05/16/17,144.42,145.87,143.75,145.81,355796,2.0549,1.43%,145.4516,51.55m,2803
57,05/15/17,142.16,143.84,141.75,143.75,374354,2.1846,1.55%,143.3967,53.51m,3034
58,05/12/17,141.35,141.73,140.75,141.56,191070,0.399017,0.28%,141.212,27.01m,1678
59,05/11/17,140.54,141.81,139.395,141.16,697032,0.508747,0.36%,140.813,98.04m,5143
60,05/10/17,139.43,140.91,139.39,140.65,834535,2.9128,2.12%,140.3043,117.11m,5019
61,05/09/17,136.57,138.13,136.38,137.73,426980,1.3467,0.99%,137.3915,58.79m,3157
62,05/08/17,136.85,137.10,136.12,136.38,267253,-0.538673,-0.39%,136.0448,36.5m,2474
63,05/05/17,136.74,136.92,135.64,136.92,300734,0.538673,0.40%,136.5835,40.98m,2207
64,05/04/17,136.95,136.95,135.80,136.38,406534,-0.099754,-0.07%,136.0448,55.46m,2584
65,05/03/17,135.29,136.68,135.2534,136.48,381602,0.468845,0.35%,136.1445,51.97m,2763
66,05/02/17,137.10,137.10,135.31,136.01,1132906,-1.4464,-1.05%,135.6757,153.93m,5397
67,05/01/17,136.44,137.50,135.76,137.46,688534,1.3467,0.99%,137.1221,94.1m,4827
68,04/28/17,138.14,138.14,135.75,136.11,1044554,-2.3542,-1.70%,135.7754,142.62m,6406
69,04/27/17,137.53,138.66,137.26,138.47,366531,1.9153,1.41%,138.1296,50.68m,3141
70,04/26/17,137.49,137.75,136.04,136.55,1168033,-1.1272,-0.82%,136.2144,159.63m,6448
71,04/25/17,136.95,137.89,136.62,137.68,423458,1.3866,1.02%,137.3416,58.21m,3047
72,04/24/17,136.33,136.73,135.80,136.29,494108,1.9253,1.44%,135.955,67.34m,3471
73,04/21/17,134.49,134.63,133.23,134.36,640810,-0.568599,-0.42%,134.0297,85.9m,4527
74,04/20/17,133.81,135.17,133.1523,134.93,556568,2.0948,1.58%,134.5983,74.74m,3402
75,04/19/17,133.22,134.039,132.63,132.83,567187,0.688304,0.52%,132.5035,75.5m,4694
76,04/18/17,130.80,132.22,130.71,132.14,441921,0.608501,0.46%,131.8152,58.15m,3278
77,04/17/17,130.42,131.60,130.42,131.53,443339,1.616,1.25%,131.2067,58.12m,2890
78,04/13/17,130.00,131.88,129.86,129.91,436430,-0.867862,-0.67%,129.5907,57.18m,3297
79,04/12/17,132.70,132.88,130.47,130.78,568185,-2.2844,-1.72%,130.4585,74.62m,4124
80,04/11/17,133.49,133.53,131.0872,133.07,534035,-1.0773,-0.81%,132.7429,70.61m,3724
81,04/10/17,135.20,135.33,133.83,134.15,270145,-1.0374,-0.77%,133.8203,36.33m,1974
82,04/07/17,134.66,135.60,134.28,135.19,252406,0.578574,0.43%,134.8577,34.12m,2170
83,04/06/17,134.31,134.91,133.24,134.61,388477,0.209484,0.16%,134.2791,52.11m,2931
84,04/05/17,135.73,136.65,134.31,134.40,419795,-0.937689,-0.69%,134.0696,56.86m,3307
85,04/04/17,135.17,136.22,134.95,135.34,455608,-0.678329,-0.50%,135.0073,61.65m,2799
86,04/03/17,136.95,137.28,135.14,136.02,721660,-0.867861,-0.64%,135.6857,98.13m,3679
87,03/31/17,137.02,137.5746,136.45,136.89,205512,0.009975,0.01%,136.5535,28.15m,1539
88,03/30/17,136.25,137.18,136.04,136.88,277027,0.698279,0.51%,136.5435,37.89m,2158
89,03/29/17,136.57,136.57,135.77,136.18,354914,-0.329188,-0.24%,135.8453,48.32m,2551
90,03/28/17,136.35,137.04,135.69,136.51,283821,0.428943,0.32%,136.1745,38.75m,2258
91,03/27/17,134.58,136.40,134.02,136.08,483354,0.199508,0.15%,135.7455,65.42m,3387
92,03/24/17,136.61,137.57,135.36,135.88,531997,0.980721,0.73%,135.546,72.64m,3902
93,03/23/17,135.53,135.84,134.8601,135.25,510584,-0.298481,-0.22%,134.5653,69.14m,3148
94,03/22/17,134.26,135.70,133.79,135.55,558758,1.4128,1.06%,134.8638,75.36m,4039
95,03/21/17,137.70,137.96,133.87,134.13,654290,-3.2037,-2.34%,133.451,88.44m,5039
96,03/20/17,136.69,137.82,136.22,137.35,379379,1.0049,0.74%,136.6547,52.1m,2510
97,03/17/17,136.53,136.53,135.91,136.34,610743,0.278582,0.21%,135.6498,83.26m,2315
98,03/16/17,136.64,136.67,135.80,136.06,310899,-0.139292,-0.10%,135.3712,42.34m,2338
99,03/15/17,135.30,136.45,134.65,136.20,369355,1.0646,0.79%,135.5105,50.11m,3237
100,03/14/17,135.17,135.27,134.02,135.13,355597,-0.397974,-0.30%,134.4459,47.92m,3249
101,03/13/17,134.93,135.58,134.67,135.53,382545,1.0049,0.75%,134.8439,51.74m,2444
102,03/10/17,133.79,134.80,133.79,134.52,712123,1.5123,1.14%,133.839,95.63m,4814
