,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,08/04/17,3.82,3.84,3.75,3.75,132107,-0.06,-1.57%,3.75,500.51k,878
2,08/03/17,3.81,3.84,3.75,3.81,142361,-0.01,-0.26%,3.81,541.37k,1379
3,08/02/17,3.83,3.87,3.73,3.82,242292,-0.01,-0.26%,3.82,920.19k,1840
4,08/01/17,3.83,3.85,3.75,3.83,171373,0.03,0.79%,3.83,651.5k,1217
5,07/31/17,3.80,3.86,3.73,3.80,84386,0.00,0.00%,3.80,319.54k,505
6,07/28/17,3.77,3.85,3.76,3.80,95021,0.00,0.00%,3.80,360.62k,497
7,07/27/17,3.84,3.85,3.68,3.80,157612,-0.06,-1.55%,3.80,593.89k,1151
8,07/26/17,3.86,3.90,3.84,3.86,77840,0.01,0.26%,3.86,300.68k,706
9,07/25/17,3.81,3.90,3.81,3.85,167245,0.06,1.58%,3.85,644.99k,986
10,07/24/17,3.74,3.83,3.69,3.79,107227,0.04,1.07%,3.79,405.26k,738
11,07/21/17,3.75,3.79,3.70,3.75,282277,-0.06,-1.57%,3.75,1.06m,871
12,07/20/17,3.81,3.86,3.795,3.81,162389,0.00,0.00%,3.81,618.02k,953
13,07/19/17,3.81,3.90,3.80,3.81,62824,0.00,0.00%,3.81,240.7k,656
14,07/18/17,3.89,3.91,3.79,3.81,388429,-0.13,-3.30%,3.81,1.48m,879
15,07/17/17,3.86,3.94,3.83,3.94,152893,0.08,2.07%,3.94,592.99k,1177
16,07/14/17,3.85,3.90,3.845,3.86,89457,0.01,0.26%,3.86,345.79k,814
17,07/13/17,3.91,3.94,3.83,3.85,62403,-0.04,-1.03%,3.85,240.87k,622
18,07/12/17,3.88,3.90,3.84,3.89,132260,0.06,1.57%,3.89,511.64k,693
19,07/11/17,3.89,3.93,3.80,3.83,100414,-0.02,-0.52%,3.83,386.7k,722
20,07/10/17,3.91,3.91,3.83,3.85,152744,-0.04,-1.03%,3.85,591.17k,1205
21,07/07/17,3.80,3.94,3.80,3.89,103547,0.10,2.64%,3.89,403.4k,974
22,07/06/17,3.78,3.84,3.73,3.79,154581,0.02,0.53%,3.79,584.36k,1128
23,07/05/17,3.91,3.91,3.60,3.77,158944,-0.14,-3.58%,3.77,598.94k,1377
24,06/30/17,3.90,3.9088,3.50,3.88,195305,-0.02,-0.51%,3.88,750.19k,1270
25,06/29/17,3.96,4.00,3.82,3.90,223919,-0.06,-1.52%,3.90,874.75k,1717
26,06/28/17,3.77,3.97,3.72,3.96,478960,0.21,5.60%,3.96,1.87m,2767
27,06/27/17,3.82,3.87,3.74,3.75,159601,-0.07,-1.83%,3.75,603.49k,1184
28,06/26/17,3.69,3.84,3.69,3.82,151030,0.12,3.24%,3.82,570.09k,1219
29,06/23/17,3.58,3.71,3.56,3.70,1327330,0.12,3.35%,3.70,4.9m,1390
30,06/22/17,3.56,3.67,3.56,3.58,76755,0.02,0.56%,3.58,275.9k,784
31,06/21/17,3.55,3.64,3.55,3.56,101221,0.02,0.56%,3.56,363.06k,943
32,06/20/17,3.63,3.63,3.51,3.54,292009,-0.10,-2.75%,3.54,1.03m,1175
33,06/19/17,3.60,3.66,3.53,3.64,199310,0.06,1.68%,3.64,718.21k,1212
34,06/16/17,3.54,3.68,3.52,3.58,384412,-0.06,-1.65%,3.58,1.37m,1469
35,06/15/17,3.82,3.86,3.63,3.64,273867,-0.22,-5.70%,3.64,1.02m,1309
36,06/14/17,3.74,3.86,3.6401,3.86,204846,0.13,3.49%,3.86,782.71k,1478
37,06/13/17,3.67,3.75,3.64,3.73,97851,0.07,1.91%,3.73,363.94k,974
38,06/12/17,3.56,3.69,3.53,3.66,152833,0.10,2.81%,3.66,554.84k,1373
39,06/09/17,3.66,3.71,3.52,3.56,215896,-0.11,-3.00%,3.56,770.91k,1384
40,06/08/17,3.50,3.70,3.46,3.67,159810,0.16,4.56%,3.67,575.18k,1306
41,06/07/17,3.50,3.53,3.41,3.51,263568,0.01,0.29%,3.51,914.15k,1151
42,06/06/17,3.46,3.55,3.42,3.50,138418,0.03,0.86%,3.50,483.55k,793
43,06/05/17,3.59,3.59,3.41,3.47,301198,-0.13,-3.61%,3.47,1.04m,923
44,06/02/17,3.67,3.73,3.59,3.60,181941,-0.06,-1.64%,3.60,664.45k,1524
45,06/01/17,3.47,3.67,3.46,3.66,165723,0.20,5.78%,3.66,600.39k,1247
46,05/31/17,3.46,3.48,3.402,3.46,312443,0.00,0.00%,3.46,1.07m,589
47,05/30/17,3.49,3.65,3.40,3.46,114544,-0.04,-1.14%,3.46,397.43k,1046
48,05/26/17,3.54,3.62,3.42,3.50,99524,-0.05,-1.41%,3.50,346.14k,813
49,05/25/17,3.49,3.58,3.37,3.55,147371,0.06,1.72%,3.55,515.83k,1315
50,05/24/17,3.39,3.50,3.36,3.49,99548,0.09,2.65%,3.49,344.08k,1080
51,05/23/17,3.27,3.41,3.23,3.40,145338,0.13,3.98%,3.40,489.66k,1106
52,05/22/17,3.16,3.29,3.15,3.27,157596,0.10,3.15%,3.27,511.18k,1043
53,05/19/17,3.18,3.22,3.15,3.17,130798,-0.01,-0.31%,3.17,414.81k,1275
54,05/18/17,3.17,3.22,3.13,3.18,129151,0.00,0.00%,3.18,408.71k,942
55,05/17/17,3.25,3.32,3.18,3.18,156345,-0.13,-3.93%,3.18,502.07k,1586
56,05/16/17,3.36,3.39,3.31,3.31,98908,-0.05,-1.49%,3.31,329.07k,963
57,05/15/17,3.30,3.40,3.30,3.36,63611,0.08,2.44%,3.36,213.35k,624
58,05/12/17,3.21,3.33,3.21,3.28,130295,-0.03,-0.91%,3.28,427.04k,952
59,05/11/17,3.37,3.39,3.23,3.31,125710,-0.09,-2.65%,3.31,416.66k,1273
60,05/10/17,3.30,3.48,3.30,3.40,224751,0.11,3.34%,3.40,769.28k,1841
61,05/09/17,3.89,3.89,2.82,3.29,1144431,-0.56,-14.55%,3.29,3.72m,4833
62,05/08/17,3.68,3.87,3.68,3.85,347228,0.09,2.39%,3.85,1.32m,1879
63,05/05/17,3.71,3.81,3.71,3.76,160366,0.06,1.62%,3.76,604.93k,919
64,05/04/17,3.70,3.73,3.66,3.70,117515,0.03,0.82%,3.70,435.11k,969
65,05/03/17,3.70,3.77,3.64,3.67,132997,-0.04,-1.08%,3.67,489.61k,1019
66,05/02/17,3.74,3.83,3.69,3.71,86598,-0.04,-1.07%,3.71,322.57k,935
67,05/01/17,3.78,3.83,3.73,3.75,98002,-0.01,-0.27%,3.75,368.49k,682
68,04/28/17,3.76,3.83,3.75,3.76,91742,-0.02,-0.53%,3.76,346.21k,745
69,04/27/17,3.73,3.80,3.69,3.78,147597,0.07,1.89%,3.78,554.13k,970
70,04/26/17,3.59,3.76,3.59,3.71,174520,0.10,2.77%,3.71,648.87k,1238
71,04/25/17,3.64,3.72,3.59,3.61,185819,0.00,0.00%,3.61,677.56k,1474
72,04/24/17,3.66,3.73,3.595,3.61,134829,-0.01,-0.28%,3.61,490.46k,1134
73,04/21/17,3.64,3.68,3.59,3.62,202166,-0.03,-0.82%,3.62,734.66k,1486
74,04/20/17,3.64,3.69,3.58,3.65,184849,0.00,0.00%,3.65,673.13k,1290
75,04/19/17,3.62,3.69,3.60,3.65,137587,0.03,0.83%,3.65,501.58k,1406
76,04/18/17,3.55,3.63,3.54,3.62,104662,0.04,1.12%,3.62,375.68k,937
77,04/17/17,3.56,3.615,3.50,3.58,195542,0.01,0.28%,3.58,694.01k,1469
78,04/13/17,3.61,3.74,3.54,3.57,156648,-0.04,-1.11%,3.57,564.17k,1026
79,04/12/17,3.67,3.72,3.56,3.61,146242,-0.09,-2.43%,3.61,531.22k,1152
80,04/11/17,3.65,3.77,3.62,3.70,149007,0.05,1.37%,3.70,552.27k,1363
81,04/10/17,3.69,3.76,3.64,3.65,129567,-0.05,-1.35%,3.65,477.67k,1219
82,04/07/17,3.55,3.75,3.55,3.70,151922,0.155,4.37%,3.70,556.34k,1223
83,04/06/17,3.55,3.58,3.51,3.545,387455,-0.005,-0.14%,3.545,1.38m,2304
84,04/05/17,3.63,3.74,3.54,3.55,296410,-0.14,-3.79%,3.55,1.07m,2000
85,04/04/17,3.72,3.765,3.60,3.69,222648,-0.05,-1.34%,3.69,816.37k,1169
86,04/03/17,3.87,3.895,3.71,3.74,180129,-0.14,-3.61%,3.74,676.65k,1525
87,03/31/17,3.78,3.90,3.75,3.88,200877,0.09,2.37%,3.88,775.41k,1198
88,03/30/17,3.79,3.82,3.73,3.79,96567,0.02,0.53%,3.79,365k,686
89,03/29/17,3.76,3.85,3.74,3.77,145529,0.00,0.00%,3.77,549.32k,1058
90,03/28/17,3.69,3.79,3.68,3.77,110082,0.07,1.89%,3.77,413.15k,1145
91,03/27/17,3.61,3.76,3.61,3.70,208727,0.01,0.27%,3.70,771k,1433
92,03/24/17,3.63,3.71,3.63,3.69,172495,0.07,1.93%,3.69,634.25k,1251
93,03/23/17,3.57,3.66,3.55,3.62,121059,0.04,1.12%,3.62,436.92k,866
94,03/22/17,3.65,3.71,3.56,3.58,282347,-0.06,-1.65%,3.58,1.02m,1708
95,03/21/17,3.77,3.77,3.619,3.64,190135,-0.09,-2.41%,3.64,695.03k,1349
96,03/20/17,3.84,3.84,3.68,3.73,216575,-0.10,-2.61%,3.73,810.08k,1032
97,03/17/17,3.73,3.88,3.73,3.83,354888,0.06,1.59%,3.83,1.35m,1274
98,03/16/17,3.77,3.87,3.72,3.77,172770,0.01,0.27%,3.77,649.71k,1470
99,03/15/17,3.77,3.82,3.705,3.76,327665,0.00,0.00%,3.76,1.23m,1778
100,03/14/17,3.73,3.80,3.66,3.76,306795,0.01,0.27%,3.76,1.15m,2029
101,03/13/17,3.70,3.804,3.67,3.75,162165,0.03,0.81%,3.75,609.29k,1332
102,03/10/17,3.68,3.74,3.61,3.72,268299,0.06,1.64%,3.72,991.85k,1485
103,03/09/17,3.70,3.85,3.65,3.66,332556,-0.02,-0.54%,3.66,1.23m,1560
104,03/08/17,3.69,3.71,3.64,3.68,321931,-0.01,-0.27%,3.68,1.19m,2415
105,03/07/17,3.63,3.77,3.60,3.69,309623,0.04,1.10%,3.69,1.14m,2369
106,03/06/17,3.72,3.79,3.61,3.65,250974,-0.11,-2.93%,3.65,921.91k,1705
107,03/03/17,3.80,3.81,3.71,3.76,316705,-0.06,-1.57%,3.76,1.19m,1750
108,03/02/17,3.92,3.92,3.80,3.82,283610,-0.12,-3.05%,3.82,1.09m,1729
109,03/01/17,4.01,4.03,3.90,3.94,406423,0.00,0.00%,3.94,1.61m,2879
110,02/28/17,3.97,3.99,3.85,3.94,613611,-0.06,-1.50%,3.94,2.4m,3424
